TRAINBALACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_pb,CAWPE_eq
blood,0.04198606924676023,0.041747347760940585,0.04177888128670466,0.04201993328531564,0.0422666153107051,0.041865255687101956,0.04142926709981199,0.04130107585287888,0.04156512889874186,0.04174609291720641,0.04154329230578511,0.04133178039031926,0.04091027372917853,0.04088052387275853,0.040888943048514884,0.02662829454890381,0.040834189991691174
breast-cancer,0.03879829488898845,0.0379112930427405,0.03734285411368215,0.03668353541839455,0.03644003078791398,0.0366447663113208,0.03673276479645353,0.03640129590518049,0.03457128834216382,0.034819628951573846,0.03470948221981088,0.03678506198240874,0.03804032372089342,0.03766899955893786,0.03775251986655889,0.051069879330864175,0.038558388904548116
breast-cancer-wisc,0.007702702837553086,0.007702702837553086,0.0077811944589741425,0.00808528910601814,0.00808528910601814,0.008271385851009793,0.008159231099907424,0.008186926126596609,0.008035223426764913,0.008182240876824256,0.008340753990070325,0.00802870201187105,0.007894729633421646,0.007582037371985528,0.007582037371985528,0.00842648610260369,0.0076506395918843366
breast-cancer-wisc-diag,0.008555196857666694,0.00873964884174233,0.008832464097448057,0.008812728836005635,0.009126427326428002,0.009576956961908465,0.009576956961908465,0.00970164161571565,0.009391304623324048,0.009260931449357702,0.009256827946143412,0.009256827946143412,0.009415210773564211,0.009384216791834023,0.00940087795039698,0.00859045370883364,0.009500564530116381
breast-cancer-wisc-prog,0.05931605049693535,0.058764114210197574,0.05884011934739147,0.06203493940951634,0.05979026871808567,0.05736523738450438,0.05735730537941812,0.059221296630251795,0.06114223136494069,0.059929348780651835,0.05785593191409565,0.054008541930894424,0.05798955975227331,0.05776470451802732,0.057450587506592515,0.04815137411191669,0.05860436630177337
breast-tissue,0.0531822143953067,0.052936643582536004,0.053682907032833446,0.05453863874251207,0.05354055034017195,0.053494102630222,0.056455606335789624,0.057131002315960897,0.054843910784451104,0.05704656877931544,0.057184010125825094,0.05842827992742375,0.06131577242507451,0.06134009084462627,0.06472453309279724,0.0590157243625106,0.06347493885849106
car,0.023925566958507255,0.024351858642519722,0.022353619039053592,0.021762270525628923,0.02319687717356358,0.022789466949636322,0.02267457523098189,0.021573843111837798,0.021378839449523672,0.020403236929144575,0.023880083591668003,0.022938496132868986,0.02363641365509482,0.02294392880136739,0.02131693350260506,0.03309459814120944,0.020246100898856242
cardiotocography-3clases,0.019660200719319905,0.019665386338400107,0.01927750915690709,0.01863398350682409,0.018483923464567283,0.01876474115083337,0.018510213878435763,0.018593382943121843,0.01842691621005572,0.01853294902979758,0.018698771410474102,0.018702633445896986,0.018164300896741564,0.01842093675877187,0.01859752559314718,0.020295273066085077,0.01828333449953457
cardiotocography-10clases,0.017109518883745112,0.0169394512036009,0.016979812305175705,0.016436353259019224,0.016522207519624677,0.017646701831368013,0.017156882437703438,0.016974564259282062,0.016718357938600707,0.015884359611114163,0.014988999284115508,0.015314207233024676,0.01449771283198775,0.01533011939690057,0.014804653353197118,0.01207340012267113,0.014917770604034734
chess-krvk,0.008646160968611974,0.008672881954782585,0.008663929450098433,0.008656098802726884,0.008701000290012674,0.008731887455018928,0.008723933924316595,0.008827196464662762,0.008571194649741879,0.008603518463912559,0.008619482534909734,0.008635438770619916,0.00876761056942149,0.008858252953409376,0.0082769494445493,0.00985525088886531,0.010732937982449764
chess-krvkp,0.0020790306061876686,0.002106711431288554,0.0022283543202363497,0.0022052900200548974,0.0022218144846366584,0.0022384664586873803,0.002119604352582158,0.0021438915689078073,0.0022261006695115182,0.0021852057299294523,0.002206329357423858,0.002219718281849008,0.0022099485375078,0.0022834578766503704,0.002465476250368462,0.0060583880052313055,0.00236846974363965
congressional-voting,0.020307253121261627,0.020020454547221855,0.019857235554625378,0.019092008338438788,0.019807437492121455,0.02007447325052202,0.019835405101277223,0.02054222525773067,0.02063690379916971,0.01970989942163913,0.018649966581883795,0.018542251122311535,0.018244544623566342,0.01787673521037487,0.01769477544367123,0.017210497594113444,0.01657243426429312
conn-bench-sonar-mines-rocks,0.03394282694395532,0.03566023508710658,0.03387268334357841,0.034737416326660345,0.035956526210641764,0.03550506939458342,0.036633416007868846,0.03596207562334415,0.03674526313421267,0.03670911315364152,0.034453866249657766,0.032018295079118304,0.034024074351819436,0.035334752685836045,0.03294191239158274,0.042099987855630586,0.03213718980134192
conn-bench-vowel-deterding,0.005127246981311295,0.005127246981311295,0.005127246981311295,0.005127246981311295,0.005127246981311295,0.005127246981311295,0.005127246981311295,0.005135017965905459,0.005641701456638286,0.005982310937046037,0.006042777290200893,0.007565107262697704,0.007631783236378602,0.007398641679167085,0.008586302499775975,0.020449087142053367,0.011247800283707575
connect-4,0.005645444640280021,0.005626269154148508,0.005666265610137475,0.005680964166352177,0.005608915216878637,0.0054538063792584635,0.005422986571224421,0.005460978963240738,0.005346457242834412,0.005208552729494514,0.005337918652534416,0.005121994278156928,0.00506177644745124,0.0049839561060887475,0.00497460033013163,1.0975964039612676E-5,0.004676328081755439
contrac,0.018411476572817945,0.018042392978450505,0.018582239502113154,0.018700386342643774,0.0185738807121135,0.01869389627563372,0.01868486097702488,0.018969912485788446,0.019219076576590888,0.01887103087412848,0.01911708877161383,0.01941090933499271,0.019720662029734944,0.020639669157425947,0.02189192962958259,0.022836466925096447,0.022745049149361818
credit-approval,0.014044663641457431,0.014604679752588685,0.014799111117918868,0.01425354737124656,0.014179202207770079,0.014366188929123903,0.014371713890565574,0.014221540745341122,0.014856744957752804,0.014987747339772924,0.015234561334436288,0.015536847238736507,0.015043842401346283,0.01519532789721738,0.015210827492578526,0.011758276460077238,0.016024603309386348
cylinder-bands,0.03837625503989176,0.038200201637825476,0.037720402554627455,0.03856377045879474,0.03760403787169634,0.03703431723522272,0.03746183958962102,0.03515833396587018,0.03464751676934414,0.0336509839772046,0.03429277794798556,0.03423209684476697,0.03439463867527285,0.033615811243716306,0.034324892589805714,0.02707212612350501,0.03408887883024489
dermatology,0.01544577590452637,0.015396428342950668,0.015090975194687764,0.015791955719837058,0.015791955719837058,0.015737304125192673,0.015842592736673624,0.015716235658379357,0.015716235658379357,0.015716235658379357,0.015716235658379357,0.015842592736673624,0.015842592736673624,0.015691170509520843,0.015716907456284998,0.013228248647313567,0.015716907456284998
echocardiogram,0.05313471882882232,0.052270576041634716,0.05271839725279607,0.05296457323393041,0.052386324422677204,0.05328686933711164,0.052239244056136794,0.052051108260014495,0.052135229762300804,0.05227339625471197,0.052323333253918525,0.052323333253918525,0.054799248522927065,0.05471760802137954,0.0527929771945788,0.05123919520147969,0.05608521823176958
ecoli,0.04172710902896714,0.04205018773664467,0.041955478628998184,0.04180831512265774,0.04172175922044624,0.04219516348153226,0.04145969000011159,0.040913417429489625,0.04112189193597144,0.04145424445776044,0.04157807712270055,0.04109223059701155,0.04155452941710875,0.0416720418843245,0.041070580486286486,0.02806259213146974,0.04052152493370385
energy-y1,0.024919422715021906,0.02509485536805529,0.02514256484202456,0.026588515374338022,0.027708455864517426,0.025957680201168662,0.02610900870972131,0.025967795171513913,0.026860053755210497,0.027402114380039085,0.027920357553573534,0.02806649585490685,0.027073126797330396,0.026619511541082552,0.025534752132909386,0.01924693129139383,0.024902299555443014
energy-y2,0.015599231480785923,0.0153963560060562,0.01486950859209923,0.014794471527958966,0.014774592518227561,0.014552369316274185,0.014404892287846001,0.014424740994385888,0.013976961306639384,0.013895810080013879,0.01437070230199586,0.014036911160075011,0.014451746724066048,0.014215809904824912,0.01417035226402559,0.01961176821184555,0.014714756830159808
fertility,0.06929458831853517,0.06944543395640929,0.0695938199041291,0.06987855511743835,0.06987855511743835,0.07010299347399035,0.07032460499016986,0.07098284901576982,0.07079021210303504,0.07160430351698682,0.0650527438141164,0.06836009434119886,0.06659151982059518,0.06607188525134146,0.06638378144943143,0.10674135909608853,0.06804622920465686
flags,0.052911950213488705,0.052599593308802435,0.053555879171125274,0.052426788317769785,0.05202119419129225,0.05300382672304102,0.05300842632740373,0.05320631182736748,0.05256802489202766,0.0522732771339568,0.052658184065623025,0.05255368037450768,0.04932434310377069,0.05087013997527682,0.03993917271830006,0.034039868338373976,0.04134868089549533
glass,0.05964282142666835,0.0595650496315482,0.061146255553744776,0.061848746411177324,0.06409168694293486,0.06166199847124189,0.06137762312454638,0.061470915690475574,0.06161825906938195,0.0674320819194735,0.06844028233049687,0.06559653637238747,0.0685838137889797,0.06543538878720584,0.062940445566437,0.06608888268620744,0.06135048399280782
haberman-survival,0.046959552134909,0.04730219657525934,0.047516733783416275,0.04770823377902742,0.04742033147505242,0.04677151078914326,0.047257621107671885,0.04660358615611934,0.04559197360091115,0.04467572681560384,0.04506841503513331,0.045888222709140815,0.04690507968351923,0.04619942346858306,0.04618002183928864,0.04159281221454753,0.0459730101170117
hayes-roth,0.07127694350758894,0.0714228444237832,0.07033498282603502,0.07004712932290674,0.06939838830357939,0.06939838830357939,0.07042595018921594,0.06925861150932233,0.06956094952542667,0.06535018809357383,0.06348086223546053,0.06614225751925282,0.06553517768868186,0.06053606945668552,0.062178647394862896,0.043857506168800665,0.06436381243535286
heart-cleveland,0.04974009419409621,0.052664492864236113,0.052585972709503236,0.05267399671018504,0.050478579486660874,0.048740530675051616,0.04871391074051622,0.04602159232785897,0.045515674919094924,0.04655825542956142,0.046322272991385034,0.04852320252833174,0.04795722851539953,0.04762390316869642,0.04761815161383339,0.045903914070253383,0.04724814668740057
heart-hungarian,0.02533995522837139,0.02563022885004178,0.024986363659127275,0.02589436219844338,0.026483273285387535,0.02657831231945388,0.02574259345911304,0.026200678960914648,0.02523957166368497,0.025315603404020483,0.025386075151216998,0.025143264931825043,0.025065588566503844,0.024514771884731543,0.024948256401818556,0.02889126006490016,0.02621912257471933
heart-switzerland,0.06474999198706047,0.06567973983487221,0.06477108723819511,0.06453204303711499,0.06392821544923358,0.06358633801269438,0.06370169770038002,0.06348731030374563,0.06424282066025508,0.06348301655407215,0.06226478087506756,0.06078851416724674,0.05988948554568826,0.061141944067827594,0.06470278472533685,0.06103924501231197,0.058491773062237046
heart-va,0.05212572351734144,0.05194235533692319,0.05076445545049806,0.05099950922661759,0.046342432380202594,0.042730316508474774,0.04257823935409546,0.045130797305512234,0.04616570820951854,0.049806614212349685,0.05233232315013142,0.05518707078490131,0.05794234090498375,0.05411847687664503,0.053156104094519215,0.05481709420026847,0.05261722787472697
hepatitis,0.06459297600002749,0.0643568673113007,0.061963966515792425,0.06184803999644076,0.0633769318955927,0.06406262672749528,0.06458542617447373,0.06407672352284396,0.06534653345677179,0.06689314759302817,0.06516135169751672,0.0635172671703165,0.06312281244287543,0.060132707533568544,0.059637606779473364,0.07688025388208536,0.06215526033412455
hill-valley,0.01809785026449275,0.017896459195141767,0.020077384447239006,0.02135848978517924,0.02086569599548417,0.02215765800218212,0.023733433304835596,0.023507970631330494,0.023442572719145474,0.022598516026098605,0.023030461034636275,0.02406223735651649,0.0253175141967404,0.024933520966919035,0.025719267831892406,0.016030604793329826,0.02999077632908586
horse-colic,0.024382319665686037,0.02473756497417654,0.024481196307377422,0.024256608110342626,0.024293501565941154,0.02500161940009681,0.024692740242770145,0.02377314473781871,0.023995620245306503,0.02394030322390145,0.025636796076185336,0.026269184242116123,0.025590702266028546,0.024297265381941636,0.02259392764781173,0.026237244997739065,0.022401309290280273
ilpd-indian-liver,0.035281564563063327,0.03480145832493416,0.03487230767365922,0.034546771884996,0.034821340257443996,0.03487057136204851,0.03537649729413151,0.03527461220647454,0.03500270276514159,0.034258899262957984,0.03408732451407553,0.03386258303564122,0.03397289971768145,0.03335431591896987,0.0337576317865047,0.038570802752462864,0.03335487310363298
image-segmentation,0.006258609885695172,0.006278059949305051,0.006199059699671528,0.006306541958846863,0.006541001604308609,0.006549426662193674,0.0067464302027615474,0.0068586525399051725,0.006772243157947787,0.006713142113883658,0.006742405972261634,0.006437769783004001,0.006288481793798265,0.006507523310294134,0.006270987933424897,0.007875468112029237,0.006454811646262909
ionosphere,0.018405607570620208,0.018183494428432836,0.01887023021155274,0.01810314746784542,0.018165031072929796,0.01808596256749498,0.01851150992935509,0.01847737864777541,0.018868281766029643,0.019453018097221355,0.01953982143196834,0.019139429724791653,0.020263088212534943,0.02147505171073516,0.021248056338874954,0.024506869622081196,0.02192326934086024
iris,0.025575371294631062,0.025575371294631062,0.024940286284421742,0.024940286284421742,0.025026167658840196,0.025026167658840196,0.025103616689258677,0.024531367570754064,0.024531367570754064,0.024531367570754064,0.024531367570754064,0.024531367570754064,0.0239241030664709,0.02352792422613617,0.02383425098037819,0.019620928696467897,0.02383425098037819
led-display,0.017933856060948505,0.017875867558798626,0.01814318997796458,0.017901219608546102,0.017822608293052225,0.017872932282085252,0.0178941325157275,0.018146938910201655,0.018364265542207065,0.018575323211287763,0.01879698510059473,0.018844502782433412,0.0189228861083875,0.018729577650363878,0.01889883282489706,0.018126553270628426,0.018450911943601354
lenses,0.23790495954500335,0.23790495954500335,0.23790495954500335,0.2418693758085073,0.2418693758085073,0.2390525363827819,0.23972621458920337,0.23972621458920337,0.23972621458920337,0.24595801992273617,0.24343224778007383,0.2480355219364956,0.2551640396941194,0.26128079127318476,0.2576784950132538,0.24073522712529083,0.2586174750671192
letter,0.0022755280589015583,0.0022755280589015583,0.0022755280589015583,0.0022755280589015583,0.0022755280589015583,0.0022755280589015583,0.0021378741118407,0.002016831309016818,0.001981400214568793,0.001980994604490317,0.002176353404831812,0.0022088124721443346,0.0022563043760930367,0.002489225784187726,0.002729366400395716,0.004064033710356469,0.0031365954016653957
libras,0.026063991069693353,0.025535974507349752,0.02528677579735359,0.025089593963895967,0.02565240684636616,0.025216530715267606,0.02557761832905819,0.026623528326207953,0.02628086716602316,0.025704215290399124,0.0261862048896346,0.02471348518966822,0.026562829977749877,0.025790331421575042,0.026288965214849067,0.03351589004885582,0.025318322500431263
low-res-spect,0.05302833959289295,0.05305759604945507,0.05166955727247222,0.051831487882310186,0.05173213076747194,0.0500234905519265,0.050061339837122194,0.051076276059727886,0.051849341011661505,0.05257436359580068,0.052608811524118976,0.05243271446670585,0.054376481625923324,0.05244945507429575,0.05012995517837587,0.057886584761446785,0.04930583395473157
lung-cancer,0.1462492851702181,0.14945017721773685,0.14945017721773685,0.14885936403090325,0.150263002014375,0.150263002014375,0.1450351415361222,0.14164944928304876,0.1431536787314774,0.14756430293049003,0.14929188137210073,0.15126928559552555,0.14729527814596843,0.13505749843753972,0.14283773358387047,0.15712366432803457,0.151940408093929
lymphography,0.0845934421039759,0.08549985436119432,0.08208037949058232,0.08185558164723497,0.0838317232464993,0.08409446468739798,0.0844124337518054,0.08229040871534757,0.07560895819535521,0.07653576744839258,0.07734932619674638,0.07799435116633102,0.07821710726212433,0.08131278888351652,0.08181839573267248,0.0919058454445841,0.08243677794478786
magic,0.004316665517382965,0.004398592600925842,0.004381412035426871,0.0044039682054523846,0.004371710408279981,0.004217976361621137,0.004300494576820685,0.004333059236170631,0.004385434998906946,0.004327054061071697,0.004158848387433124,0.004165652119118485,0.004067643719833775,0.004229715886127578,0.004223049285899452,0.0035884325334122986,0.004119974020915577
mammographic,0.016186742950646246,0.015604257757623065,0.015326306093931059,0.015180068089453446,0.015086430595136507,0.015346593222638908,0.015364725728674259,0.015443960806455303,0.016090926855805997,0.015561484358291345,0.015595022958929719,0.015452452069253771,0.015189212103274135,0.015534895536470783,0.01570320753135182,0.018449614085628518,0.015565933410140243
miniboone,0.004392724186712355,0.00452479054594962,0.004600855249678379,0.004764908827599581,0.004872681469463968,0.004891063174904602,0.004964776149620756,0.005071340637646588,0.005122162128186704,0.005157512800646928,0.005211429479040756,0.005268099221697403,0.00539827999837635,0.005499927447936795,0.005563301541556093,0.0017183021878231992,0.0056456245777668935
molec-biol-promoter,0.05878352046659485,0.05909724635689285,0.05834802722018095,0.05912960575561329,0.06286155031975973,0.06400080340242525,0.06117890649795612,0.062198740034821724,0.06437497379340186,0.05752259151248947,0.05884134270653462,0.061373147760239055,0.06188356483604492,0.06095615857352344,0.06033583944099994,0.06675757251730868,0.060886382728110366
molec-biol-splice,0.008718999428836308,0.008762245413937381,0.008692483180556867,0.008765688432881407,0.009266440231129408,0.010063544043119889,0.00929037817200085,0.008562228561685913,0.008419149452885095,0.008708059403728085,0.007863684824611162,0.00843429311597171,0.00815775145380271,0.008597237421078766,0.008981606468646793,0.011402468566659395,0.009660003941529435
monks-1,0.04331491673169222,0.04311047656252991,0.04296187412171261,0.042895181791340525,0.04269865976115013,0.04298523524112132,0.04398867719267088,0.04408746168085874,0.044863279171613965,0.04579298711100171,0.046957148584060415,0.04918476738627899,0.049566258765261675,0.04983423618090955,0.04457643246721282,0.020618500583171384,0.04314220410083263
monks-2,0.03659008191593583,0.03699547293546471,0.038232624961664574,0.04047919793840962,0.04263595989823436,0.04295930472253731,0.043749816875120015,0.04416944081201445,0.045710500053931534,0.04444060437062407,0.043200533600804114,0.041115332690202455,0.037953602278711245,0.03760348376114105,0.035847348895538214,0.002433394971977466,0.03704608967008613
monks-3,0.010459439332111267,0.010446391035075704,0.010295008887961069,0.010696228600992107,0.010998195654992018,0.011271776819016123,0.011366112682624203,0.011403123608182368,0.01077529441578064,0.010687331530964798,0.010444127472517441,0.01131203154526926,0.011541604262784218,0.01286562504768807,0.014130479531904518,0.0232987309123018,0.015486208726298202
mushroom,2.2330242359963726E-4,2.8619679470821884E-4,4.2591125137133066E-4,0.0011236911991123295,0.0011770174038997201,0.0011746672496371294,0.001276347017150042,0.0015903277169775202,0.0017168065898090386,0.0018405955991505135,0.0019235951914707609,0.002069051727985669,0.0021397482567846416,0.0022166302403675646,0.002374030362749189,0.005678181622712011,0.002483794040372553
musk-1,0.021901778108571,0.021950351892409226,0.02114811927489181,0.02182101597791053,0.021569544779282277,0.021053519997175058,0.02198315775816922,0.02136810486555337,0.021848649068702406,0.021623518649816115,0.020639364222322307,0.020802857491426942,0.020222802875055925,0.019495799672982903,0.019623182299279885,0.024601413192591876,0.017683148470534177
musk-2,0.005332081844320972,0.005569591958224377,0.005373713323451095,0.005220914482032115,0.005202720802764674,0.0052738848508634565,0.005268568706282346,0.005579773074604951,0.005596847981682302,0.005771313833216984,0.005686415970090237,0.005664880843914612,0.005660023908690526,0.005525168580419522,0.005725859000593743,0.009519959960465297,0.005788055101492865
nursery,0.00637031557267764,0.006347516943058068,0.006632970930044803,0.0064798784982524815,0.006926242851497033,0.006404031958155765,0.006482811424612591,0.006541347749283782,0.006477094484681592,0.006826009175342405,0.006467928958493124,0.0061719664653276775,0.006233983416913139,0.00559962336610343,0.005825416697886706,0.006257969757258795,0.006134378675403199
oocytes_merluccius_nucleus_4d,0.019378970810116806,0.019058732590314625,0.0184914405575954,0.017974689840028417,0.01726140433135735,0.017911370470428442,0.01759711121021884,0.018162657168947688,0.01833937065459108,0.01961194880131038,0.019416779220123845,0.018665645815634554,0.017544582683408343,0.016824967307375156,0.01755931275309121,0.023433802412624754,0.01775537689331392
oocytes_merluccius_states_2f,0.02010703104388165,0.020131191989253366,0.019399146630804682,0.01948178834606992,0.019963402408829604,0.02088668055648855,0.021459496900684417,0.020876419771511907,0.02124973346218301,0.022072358152966237,0.02209754558586845,0.02160992493145761,0.021355589468074112,0.02159051412766412,0.021655668419646022,0.019972272428237722,0.021344920793764807
oocytes_trisopterus_nucleus_2f,0.015970374994897906,0.015554988161066357,0.016065278988280505,0.01612061295256919,0.015971500342522864,0.01616372663144399,0.017254477558622174,0.01720796562044792,0.01768399046769048,0.017230472258541376,0.017434955105840963,0.016492180165988198,0.017092805389558374,0.017875880263898903,0.01781386175390639,0.013050195035406706,0.018956670882303996
oocytes_trisopterus_states_5b,0.03170337599242528,0.03189937733482566,0.03174492921603518,0.0319941889240796,0.03161304194838543,0.031397213236769944,0.03157335452265046,0.03159889400496926,0.031642031422695296,0.03143471308321166,0.03130204933589717,0.031138322783639847,0.030779200802775082,0.030727033153089084,0.030488179240816166,0.028136248435496475,0.03079004965517586
optical,0.0017932315661383965,0.0017086476661241565,0.0017011094088317128,0.0016828835757400984,0.0016264734732454721,0.001598262507836906,0.0015617804451824428,0.0015380544128214787,0.0014535751319230408,0.0015307154582022838,0.001553008266307845,0.0015414170700368095,0.0015829407456686992,0.0015134369083340418,0.001543472899801803,0.002335406044646563,0.001466692085524562
ozone,0.027737839707120973,0.02777200842618007,0.02786426263775718,0.027864459239064613,0.027877609473255384,0.028314226344699895,0.028341159018018584,0.02737938659915611,0.027422843772725067,0.02704836615497331,0.027536976466437265,0.027173659297102592,0.027194220383763436,0.027208007424371603,0.027200940492838877,0.0383151445181858,0.02761061622654512
page-blocks,0.025340624578774538,0.02600566152647632,0.026075388231199693,0.025554287665082533,0.02576418139128332,0.026068567687670727,0.02613871185149659,0.02592558389522064,0.02516788214660652,0.025192704256764502,0.025159257448596598,0.025464063427453266,0.02545930206744568,0.025559967063141422,0.025338389266965182,0.023610013213185312,0.02582322086850703
parkinsons,0.043213827479552595,0.04375420098732546,0.0455688070659764,0.045649485871050104,0.04499532861708686,0.044824798140633976,0.04355650776376142,0.044542028880656774,0.0431897222127118,0.04205882399633141,0.04217946996766494,0.047975093967253274,0.0478090975572554,0.04554937343914424,0.04464983730918686,0.041082380775793494,0.04709088897509685
pendigits,0.0010364910143477626,0.001043632938154266,0.0010751312014422498,0.001080724384535515,0.001006200800121924,9.966393383992827E-4,0.001039832037502404,9.953041888028545E-4,0.0010180290189491508,0.0010706754255227116,0.0010921997329084105,0.0011086875996717872,0.0011358091520104166,0.00112052081593271,0.0011236378994927871,0.001397644324612886,0.0011498883018967142
pima,0.01645602164340146,0.016442068503450896,0.01597085184833268,0.016133956088475034,0.016724325660671748,0.01637068571098011,0.016401382094928595,0.016148257661000275,0.01627760821847957,0.016357969933375505,0.01692187853763236,0.017275465021119422,0.018102911236366575,0.017999890038803364,0.018126594870324073,0.016370128663242875,0.018138761769683133
pittsburg-bridges-MATERIAL,0.10817279350817147,0.11146444086578919,0.11146444086578919,0.1105815376011529,0.10052142901311276,0.10204497458277127,0.10015100075124693,0.09664736438259414,0.09274041982868904,0.09099842135685768,0.08986594591504174,0.08878887930461578,0.08744290250248453,0.08412676182046488,0.08331660667284616,0.08846195046967416,0.08142698732905089
pittsburg-bridges-REL-L,0.07971023472487136,0.07971023472487136,0.07983490063465794,0.07895925771083623,0.07887485124707491,0.07728543361576602,0.07460057531192484,0.07283072498782196,0.07320097159454894,0.07339263904594581,0.07208023122143557,0.06986763960218857,0.06959904630908546,0.06447343531351685,0.06299701476011085,0.06892107981555734,0.06346370857201551
pittsburg-bridges-SPAN,0.058498039490353676,0.05750502398762656,0.058518710242732495,0.05907602524513446,0.05892407239601431,0.06117573750895434,0.06000760647581147,0.06025189254316975,0.05900257458658123,0.0604350503462536,0.06015217694306575,0.060761814161935115,0.059368610507456794,0.060572021213169965,0.058366326817867596,0.06566555190403835,0.058477627786031196
pittsburg-bridges-T-OR-D,0.13388308541047658,0.13424717381685158,0.13138370361813034,0.13138370361813034,0.13138370361813034,0.13138370361813034,0.12910269454353968,0.12910269454353968,0.11624722322925908,0.11615494220411682,0.11550003964789317,0.11184175662081043,0.1132307819839538,0.11370431721655493,0.11258286963120318,0.10215308839545,0.11114596700462344
pittsburg-bridges-TYPE,0.06322843003221612,0.06402826320548981,0.063315109789389,0.061173993576893924,0.06307066691139367,0.06423954785940651,0.0639480475000435,0.0650599342886921,0.06292491236568656,0.06101558144328093,0.05924362547652304,0.06022815064759062,0.05869010515933781,0.06070715284038628,0.06390589717384841,0.06745705448818795,0.0631855125523379
planning,0.012572310063951948,0.013259504501831448,0.014485790564313072,0.014344243738739722,0.014344243738739722,0.014251484432945034,0.013973770865065354,0.013830057448031344,0.015309276184448082,0.014792426708083806,0.014902366516209605,0.01624265093656363,0.018553044662032732,0.019945174121934053,0.022910169699756303,0.017274011830811255,0.023422116145277005
plant-margin,0.010215793075474837,0.010439687206306392,0.010190445857842014,0.009911968847649881,0.009455449836427429,0.009589266029707676,0.009628889720075693,0.008960421435337212,0.008798510845787954,0.008897666134648919,0.009044212126465506,0.009136182331050917,0.008469540590616,0.009613676351349975,0.010062305898749064,0.01454753405654844,0.010535670799498343
