ES-A,RC-A,PB-A,SMM5-A,SMLRE-A,SMLR-A,CAWPE-A,MV-A,NBC-A,WMV-A
47.0 ,6.0,6.0,15.0,16.0,10.0,39.0,6.0,6.0,5.0
33.0 ,6.0,5.0,16.0,15.0,9.0,42.0,5.0,6.0,6.0
47.0 ,7.0,6.0,18.0,15.0,11.0,46.0,6.0,8.0,6.0
47.0 ,5.0,6.0,15.0,13.0,7.0,42.0,6.0,5.0,6.0
62.0 ,6.0,5.0,17.0,22.0,11.0,72.0,5.0,6.0,6.0
47.0 ,6.0,6.0,18.0,21.0,7.0,36.0,6.0,32.0,5.0
62.0 ,6.0,6.0,15.0,14.0,8.0,43.0,5.0,43.0,5.0
47.0 ,6.0,7.0,17.0,23.0,7.0,38.0,6.0,40.0,5.0
47.0 ,5.0,6.0,15.0,16.0,8.0,39.0,5.0,39.0,5.0
47.0 ,5.0,7.0,17.0,21.0,7.0,38.0,6.0,37.0,6.0
64.0 ,6.0,6.0,20.0,17.0,8.0,48.0,7.0,47.0,5.0
47.0 ,6.0,9.0,15.0,19.0,7.0,38.0,6.0,37.0,5.0
47.0 ,6.0,7.0,16.0,18.0,10.0,39.0,7.0,38.0,6.0
47.0 ,6.0,5.0,12.0,16.0,8.0,35.0,7.0,37.0,6.0
47.0 ,6.0,7.0,15.0,13.0,8.0,38.0,5.0,38.0,5.0
47.0 ,5.0,5.0,14.0,15.0,8.0,36.0,7.0,37.0,5.0
47.0 ,6.0,5.0,13.0,15.0,10.0,39.0,6.0,38.0,5.0
47.0 ,5.0,5.0,15.0,16.0,12.0,38.0,6.0,38.0,5.0
46.0 ,6.0,5.0,15.0,16.0,11.0,38.0,6.0,37.0,5.0
47.0 ,5.0,8.0,17.0,16.0,8.0,39.0,6.0,39.0,5.0
56.0 ,6.0,6.0,18.0,14.0,9.0,38.0,6.0,38.0,5.0
47.0 ,8.0,6.0,14.0,13.0,7.0,38.0,7.0,38.0,5.0
58.0 ,8.0,5.0,15.0,14.0,7.0,43.0,5.0,43.0,6.0
47.0 ,8.0,5.0,16.0,14.0,7.0,42.0,6.0,42.0,7.0
47.0 ,8.0,5.0,14.0,17.0,7.0,41.0,5.0,40.0,6.0
31.0 ,2.0,2.0,4.0,3.0,4.0,30.0,3.0,30.0,3.0
16.0 ,3.0,2.0,4.0,4.0,3.0,29.0,2.0,28.0,2.0
31.0 ,3.0,2.0,4.0,4.0,2.0,31.0,3.0,30.0,2.0
