TRAINTrainTimesRANKS:,CAWPE_alpha=9,CAWPE_alpha=15,CAWPE_alpha=4,CAWPE_alpha=10,CAWPE_alpha=14,CAWPE_alpha=5,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=3,CAWPE_alpha=13,CAWPE_alpha=2,CAWPE_alpha=12,CAWPE_pb,CAWPE_eq,CAWPE_alpha=11,CAWPE_alpha=6,CAWPE_alpha=1
cardiotocography-10clases,4.5,3.0,7.0,1.0,2.0,6.0,11.0,9.5,14.0,9.5,12.5,12.5,8.0,4.5,16.0,17.0,15.0
chess-krvk,1.0,6.0,5.0,4.0,2.5,2.5,8.0,14.0,10.0,7.0,11.0,13.0,12.0,9.0,15.0,16.0,17.0
chess-krvkp,2.5,2.5,2.5,8.0,5.5,2.5,8.0,8.0,5.5,12.5,12.5,10.0,12.5,12.5,15.0,16.5,16.5
congressional-voting,4.0,4.0,4.0,4.0,4.0,4.0,12.0,12.0,4.0,8.5,8.5,12.0,12.0,12.0,16.0,16.0,16.0
conn-bench-sonar-mines-rocks,3.0,3.0,3.0,3.0,11.5,3.0,11.5,11.5,7.0,11.5,7.0,7.0,11.5,11.5,16.0,16.0,16.0
conn-bench-vowel-deterding,1.5,4.5,1.5,6.5,4.5,3.0,12.0,6.5,13.5,8.5,8.5,10.5,10.5,13.5,16.5,16.5,15.0
connect-4,4.0,2.0,9.0,1.0,5.0,7.0,10.0,6.0,11.0,12.0,14.0,8.0,3.0,13.0,17.0,15.0,16.0
contrac,3.0,6.0,3.0,3.0,8.5,3.0,7.0,10.5,10.5,8.5,13.5,13.5,3.0,12.0,15.0,17.0,16.0
credit-approval,7.0,2.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.5,13.5,7.0,12.0,15.0,16.5,16.5
cylinder-bands,7.0,7.0,2.5,2.5,2.5,2.5,7.0,11.0,11.0,7.0,13.5,7.0,11.0,13.5,16.5,16.5,15.0
dermatology,4.0,4.0,4.0,4.0,4.0,4.0,9.5,9.5,9.5,12.5,14.0,9.5,4.0,12.5,15.0,16.0,17.0
echocardiogram,6.5,6.5,6.5,6.5,6.5,6.5,13.5,6.5,6.5,6.5,13.5,6.5,6.5,6.5,16.5,15.0,16.5
ecoli,4.0,4.0,4.0,4.0,4.0,4.0,9.5,9.5,9.5,12.0,13.5,9.5,4.0,13.5,16.0,16.0,16.0
energy-y1,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,12.0,12.0,12.0,14.0,5.5,16.5,16.5,15.0
energy-y2,3.5,3.5,3.5,3.5,7.0,3.5,10.5,10.5,3.5,10.5,10.5,10.5,14.0,10.5,15.5,15.5,17.0
fertility,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,16.0,16.0,16.0
flags,4.5,4.5,4.5,9.0,4.5,4.5,4.5,11.0,4.5,11.0,11.0,13.5,13.5,4.5,17.0,16.0,15.0
glass,5.5,5.5,5.5,5.5,5.5,5.5,5.5,12.5,12.5,5.5,5.5,12.5,12.5,5.5,15.0,17.0,16.0
haberman-survival,6.5,6.5,6.5,6.5,6.5,6.5,6.5,13.5,6.5,6.5,6.5,6.5,13.5,6.5,15.5,17.0,15.5
hayes-roth,9.5,2.0,2.0,4.0,9.5,2.0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,16.0,16.0,16.0
heart-cleveland,3.5,3.5,3.5,3.5,3.5,3.5,10.5,10.5,10.5,10.5,14.0,10.5,7.0,10.5,16.0,15.0,17.0
heart-hungarian,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,13.0,6.0,13.0,13.0,16.0,16.0,16.0
heart-switzerland,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,15.5,15.5,17.0
heart-va,2.5,2.5,10.0,2.5,10.0,2.5,10.0,10.0,10.0,10.0,5.5,10.0,14.0,5.5,17.0,15.0,16.0
hepatitis,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,12.0,6.0,6.0,13.5,13.5,16.0,16.0,16.0
hill-valley,3.5,3.5,3.5,3.5,3.5,3.5,11.0,11.0,11.0,11.0,11.0,11.0,11.0,7.0,16.5,15.0,16.5
horse-colic,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,13.0,5.5,11.0,13.0,13.0,15.0,16.5,16.5
ilpd-indian-liver,4.5,4.5,4.5,4.5,10.5,4.5,4.5,10.5,10.5,13.5,13.5,4.5,4.5,10.5,15.0,16.5,16.5
image-segmentation,6.0,1.0,6.0,2.5,4.0,2.5,8.5,10.5,13.0,14.0,12.0,10.5,6.0,8.5,15.0,16.0,17.0
ionosphere,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,13.5,11.5,5.5,13.5,11.5,17.0,15.0,16.0
iris,3.5,3.5,3.5,3.5,3.5,3.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,16.5,16.5,15.0
led-display,2.5,2.5,6.0,6.0,6.0,2.5,13.5,9.5,11.5,13.5,11.5,9.5,2.5,8.0,15.0,16.5,16.5
lenses,9.0,9.0,9.0,9.0,2.0,2.0,9.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,16.0,16.0,16.0
letter,2.0,3.5,6.0,1.0,5.0,3.5,16.0,9.0,15.0,17.0,10.0,13.0,7.0,14.0,8.0,12.0,11.0
libras,1.5,4.5,1.5,4.5,4.5,4.5,10.0,10.0,13.5,10.0,7.0,13.5,10.0,10.0,17.0,15.0,16.0
low-res-spect,3.5,3.5,3.5,3.5,3.5,3.5,8.0,8.0,12.5,14.0,10.5,10.5,8.0,12.5,16.5,16.5,15.0
lung-cancer,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,16.0,16.0,16.0
lymphography,8.5,8.5,8.5,1.0,8.5,8.5,8.5,8.5,8.5,2.0,8.5,8.5,8.5,8.5,15.5,15.5,17.0
magic,1.0,3.0,4.5,2.0,4.5,6.0,9.0,13.0,14.0,7.0,10.0,12.0,11.0,8.0,16.0,15.0,17.0
mammographic,2.0,2.0,8.0,2.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,12.0,13.0,14.0,16.0,17.0,15.0
miniboone,2.0,7.0,1.0,5.0,3.0,4.0,9.0,14.0,10.0,13.0,12.0,11.0,8.0,6.0,15.0,16.0,17.0
molec-biol-promoter,4.5,11.0,4.5,11.0,11.0,4.5,4.5,4.5,9.0,14.0,4.5,4.5,4.5,13.0,16.0,16.0,16.0
molec-biol-splice,2.0,13.0,1.0,5.5,9.5,5.5,9.5,12.0,9.5,9.5,3.0,14.0,4.0,7.0,15.5,17.0,15.5
monks-1,5.0,5.0,5.0,5.0,5.0,11.5,11.5,11.5,5.0,5.0,14.0,11.5,5.0,5.0,15.0,16.0,17.0
monks-2,4.0,4.0,4.0,10.5,4.0,14.0,10.5,4.0,10.5,10.5,4.0,10.5,4.0,10.5,15.0,16.0,17.0
monks-3,11.0,3.5,3.5,3.5,3.5,11.0,11.0,3.5,11.0,7.0,11.0,3.5,11.0,11.0,16.0,17.0,15.0
mushroom,4.0,14.0,1.0,5.5,2.0,11.0,7.5,5.5,9.5,3.0,13.0,9.5,7.5,12.0,17.0,16.0,15.0
musk-1,1.5,6.5,6.5,12.5,1.5,12.5,6.5,6.5,12.5,6.5,6.5,6.5,6.5,12.5,17.0,15.5,15.5
musk-2,8.0,1.5,10.0,14.0,1.5,11.5,5.0,13.0,11.5,3.0,8.0,5.0,5.0,8.0,15.0,16.0,17.0
nursery,3.0,2.0,4.5,10.0,1.0,14.0,8.5,4.5,8.5,11.0,6.0,7.0,13.0,12.0,16.0,15.0,17.0
oocytes_merluccius_nucleus_4d,5.5,5.5,5.5,14.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,12.0,12.0,12.0,15.5,17.0,15.5
oocytes_merluccius_states_2f,1.5,1.5,6.0,6.0,6.0,12.0,6.0,6.0,12.0,12.0,6.0,6.0,10.0,14.0,17.0,15.5,15.5
oocytes_trisopterus_nucleus_2f,3.0,3.0,3.0,3.0,3.0,9.5,9.5,9.5,13.5,9.5,6.0,9.5,13.5,9.5,16.5,15.0,16.5
oocytes_trisopterus_states_5b,3.5,3.5,3.5,3.5,3.5,9.0,9.0,3.5,13.0,13.0,9.0,9.0,9.0,13.0,16.5,15.0,16.5
optical,1.0,3.0,4.0,5.5,2.0,5.5,13.0,8.0,10.0,12.0,9.0,7.0,11.0,14.0,16.5,15.0,16.5
ozone,1.0,6.0,3.5,3.5,3.5,3.5,7.5,7.5,13.5,11.0,11.0,11.0,13.5,9.0,15.0,16.5,16.5
page-blocks,2.5,7.0,2.5,2.5,5.0,2.5,10.0,6.0,12.0,13.0,8.0,11.0,9.0,14.0,15.0,16.0,17.0
parkinsons,4.5,4.5,4.5,4.5,4.5,4.5,11.5,11.5,4.5,11.5,11.5,11.5,4.5,11.5,15.0,16.5,16.5
pendigits,2.5,6.0,2.5,5.0,4.0,1.0,10.0,7.0,9.0,8.0,11.0,12.0,15.0,13.0,14.0,16.0,17.0
pima,1.0,4.5,4.5,4.5,4.5,4.5,8.0,12.0,10.0,4.5,10.0,13.5,13.5,10.0,15.5,17.0,15.5
pittsburg-bridges-MATERIAL,3.5,3.5,3.5,10.5,3.5,10.5,10.5,10.5,10.5,3.5,3.5,10.5,10.5,10.5,16.0,16.0,16.0
pittsburg-bridges-REL-L,4.0,4.0,4.0,11.0,4.0,4.0,11.0,11.0,4.0,4.0,8.0,11.0,11.0,14.0,15.5,15.5,17.0
pittsburg-bridges-SPAN,4.5,4.5,4.5,11.5,4.5,4.5,4.5,11.5,11.5,4.5,11.5,4.5,11.5,11.5,16.0,16.0,16.0
pittsburg-bridges-T-OR-D,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,13.5,13.5,16.5,15.0,16.5
pittsburg-bridges-TYPE,6.5,6.5,1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,13.0,6.5,13.0,13.0,15.5,15.5,17.0
planning,3.0,3.0,3.0,3.0,10.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,10.0,10.0,16.0,16.0,16.0
plant-margin,2.0,5.0,3.0,4.0,1.0,6.5,8.0,10.0,9.0,6.5,14.0,12.5,12.5,11.0,16.0,15.0,17.0
plant-shape,2.5,6.0,1.0,8.0,2.5,4.0,5.0,14.0,7.0,9.0,12.0,13.0,11.0,10.0,15.5,15.5,17.0
plant-texture,1.5,6.0,1.5,3.5,5.0,3.5,13.0,8.5,8.5,14.0,7.0,10.0,12.0,11.0,15.0,16.0,17.0
post-operative,5.5,5.5,5.5,5.5,5.5,13.0,13.0,5.5,5.5,13.0,11.0,5.5,5.5,5.5,16.0,16.0,16.0
primary-tumor,3.0,12.5,3.0,3.0,3.0,3.0,7.0,10.0,10.0,7.0,10.0,7.0,14.0,12.5,15.0,16.0,17.0
ringnorm,3.0,6.0,1.0,3.0,5.0,3.0,10.5,7.5,12.5,10.5,12.5,7.5,14.0,9.0,16.0,17.0,15.0
seeds,1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,12.5,6.5,6.5,6.5,14.0,12.5,15.0,17.0,16.0
semeion,2.0,6.0,4.5,2.0,2.0,4.5,10.0,7.0,12.5,12.5,11.0,9.0,14.0,8.0,15.0,16.0,17.0
soybean,4.5,1.0,4.5,4.5,2.0,4.5,7.0,9.0,12.0,14.0,9.0,12.0,12.0,9.0,15.5,17.0,15.5
spambase,2.5,2.5,5.5,2.5,2.5,5.5,9.5,8.0,9.5,11.0,7.0,12.0,14.0,13.0,16.0,17.0,15.0
spect,5.5,5.5,12.5,5.5,5.5,5.5,12.5,5.5,5.5,5.5,5.5,12.5,5.5,12.5,16.0,16.0,16.0
spectf,6.5,6.5,2.0,6.5,6.5,1.0,13.0,13.0,6.5,6.5,6.5,6.5,11.0,13.0,16.0,15.0,17.0
statlog-australian-credit,2.0,4.5,2.0,4.5,2.0,7.5,12.5,12.5,10.0,7.5,7.5,7.5,12.5,12.5,15.0,16.0,17.0
statlog-german-credit,6.0,1.5,6.0,1.5,6.0,6.0,12.0,6.0,12.0,6.0,6.0,12.0,12.0,12.0,16.5,15.0,16.5
statlog-heart,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,14.0,16.5,15.0,16.5
statlog-image,2.5,2.5,5.5,2.5,2.5,5.5,9.5,8.0,14.0,9.5,12.0,7.0,11.0,13.0,17.0,15.0,16.0
statlog-landsat,2.5,2.5,4.5,4.5,1.0,6.0,11.5,7.0,13.0,9.5,8.0,11.5,9.5,14.0,16.0,17.0,15.0
statlog-shuttle,1.0,4.0,2.0,3.0,7.0,9.0,5.5,12.0,8.0,5.5,13.0,11.0,10.0,14.0,15.0,17.0,16.0
statlog-vehicle,8.5,8.5,2.0,2.0,8.5,2.0,8.5,8.5,4.0,8.5,8.5,13.5,8.5,13.5,17.0,15.0,16.0
steel-plates,4.5,13.0,2.0,8.5,6.5,2.0,2.0,8.5,4.5,6.5,10.0,12.0,14.0,11.0,16.0,17.0,15.0
synthetic-control,3.0,8.5,6.0,3.0,3.0,3.0,3.0,8.5,8.5,8.5,11.5,11.5,13.5,13.5,17.0,16.0,15.0
teaching,3.0,10.0,10.0,3.0,3.0,10.0,3.0,10.0,10.0,3.0,10.0,10.0,10.0,10.0,15.0,16.0,17.0
thyroid,2.5,7.0,2.5,2.5,8.0,6.0,5.0,10.0,2.5,9.0,11.0,14.0,12.5,12.5,17.0,15.0,16.0
tic-tac-toe,4.5,4.5,4.5,4.5,4.5,9.0,4.5,12.0,4.5,4.5,12.0,12.0,12.0,12.0,16.5,15.0,16.5
titanic,2.5,8.0,2.5,2.5,5.5,8.0,8.0,14.0,2.5,5.5,10.0,12.0,12.0,12.0,17.0,15.0,16.0
trains,5.5,2.5,2.5,2.5,2.5,10.5,5.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,16.0,16.0,16.0
twonorm,2.5,5.0,2.5,2.5,7.0,7.0,2.5,10.5,7.0,9.0,12.0,13.0,14.0,10.5,16.0,15.0,17.0
vertebral-column-2clases,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,13.0,13.0,13.0,16.0,16.0,16.0
vertebral-column-3clases,4.0,11.0,11.0,4.0,4.0,4.0,4.0,11.0,4.0,4.0,11.0,14.0,11.0,8.0,16.0,16.0,16.0
wall-following,1.5,1.5,7.0,4.0,7.0,4.0,4.0,14.0,7.0,9.0,11.0,10.0,12.0,13.0,15.5,17.0,15.5
waveform,2.5,1.0,6.5,2.5,6.5,6.5,6.5,12.0,6.5,6.5,14.0,10.0,13.0,11.0,15.0,16.0,17.0
waveform-noise,3.0,1.0,6.5,12.5,6.5,3.0,3.0,10.5,6.5,6.5,9.0,10.5,12.5,14.0,15.0,16.5,16.5
wine,9.5,2.0,9.5,9.5,4.0,2.0,2.0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,15.5,17.0,15.5
wine-quality-red,2.0,2.0,6.0,6.0,6.0,12.5,2.0,6.0,9.0,6.0,10.5,10.5,14.0,12.5,16.5,15.0,16.5
wine-quality-white,3.0,1.0,7.0,3.0,3.0,8.0,6.0,11.0,5.0,9.0,14.0,12.0,10.0,13.0,16.0,17.0,15.0
yeast,4.5,1.5,7.5,4.5,4.5,4.5,1.5,9.5,7.5,12.5,11.0,12.5,9.5,14.0,15.0,16.0,17.0
zoo,8.0,8.0,8.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,15.0,16.5,16.5
