CAWPE-S(alpha=4),CAWPE-S(ConTie),CAWPE-S(RandTie)
0.9945837460055523,0.9955133642447379,0.9942382862681653
0.9988605113661884,0.9994081534426539,0.9985015791331506
0.8790121965946115,0.8849753595436456,0.8741295334701901
0.9799711724110449,0.9793527174832221,0.9798923706402317
0.8916176008792582,0.892707515570209,0.8889444967812838
0.9773587794295698,0.9776118712800953,0.977118907473274
0.9994397473793405,0.9994692320939984,0.9994118352600908
0.8829355329355321,0.8824836199836191,0.8831475956475949
0.9890157250022215,0.9891095786734933,0.9889498130113392
0.9520082582582577,0.9539602102102099,0.9469969969969966
0.9994745973308368,0.9994875766701773,0.9994782993033299
0.8312189054726381,0.8290398009950262,0.8306278606965185
0.9047905803491555,0.9060108503949084,0.9039685734734045
0.7634180354935071,0.7610770920204881,0.7635106472842321
0.7981441746659139,0.7946979107848673,0.7983568605307735
0.8042207792207793,0.8012987012987013,0.8049783549783549
0.7854510775655952,0.7825455876795162,0.7850320688970417
0.4213609467455626,0.42331360946745605,0.4266863905325448
0.9961886574074078,0.9961611952861956,0.9960051557239057
0.9833836279461281,0.9832539457070708,0.9832673611111109
0.9937864057239061,0.9936194760101011,0.99357702020202
0.42655400155400175,0.42618017784684475,0.43075498575498583
0.8038432290589327,0.8008219250102652,0.8043199861908217
0.9725260769755888,0.975324793347862,0.9703876422486782
0.9934149659863943,0.9928526077097505,0.9932834467120183
0.9950813412473347,0.9950026168068307,0.9946187324646083
0.9927778953069947,0.9926704710502724,0.9926691081812558
0.9790450173131447,0.979272458169822,0.978928199133484
0.7324397824397825,0.732703962703963,0.731771561771562
0.8534591194968554,0.8553683737646002,0.8506626235399821
0.5434511434511421,0.5365609198942521,0.5424745258078579
0.7855892063492076,0.7915834920634931,0.7824565079365089
0.896111111111112,0.8997407407407414,0.894748148148149
0.9983261183261185,0.9983411313714349,0.9983085399449038
0.9889771476519968,0.9893090675755555,0.9888089206595787
0.9999742820364371,0.9999808343674069,0.9999727799847823
0.9452723937178908,0.946528709762586,0.9426363691943819
0.9213079580162338,0.9212994749062893,0.9210897885002677
0.9998315555555557,0.9997600000000001,0.9997422222222225
0.696970244238046,0.6901558307533542,0.6993501891984865
0.9959517134795309,0.9965677267475344,0.9957560337543707
0.9993610223642174,0.9991634268704209,0.9992737724059177
0.674796646808939,0.6757975768544358,0.674796646808939
0.7000000000000003,0.6962962962962964,0.7000000000000003
0.9967429517482943,0.9974331756001524,0.9961731011762538
0.9286158730158732,0.9236888888888892,0.9278476190476191
0.9627470762928827,0.9632193087557605,0.962143476702509
0.9966431409391633,0.9978993909738028,0.991999924739816
0.9701698514746256,0.9703742120399201,0.9689776634062436
0.9689766158115701,0.9694532128448192,0.9675601897169932
0.9991419129567276,0.9988210500062353,0.9991102381843123
0.7769099347243104,0.7755918506675196,0.7770103871727392
0.7859353399957885,0.7860900846719723,0.7860239830097339
0.8367032533940857,0.8367857093008869,0.835805185425856
0.9965435853828711,0.9965505671717676,0.9964765045407141
