CAWPE(alpha=4),CAWPE(ConTie),CAWPE(RandTie)
0.9196428571428571 ,0.921875,0.9196428571428571
0.8995535714285714 ,0.921875,0.8973214285714286
0.9241071428571429 ,0.9553571428571429,0.9129464285714286
0.9129464285714286 ,0.921875,0.9107142857142857
0.9129464285714286 ,0.9174107142857143,0.9107142857142857
0.9107142857142857 ,0.9241071428571429,0.9017857142857143
0.9352678571428571 ,0.9352678571428571,0.9308035714285714
0.9196428571428571 ,0.9196428571428571,0.9174107142857143
0.9263392857142857 ,0.9308035714285714,0.921875
0.9174107142857143 ,0.9285714285714286,0.9151785714285714
0.9151785714285714 ,0.9196428571428571,0.9084821428571429
0.9040178571428571 ,0.9263392857142857,0.8928571428571429
0.90625 ,0.9084821428571429,0.9017857142857143
0.9174107142857143 ,0.9241071428571429,0.9196428571428571
0.9129464285714286 ,0.9174107142857143,0.90625
0.9174107142857143 ,0.9285714285714286,0.9084821428571429
0.9241071428571429 ,0.9419642857142857,0.9241071428571429
0.9174107142857143 ,0.9375,0.9107142857142857
0.9263392857142857 ,0.9441964285714286,0.9174107142857143
0.9263392857142857 ,0.953125,0.9129464285714286
0.921875 ,0.9285714285714286,0.9151785714285714
0.9352678571428571 ,0.9441964285714286,0.9330357142857143
0.9441964285714286 ,0.9464285714285714,0.9419642857142857
0.9040178571428571 ,0.90625,0.8973214285714286
0.9017857142857143 ,0.9084821428571429,0.8928571428571429
0.90625 ,0.9129464285714286,0.9107142857142857
0.9174107142857143 ,0.9241071428571429,0.9084821428571429
0.7477477477477478 ,0.7612612612612613,0.7477477477477478
0.6846846846846847 ,0.7207207207207207,0.6621621621621622
0.6621621621621622 ,0.6756756756756757,0.6576576576576577
0.7162162162162162 ,0.7387387387387387,0.7162162162162162
0.6711711711711712 ,0.6711711711711712,0.6531531531531531
0.6711711711711712 ,0.6801801801801802,0.6486486486486487
0.6891891891891891 ,0.6981981981981982,0.6891891891891891
0.7207207207207207 ,0.7252252252252253,0.7072072072072072
0.6621621621621622 ,0.6846846846846847,0.6576576576576577
0.7027027027027027 ,0.7297297297297297,0.6846846846846847
0.6891891891891891 ,0.7027027027027027,0.6711711711711712
0.7477477477477478 ,0.7612612612612613,0.7117117117117117
0.6891891891891891 ,0.7027027027027027,0.6846846846846847
0.6396396396396397 ,0.6486486486486487,0.6441441441441441
0.6846846846846847 ,0.6891891891891891,0.6891891891891891
0.6801801801801802 ,0.6936936936936937,0.6756756756756757
0.6801801801801802 ,0.6801801801801802,0.6621621621621622
0.7342342342342343 ,0.7477477477477478,0.7162162162162162
0.6981981981981982 ,0.7072072072072072,0.6891891891891891
0.6936936936936937 ,0.7027027027027027,0.6711711711711712
0.6891891891891891 ,0.7162162162162162,0.6891891891891891
0.6936936936936937 ,0.6981981981981982,0.6756756756756757
0.6891891891891891 ,0.6981981981981982,0.6891891891891891
0.6846846846846847 ,0.7072072072072072,0.6576576576576577
0.6486486486486487 ,0.6621621621621622,0.6351351351351351
0.6756756756756757 ,0.6846846846846847,0.6711711711711712
0.6981981981981982 ,0.7207207207207207,0.6891891891891891
