CAWPE-A,WMV-A,MV-A,PB-A,ES-A,RC-A,SMM5-A,SMLR-A,NBC-A,SMLRE-A
-0.20778945351622038,-0.1898997451351265,-0.19249475149718848,-0.16409995267387997,-0.17116870123285347,-0.1884698267053103,-0.1624530368452771,-0.24799758958920684,-0.3628798405839388,-0.3045236279657522
-0.26681059436867405,-0.28547068551884586,-0.2861275282624643,-0.33529001283971904,-0.28783572462493157,-0.29120656190185673,-0.471590909090909,-0.4376363636363635,-0.5184284120805559,-0.4527272727272727
-0.16011133567614194,-0.224078027963821,-0.22456930669446937,-0.2585191597411901,-0.22971729214395997,-0.22450262139254865,-0.264687829253621,-0.24991559699478413,-0.5805262252407603,-0.29133055323927903
-1.3491392236371498,-1.7580519174003733,-1.7580104571659154,-1.397414933201968,-1.7691821290821796,-1.7584432771418634,-1.5777344480699993,-1.610820885631166,-3.57579845665892,-1.7593642264449092
-0.9710230012138454,-1.0890860331409935,-1.0822964857453292,-1.0049570848625413,-1.0996667825220114,-1.6656916008943388,-2.2822062000469443,-2.569261644778999,-1.5648863510168276,-2.2115661360713075
-0.36414794335546563,-0.2259028528595511,-0.22846012082761968,-0.22358425778864824,-0.2104568509937371,-0.22569430091016804,-0.2390425633570272,-0.6121144907496091,-0.37335239471310444,-0.7240791053278307
-1.0264643959296906,-1.0154166597079535,-1.0216097892934761,-1.5577832997925105,-1.0098132386926424,-1.0271998364162005,-1.2538266502578632,-1.989978749253418,-1.315373773000102,-2.375196357837621
-0.43396227233246426,-0.49202052667945406,-0.49223354971909805,-0.571115444656513,-0.5006503898178987,-0.5311670319595002,-0.6157737370321283,-0.7885582061002853,-0.970924774695818,-0.8868041718495966
-1.507465400561962,-2.0555016705934324,-2.0396186703156776,-1.7405347337910484,-2.118626100725966,-2.1923621017524284,-1.9493917746812348,-2.205233397618874,-1.869830428154215,-2.793134560677498
-0.5858107480814583,-0.7760559043801274,-0.7748884237168696,-0.7846988021441577,-0.8155958259268837,-0.8741538922656251,-0.9181818881865053,-1.0181440004464224,-1.3429905252764545,-1.1450254084295084
-0.4327102619275251,-0.6086869885216856,-0.6089790521487904,-0.42502286571080855,-0.6178910834064893,-0.6146229139297905,-0.7713617946021872,-0.7703377497371326,-1.0941221626437831,-0.7727582194181704
-0.5870245754091207,-0.8540082820282284,-0.8543990938172438,-0.852122938709751,-0.8705150661497452,-0.8545136186538359,-1.1568232848232831,-1.1365765765765752,-1.3561849518019418,-1.162805266805265
