TRAINAUROCSTDDEVS:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
InsectWingbeatSound,0.006908061582910627,0.0067537063363790764,0.006863523954666448
ItalyPowerDemand,0.007932741490047957,0.007863378812908259,0.007911015568385799
LargeKitchenAppliances,0.014662009892834444,0.013963789523677246,0.014204156377228527
Lightning2,0.048987760170799005,0.052180266120572735,0.05578155838399574
Lightning7,0.0183519160092289,0.01888024886150805,0.018945063374237056
Mallat,0.0031337132433659817,0.0031636337814007435,0.0033659811243536395
Meat,4.729681960044173E-4,4.01793949722007E-4,4.729681960044173E-4
MedicalImages,0.009595965024114722,0.009493028575748146,0.009420995696256717
MiddlePhalanxOutlineAgeGroup,0.012279538395378863,0.012574289746473044,0.0126382262936896
MiddlePhalanxOutlineCorrect,0.007221726619657127,0.006799884959734933,0.006708895527546278
MiddlePhalanxTW,0.007564067953616723,0.007655483947909359,0.007821232763393473
MoteStrain,0.05192390541959446,0.04788515955645473,0.05327115628512324
NonInvasiveFetalECGThorax1,1.6434234979396215E-4,1.669631330525391E-4,1.6898411199096363E-4
NonInvasiveFetalECGThorax2,1.7746886012837192E-4,1.7465045727802357E-4,1.737445138178378E-4
OliveOil,0.0195730610451499,0.017756583576165892,0.018720164045075233
OSULeaf,0.012838671368309573,0.012920389181342263,0.012877637543130748
PhalangesOutlinesCorrect,0.006122240834628439,0.004684927701639764,0.004713163129148155
Phoneme,0.03133614376386985,0.030340330637999798,0.02964959938339992
Plane,4.464619735332521E-4,4.2659047673173365E-4,4.486021669342473E-4
ProximalPhalanxOutlineAgeGroup,0.006755061581881274,0.0063072445820716565,0.006304887159114541
ProximalPhalanxOutlineCorrect,0.007459801921522158,0.007550473007057057,0.007464645090707323
ProximalPhalanxTW,0.005202273825449001,0.005172214619516068,0.005241786979709817
RefrigerationDevices,0.020654615321797774,0.020975829226211874,0.022247068916367498
ScreenType,0.01700281973423653,0.016743157399844444,0.017251573951404198
ShapeletSim,0.11610340218959993,0.14060174456496846,0.19516836233153265
ShapesAll,0.004094012296403067,0.0040741230326867845,0.004076403559394466
SmallKitchenAppliances,0.01409006887626643,0.013162152096600674,0.013972573795858667
SonyAIBORobotSurface1,0.047612205310280514,0.032329073996398255,0.035556575704733355
SonyAIBORobotSurface2,0.04529958237648967,0.04648973072298791,0.0476704051166543
StarlightCurves,0.002602642672047846,0.002579972996119738,0.0025927446036104564
Strawberry,0.0015918345912603472,0.0016635246616994916,0.0016479014218359963
SwedishLeaf,0.001040962347803481,0.0010721569180074297,0.0010818120251742552
Symbols,0.02644301994570763,0.028213492804227625,0.028832375799642707
SyntheticControl,8.151164424883315E-4,7.967284318543853E-4,8.204219703608904E-4
ToeSegmentation1,0.06114032521843578,0.10828538947943371,0.12128573652766216
ToeSegmentation2,0.08919313000201658,0.0825540774727433,0.09071128115129042
Trace,0.009882603712178242,0.009436565925741222,0.010169424275864352
TwoLeadECG,0.03476395484542771,0.03654838849760902,0.035262297057098685
TwoPatterns,0.0020781631184217096,0.0018964922023507374,0.0019069956420755046
UWaveGestureLibraryAll,0.001077178285601336,0.0010771655759751085,0.0010795552718257952
UWaveGestureLibraryX,0.0038964112773371374,0.0037231693600687493,0.0037424931508487414
UWaveGestureLibraryY,0.003888411224669134,0.003913703502093986,0.003970327773325879
UWaveGestureLibraryZ,0.003243081318018459,0.003182359221941321,0.0032335930011131134
Wafer,3.982575923519751E-4,4.0100851313945953E-4,4.0117211706247087E-4
Wine,0.023445808636920834,0.024050174978041232,0.024421865490342653
WordSynonyms,0.00974921081329765,0.00985754119588828,0.009796857098002184
Worms,0.033368333369375586,0.03292723489179529,0.03338518983179042
WormsTwoClass,0.029476578061595347,0.02872384441521096,0.03079835819100567
Yoga,0.016113190154265735,0.015982856675270964,0.016146777520202892
