TRAINTESTDIFFSBALACCRANKS:,Logistic_cvFold9,C4.5_cvFold9,SVML_cvFold1,NN_cvFold9,MLP_cvFold9,C4.5_cvFold4,SVML_cvFold9,Logistic_cvFold4,NN_cvFold1,Logistic_cvFold1,C4.5_cvFold3,Logistic_cvFold5,C4.5_cvFold1,SVML_cvFold4,SVML_cvFold5,MLP_cvFold5,MLP_cvFold1,C4.5_cvFold6,C4.5_cvFold5,MLP_cvFold4,MLP_cvFold3,C4.5_cvFold7,SVML_cvFold3,NN_cvFold7,NN_cvFold5,Logistic_cvFold2,C4.5_cvFold0,NN_cvFold0,NN_cvFold8,MLP_cvFold0,NN_cvFold4,NN_cvFold6,Logistic_cvFold7,SVML_cvFold7,Logistic_cvFold6,Logistic_cvFold3,Logistic_cvFold8,MLP_cvFold7,MLP_cvFold8,NN_cvFold3,Logistic_cvFold0,SVML_cvFold2,SVML_cvFold0,C4.5_cvFold2,SVML_cvFold6,C4.5_cvFold8,MLP_cvFold6,SVML_cvFold8,MLP_cvFold2,NN_cvFold2,Logistic,MLP,SVML,NN,C4.5
page-blocks,41.0,40.0,55.0,4.0,19.0,20.0,21.0,8.0,9.0,50.0,26.0,37.0,34.0,5.0,29.0,52.0,51.0,33.0,36.0,44.0,23.0,17.0,54.0,6.0,3.0,35.0,48.0,39.0,14.0,47.0,12.0,2.0,15.0,30.0,53.0,46.0,13.0,16.0,22.0,18.0,31.0,11.0,42.0,27.0,49.0,10.0,28.0,7.0,25.0,1.0,38.0,45.0,32.0,24.0,43.0
parkinsons,8.0,25.0,36.0,6.0,12.0,23.0,1.0,47.0,32.0,35.0,3.0,16.0,11.0,44.0,38.0,24.0,28.0,48.0,18.0,2.0,41.0,14.0,5.0,50.0,10.0,39.0,51.0,21.0,22.0,13.0,27.0,46.0,49.0,52.0,55.0,4.0,7.0,26.0,9.0,29.0,53.0,33.0,40.0,15.0,54.0,30.0,37.0,17.0,43.0,19.0,42.0,45.0,31.0,34.0,20.0
pendigits,39.0,23.0,5.0,18.0,21.0,7.0,48.0,11.0,28.0,31.0,15.0,43.0,17.0,8.0,22.0,45.0,52.0,3.0,25.0,16.0,4.0,32.0,2.0,26.0,41.0,42.0,29.0,14.0,20.0,44.0,12.0,51.0,37.0,50.0,47.0,24.0,49.0,55.0,10.0,30.0,9.0,27.0,6.0,1.0,46.0,54.0,13.0,33.0,19.0,40.0,38.0,36.0,34.0,35.0,53.0
planning,6.0,14.0,47.0,52.0,19.0,20.0,29.0,5.0,49.0,54.0,22.0,10.0,30.0,44.0,9.0,1.0,45.0,21.0,36.0,26.0,11.0,37.0,43.0,51.0,40.0,2.0,31.0,55.0,24.0,7.0,50.0,27.0,8.0,17.0,3.0,46.0,39.0,53.0,18.0,35.0,23.0,25.0,41.0,15.0,16.0,13.0,4.0,33.0,34.0,42.0,12.0,32.0,38.0,48.0,28.0
post-operative,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,47.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,50.0,-21.0,51.0,-21.0,-21.0,-21.0,-21.0,53.0,54.0,55.0,46.0,48.0,52.0,49.0
ringnorm,19.0,38.0,21.0,47.0,12.0,18.0,28.0,43.0,51.0,13.0,24.0,36.0,6.0,44.0,34.0,25.0,17.0,14.0,22.0,40.0,10.0,9.0,33.0,49.0,54.0,7.0,23.0,46.0,50.0,30.0,53.0,52.0,3.0,5.0,4.0,35.0,42.0,20.0,27.0,45.0,39.0,8.0,37.0,15.0,2.0,26.0,16.0,41.0,11.0,48.0,29.0,1.0,31.0,55.0,32.0
seeds,40.0,31.0,10.0,32.0,41.0,51.0,43.0,12.0,3.0,13.0,33.0,6.0,2.0,50.0,24.0,17.0,15.0,1.0,53.0,23.0,48.0,22.0,47.0,7.0,52.0,42.0,55.0,45.0,8.0,28.0,39.0,4.0,30.0,9.0,19.0,29.0,14.0,18.0,11.0,44.0,36.0,38.0,54.0,20.0,5.0,46.0,16.0,25.0,37.0,49.0,21.0,27.0,35.0,26.0,34.0
spambase,40.0,38.0,31.0,13.0,12.0,2.0,19.0,33.0,11.0,7.0,20.0,5.0,46.0,10.0,4.0,51.0,43.0,24.0,15.0,27.0,29.0,6.0,30.0,3.0,36.0,50.0,28.0,45.0,22.0,35.0,1.0,32.0,8.0,14.0,25.0,41.0,21.0,16.0,44.0,39.0,49.0,52.0,34.0,18.0,23.0,54.0,48.0,17.0,47.0,9.0,37.0,55.0,26.0,53.0,42.0
statlog-landsat,51.0,53.0,9.0,15.0,30.0,16.0,52.0,21.0,4.0,20.0,26.0,14.0,2.0,8.0,31.0,1.0,28.0,12.0,7.0,32.0,43.0,3.0,47.0,22.0,13.0,27.0,5.0,17.0,45.0,54.0,29.0,24.0,11.0,6.0,23.0,49.0,55.0,25.0,33.0,35.0,41.0,50.0,34.0,19.0,36.0,18.0,44.0,48.0,42.0,46.0,38.0,40.0,39.0,37.0,10.0
statlog-shuttle,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,46.0,-21.0,52.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,53.0,49.0,-21.0,-21.0,-21.0,48.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,51.0,55.0,50.0,54.0,47.0
statlog-vehicle,20.0,15.0,22.0,21.0,31.0,6.0,42.0,49.0,30.0,9.0,18.0,14.0,10.0,53.0,16.0,7.0,27.0,25.0,8.0,37.0,1.0,29.0,19.0,11.0,28.0,36.0,55.0,52.0,13.0,17.0,38.0,4.0,5.0,43.0,23.0,12.0,32.0,3.0,39.0,47.0,33.0,41.0,35.0,45.0,50.0,48.0,2.0,54.0,46.0,51.0,24.0,26.0,44.0,40.0,34.0
steel-plates,28.0,33.0,16.0,52.0,41.0,4.0,38.0,3.0,45.0,21.0,1.0,26.0,36.0,7.0,27.0,14.0,48.0,8.0,42.0,9.0,6.0,35.0,2.0,55.0,54.0,10.0,11.0,39.0,50.0,18.0,40.0,46.0,29.0,13.0,43.0,5.0,47.0,49.0,12.0,17.0,22.0,37.0,20.0,31.0,30.0,15.0,19.0,32.0,44.0,53.0,25.0,34.0,23.0,51.0,24.0
synthetic-control,55.0,8.0,5.0,28.0,39.0,2.0,12.0,3.0,29.0,44.0,46.0,48.0,11.0,16.0,25.0,32.0,15.0,18.0,45.0,9.0,14.0,43.0,17.0,20.0,52.0,1.0,51.0,50.0,38.0,37.0,6.0,27.0,54.0,36.0,4.0,19.0,21.0,22.0,26.0,40.0,23.0,10.0,47.0,7.0,33.0,34.0,35.0,13.0,31.0,49.0,53.0,30.0,24.0,42.0,41.0
twonorm,7.0,1.0,46.0,14.0,5.0,2.0,6.0,24.0,54.0,45.0,4.0,25.0,3.0,31.0,33.0,36.0,21.0,9.0,43.0,17.0,50.0,8.0,52.0,16.0,35.0,44.0,23.0,34.0,22.0,12.0,42.0,38.0,19.0,20.0,13.0,48.0,39.0,10.0,47.0,51.0,18.0,28.0,11.0,55.0,15.0,26.0,30.0,41.0,37.0,49.0,32.0,27.0,29.0,40.0,53.0
vertebral-column-3clases,8.0,21.0,12.0,36.0,7.0,52.0,33.0,11.0,13.0,6.0,5.0,9.0,44.0,30.0,39.0,15.0,1.0,41.0,45.0,48.0,4.0,49.0,14.0,28.0,51.0,27.0,35.0,20.0,53.0,16.0,34.0,54.0,37.0,18.0,19.0,3.0,50.0,25.0,42.0,2.0,32.0,23.0,10.0,43.0,38.0,29.0,31.0,46.0,24.0,55.0,17.0,22.0,26.0,40.0,47.0
wall-following,2.0,33.0,5.0,34.0,13.0,35.0,1.0,29.0,12.0,11.0,36.0,26.0,47.0,3.0,25.0,27.0,49.0,48.0,38.0,6.0,24.0,32.0,55.0,7.0,37.0,14.0,40.0,4.0,50.0,10.0,18.0,19.0,9.0,8.0,54.0,53.0,41.0,31.0,15.0,52.0,39.0,30.0,28.0,44.0,42.0,46.0,23.0,16.0,51.0,17.0,22.0,21.0,20.0,45.0,43.0
waveform-noise,20.0,55.0,16.0,29.0,35.0,43.0,21.0,26.0,30.0,18.0,33.0,24.0,42.0,28.0,27.0,8.0,17.0,12.0,50.0,14.0,44.0,47.0,45.0,7.0,13.0,46.0,6.0,4.0,31.0,1.0,53.0,48.0,5.0,10.0,32.0,52.0,11.0,9.0,19.0,49.0,3.0,40.0,2.0,34.0,39.0,41.0,36.0,22.0,38.0,54.0,23.0,15.0,25.0,37.0,51.0
wine-quality-white,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,51.0,-18.5,-18.5,45.0,47.0,-18.5,41.0,48.0,-18.5,-18.5,-18.5,-18.5,-18.5,53.0,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,54.0,-18.5,-18.5,46.0,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,42.0,-18.5,44.0,-18.5,-18.5,-18.5,50.0,49.0,43.0,55.0,52.0
yeast,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,48.0,-18.5,45.0,-18.5,-18.5,-18.5,-18.5,50.0,-18.5,-18.5,-18.5,41.0,43.0,-18.5,-18.5,53.0,44.0,51.0,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,52.0,-18.5,47.0,-18.5,-18.5,55.0,49.0,42.0,46.0,54.0
