TRAINNLLSTDDEVS:,CAWPE(RandTie),CAWPE(ConTie),CAWPE(alpha=4)
UWaveGestureLibraryAll,0.02018212502393456,0.02118175160797822,0.020529386871565466
UWaveGestureLibraryX,0.040454089988794045,0.040563126587971225,0.04012613099551316
UWaveGestureLibraryY,0.04323011248531138,0.042238388794101245,0.04233039904951514
UWaveGestureLibraryZ,0.03398676795934661,0.034369197247716476,0.033342161624837455
Wafer,0.006108714512265208,0.0060496217928787555,0.00609673779247361
Wine,0.05547411521287277,0.045368464563555255,0.0660939515442669
WordSynonyms,0.10245130380155866,0.10077814718832916,0.1018876214864727
Worms,0.10871155537000171,0.10155812193651934,0.10229123276014915
WormsTwoClass,0.03923583468110232,0.16681142749623043,0.03474324446148141
Yoga,0.04686432097642848,0.05063630544354056,0.046289575951220664
