TRAINTESTDIFFSBALACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_pb,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
breast-cancer-wisc,0.016990823621005385,0.016990823621005385,0.01678419766620305,0.016720499170493782,0.01671101558465108,0.01668249619521441,0.016710451408315206,0.016710451408315206,0.016710451408315206,0.01895249582381613,0.016710451408315206,0.01687860832945287,0.016939932127293642,0.017016010309346564,0.017216007525285883,0.017216007525285883,0.01727648189601326
breast-cancer-wisc-diag,0.01568653621638078,0.01574044697541176,0.015415402163356533,0.015536586449229683,0.015550013355213155,0.015706120176255507,0.01572295142306949,0.0153508807687006,0.0153508807687006,0.02020350719489007,0.015453177571036147,0.01537325522676457,0.015680775994670704,0.015680775994670704,0.01579145471994372,0.01578498791297093,0.015739164301433843
breast-cancer-wisc-prog,0.06976728831282697,0.07167387012321125,0.07138309940865258,0.0712166723503277,0.07247691303692974,0.0726027062641813,0.07288096983375769,0.07052374317387919,0.06957655258892591,0.07738679318549851,0.0680284225640897,0.06610500946817485,0.06471878571267546,0.0674912686488926,0.06989232813483864,0.069353856462701,0.06983682465373295
breast-tissue,0.08979580930236226,0.08934500130696924,0.0898659845371099,0.08911601095333349,0.08974430905304523,0.09244400264129514,0.09373615823218116,0.0931968975200315,0.09582292834767799,0.07912062247956046,0.09504186862656477,0.09167443166162814,0.09348284972829098,0.08991570349327728,0.0917392582500676,0.08998398222074991,0.09279707868537636
car,0.026136176264367574,0.02612071324414144,0.02614631556738278,0.025739624554379986,0.02570652963174412,0.02541086503882797,0.026389588424972518,0.02667618046433355,0.026288203754289294,0.037167998399921465,0.02609737849341596,0.026013583590675363,0.026472720609866763,0.025107671314199723,0.025623343985410274,0.025120961639154272,0.025425969620305047
cardiotocography-3clases,0.028420208124218527,0.02856766960496676,0.028853024888759855,0.02894018714355855,0.029156530229148953,0.029382275922000767,0.029026711755104906,0.02842793659131041,0.02903057407121073,0.031038538219693053,0.029188045061298625,0.029339187320678282,0.029076758932735987,0.02902639687276279,0.02926020350248081,0.029290751172917177,0.029473013701135285
cardiotocography-10clases,0.025708230414747263,0.025132233292339462,0.025713809293619255,0.026461965822486586,0.026444208462289485,0.027103207972782765,0.0268738374882087,0.025373089427637045,0.025736554630712734,0.02653208867896681,0.02544271336911838,0.026878325674806147,0.026391748983619165,0.02602418976060056,0.02608247952717338,0.02476814384352659,0.024664624476223536
chess-krvk,0.016021679891423297,0.015755926110676916,0.015465885418758075,0.015333246175113602,0.015250935124482308,0.015287952894963742,0.015153245728412444,0.015526035134125682,0.015626664380365765,0.015340377268620685,0.01592701059373619,0.0159721091139581,0.015354210627467547,0.01538495107139945,0.01495856689244447,0.014456536207704937,0.015080750500626176
chess-krvkp,0.003429111529118439,0.003429111529118439,0.0034375182063754806,0.0034555871976777457,0.0034343514016572075,0.003526204923151681,0.0035588056966811645,0.0035237757741382195,0.0035130389632590606,0.004108159694992032,0.0034934753126594285,0.003484821919218238,0.0035234522380765024,0.0035086512668522384,0.003509321554744421,0.003475393487121849,0.003475393487121849
congressional-voting,0.02532813683132068,0.026060285782776024,0.0258550596823123,0.0268566305753393,0.02636661910153281,0.02775586270485195,0.02781613491115872,0.029581667797083835,0.028982964078407985,0.02662306415867332,0.02962446168004521,0.029818109524665036,0.030690570010591046,0.03182039556149632,0.031986246925614296,0.03242360307079369,0.03277695607624174
