TRAINBALACCRANKS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_pb,CAWPE_eq
energy-y2,2.0,6.0,4.0,7.0,8.0,1.0,10.0,3.0,5.0,9.0,11.0,13.0,14.0,15.0,12.0,17.0,16.0
fertility,9.0,11.0,12.0,3.5,3.5,5.0,6.0,2.0,7.0,13.0,16.0,8.0,14.0,10.0,15.0,1.0,17.0
flags,11.0,10.0,12.0,7.0,8.0,9.0,5.0,4.0,3.0,1.0,2.0,6.0,13.0,14.0,15.0,17.0,16.0
glass,7.0,6.0,11.0,9.0,5.0,2.0,3.0,4.0,1.0,10.0,12.0,8.0,13.0,14.0,15.0,17.0,16.0
haberman-survival,4.0,2.5,2.5,1.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,13.0,15.0,16.0,14.0,17.0,11.0
hayes-roth,5.0,12.0,8.5,8.5,8.5,8.5,11.0,3.0,2.0,1.0,4.0,6.0,13.0,14.0,15.0,17.0,16.0
heart-cleveland,4.0,2.0,3.0,8.0,7.0,5.0,6.0,10.0,9.0,11.0,12.0,13.0,14.0,17.0,15.0,1.0,16.0
heart-hungarian,3.5,3.5,1.5,1.5,6.0,5.0,7.0,8.0,10.0,9.0,11.0,13.0,12.0,14.0,15.0,17.0,16.0
heart-switzerland,1.0,4.0,3.0,2.0,10.0,5.0,8.0,6.0,7.0,9.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
heart-va,2.0,5.0,3.0,1.0,4.0,11.0,10.0,6.0,8.0,7.0,9.0,12.0,13.0,14.0,16.0,15.0,17.0
hepatitis,1.0,2.0,3.5,3.5,5.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,13.0,17.0
hill-valley,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
horse-colic,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,13.0,12.0,15.0,14.0,17.0,16.0
ilpd-indian-liver,11.0,14.0,12.0,10.0,6.0,9.0,8.0,13.0,3.0,5.0,2.0,4.0,7.0,15.0,16.0,1.0,17.0
image-segmentation,2.0,1.0,3.0,4.0,5.0,10.0,8.0,7.0,6.0,9.0,12.0,13.0,11.0,14.0,15.0,17.0,16.0
ionosphere,3.0,1.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
iris,1.5,1.5,3.5,3.5,5.5,5.5,12.0,9.0,9.0,9.0,9.0,9.0,13.0,14.0,15.5,17.0,15.5
led-display,2.0,1.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,15.0,17.0
lenses,2.5,2.5,2.5,6.0,6.0,2.5,9.0,9.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,6.0,17.0
letter,9.5,9.5,9.5,9.5,9.5,9.5,5.0,4.0,2.0,1.0,3.0,6.0,13.0,14.0,15.0,17.0,16.0
libras,15.5,14.0,12.0,13.0,11.0,10.0,9.0,7.0,4.0,2.0,1.0,3.0,5.0,6.0,8.0,17.0,15.5
low-res-spect,9.0,4.0,2.0,5.0,7.0,6.0,3.0,8.0,10.0,11.0,15.0,17.0,14.0,12.0,13.0,1.0,16.0
lung-cancer,1.0,2.5,2.5,4.0,6.5,6.5,8.0,10.0,5.0,9.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
lymphography,4.0,8.0,2.0,1.0,3.0,5.5,5.5,7.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,9.0,17.0
magic,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
mammographic,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
miniboone,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
molec-biol-promoter,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
molec-biol-splice,7.0,6.0,4.0,2.0,1.0,3.0,5.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
monks-1,10.0,8.0,7.0,5.0,4.0,1.0,3.0,2.0,6.0,9.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
monks-2,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
monks-3,4.0,3.0,2.0,1.0,6.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
mushroom,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
musk-1,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,11.0,9.0,10.0,12.0,13.0,14.0,15.0,17.0,16.0
musk-2,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
nursery,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
oocytes_merluccius_nucleus_4d,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
oocytes_merluccius_states_2f,3.0,4.0,1.0,2.0,6.0,8.0,10.0,5.0,7.0,15.0,11.0,9.0,13.0,16.0,14.0,17.0,12.0
oocytes_trisopterus_nucleus_2f,9.0,11.0,8.0,10.0,5.0,1.0,3.0,2.0,4.0,7.0,6.0,12.0,13.0,14.0,15.0,17.0,16.0
oocytes_trisopterus_states_5b,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,13.0,15.0,17.0,16.0
optical,1.0,2.0,4.0,3.0,6.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
ozone,11.0,12.0,15.0,14.0,16.0,3.0,4.0,5.0,6.0,13.0,2.0,7.0,8.0,9.0,10.0,1.0,17.0
page-blocks,3.0,2.0,1.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
parkinsons,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
pendigits,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
pima,2.0,3.0,1.0,4.0,6.0,5.0,7.0,10.0,8.0,9.0,11.0,14.0,16.0,15.0,13.0,12.0,17.0
pittsburg-bridges-MATERIAL,1.0,2.5,2.5,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.5,17.0,15.5
pittsburg-bridges-REL-L,4.5,4.5,3.0,2.0,1.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,15.0,17.0
pittsburg-bridges-SPAN,2.0,1.0,6.0,3.5,5.0,7.0,3.5,8.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,13.0,17.0
pittsburg-bridges-T-OR-D,2.0,3.0,5.5,5.5,5.5,5.5,8.5,8.5,11.0,10.0,12.5,12.5,14.0,15.0,16.0,1.0,17.0
pittsburg-bridges-TYPE,5.0,2.0,6.0,4.0,1.0,3.0,7.0,8.0,9.0,10.0,11.0,14.0,12.0,15.0,13.0,17.0,16.0
planning,4.0,3.0,6.0,6.0,6.0,9.0,8.0,2.0,1.0,10.0,11.0,12.0,14.0,15.0,17.0,13.0,16.0
plant-margin,2.0,1.0,7.0,9.0,6.0,8.0,4.5,3.0,4.5,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
plant-shape,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,2.0,1.0,17.0,3.0
plant-texture,3.0,5.0,6.0,9.0,7.0,15.0,16.0,14.0,13.0,11.0,8.0,10.0,12.0,4.0,1.0,17.0,2.0
post-operative,1.0,2.0,4.0,3.0,6.0,8.0,5.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,15.0,17.0
primary-tumor,2.0,1.0,6.0,5.0,3.0,4.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
ringnorm,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
seeds,4.5,1.5,1.5,4.5,4.5,4.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
semeion,7.0,2.0,4.0,1.0,9.0,8.0,6.0,5.0,3.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
soybean,8.0,9.0,12.0,11.0,6.0,4.0,2.0,1.0,3.0,5.0,7.0,10.0,14.0,13.0,15.0,17.0,16.0
spambase,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
spect,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,15.0,1.0,17.0
spectf,2.0,1.0,5.0,6.0,4.0,3.0,8.0,7.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,12.0,17.0
statlog-australian-credit,1.0,4.0,3.0,6.0,2.0,5.0,10.0,11.0,8.0,13.0,12.0,15.0,16.0,14.0,7.0,17.0,9.0
statlog-german-credit,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,1.0,17.0
statlog-heart,2.0,1.0,3.0,4.0,6.0,7.0,8.0,9.0,10.0,12.0,11.0,13.0,14.0,15.0,16.0,5.0,17.0
statlog-image,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,12.0,10.5,10.5,13.0,14.0,15.0,17.0,16.0
statlog-landsat,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
statlog-shuttle,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,14.0,17.0,16.0
statlog-vehicle,6.0,4.0,5.0,2.0,1.0,3.0,8.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
steel-plates,7.0,3.0,4.0,8.0,6.0,1.0,2.0,5.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
synthetic-control,9.0,9.0,4.5,4.5,4.5,9.0,4.5,1.5,1.5,7.0,12.0,14.0,15.0,11.0,13.0,17.0,16.0
teaching,4.0,1.0,2.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
thyroid,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
tic-tac-toe,1.0,2.5,2.5,4.5,4.5,7.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,9.0,17.0,7.0
titanic,11.0,10.0,15.0,15.0,15.0,12.5,12.5,7.0,9.0,8.0,6.0,5.0,2.5,2.5,2.5,17.0,2.5
trains,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,11.0,12.5,12.5,14.0,15.0,17.0,16.0
twonorm,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,1.0,17.0
vertebral-column-2clases,2.0,4.0,3.0,1.0,5.0,10.0,8.0,7.0,9.0,6.0,11.0,13.0,14.0,12.0,15.0,17.0,16.0
vertebral-column-3clases,2.0,1.0,3.0,4.0,6.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
wall-following,3.5,3.5,2.0,6.5,6.5,1.0,5.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
waveform,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,1.0,17.0
waveform-noise,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,1.0,17.0
wine,1.0,2.0,9.0,9.0,9.0,14.5,14.5,12.0,5.0,5.0,5.0,5.0,11.0,5.0,13.0,17.0,16.0
wine-quality-red,7.0,6.0,3.0,4.0,16.0,13.0,15.0,14.0,11.0,9.0,10.0,5.0,8.0,2.0,1.0,17.0,12.0
wine-quality-white,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
yeast,2.0,4.0,3.0,7.0,6.0,5.0,8.0,9.0,10.0,12.0,11.0,13.0,14.0,15.0,16.0,1.0,17.0
zoo,2.0,2.0,2.0,4.0,12.5,12.5,5.0,8.5,8.5,8.5,8.5,8.5,8.5,14.0,15.0,17.0,16.0
