TRAINBALACC:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_pb,CAWPE_eq
libras,0.7761111111111111,0.7772222222222223,0.7788888888888889,0.7785185185185186,0.7794444444444445,0.7807407407407407,0.7838888888888891,0.7888888888888891,0.7924074074074077,0.7955555555555559,0.7961111111111112,0.792962962962963,0.7909259259259259,0.7890740740740744,0.7846296296296297,0.6807407407407405,0.7761111111111111
low-res-spect,0.4875268204295589,0.4888436928575424,0.4896021043103797,0.48812682142665237,0.4880273613527678,0.48808282744688125,0.48937634572997485,0.48797895800408486,0.4874508197493197,0.48715065029882343,0.4817304446427553,0.4808700249882703,0.4817449689710051,0.4823884598617253,0.48212439073434277,0.5011387472185247,0.4810030594151382
lung-cancer,0.5312962962962964,0.5294444444444445,0.5294444444444445,0.5272222222222224,0.5244444444444445,0.5244444444444445,0.5240740740740741,0.5203703703703705,0.5244444444444446,0.5222222222222223,0.5162962962962963,0.5016666666666667,0.4862962962962963,0.4655555555555555,0.4427777777777778,0.37166666666666676,0.425
lymphography,0.5081944444444444,0.5041666666666667,0.51375,0.5138194444444445,0.5090277777777777,0.5073611111111112,0.5073611111111112,0.5063888888888888,0.4941666666666666,0.4936805555555555,0.49263888888888874,0.49173611111111093,0.4913888888888888,0.48666666666666664,0.4847916666666666,0.5004861111111111,0.48256944444444444
magic,0.8253250076563302,0.8250684478497868,0.8246114315474943,0.8240794831175333,0.8235852974018657,0.8231482173037201,0.822468949184213,0.8219825297290643,0.8213132297116307,0.8206423211535607,0.8198973372784126,0.8192407083579706,0.8182151804462503,0.8171851825698472,0.8160284737235268,0.7439911048834456,0.8147764746065913
mammographic,0.823667853900412,0.8231091556672953,0.8232261331098539,0.8228175850268874,0.8224090369439205,0.8221296878273622,0.8218835114183951,0.8216460646693202,0.8209476918779245,0.8205600949786995,0.8198512465954325,0.8195928486626161,0.8194636496962079,0.8192698512465955,0.8190551016132412,0.8008677281933098,0.8187321041972205
miniboone,0.8802587604122761,0.8797624275299476,0.879249940787119,0.878744421864098,0.8781961277944395,0.8776729197385146,0.8771557031923725,0.8765541783809521,0.8759813671577444,0.8754423555884441,0.8748181402075794,0.874185433565015,0.8734724674447109,0.8728000345891356,0.8721235863877143,0.7739841298000231,0.8714363341767501
molec-biol-promoter,0.8262820512820515,0.8256410256410259,0.8262820512820513,0.8237179487179489,0.8217948717948719,0.8192307692307694,0.8173076923076923,0.8121794871794875,0.8083333333333335,0.8051282051282052,0.7980769230769232,0.796794871794872,0.7942307692307694,0.792948717948718,0.7910256410256411,0.7589743589743587,0.7865384615384614
molec-biol-splice,0.9090037983920032,0.9098232229105697,0.9108303819610707,0.911941195682195,0.9123924314089371,0.9116572790493798,0.9099124066542218,0.9067856102009154,0.9037450499010056,0.899908554817162,0.8962442864837167,0.892918497359012,0.8884770995860971,0.8845636021097154,0.8814151018695084,0.8228186726738529,0.8785115941022674
monks-1,0.901558752997602,0.9020383693045564,0.9025179856115108,0.9031175059952038,0.9034772182254195,0.9043165467625898,0.9035971223021583,0.9039568345323741,0.9029976019184651,0.9019184652278176,0.9002398081534773,0.8959232613908873,0.889568345323741,0.8776978417266187,0.8652278177458032,0.6661870503597122,0.8507194244604315
monks-2,0.6833349760977774,0.6820150148670183,0.6797241798498513,0.6781101637836151,0.6746792502423078,0.6722339953674042,0.6703883495145629,0.6671307476220983,0.6635897688630428,0.6599017626862482,0.6537643947234406,0.6496353062934307,0.6448663611124802,0.6378796839321211,0.6288042317612076,0.500025462848882,0.6207251162255845
monks-3,0.9655928014480647,0.9658625730994154,0.9658912907268172,0.9661706349206349,0.965022800055695,0.9651768309663047,0.9641543093845726,0.963826232247285,0.9626975424672792,0.9606237816764132,0.9594663742690057,0.9552814327485379,0.9518100807574489,0.9475476886661097,0.9417232316903367,0.7632475285435812,0.935581140350877
mushroom,0.9998964308786157,0.9998251381029503,0.9997209783139206,0.9991738096995071,0.9990775713299959,0.9990215307257218,0.9989557966989931,0.9988193605642445,0.9986811524265597,0.99857699263753,0.9985033371912829,0.9984393751674906,0.9983997680698988,0.9983443181332703,0.9982560011832772,0.955434700639928,0.9981336358846292
musk-1,0.8847993044486309,0.8847497947157418,0.8848741728251945,0.8842522822779307,0.8835180891658213,0.8829831425397285,0.8825351398348064,0.8814773221272281,0.8803325604984783,0.8806936192822296,0.8803579191421532,0.8798229725160603,0.8789148915616095,0.876376612085205,0.8747717722069263,0.7992851277592621,0.8732538762498189
musk-2,0.9438756714550468,0.9431956086134394,0.9421755143510288,0.9408064751314688,0.939786380869058,0.9386917562724013,0.9376210265383491,0.936410055597889,0.9355898456241358,0.9347486806084724,0.9333945286409093,0.9324012690617973,0.9314915474275393,0.9309337105711251,0.929591506034864,0.8588404406438442,0.9285057949745529
nursery,0.7693391391027016,0.7651566994024079,0.7600918987905025,0.7563035554731715,0.7522576067226073,0.7470163479531521,0.7421487951878021,0.7375892740374105,0.7329442409664888,0.7279668396249084,0.7231106258879223,0.7187679072448615,0.7141604372077979,0.7101424081029344,0.7066463926707987,0.6393022233573239,0.7036207425386262
oocytes_merluccius_nucleus_4d,0.7898548454469506,0.7889010721247564,0.7886487050960737,0.7880447646895017,0.7871936786410473,0.7865340434419383,0.7842975494291284,0.7817181843497631,0.7796313700918963,0.7782302979671398,0.7760007658033973,0.7727234753550544,0.7705339738234473,0.7688405040378724,0.7667519493177388,0.6761521860206072,0.7641725842383733
oocytes_merluccius_states_2f,0.8975684091963163,0.8975595750789549,0.898228833086714,0.897712037221081,0.8969484750104904,0.8964603164086367,0.8960354689812052,0.8971554142096777,0.896612778550763,0.8954325404713,0.8956997725214779,0.896251242297754,0.8955414945854224,0.8954295221478686,0.8955010048808499,0.8825664583287323,0.895676288492826
oocytes_trisopterus_nucleus_2f,0.8064642083861426,0.8061169861639204,0.8066143852978453,0.8063470373891001,0.8069008766370932,0.807414778728348,0.8071777962610897,0.8074078474862695,0.8070206881073088,0.8067602714406423,0.8067767743979722,0.8054954847908746,0.8037940298901562,0.8021490151035063,0.8005040003168568,0.731279705323194,0.7981714723278412
oocytes_trisopterus_states_5b,0.9153038517111405,0.915064903085095,0.914910772101119,0.9144251226989467,0.9125737920000414,0.9124793981725771,0.9120361575914396,0.911874274457382,0.9117548001443594,0.9115505081892669,0.9115331798537906,0.9113462162341749,0.9110648587870946,0.911124595943606,0.9109877932951068,0.8712519657237706,0.910519472228411
optical,0.9849733819969363,0.9849259706024303,0.9848077626388821,0.984842894201579,0.9847954341843356,0.9847959360701258,0.9846775853322179,0.9845589559872763,0.9845247936800762,0.9842756527992823,0.9842163750798875,0.9840393129800314,0.9839325801613289,0.9839094064721375,0.9836964582326424,0.9781098006180386,0.983399912684533
ozone,0.5661111863284894,0.566070568944249,0.5655940668532059,0.565607605981286,0.5655940668532058,0.5664793753948912,0.5664522971387309,0.5664387580106508,0.5663981406264101,0.5659080994072869,0.5668204862051327,0.5663439841140896,0.5663169058579294,0.566289827601769,0.5662627493456088,0.5723320395944278,0.5653232842916027
page-blocks,0.7425050087481356,0.7431514162454608,0.7432076173542934,0.7423793741348926,0.742181114257557,0.7415710083353393,0.7411433123719714,0.7409104964074481,0.7409172383496352,0.7408413664182775,0.7406469231458988,0.7393833642689294,0.7384046902473493,0.7376082886743112,0.737416123116292,0.6431452114170918,0.7368416754453936
parkinsons,0.8834284627092845,0.8829623287671231,0.8822678843226786,0.8778729071537289,0.8764840182648401,0.8707096651445966,0.8667808219178083,0.8626141552511417,0.8612252663622528,0.8582191780821921,0.850589802130898,0.84412100456621,0.8371765601217656,0.8360064687975645,0.8311548706240487,0.7329052511415525,0.8260939878234399
pendigits,0.9907756367677417,0.9906253277972432,0.9905217018816888,0.9903850281365031,0.9902298664583218,0.9902016407190054,0.9900328846386688,0.9898932864990492,0.9897887044233421,0.9896909246516074,0.989575174963318,0.9894413839179463,0.989299795358879,0.9891480361705395,0.9889412903764953,0.9749516164287739,0.9886985825641753
pima,0.7215761194029852,0.7215671641791045,0.7216248756218906,0.721531343283582,0.7209761194029851,0.7214248756218906,0.7206786069651744,0.7200298507462687,0.7202786069651741,0.7201940298507463,0.7196875621890547,0.7180437810945274,0.7177771144278609,0.7178258706467663,0.718065671641791,0.7183074626865672,0.7177323383084581
pittsburg-bridges-MATERIAL,0.6408689458689456,0.6364173789173788,0.6364173789173788,0.6322364672364671,0.6250142450142449,0.6188960113960111,0.6158333333333332,0.6130413105413105,0.6097150997150996,0.6083262108262109,0.6027564102564101,0.6024715099715099,0.5985754985754986,0.594131054131054,0.5913532763532762,0.5876709401709401,0.5913532763532762
pittsburg-bridges-REL-L,0.5798319327731091,0.5798319327731091,0.5802592832004596,0.5822739352151115,0.5827012856424622,0.5772426919485742,0.5754291460173813,0.5725346548875959,0.5716799540328951,0.5698915463621345,0.5684083889966243,0.562120232708468,0.5584500466853408,0.5468433527257056,0.5460676578323637,0.5465165553400848,0.5418480212597859
pittsburg-bridges-SPAN,0.6138888888888888,0.6143518518518519,0.6108585858585859,0.6123316498316499,0.6108585858585861,0.609848484848485,0.6123316498316499,0.609301346801347,0.606818181818182,0.6058922558922558,0.6043350168350169,0.6038720538720539,0.6004629629629629,0.5985269360269359,0.5931818181818181,0.6011784511784513,0.592718855218855
pittsburg-bridges-T-OR-D,0.6827922077922076,0.6820346320346319,0.6792748917748916,0.6792748917748916,0.6792748917748916,0.6792748917748916,0.6768939393939392,0.6768939393939392,0.6693722943722943,0.6709956709956709,0.6678571428571428,0.6678571428571428,0.6663419913419912,0.6655844155844155,0.663203463203463,0.6865800865800864,0.6608225108225108
pittsburg-bridges-TYPE,0.41797558922558925,0.4193223905723905,0.4178956228956229,0.41865319865319867,0.41976430976430973,0.4190025252525252,0.41646043771043767,0.41579124579124577,0.41284932659932666,0.4119276094276095,0.41134680134680135,0.40369107744107746,0.40462121212121205,0.4031691919191918,0.404074074074074,0.3819570707070705,0.4028114478114477
planning,0.5010256410256411,0.5012820512820514,0.500897435897436,0.500897435897436,0.500897435897436,0.5006410256410256,0.5007692307692309,0.5014102564102565,0.5017948717948718,0.5001282051282052,0.49910256410256415,0.4984615384615385,0.4953846153846155,0.49333333333333335,0.4921794871794872,0.496025641025641,0.4928205128205128
plant-margin,0.7937083333333336,0.794,0.7934583333333335,0.7930833333333335,0.7934583333333336,0.7933333333333333,0.7934999999999999,0.7935416666666666,0.7934999999999999,0.7922083333333333,0.7914583333333334,0.79075,0.7897083333333333,0.7890416666666666,0.78825,0.7013333333333333,0.7864583333333335
plant-shape,0.58875,0.5892916666666665,0.5897083333333332,0.5906249999999998,0.5910833333333334,0.592125,0.5939583333333334,0.5970416666666666,0.5997500000000001,0.6035416666666666,0.6072500000000001,0.6123750000000001,0.6181249999999999,0.6242083333333335,0.6274583333333335,0.4973333333333334,0.6224166666666666
plant-texture,0.7996071428571428,0.7990654761904765,0.7986964285714286,0.7984464285714286,0.7986130952380956,0.797904761904762,0.7978630952380954,0.7979404761904764,0.7981488095238097,0.7983630952380953,0.7986071428571431,0.7984345238095237,0.7982261904761905,0.7991011904761904,0.8003452380952382,0.7025654761904762,0.7997559523809525
