MLP,NN,CAWPE,SVML,C4.5,Logistic
0.8442669942669943 ,0.8298116298116298,0.8540540540540541,0.8395986895986896,0.8558558558558559,0.8391891891891892
0.8412366912366912 ,0.8322686322686322,0.8522522522522522,0.838042588042588,0.8526617526617527,0.8386977886977887
0.8346027846027846 ,0.8321457821457822,0.8564701064701065,0.8437346437346437,0.8542588042588043,0.8426289926289926
0.8480753480753481 ,0.832022932022932,0.8559377559377559,0.8425880425880425,0.8554873054873054,0.8425880425880425
0.8493038493038493 ,0.8334561834561834,0.8582719082719082,0.8434479934479935,0.858067158067158,0.8434070434070434
0.8469696969696969 ,0.8345208845208846,0.8577805077805077,0.8426289926289926,0.8577395577395578,0.843038493038493
0.846928746928747 ,0.8358312858312859,0.8584357084357085,0.8441850941850941,0.8610974610974611,0.844021294021294
0.8492628992628992 ,0.8338247338247339,0.8574119574119574,0.8434070434070434,0.858968058968059,0.8438574938574939
0.8471744471744471 ,0.8318181818181818,0.8557330057330057,0.8413595413595414,0.857002457002457,0.8411957411957411
0.846027846027846 ,0.8358312858312859,0.8586814086814086,0.8432432432432433,0.8585176085176085,0.8427518427518428
0.8447583947583948 ,0.8351351351351352,0.8572481572481573,0.842014742014742,0.8584766584766584,0.8408681408681409
0.845986895986896 ,0.8343161343161343,0.8574529074529075,0.8410728910728911,0.8560606060606061,0.8415642915642916
0.847010647010647 ,0.8325143325143325,0.8565520065520066,0.8432022932022932,0.8564701064701065,0.8427518427518428
0.8447993447993448 ,0.836036036036036,0.8566748566748567,0.8414823914823915,0.8583538083538084,0.8407862407862408
0.8462735462735462 ,0.8334561834561834,0.8536036036036037,0.8408271908271908,0.8513104013104014,0.841973791973792
0.8464782964782965 ,0.8334561834561834,0.8573300573300573,0.8409090909090909,0.8561834561834561,0.8412366912366912
0.8455773955773955 ,0.8338247338247339,0.8553235053235053,0.8423423423423423,0.8531122031122031,0.8415233415233415
0.8481572481572481 ,0.8336199836199836,0.8567567567567568,0.8438984438984439,0.8545454545454545,0.8442260442260442
0.8400900900900901 ,0.8325552825552825,0.8557330057330057,0.8413595413595414,0.8556511056511057,0.8402948402948403
0.8479524979524979 ,0.8387387387387387,0.8585585585585586,0.843079443079443,0.8585585585585586,0.8431613431613432
0.8501228501228502 ,0.837919737919738,0.8582719082719082,0.8436527436527437,0.8571253071253071,0.8432432432432433
0.8504464285714286 ,0.8214285714285714,0.8995535714285714,0.8549107142857143,0.9241071428571429,0.8504464285714286
0.8816964285714286 ,0.8816964285714286,0.9308035714285714,0.8616071428571429,0.9308035714285714,0.8392857142857143
0.875 ,0.8950892857142857,0.9375,0.8459821428571429,0.9419642857142857,0.8370535714285714
0.8705357142857143 ,0.8995535714285714,0.9196428571428571,0.8616071428571429,0.9241071428571429,0.8638392857142857
0.859375 ,0.8526785714285714,0.8995535714285714,0.8348214285714286,0.9151785714285714,0.84375
0.8727678571428571 ,0.84375,0.9263392857142857,0.8549107142857143,0.9553571428571429,0.84375
0.8973214285714286 ,0.875,0.9129464285714286,0.8504464285714286,0.90625,0.8236607142857143
0.8660714285714286 ,0.8705357142857143,0.9129464285714286,0.8571428571428571,0.921875,0.84375
0.8571428571428571 ,0.8727678571428571,0.9107142857142857,0.8459821428571429,0.9241071428571429,0.875
0.890625 ,0.8950892857142857,0.9352678571428571,0.8258928571428571,0.9397321428571429,0.8705357142857143
0.8794642857142857 ,0.875,0.921875,0.8303571428571429,0.9107142857142857,0.8526785714285714
0.8526785714285714 ,0.8816964285714286,0.9241071428571429,0.8638392857142857,0.9263392857142857,0.8660714285714286
0.8683035714285714 ,0.8816964285714286,0.9174107142857143,0.8504464285714286,0.9285714285714286,0.8638392857142857
0.8392857142857143 ,0.8816964285714286,0.9151785714285714,0.8370535714285714,0.9196428571428571,0.8504464285714286
0.8392857142857143 ,0.8549107142857143,0.9040178571428571,0.8392857142857143,0.921875,0.8392857142857143
