TRAINTESTDIFFSACC,C4.5_cvFold4,Logistic_cvFold4,C4.5_cvFold1,Logistic_cvFold5,SVML_cvFold7,C4.5_cvFold7,SVML_cvFold1,Logistic_cvFold1,C4.5_cvFold6,C4.5_cvFold9,Logistic_cvFold9,SVML_cvFold4,MLP_cvFold4,Logistic_cvFold7,Logistic_cvFold8,MLP_cvFold7,MLP_cvFold1,MLP_cvFold5,C4.5_cvFold3,SVML_cvFold6,C4.5_cvFold0,MLP_cvFold9,Logistic_cvFold6,SVML_cvFold9,SVML_cvFold5,MLP_cvFold0,SVML_cvFold3,C4.5_cvFold5,NN_cvFold9,MLP_cvFold8,NN_cvFold1,Logistic_cvFold2,Logistic_cvFold0,C4.5_cvFold8,MLP_cvFold3,SVML_cvFold8,Logistic_cvFold3,SVML_cvFold0,NN_cvFold7,NN_cvFold4,NN_cvFold0,SVML_cvFold2,NN_cvFold8,MLP_cvFold6,MLP_cvFold2,SVML,C4.5_cvFold2,Logistic,NN_cvFold6,NN_cvFold2,NN_cvFold5,NN_cvFold3,MLP,C4.5,NN
C4.5_cvFold1,17|0|22,16|0|23,0|39|0,21|0|18,22|0|17,20|0|19,21|0|18,23|0|16,21|0|18,21|0|18,21|0|18,17|0|22,20|0|19,22|0|17,21|0|18,21|0|18,23|0|16,23|0|16,19|0|20,20|0|19,21|0|18,18|0|21,20|0|19,21|0|18,25|0|14,23|0|16,21|0|18,22|0|17,22|0|17,20|0|19,26|0|13,20|0|19,24|0|15,22|0|17,25|0|14,22|0|17,20|0|19,24|0|15,25|0|14,23|0|16,22|0|17,23|0|16,24|0|15,23|0|16,22|0|17,24|0|15,23|0|16,25|0|14,26|0|13,25|0|14,27|0|12,26|0|13,26|0|13,29|0|10,31|0|8
Logistic_cvFold5,19|0|20,18|0|21,18|0|21,0|39|0,20|0|19,20|0|19,18|0|21,23|0|16,20|0|19,19|0|20,21|0|18,22|0|17,21|0|18,20|0|19,23|0|16,21|0|18,21|0|18,20|0|19,24|0|15,21|0|18,18|0|21,20|0|19,22|0|17,19|0|20,21|0|18,20|0|19,22|0|17,19|0|20,24|0|15,22|0|17,20|0|19,24|0|15,25|0|14,22|0|17,21|0|18,23|0|16,21|0|18,23|0|16,23|0|16,22|0|17,23|0|16,23|0|16,23|0|16,23|0|16,23|0|16,27|0|12,26|0|13,27|0|12,29|0|10,24|0|15,27|0|12,25|0|14,27|0|12,28|0|11,32|0|7
SVML_cvFold7,18|0|21,23|0|16,17|0|22,19|0|20,0|39|0,19|0|20,21|0|18,20|0|19,21|0|18,21|0|18,17|0|22,20|0|19,22|0|17,18|0|21,19|0|20,22|0|17,21|0|18,22|0|17,20|0|19,22|0|17,19|0|20,25|0|14,23|0|16,20|0|19,19|0|20,21|0|18,17|0|22,24|0|15,22|0|17,25|0|14,22|0|17,23|0|16,20|0|19,19|0|20,25|0|14,22|0|17,22|0|17,20|0|19,20|0|19,21|0|18,22|0|17,23|0|16,23|0|16,26|0|13,27|0|12,25|0|14,27|0|12,28|0|11,25|0|14,26|0|13,25|0|14,23|0|16,28|0|11,29|0|10,32|0|7
C4.5_cvFold7,18|0|21,20|0|19,19|0|20,19|0|20,20|0|19,0|39|0,18|0|21,22|0|17,19|0|20,18|0|21,20|0|19,22|0|17,22|0|17,21|0|18,22|0|17,23|0|16,24|0|15,18|0|21,21|0|18,20|0|19,19|0|20,18|0|21,23|0|16,19|0|20,18|0|21,21|0|18,24|0|15,24|0|15,23|0|16,19|0|20,20|0|19,24|0|15,21|0|18,21|0|18,22|0|17,24|0|15,23|0|16,25|0|14,22|0|17,22|0|17,23|0|16,22|0|17,24|0|15,20|0|19,22|0|17,25|0|14,25|0|14,26|0|13,24|0|15,23|0|16,25|0|14,25|0|14,26|0|13,30|0|9,28|0|11
SVML_cvFold1,18|0|21,18|0|21,18|0|21,21|0|18,18|0|21,21|0|18,0|39|0,21|0|18,19|0|20,20|0|19,18|0|21,22|0|17,22|0|17,20|0|19,18|0|21,21|0|18,22|0|17,21|0|18,21|0|18,18|0|21,22|0|17,20|0|19,18|0|21,20|0|19,24|0|15,20|0|19,20|0|19,18|0|21,25|0|14,23|0|16,22|0|17,25|0|14,23|0|16,23|0|16,23|0|16,23|0|16,22|0|17,24|1|14,22|0|17,22|0|17,22|0|17,23|0|16,20|0|19,22|0|17,23|0|16,25|0|14,25|0|14,25|0|14,21|0|18,28|0|11,24|0|15,27|0|12,29|0|10,24|0|15,28|0|11
Logistic_cvFold1,18|0|21,19|0|20,16|0|23,16|0|23,19|0|20,17|0|22,18|0|21,0|39|0,20|0|19,20|0|19,23|0|16,18|0|21,21|0|18,21|0|18,22|0|17,21|0|18,20|0|19,21|0|18,24|0|15,21|0|18,19|0|20,20|0|19,25|0|14,22|0|17,20|0|19,22|0|17,22|0|17,20|0|19,22|0|17,21|0|18,23|0|16,22|0|17,21|0|18,23|0|16,19|0|20,23|0|16,22|0|17,24|0|15,22|0|17,23|0|16,20|0|19,22|0|17,23|0|16,21|0|18,23|0|16,23|0|16,24|0|15,27|0|12,22|0|17,26|0|13,26|0|13,26|0|13,28|0|11,29|0|10,30|0|9
C4.5_cvFold6,17|0|22,18|0|21,18|0|21,19|0|20,18|0|21,20|0|19,20|0|19,19|0|20,0|39|0,18|0|21,20|0|19,19|0|20,23|0|16,19|0|20,18|0|21,20|0|19,21|0|18,20|0|19,19|0|20,23|0|16,18|0|21,19|0|20,21|0|18,19|0|20,22|0|17,23|0|16,19|0|20,19|0|20,22|0|17,21|0|18,23|0|16,20|0|19,24|0|15,25|0|14,22|0|17,24|0|15,21|0|18,24|0|15,23|0|16,22|0|17,22|0|17,24|0|15,25|0|14,25|0|14,25|0|14,24|0|15,24|0|15,26|0|13,23|0|16,23|0|16,25|0|14,27|0|12,29|0|10,26|0|13,29|0|10
C4.5_cvFold9,16|0|23,16|0|23,18|0|21,20|0|19,18|0|21,21|0|18,19|0|20,19|0|20,21|0|18,0|39|0,18|0|21,20|0|19,21|0|18,20|0|19,21|0|18,21|0|18,22|0|17,19|0|20,17|0|22,20|0|19,20|0|19,20|0|19,20|0|19,20|0|19,20|0|19,22|0|17,20|0|19,22|0|17,23|0|16,18|0|21,21|0|18,24|0|15,22|0|17,25|0|14,22|0|17,23|0|16,21|0|18,24|0|15,24|0|15,20|0|19,26|0|13,24|0|15,25|0|14,22|0|17,25|0|14,23|0|16,24|0|15,22|0|17,25|0|14,26|0|13,26|0|13,25|0|14,27|0|12,29|0|10,28|0|11
Logistic_cvFold9,20|0|19,20|0|19,18|0|21,18|0|21,22|0|17,19|0|20,21|0|18,16|0|23,19|0|20,21|0|18,0|39|0,21|0|18,21|0|18,22|0|17,21|0|18,18|0|21,20|0|19,19|0|20,21|0|18,20|0|19,21|0|18,20|0|19,21|0|18,22|0|17,19|0|20,19|0|20,20|0|19,22|0|17,20|0|19,20|0|19,22|0|17,22|0|17,23|0|16,24|0|15,22|0|17,22|0|17,23|0|16,23|0|16,23|0|16,24|0|15,22|0|17,23|0|16,21|0|18,22|0|17,24|0|15,27|0|12,20|0|19,24|0|15,24|0|15,23|0|16,21|0|18,23|0|16,25|0|14,28|0|11,27|0|12
SVML_cvFold4,22|0|17,17|0|22,22|0|17,17|0|22,19|0|20,17|0|22,17|0|22,21|0|18,20|0|19,19|0|20,18|0|21,0|39|0,19|0|20,20|0|19,20|0|19,20|0|19,21|0|18,21|0|18,17|0|22,23|0|16,20|0|19,21|0|18,21|0|18,18|0|21,21|0|18,18|0|21,21|0|18,18|0|21,22|0|17,23|0|16,21|0|18,20|0|19,22|0|17,20|0|19,23|0|16,20|0|19,24|0|15,21|0|18,21|0|18,23|0|16,24|0|15,24|0|15,22|0|17,26|0|13,27|0|12,23|0|16,25|0|14,25|0|14,24|0|15,26|0|13,20|0|19,25|0|14,25|0|14,30|0|9,28|0|11
