TRAINTESTDIFFSACC:,C4.5_cvFold4,Logistic_cvFold4,C4.5_cvFold1,Logistic_cvFold5,SVML_cvFold7,C4.5_cvFold7,SVML_cvFold1,Logistic_cvFold1,C4.5_cvFold6,C4.5_cvFold9,Logistic_cvFold9,SVML_cvFold4,MLP_cvFold4,Logistic_cvFold7,Logistic_cvFold8,MLP_cvFold7,MLP_cvFold1,MLP_cvFold5,C4.5_cvFold3,SVML_cvFold6,C4.5_cvFold0,MLP_cvFold9,Logistic_cvFold6,SVML_cvFold9,SVML_cvFold5,MLP_cvFold0,SVML_cvFold3,C4.5_cvFold5,NN_cvFold9,MLP_cvFold8,NN_cvFold1,Logistic_cvFold2,Logistic_cvFold0,C4.5_cvFold8,MLP_cvFold3,SVML_cvFold8,Logistic_cvFold3,SVML_cvFold0,NN_cvFold7,NN_cvFold4,NN_cvFold0,SVML_cvFold2,NN_cvFold8,MLP_cvFold6,MLP_cvFold2,SVML,C4.5_cvFold2,Logistic,NN_cvFold6,NN_cvFold2,NN_cvFold5,NN_cvFold3,MLP,C4.5,NN
image-segmentation,-3.3014877842463264E-4,0.0012934766383042213,-0.00220356272080409,0.0046314072401028765,0.011319405232448728,0.001975029801116753,-0.0038652535204259414,6.622879036672099E-4,-0.004350335654683505,-0.0064056716230629545,0.002779346257607111,0.008812260536398471,0.0045578942130666345,0.002588619110358218,-0.00296003513394818,0.010240291109856314,-0.0016420361247947324,0.004838446577576997,-0.0025874508633129197,0.005839764100633682,0.005470965815793398,0.005130811217767739,-9.335591944287754E-4,0.00129744651483783,0.004637681159420311,0.002944220530427429,0.0013335323680151335,-5.0191354539171526E-6,0.0040454231758579465,-0.0015044858523119615,-7.603124844504094E-4,0.004056575608299736,7.215007215007526E-6,-0.007659200702678981,0.0022090361745534135,-0.0013125039211995667,-0.002463551773896603,0.003835647111509203,-7.353033439989942E-4,-0.0016236254167288613,0.003977956908991383,0.013948350500074631,-0.0010778593387289,0.004484597528075784,0.009428024083196504,0.0024819624819624815,0.007235408269891027,-7.503607503607494E-4,-0.003367839889579046,0.007426232771060356,0.0019838132881610997,-0.008004428521669911,-0.006897546897546899,-0.002279942279942278,-0.0017893217893217997
ionosphere,-0.030639730639730644,-0.00747053872053874,-0.027988215488215513,-0.009503119429590035,0.008990641711229907,0.0013034759358288572,-0.02359006734006735,-0.03287037037037037,-0.015452317290552615,0.0037098930481283135,0.017903297682709436,-0.002356902356902372,0.0063973063973063755,-0.007909982174688064,-5.793226381461958E-4,-0.020666221033868105,-0.02824074074074075,0.005904634581105158,0.0042508417508417195,-0.008912655971479532,-0.019212962962962987,-0.004601158645276315,0.0016934046345810749,0.012032085561497303,0.014683600713012446,-0.05046296296296296,-0.006397306397306398,-0.002038770053475947,-0.06107397504456332,0.008166221033868071,-0.10963804713804717,-0.02323232323232323,-0.011026936026936036,0.01692290552584668,0.01691919191919191,0.009815062388591774,-0.0035353535353535434,-0.014709595959595971,-0.07581327985739754,-0.07683080808080808,-0.11125841750841753,-0.010395622895622906,-0.05051247771836008,-5.570409982174877E-4,-0.003345959595959613,-0.004154761904761906,-0.005155723905723915,-0.011624458874458865,-0.0541221033868093,-0.09459175084175085,-0.06525178253119433,-0.07232744107744109,-0.008900432900432905,-0.008621212121212118,-0.08028571428571428
iris,0.017999999999999995,-0.0042777777777777805,0.02855555555555555,0.03352380952380952,0.0021587301587301377,0.031555555555555545,-0.010333333333333335,0.010166666666666664,0.0016507936507936323,-0.009968253968253986,0.00628571428571428,-0.011833333333333336,-0.001555555555555562,0.03771428571428571,0.009714285714285701,0.01631746031746031,0.03088888888888889,0.015428571428571418,0.006999999999999995,0.010793650793650777,0.014277777777777778,0.005587301587301582,-0.001142857142857164,0.007809523809523796,0.018984126984126968,-5.555555555555684E-5,0.006333333333333339,0.01815873015873015,0.01377777777777777,-6.34920634920729E-5,0.004555555555555543,-0.02511111111111111,0.0024444444444444344,0.011301587301587293,3.8888888888888307E-4,-0.006476190476190495,-7.222222222222241E-4,-0.010333333333333335,0.0029206349206349013,-0.009555555555555565,0.003944444444444428,-0.016000000000000007,0.010349206349206327,-0.005269841269841291,-0.020444444444444442,-0.00355555555555556,-0.016833333333333336,8.888888888888872E-4,0.0033650793650793413,-0.017166666666666667,0.009333333333333324,0.0030555555555555522,-3.7007434154171884E-18,0.009333333333333324,8.888888888888946E-4
libras,-0.020555555555555556,-0.016666666666666663,-0.020555555555555553,0.012222222222222226,0.020555555555555556,0.04796296296296298,0.011296296296296289,-0.012962962962962964,0.024629629629629637,0.027777777777777773,0.032407407407407426,-0.014999999999999998,0.007222222222222218,1.8518518518519932E-4,-0.014074074074074069,0.02944444444444444,-0.004814814814814813,-0.013333333333333338,-0.05166666666666666,0.002962962962962971,0.03185185185185185,-0.009444444444444429,0.012777777777777796,0.025370370370370363,-0.019444444444444448,0.016851851851851854,0.022592592592592588,-0.023148148148148136,0.001296296296296288,-0.035740740740740747,-0.03444444444444446,0.0029629629629629784,-0.03944444444444444,0.029629629629629655,-0.010370370370370363,-0.030740740740740728,-0.01888888888888889,0.002037037037037048,0.024444444444444432,0.0014814814814814836,-0.022777777777777772,0.024444444444444432,0.02203703703703703,0.009814814814814813,-0.01481481481481481,-0.008888888888888906,-0.008703703703703691,-0.01611111111111111,0.043148148148148144,-0.011296296296296297,-0.00740740740740741,-0.011296296296296297,-0.01314814814814815,-0.020370370370370382,-0.015000000000000003
magic,-0.0019733613739922845,-0.0013319313003855508,-0.0033578689099193816,0.001026989134244649,7.01016473887058E-6,-0.002457062740974399,-0.0022853137048720606,-0.0028951980371538714,-0.0038450753592709367,0.0033087977567472946,2.6638626007711904E-4,-0.001605327725201533,-0.003112513144058889,6.62460567823342E-4,-0.0037294076410795594,-8.657553452505999E-4,-0.0032947774272695535,9.814230634419922E-5,-3.50508236943714E-6,8.412197686645547E-4,-0.004051875219067639,-0.0013985278654048343,0.0011286365229582818,-0.0014405888538380725,0.0012898703119523347,-0.0030354013319312868,5.222572730459341E-4,-0.0010620399579390094,-0.0026182965299684706,-0.002067998597967043,-9.954433929197407E-4,-0.0033052926743778466,-0.0023729407641079523,2.453557658604999E-4,0.0011461619348054712,-0.004693305292674369,0.0012022432527164506,-0.0029372590255870947,-7.991587802313312E-4,-6.379249912372931E-4,-0.0021381002453557635,-0.0041219768664563705,-4.5215562565720604E-4,-0.0024360322467577872,8.973010865755378E-4,-0.0015141955835962081,2.909218366631568E-4,-9.81423063442007E-4,1.5772870662461209E-4,-2.8391167192428994E-4,8.166841920785243E-4,0.0014791447599018699,-0.006589554854539078,-0.0031265334735366226,-0.001615842972309852
miniboone,6.129887662666496E-4,-2.1201741509774646E-4,-5.859561962792026E-4,9.67949102206748E-4,-4.785529432575819E-4,7.877609480948807E-4,-9.752463276042585E-4,-0.001122271760022168,4.007869145891352E-4,2.290621925561842E-4,2.585753557227825E-4,-2.4276622452985193E-4,-3.6810743249804747E-4,-5.621861832777464E-4,9.291812425063309E-5,0.0013705583132594364,-5.339219079773158E-4,9.630993659868637E-4,3.884585115159137E-4,9.546320717744342E-4,1.6159991993720905E-4,8.124361978992726E-4,7.583303872939447E-4,0.001404679632253969,9.946134295870472E-4,3.497902446310282E-4,1.3090748818245235E-4,5.002080046583757E-4,0.0012454346458725637,-5.085692872469627E-4,-0.0012170199050033804,-6.66425324308236E-5,-9.331719606925841E-4,-4.598413005045043E-4,-0.0014924323499847256,-2.786463906517674E-4,-4.303614777965851E-4,-6.111469745699502E-5,5.134623739450062E-4,-1.9441814561414286E-4,-6.180839548158364E-4,-2.7454188856091967E-4,1.3900527868352756E-6,-3.031808696307222E-4,-9.797015744729058E-4,-2.3888683701225692E-4,-3.737200583144122E-4,0.004848933824417619,5.775321737258477E-4,-0.0012667394354098581,0.0010808902605842071,-4.8608008382740043E-4,1.0346857551342495E-4,-7.745171084413046E-4,-6.524176903317376E-4
oocytes_merluccius_nucleus_4d,0.0026028901143790788,-0.010857077205882366,0.0030215992647058838,0.01121961805555555,-0.010313265931372554,0.005328329248366015,0.013676981209150322,0.011034517973856203,0.011880872140522874,0.012900837418300644,0.005865757761437899,0.003349673202614382,-0.009923917483660142,-0.015900735294117656,-0.008372906454248378,-0.012002144607843147,-0.0039062500000000035,0.017068780637254897,0.0011208129084967304,-0.007068270016339876,-0.010941329656862753,7.786968954248685E-5,-0.01203916462418301,-0.0025505514705882358,0.01764833537581699,0.004660692401960787,-0.005490451388888888,0.011893637663398692,-0.004605800653594771,-0.004552185457516337,0.010760059232026145,0.008605238970588246,-0.0026884191176470675,0.003659875408496727,-0.00365093954248367,0.005427900326797382,0.005021956699346397,9.982638888888804E-4,-2.285028594771273E-4,0.01345230800653594,0.007221456290849667,0.0072610294117647,0.009455422794117645,-0.022074142156862743,0.014261642156862748,2.757352941176516E-4,0.011536203022875809,-0.003076746323529415,-0.03779360702614379,0.008874591503267974,0.013369332107843131,-0.015899458741830068,0.0030675551470588313,-0.0012686376633987047,-0.0022347324346405147
oocytes_trisopterus_states_5b,-0.011611644943392641,0.012149177052611548,-5.581454349411745E-4,-0.0014749979739039057,0.003731258610908487,-0.018484480103736125,0.008281800019027678,0.0029286778930009785,0.021376124483345485,-0.0188313477591377,-0.005689277899343563,0.005232613452573468,0.011381727079567439,-0.009454574925034468,0.016179593159899506,0.0027360401977469806,-0.0053182380363428925,-0.0012091741632223078,-0.011587860336790042,0.015425885404003565,0.007622173595915379,3.452467785071578E-4,0.013458140854202116,-0.011919928681416666,-0.0030196936542669713,-0.002819268702629004,0.00843243586084417,-0.009067185347272877,0.002034200502471832,0.0011086797957695108,0.001320838486664755,0.010904449307075122,0.006264865379126616,0.011775670637815065,0.0025750800748422214,0.003159089067185346,0.009586782101290714,-0.0025148257381156338,-0.011725423454088661,-0.0011353185551644365,0.0023419909301366617,0.006190340278438459,-0.006057216954372339,0.011187292325147905,0.008308755906510638,0.0013855291316998142,-0.004915485364538767,0.0023124213496204713,0.008527433341437718,0.004506390130973881,-0.00666342491287788,-0.002662290299051821,-0.00444049021729546,-0.008947187021585264,-0.004881012495892149
optical,0.0019731836417936116,0.005158348852352216,-0.0010864790205231012,4.1351697048496914E-4,-0.0013007701906550095,6.683622592653057E-4,0.0013680790556334051,-4.4052491630700946E-4,0.0036574666631218667,0.004054225745794586,0.0034218884992631036,0.004108119559112159,0.00376469664801851,0.0033553574691529233,0.0018247243396029603,-5.772104421158645E-4,1.464337062539789E-4,-0.0026292657256929714,-0.0038861058044717548,0.002410881163772379,0.006837188084600721,9.975690738764549E-4,0.0030470448876279478,-0.0010394961969134957,-0.001099392194619279,4.4280371173573976E-4,-5.775902413539942E-4,0.0014273277367805556,-0.0016593400077925054,3.480227018664461E-4,-0.002508784967377335,0.0060596124444174315,0.0037465084845039963,0.00249502779497424,-0.0015261599385231787,-2.8084043663409994E-4,-9.976059988023533E-4,-1.1474156982841008E-4,-0.0013935678045029895,0.001488981813102493,1.2457415010424706E-4,0.0017239087418390493,-9.189875565109713E-4,0.0019970265939646386,0.002767934647523096,-0.001047491932408658,2.771268440835454E-4,-0.0027053190020371763,-6.507226946502742E-5,-8.243331463877124E-4,-6.344757272416975E-4,-0.0013224187472279973,-7.442915799309077E-5,-0.005468717316403112,-0.001435029288935367
ozone,-0.0010436638682576383,3.3547815979263486E-4,-0.002460035285187508,-0.00221080520963252,0.0019269015722916578,0.00507898983076284,5.809852964596758E-4,0.007078754635575942,-0.0029063742918660615,0.005362302525423046,0.0014053060152350453,0.0024707904419748756,-0.0015727348502241076,0.006086532327667049,-2.90817666704235E-4,0.0033809899058125812,7.648571115371687E-4,-0.0012827592768398103,-4.612307622308132E-5,-0.0076605672517885675,0.006070251856815723,0.0015009944087958156,0.0012507006364156767,0.006109047243799038,-0.004511374612452405,0.005251618961341431,-0.0027270527354293435,-0.00190924715970792,0.002084505985215231,0.007105332282637237,-0.006406764166299524,9.596909133398797E-5,0.006448543813819921,0.004724379901684827,-0.0014145099474859016,0.0042328042328042435,9.636206821664698E-4,0.004412923561859724,-0.006170963263161811,-0.00900496185021789,5.485129961592227E-4,-0.0021754372901968983,0.0019550452174565895,3.102449073292638E-6,6.597875029214606E-4,-8.203432011276157E-4,-0.004008571032639874,-0.004025774810618706,-0.009320170676065014,-0.0043070266334911365,-0.0076667721499351525,-0.007325089091995885,0.0011253104352904719,9.848513590529702E-4,-0.004730371440139821
