TRAINTESTDIFFSACCSTDDEVS:,C4.5_cvFold4,Logistic_cvFold4,C4.5_cvFold1,Logistic_cvFold5,SVML_cvFold7,C4.5_cvFold7,SVML_cvFold1,Logistic_cvFold1,C4.5_cvFold6,C4.5_cvFold9,Logistic_cvFold9,SVML_cvFold4,MLP_cvFold4,Logistic_cvFold7,Logistic_cvFold8,MLP_cvFold7,MLP_cvFold1,MLP_cvFold5,C4.5_cvFold3,SVML_cvFold6,C4.5_cvFold0,MLP_cvFold9,Logistic_cvFold6,SVML_cvFold9,SVML_cvFold5,MLP_cvFold0,SVML_cvFold3,C4.5_cvFold5,NN_cvFold9,MLP_cvFold8,NN_cvFold1,Logistic_cvFold2,Logistic_cvFold0,C4.5_cvFold8,MLP_cvFold3,SVML_cvFold8,Logistic_cvFold3,SVML_cvFold0,NN_cvFold7,NN_cvFold4,NN_cvFold0,SVML_cvFold2,NN_cvFold8,MLP_cvFold6,MLP_cvFold2,SVML,C4.5_cvFold2,Logistic,NN_cvFold6,NN_cvFold2,NN_cvFold5,NN_cvFold3,MLP,C4.5,NN
image-segmentation,0.024102534092944976,0.027791664456382446,0.02452065160491454,0.028299351518234164,0.03186347812028739,0.025162245824769496,0.036248550437871285,0.02725406032173359,0.02685319032613236,0.024172262322443478,0.020901800487635378,0.029083327371000604,0.03265080440410146,0.023856978169275258,0.02565555667782025,0.026763117541881758,0.027753280707009394,0.030472530527163682,0.021446195567248704,0.02604458694153476,0.02825399685552418,0.025993115659489613,0.024239905406413242,0.028710580282495037,0.028413493168269684,0.027034225504376223,0.02921467638060139,0.022654089503936804,0.02160659280075887,0.031028194881194106,0.0235682839526827,0.025286088856184243,0.030311143896009373,0.020734339496510976,0.02370771750205836,0.043395599456291796,0.02470500196599061,0.03442670454929497,0.020895404935910206,0.028788814457483602,0.026162130519033537,0.03541079960241508,0.023273284431088604,0.02502160484845393,0.02274269400031669,0.014285910303374292,0.026187229319217922,0.01139516922880705,0.021206903271719514,0.024739925875043433,0.025211304324452188,0.022667709371436834,0.016679576303643955,0.012537337822471052,0.013379998971826677
ionosphere,0.07180638106869149,0.09761836542126194,0.07960164356862705,0.09597232897074019,0.07020189151651983,0.07412365641780004,0.08036561068097109,0.08269660813646271,0.07803996598918982,0.07088737495749949,0.1104850465555032,0.0747954133830469,0.06254005901740693,0.0996072580314306,0.08590650331403993,0.09172346658786143,0.08140469610776875,0.07194313940547349,0.068500947399989,0.09597917791428173,0.06054268829280637,0.07401014434101834,0.10440997224279686,0.07034044536283918,0.07034416538177928,0.07887589343622914,0.08145546347236585,0.07965976757967273,0.06788780178873065,0.06578501642944169,0.08447570910679884,0.07230698187669544,0.0796341644124543,0.07047822583181357,0.07563854866365059,0.06699253496983212,0.08957524115692643,0.06142932827080492,0.08597145672611686,0.06314135891859902,0.08533221465499864,0.09872997037289072,0.08201584764803024,0.08509609577439448,0.07027173190854383,0.03472917682694899,0.07047150704349794,0.049886665193154434,0.09793612374184957,0.09113151441818158,0.07624579277059293,0.05924206980009575,0.04359044270928338,0.03385159292196178,0.037886273501701914
iris,0.08269687990704458,0.07471232611190981,0.07584357431586665,0.06583596929786659,0.08166495360129457,0.07835142940925573,0.08868710334006055,0.06931983456126777,0.09580355396801433,0.10648669233125843,0.09637566916340064,0.08289927184258407,0.07761030135309034,0.05350991176965603,0.08297894148895782,0.08144858388533226,0.04938265112809695,0.0665630910161214,0.08762664616869656,0.08004429664759784,0.09953501408737629,0.08359419020522572,0.0823117394834954,0.08957668843223429,0.06372291911403132,0.07380527778807015,0.06943173830118976,0.08924420345016228,0.09044584516898875,0.0835755553912873,0.07485098009341683,0.10680749802676864,0.07933479827360543,0.09737110033496349,0.09205579198401002,0.09394005405348241,0.07834700704004477,0.08594794825025853,0.09101677010803962,0.08034639247759337,0.07444106328457041,0.08226044984800047,0.07798812524349442,0.07748923163993514,0.0855732678087837,0.03569703652052063,0.09981625839818394,0.044419916603478965,0.07397549360729283,0.08338406501754742,0.07247138072589603,0.09203019175316957,0.04456688116249247,0.04115571774915698,0.04428169435174718
libras,0.12267549179759597,0.06460740395172224,0.1169095264621643,0.1020062686410029,0.12479996766217615,0.13717706249106204,0.11486460214974233,0.11393287939625212,0.0868992278752074,0.11974145554943215,0.10345339020516005,0.10262777704667037,0.1003840009029948,0.12377525442764312,0.12787963068150557,0.10188882412662927,0.09494159587311268,0.09879650426509091,0.16277153362417296,0.07605835256959595,0.1112540587493039,0.09804550163906565,0.09814314790029219,0.10586950019423862,0.12430094010995235,0.10598805660295868,0.08649719816383884,0.10743025035641421,0.10147573652297705,0.11500535213759541,0.11847620572911527,0.13284339529757436,0.11684760645065945,0.12215544443022153,0.1128289932717601,0.12287992087351406,0.1285012005218124,0.10915406109484863,0.12678357178307476,0.10357522601617888,0.10360005539199459,0.10341754900555263,0.09609758208030078,0.07973299596569053,0.0826515318682274,0.0501721175485981,0.11343999313294977,0.053013689325055985,0.0971681111960312,0.10572665436611108,0.07475422100150744,0.09240511031985994,0.045426959261928086,0.06193855242897837,0.04687215295738815
magic,0.010873714503582842,0.013566013208088947,0.0150309812822998,0.013334540116746752,0.011969267967661096,0.013386729250922418,0.013919076104273898,0.013400827408013696,0.012101144573103734,0.011101937986349798,0.01581212064903562,0.0156014210159945,0.009012560785040586,0.012513011513051767,0.013846896168845026,0.01108915319587758,0.009110838390524394,0.01213403313861635,0.01221029228111277,0.010054558932522833,0.010487534944688829,0.01104572736711227,0.010713776662176317,0.014781804906599411,0.0125443198549262,0.013951356262108968,0.01078600903969215,0.012210038307851,0.012949157993994511,0.012867664582682846,0.008495980995679886,0.010321271274390106,0.015974888246092236,0.011285415536768172,0.013556679495112923,0.013434294694478491,0.011562046684211342,0.01658494100645729,0.010895919566350144,0.011706220226700334,0.010728762784647388,0.010496644046742372,0.01263415461689475,0.012372390354296967,0.009644056338180036,0.005382440950497039,0.010481714666365315,0.005528076617806277,0.011157436007750883,0.012669293649820793,0.011531800530892108,0.011076467242799747,0.007350945556240562,0.005778599876367098,0.004488547868223003
miniboone,0.004390074481514273,0.005120286727115767,0.0031502932199543084,0.004122338277814758,0.0050351831341097775,0.00451054656607345,0.004108121459042269,0.004936230267484341,0.00366882040395766,0.0035113711828045477,0.0036465423047381605,0.004670320783125634,0.004508139376674311,0.004332600670395421,0.003660553492042243,0.004531233196814956,0.004033039054574516,0.004402718345641562,0.004564335594581448,0.004610228777680558,0.0038134841956240224,0.003630486224662294,0.004378638591206529,0.0040586683910556086,0.0042299509706421315,0.003931713763060016,0.005133180265080116,0.003210586855794493,0.004592334498264659,0.003640410374044692,0.004263277605728196,0.004567414972208524,0.0044954695432584055,0.003301807613665965,0.005034076135442053,0.0032048415240353003,0.004998522512285974,0.003871967319174377,0.004424337057406672,0.003549222478888846,0.004540637667521555,0.004075126021183453,0.003436943376605664,0.004665486534694633,0.004415810123248052,0.0020923148097590017,0.0030596468749148906,0.007713107290521616,0.003800946467878819,0.003923192895700339,0.00452148524977266,0.004306876432750651,0.022928489653961666,0.0014938157652297783,0.0018849456117980645
oocytes_merluccius_nucleus_4d,0.04863579519881157,0.05933675246482895,0.06948094639499999,0.049311002227386755,0.05691244942219333,0.04981231293221454,0.04583952778606353,0.05576335895073363,0.07389181040863714,0.052513057960877935,0.05099376991941511,0.05396334902383775,0.06416973197890206,0.06053225331538848,0.060548659109296486,0.053593109312605414,0.05161246906371512,0.04208605754987948,0.05297381521758743,0.04958338376712686,0.05909843178678424,0.05214537438506463,0.05929630141926349,0.06000821760943413,0.05148463221011646,0.06165350310827286,0.05120163810560136,0.05459969074810834,0.0634573747127657,0.064380148000311,0.06471177694990601,0.06715598860643394,0.0537295002305702,0.06493966320256656,0.05842341397404537,0.05064435940386011,0.04000506575404027,0.06023789939445205,0.043113976321940334,0.06689639803747856,0.0628197939844352,0.04814834719303343,0.058731260662890264,0.06622260541799538,0.062132489751694914,0.02450771237748065,0.061888562942915684,0.02448266007645137,0.07720281978072582,0.06919467832889924,0.05635877226103492,0.06489836209535195,0.032868228550056944,0.030818676202969957,0.03074848508748804
oocytes_trisopterus_states_5b,0.05181275759925908,0.03546046539315909,0.05269906336080984,0.036208142299974266,0.04352432595522102,0.06777664252759305,0.04396029253210746,0.0470013837401658,0.055022798555309844,0.056339264757708805,0.04303680231025385,0.04949674748621226,0.038659041863276164,0.042864561320713264,0.037850734068901666,0.04595482558322155,0.04046136066406377,0.04497732932575282,0.04711242831816143,0.04488343674042634,0.05908157386668433,0.04311880027112827,0.04925960116544932,0.044028945164551386,0.03683559112895142,0.038471539881139015,0.03474778847505328,0.05177376188551905,0.04556058497178005,0.0369336002153586,0.04975715658373455,0.04679093879383556,0.04288630674854818,0.05276952312417347,0.04127076807412996,0.037981027090150686,0.042988450857229805,0.05302510975431075,0.05563594578211305,0.0536350198195848,0.04616839417836501,0.05091809257800365,0.03982763373380519,0.04666693508233503,0.04269620291284724,0.019331658674081705,0.03516275865122536,0.018436425882205208,0.03938319398970615,0.0444192153057915,0.04858414880379194,0.059305516441464284,0.027315202578159177,0.028179105664664302,0.022166235765680314
optical,0.01687856869091695,0.013249589976666594,0.01789191016328248,0.014744233584141042,0.008273564830628358,0.02578564758584899,0.007701861047270605,0.01756692207497697,0.018196559603209563,0.016299360933842096,0.01738297967520913,0.009743241284926752,0.007925640019217878,0.01634647635279418,0.016599769342750894,0.008792926657593727,0.008688745968194998,0.010572035373026104,0.014748366151818256,0.008447524823512464,0.01997394899087708,0.011416596554096185,0.01525984612667565,0.009267751299254256,0.008833881836643286,0.010937889188137513,0.006622357640774511,0.019664355172622713,0.009219714426701197,0.00871295747224429,0.007499394018870771,0.015183325176569737,0.018872721194710455,0.019648752604422195,0.008783507933885793,0.009109810375523759,0.016089029914589662,0.010078803371504755,0.00801111221984234,0.007379027792379199,0.007605307700641966,0.008243807309601066,0.009139484379673697,0.00996663869812482,0.009959187325075773,0.004125651275270743,0.018326671861513624,0.009494451193509201,0.0071247230620585435,0.007792689192824926,0.008253528735876923,0.00805000433246533,0.004005469248785421,0.006788928305221087,0.003213310857734002
ozone,0.015514268750237521,0.017423886601517634,0.011137706735023721,0.018583815660541163,0.014081676654194316,0.01520659240370346,0.011534507761583882,0.014226941010332181,0.010899709345136887,0.013988393779721699,0.01663703746116275,0.01158497858883007,0.012725958089964478,0.018388611146703926,0.017181863409744737,0.012966979307747522,0.015605923402219073,0.013974641086870295,0.012775269069145606,0.012947062641801949,0.01191266470615874,0.01136529781445016,0.015919259828162474,0.015336164669340619,0.01437760846944327,0.01438088045360538,0.013376715040729042,0.011822953105709766,0.01130650055840655,0.015013150463152219,0.014635128068687109,0.015538584556173943,0.015430386350610966,0.017120214613544956,0.010008619162645472,0.013014255504785015,0.016678540247013537,0.009916511770830676,0.02074941744451585,0.015135550142248622,0.011648575633782424,0.011011259728566534,0.01018552678382944,0.014749271189343308,0.011679849958083677,0.005177383753646455,0.01073516370408912,0.007416740231029949,0.016167422765460897,0.008472442141247415,0.014596282619405127,0.010673380225837553,0.007422149080529137,0.007236011026079216,0.006769028201499795
