TRAINTESTDIFFSBALACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
breast-cancer-wisc-prog,0.07536767623091052,0.07155926260112609,0.07346044109587099,0.07384732121092337,0.07259393570219093,0.07129547004323891,0.07032361803953144,0.07156393330720072,0.07511912908736104,0.07351828830792156,0.07334533082008998,0.07267706059528788,0.07347014244854272,0.07969120741021153,0.0810955007768656,0.08012370817633477,0.07985413610747968
breast-tissue,0.08030999402851055,0.08249031558109253,0.08140263982016359,0.08209227829038067,0.08162833547375065,0.08368028921790649,0.08508566904665994,0.08690472058669725,0.08131556720345334,0.07966303244884666,0.08106259346865104,0.08213575647894722,0.0841614082216751,0.08694588220304685,0.0867340397989049,0.09186379629370553,0.09483255050541688
car,0.034298955207317953,0.03443498233525853,0.03413244177892167,0.033022189887671104,0.03209399322434921,0.03243366756501396,0.035276121407854105,0.03701020396999299,0.03673500660284982,0.03857884843643062,0.040358695220306634,0.04034103523263177,0.04107319239745109,0.04263054516735064,0.042451191429971724,0.043747605188816124,0.04099410785803274
cardiotocography-3clases,0.0345544705046759,0.034054634288936785,0.03430821349192883,0.034026311988969694,0.03316595158891472,0.03373157929354186,0.03387437439119562,0.03333176033003008,0.0337190512474012,0.033903696622562006,0.028102200827872213,0.03377300592495622,0.03374046446992552,0.03310705237370875,0.03296106384841758,0.033897437828529,0.03348965707599896
cardiotocography-10clases,0.024526924072187806,0.025362155453920378,0.025885933121963977,0.02483588919442647,0.025385728236810116,0.0257965913960376,0.024720946172626133,0.02546933754401214,0.025861997604892318,0.0252242792096848,0.02091433920281937,0.026105738730841346,0.025754673273499746,0.02569034988643423,0.024901515230895815,0.025576984532069944,0.026189614443849794
chess-krvk,0.017361193560040084,0.0173863133731418,0.017403553720003156,0.017409775535677935,0.017400536197491583,0.017355790509107755,0.01742835679118074,0.01747155854786986,0.01732151044294218,0.01775713470007323,0.008873498999724616,0.01772263858310992,0.01742169567116522,0.01711011490456635,0.017000046697044784,0.016990666752586592,0.019325354068027736
chess-krvkp,0.0039233854395549555,0.0038010640992815455,0.0038419088334333434,0.003784826009268176,0.003873169575904404,0.003955418865234583,0.003977754125322626,0.0040904145851152285,0.004302456445075662,0.0042322159468238954,0.00874892645926734,0.004252121342495938,0.004391098326646165,0.004253581846392493,0.004457668633565406,0.0045399354798503384,0.004534157031939658
congressional-voting,0.028888400418718277,0.028563159299948133,0.027842697395700687,0.02761511112575374,0.028744587623494397,0.029076095360576707,0.02905692190544295,0.02976471184759899,0.02972411084156951,0.02944577647433575,0.029434225824055128,0.02814142146897505,0.02941035549049066,0.02796660261101082,0.027793554118395524,0.028322430810405013,0.02726519044732226
conn-bench-sonar-mines-rocks,0.04868022256545132,0.050719083061849295,0.048920773996302,0.050732136593594865,0.05366917555837749,0.051464952065302466,0.05151735473046158,0.04927331713514951,0.04981914415524281,0.050185579445347135,0.05389935512108855,0.050701027397183275,0.051336929080296384,0.05715409777684775,0.054312664887285055,0.054912252507663524,0.05549590715263651
conn-bench-vowel-deterding,0.008803192450189616,0.008803192450189616,0.008803192450189616,0.008803192450189616,0.008803192450189616,0.008803192450189616,0.008803192450189616,0.008784254808720686,0.009157361264421984,0.009453034995214752,0.025811302992063925,0.009916815886120058,0.012531468141621385,0.013945332465461808,0.014555642290541465,0.01640948321402141,0.018432295603624443
connect-4,0.005563798772329635,0.0058066418591549256,0.005849958963924319,0.0056732852509067,0.005941652227239217,0.005717414466374545,0.005694973638624782,0.005974414003782516,0.0060912714109417005,0.006304946051491184,1.0975964039612676E-5,0.006452106354479377,0.006480473526804039,0.006610164581636163,0.006912479862176626,0.00734389352752484,0.007559625031773479
contrac,0.02555510883933486,0.02505539974051572,0.02525908381779604,0.025417399554096443,0.025657926510988624,0.025793060005878558,0.026058216276261776,0.026571236623933802,0.02732825407956473,0.026876597036123426,0.033970701353816954,0.027321922804617003,0.027214466946719758,0.02644165467345282,0.027090946067375634,0.029058207266924183,0.03018445217726037
credit-approval,0.023150737659005417,0.024282808582513728,0.024572229466389952,0.024011511786369063,0.024176721741129358,0.02379039348712129,0.023609653755055096,0.023913584298052994,0.02433570204986782,0.02363717215049251,0.022526230632790533,0.023706682796731673,0.024120356486935456,0.023847333559815855,0.02372383165842521,0.023523686845585007,0.024431064937779426
cylinder-bands,0.05830001574728103,0.05811365426202523,0.0569667802588975,0.057371231517271276,0.054594583209999485,0.05346950655910162,0.053406494013530446,0.050302049452902294,0.049177767244879246,0.04922865545860031,0.039302070368740706,0.04944304830465188,0.04977481921118452,0.05077792755819032,0.050163165270186584,0.04930246036491141,0.048170615259166404
dermatology,0.024881362291916818,0.02500301673058937,0.024654682946880172,0.025354934722905016,0.025593749743335368,0.025102554596711648,0.025031847725896516,0.024535114438840145,0.024337670502412898,0.02439422018394853,0.02158725662442638,0.024178162184232247,0.024430715013574047,0.02429714375353868,0.023898805464237952,0.023897542694962418,0.024174836630357202
echocardiogram,0.09600335572399728,0.09532050948442135,0.09555379575938647,0.0926714364794217,0.09209706414888547,0.09352042986289909,0.09158250202238187,0.09106519503504866,0.09205787015647249,0.09226344329154462,0.0916071124229755,0.09185279879951326,0.09148007045992562,0.09620034058742241,0.09666312711811446,0.09500620186041508,0.0976090429657041
ecoli,0.055269142862922845,0.054531449542038216,0.053523623712081074,0.05280313607056119,0.056722581841410914,0.0569403268790956,0.056182141200488,0.0561068650699232,0.055794382818577584,0.05720245898248867,0.03802205061107807,0.05745873876508446,0.055996310620234364,0.054457711829265947,0.05904432070962953,0.05790174364177342,0.05685842073153262
energy-y1,0.026253450507956504,0.02699300191740168,0.025477868566487746,0.029228640764114546,0.031167956050513014,0.027960130097534133,0.03036521818899139,0.030406701042481787,0.031121665038684507,0.030285180034343363,0.03331301840832957,0.03152309167714306,0.028804939087654587,0.028067191770056628,0.026585426873659647,0.026589846195458868,0.026257903650147824
energy-y2,0.026520232986576023,0.025893854458181025,0.025101428845812672,0.02488591158708553,0.024916881350218432,0.025100825079419773,0.024653026885596563,0.02433246942229938,0.024136886368739393,0.024259964157711776,0.03466603836860139,0.024743791166185143,0.024215473120376453,0.024878556378923115,0.02506367486783383,0.02463275354234485,0.02471001333560453
fertility,0.0794449407247386,0.08133468153370592,0.08073757155477078,0.08208118921351978,0.08379475496502592,0.08419617972624141,0.08541462244072856,0.08666142129598672,0.08113694618471967,0.08106373916867471,0.11453702348081239,0.0783331977480574,0.07906570259360525,0.08343855173101924,0.07684305933334797,0.06920456654478332,0.06946680397454455
flags,0.06823943729685905,0.06766969190393238,0.06718126704086567,0.0674057097831861,0.06748880363520665,0.06853292397021606,0.06882673905200208,0.06987299825611168,0.06889795067972503,0.0693161994421162,0.05915590171227357,0.06432638230694132,0.06138438933404707,0.060334369612067666,0.05282359682441305,0.05137027745870611,0.05516388072165877
glass,0.07333417247971634,0.07122560810179143,0.07837505226982315,0.07777529716316005,0.08380856747178282,0.08690436724653337,0.08635177046561775,0.08672855457597398,0.09063379161207276,0.09750366519740161,0.08969973648959399,0.101492747286913,0.10012629733921036,0.10175921709515812,0.0981165185852746,0.09685128757353731,0.09831055761718674
haberman-survival,0.060098958296608516,0.05952737057053294,0.059190484876234566,0.05888607712482404,0.05961311016332867,0.05751489169558746,0.05713562449091919,0.05688660002332626,0.056494941102644386,0.05541528509632827,0.04009348985545527,0.05646795145276752,0.05677533811322482,0.05895439490727522,0.05863348789684247,0.05871995144566451,0.05800059071445534
hayes-roth,0.09137548823992125,0.09203911185616728,0.09050648583876376,0.09014185125278357,0.08834217819994684,0.08834217819994684,0.08905687029151407,0.08781501894839944,0.0886935187716923,0.08299624102842554,0.07161700383285184,0.08196038670047899,0.08330380349258616,0.08136005847453687,0.08201088925642054,0.08230210640427436,0.09733345189499709
heart-cleveland,0.05092100789126411,0.05434954645730949,0.053100356664125194,0.0525834130394731,0.050109535877092555,0.04802976788063807,0.047561857052115096,0.0471641367339372,0.047251681137858666,0.04851661352768374,0.058637344084721134,0.04942450072312145,0.05209082721594941,0.054647659108271,0.05792211931738947,0.058255410483094926,0.05747619178759233
heart-hungarian,0.039393284057830824,0.040527913812490365,0.04013175620851642,0.04055319239863045,0.0421334197734299,0.04242300257798038,0.04201099999382004,0.04238236170905001,0.041857635142251944,0.041496238483984316,0.044799039664972465,0.04232322693089917,0.042260934004472735,0.04186677977520154,0.04161441875104753,0.04237670349745369,0.04283952745014946
heart-switzerland,0.07550314943571984,0.07570863605583912,0.07556046439992314,0.07626446327665407,0.07515421034151178,0.07522561319091334,0.07737298020067535,0.08331824097048822,0.08258445114475985,0.08177559394468735,0.08675016240263633,0.0784767223135817,0.0796247585311042,0.07679678280564606,0.08260003030499259,0.08845163497936953,0.08685350476469329
heart-va,0.059360596320973465,0.06324755596121341,0.06437093668015455,0.06433251606134899,0.05952306343958404,0.05579280137702377,0.05493992935490977,0.05599752437075649,0.05925310745513344,0.05724850342244017,0.07909328306034343,0.0609037709980059,0.06232104809894126,0.06774133800540004,0.06648594723526653,0.07011947888926648,0.06624130870608086
hepatitis,0.08764508299926126,0.08702750205341327,0.08843070449532124,0.08788790428579783,0.08760881556864038,0.0856698833833695,0.08647614338114841,0.08497922186352194,0.08533436477625735,0.08271062953216077,0.09560308217059227,0.08264043322136624,0.07928232848635498,0.0820435037159989,0.08155922932367823,0.08220850230179592,0.08439108474061346
hill-valley,0.036182900320993715,0.03558388119005062,0.03922740576656064,0.03695919980291198,0.03887748396431937,0.03759893016242993,0.0362588137384478,0.03669193754322481,0.03423414199893874,0.03433889459801832,0.037338804293629624,0.03415945582647088,0.03468772523783845,0.0343081182114493,0.034385348874784095,0.03405281853822941,0.03611675141774744
horse-colic,0.03651031526139064,0.03757843467235065,0.03684636813163069,0.03704493036614844,0.03630628140589366,0.03756190063101256,0.038161609521621065,0.03665564638916236,0.03657228238285447,0.03711884015514124,0.03821857654492404,0.038789211719534894,0.04001372956090693,0.039620577944131735,0.03722493780908442,0.035491124032324003,0.035666075824088546
ilpd-indian-liver,0.03547513062138366,0.03490422686265834,0.034997857043277285,0.03478352501666072,0.03440279126494654,0.03477118023511442,0.0346191850696989,0.03410115323286589,0.03375644243504729,0.03254632325828689,0.02913489658572911,0.0320096659908933,0.03162684591038863,0.03101765153405446,0.03147210748046758,0.03120134526981807,0.03141232275699618
image-segmentation,0.011794807670137164,0.011899391280437542,0.011615937545453437,0.011590281457259497,0.011814369105756202,0.011806088648373335,0.011777591604990702,0.011636132907860211,0.01150847892705441,0.011539880835333775,0.014903781563124373,0.011732586765033798,0.01151794589239893,0.01153988083533379,0.011600201607396932,0.011196080337235084,0.01126115117686929
