TRAINTESTDIFFSBALACC,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
CAWPE_alpha=15,0.0,0.23516717,0.03671561,0.00385833,3.6013E-4,1.7146E-4,2.056E-5,3.95E-6,1.89E-6,3.88E-6,2.5228E-4,4.1E-7,3.9E-7,5.0E-8,3.0E-8,3.0E-8,4.26E-6
CAWPE_alpha=14,0.0,0.0,0.08226332,0.00576311,2.8523E-4,1.4309E-4,9.57E-6,1.41E-6,8.1E-7,2.03E-6,3.5463E-4,2.6E-7,3.2E-7,4.0E-8,3.0E-8,2.0E-8,6.62E-6
CAWPE_alpha=13,0.0,0.0,0.0,0.00947013,5.554E-4,1.7666E-4,6.19E-6,6.4E-7,3.2E-7,7.8E-7,5.6924E-4,1.5E-7,2.3E-7,3.0E-8,3.0E-8,3.0E-8,9.65E-6
CAWPE_alpha=12,0.0,0.0,0.0,0.0,9.8687E-4,4.6044E-4,1.462E-5,8.9E-7,4.4E-7,1.29E-6,8.3553E-4,2.2E-7,2.7E-7,3.0E-8,3.0E-8,4.0E-8,1.428E-5
CAWPE_alpha=11,0.0,0.0,0.0,0.0,0.0,0.05455779,4.3121E-4,1.526E-5,2.11E-6,7.53E-6,0.00145322,7.7E-7,6.1E-7,4.0E-8,5.0E-8,4.0E-8,2.417E-5
CAWPE_alpha=10,0.0,0.0,0.0,0.0,0.0,0.0,0.00502659,4.25E-5,5.2E-6,1.238E-5,0.0021626,1.35E-6,1.11E-6,7.0E-8,7.0E-8,9.0E-8,4.165E-5
CAWPE_alpha=9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7192E-4,2.87E-6,1.903E-5,0.00386114,1.31E-6,1.43E-6,6.0E-8,8.0E-8,1.0E-7,6.79E-5
CAWPE_alpha=8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3478E-4,9.1928E-4,0.00664936,1.421E-5,5.39E-6,1.2E-7,1.6E-7,1.9E-7,1.3723E-4
CAWPE_alpha=7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19761134,0.01289697,2.2845E-4,3.178E-5,3.9E-7,4.8E-7,5.1E-7,3.0546E-4
CAWPE_alpha=6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01664405,1.6359E-4,3.588E-5,2.4E-7,4.0E-7,5.7E-7,3.9043E-4
CAWPE_pb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03097936,0.05953962,0.16481543,0.35595126,0.66269267,0.32992835
CAWPE_alpha=5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3399E-4,7.4E-7,8.7E-7,1.45E-6,6.7993E-4
CAWPE_alpha=4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-8,6.0E-8,3.6E-7,0.00121932
CAWPE_alpha=3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.574E-5,2.051E-5,0.007609
CAWPE_alpha=2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7591E-4,0.02449172
CAWPE_alpha=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091773
CAWPE_eq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

SIGN TEST,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
CAWPE_alpha=15,0.0,0.14579515,0.02912296,0.00362481,8.41E-6,5.5122E-4,2.892E-5,3.55E-6,5.7E-7,0.0,2.7651E-4,0.0,0.0,0.0,0.0,0.0,0.0
CAWPE_alpha=14,0.0,0.0,0.01809657,0.00146354,2.28E-6,1.9356E-4,8.41E-6,3.6E-7,5.0E-8,0.0,0.00106515,0.0,0.0,0.0,0.0,0.0,0.0
CAWPE_alpha=13,0.0,0.0,0.0,0.01410628,1.3444E-4,1.9356E-4,9.264E-5,5.48E-6,5.0E-8,1.3E-7,0.00199545,0.0,0.0,0.0,0.0,0.0,0.0
