CAWPE-S,SVML,Logistic,MLP1,NN,C4.5
-2.0628643981143466,-4.07692539323765,-4.536835780448706,-2.851145833482815,-2.0351747029628364,-2.9098345079096117
-0.6478514198523386,-0.7141193943142865,-1.569162512265497,-1.2677051614556984,-0.9529284851301939,-1.3434157579486472
-0.5146385577626867,-0.6649438977620719,-0.6602256572298033,-0.5414401833896086,-0.7558843760341324,-0.6679140714109623
-0.5861911834690811,-0.6494008244122547,-0.6147126595761647,-0.6848251054537748,-0.7104526557440826,-0.645737649787979
-0.3581758504647882,-0.5033127295485593,-0.5122540231589537,-0.49672604927043446,-0.4421082841683094,-0.5882141399070774
-0.6656878604187454,-2.1397792415251446,-1.8948584229975909,-1.0971416844878787,-0.8524258301875225,-1.48998104987426
-0.46020190334187966,-0.6295164392306721,-0.6140952690192475,-1.0890487859836928,-1.196649415670184,-0.5091044609049106
-0.454196492355841,-0.8813352667289224,-0.887492207982729,-0.3319692839459019,-1.0603673665345243,-0.5405421487329343
-0.7733228496099859,-0.9282065073436527,-0.9382583793201501,-1.0439026965147413,-1.4886075623814652,-0.9984175994657403
-0.27886799119761674,-0.7066417149978792,-0.7034205707899299,-0.3894204748774594,-0.6400276922172387,-0.15714090489559937
-0.05738666776586836,-0.3483423701921122,-0.2609364571878563,-0.00375843973421238,-0.0013365901009320664,-7.742921291459669E-4
-0.4563225770746016,-0.713021304129201,-1.8541636256200957,-0.5605539169113724,-0.9702835858695881,-1.3076276883514377
-0.10755327114648804,-0.23944643728651382,-0.24222269599016039,-0.053996937253957704,-0.31635020701061334,-0.2953885613612671
-0.16584094846522293,-0.32744328410787216,-0.3239597098943768,-0.17631710745435086,-0.30117350000133963,-0.057238536392929314
-0.5892061986486069,-0.7462182953006455,-0.6232894744891534,-0.9881797016356815,-0.9350895501521497,-1.1773595763079918
-0.2721426458855021,-0.3076062330588808,-0.3945365686257728,-0.46322798719868563,-0.4055370672994053,-0.6494218851993672
-0.5996279094328032,-0.7392672045413311,-0.6791500433557306,-1.1555978267979772,-1.275890223620266,-1.3691943648303782
-0.29078830746888085,-0.4027319010965447,-0.45850166250139196,-0.41883351256449675,-0.6823522292703359,-0.6725772542920041
-0.11234376298708222,-0.13814503888756022,-0.5222515213456255,-0.13092230990147694,-0.14725463232292021,-0.7257719669410249
-0.1520140991937544,-0.1784845641434428,-0.3182905575689337,-0.2587025031349032,-0.23847471056483097,-0.2727157296045765
-0.14764233630681126,-0.25984261689392935,-0.17966605867293764,-0.2369566916225929,-0.4324376188857929,-0.1976730763803218
-0.34555200036986017,-0.5116553318581463,-1.260709700246474,-0.5415033353825524,-0.4554802039419206,-0.9554988388242358
-0.10284917537380063,-0.15107191984644533,-0.2391753174199893,-0.44835125841724255,-0.10304257900763157,-0.3121377971828253
-0.694211039309231,-0.7104103887176384,-0.7097443914780294,-1.0134968700863667,-0.8230861279874607,-1.0175474849394102
-0.7384216891854513,-0.9105033221339248,-1.5272265399062535,-1.27243152168075,-0.7773450090701826,-0.9494062162109216
-1.2436067753370434,-1.3189002556135598,-1.705950169339963,-2.1181522248631968,-1.415496758208191,-1.5396816869132932
-1.13121203438784,-1.1210465031044303,-1.685489638155335,-1.7642028023323992,-1.4583726273999649,-1.6924823396253474
-0.5255191966041153,-0.6409046210749652,-0.7970138174403782,-1.0539341967657483,-0.7369085251539429,-0.8337939500489469
-2.0856298188101396,-2.429929640498495,-3.3038833040825204,-3.207437967811884,-2.5901456499196347,-2.5904130344592464
-0.9169447490885496,-0.9060181190362646,-1.07417903323653,-2.006834861727513,-1.1055429065993974,-0.8763702255530851
-0.9814957024864832,-1.362423051372488,-2.2333291979724432,-1.1002641966423632,-2.1994117318573525,-3.7371071238019806
-2.0019933789466218,-2.5434763731728904,-3.7918241269883426,-2.9532263958196814,-4.0589984266023125,-3.8209971678857984
-1.1047457739565172,-1.5272260521308494,-1.936387944622156,-1.4008771805131806,-2.5508662006802245,-3.53797976732885
-1.1138958511822676,-1.3002247204503858,-1.505169115565039,-2.4236735430956644,-1.300847212962009,-1.0259485943638242
