CAWPE(alpha=4),CAWPE(ConTie),CAWPE(RandTie)
0.7673333744159851 ,0.7684044192342687,0.7670959668668075
0.7691587671080815 ,0.7710413616656719,0.7684790147415813
0.7655999708730201 ,0.7661085782797395,0.76539225596557
0.782317265024032 ,0.7864881901724007,0.7729020603456693
0.775472772841194 ,0.7917993034534387,0.7713911401881327
0.7981602274083477 ,0.8200568520869274,0.7940785947552865
0.8426430795603729 ,0.846724712213434,0.8426430795603729
0.7046564463105817 ,0.7597310375505865,0.7005748136575204
0.8171672688214041 ,0.8292954247089585,0.7908407382091592
0.6766767568271328 ,0.6930032874393777,0.6725951241740715
0.7602744957632176 ,0.7614440864064924,0.7502744957632176
0.7741196063752456 ,0.8030099057166726,0.7518747084160617
0.8310428669075286 ,0.8310428669075286,0.82637643893283
0.8509829769228265 ,0.8509829769228265,0.8469013442697653
0.8487794160726491 ,0.8687794160726492,0.8406161507665267
0.8637527802189456 ,0.843085636168343,0.8537527802189457
0.7614734889170979 ,0.7744798142542504,0.7562222656207618
0.737568488320368 ,0.7278943028567089,0.7241539997179095
0.7460320715207934 ,0.7466168668424309,0.7378688062146709
0.8242138897026117 ,0.8353834803458865,0.824798685024249
0.7479766515856742 ,0.7561399168917966,0.7392285909579142
0.8296897004415802 ,0.8500793108311905,0.8203568444921829
0.7277520641430416 ,0.7637303214746824,0.7277520641430416
0.7629619503303713 ,0.8080365415703762,0.7542138897026115
0.8024184921177403 ,0.8493298180516226,0.7871672688214042
0.7753305341275267 ,0.786750208855472,0.7519160455250681
0.7800793108311905 ,0.7947457388058892,0.7713312502034306
0.8314854235154987 ,0.8478119541277437,0.8309006281938613
0.7861174581475334 ,0.7867022534691708,0.7820358254944721
0.7112832948171295 ,0.7247801321485532,0.6990383968579457
0.7304325749438532 ,0.739180635571613,0.6998477796222157
0.7950047195911857 ,0.8022349162950666,0.7961743102344606
0.7629619503303713 ,0.77762837830507,0.7466354197181264
0.38626684790619215 ,0.39871554674833365,0.3734463350856793
0.39927340419143686 ,0.42181992870517454,0.3814844172221221
0.3405045773898233 ,0.3448425345146657,0.33987406036586365
0.3667229491819656 ,0.3900807389331979,0.3725026885682624
0.32556732884601736 ,0.32556732884601736,0.3114857819775852
0.34354923764759826 ,0.35516876566056893,0.319349994268027
0.3336093960684125 ,0.35342291588193225,0.3336093960684125
0.4109231205952517 ,0.4086398847054585,0.38751756440281027
0.31807149135017987 ,0.3368372065093376,0.3174409743262202
0.4130565063351949 ,0.4552254848976161,0.38042247370116233
0.3784532953385413 ,0.40055005104185426,0.3329509834427867
0.5673510642363101 ,0.5767583236435696,0.43149025837550425
0.36485137813006663 ,0.3911229207950519,0.3774931079849113
