TRAINTESTDIFFSAUROCRANKS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_pb,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
oocytes_merluccius_states_2f,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
oocytes_trisopterus_nucleus_2f,6.0,5.0,4.0,2.0,7.0,8.0,3.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
oocytes_trisopterus_states_5b,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
optical,5.0,8.0,6.0,10.0,15.0,16.0,12.0,11.0,7.0,9.0,2.0,17.0,4.0,3.0,1.0,13.0,14.0
ozone,4.0,2.0,3.0,5.0,6.0,8.0,7.0,14.0,9.0,11.0,10.0,1.0,12.0,13.0,15.0,17.0,16.0
page-blocks,4.0,2.0,6.0,5.0,1.0,3.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,14.0,13.0,15.0,16.0
parkinsons,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
pendigits,8.0,6.0,14.0,11.0,7.0,10.0,2.0,12.0,5.0,13.0,9.0,17.0,4.0,3.0,1.0,16.0,15.0
pima,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
pittsburg-bridges-MATERIAL,3.0,1.0,2.0,5.0,9.0,8.0,7.0,4.0,6.0,10.0,11.0,17.0,12.0,13.0,15.0,14.0,16.0
pittsburg-bridges-REL-L,1.0,2.0,3.0,6.0,7.0,4.0,5.0,9.0,8.0,10.0,11.0,15.0,12.0,13.0,14.0,16.0,17.0
pittsburg-bridges-SPAN,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
pittsburg-bridges-T-OR-D,1.0,3.0,2.0,4.0,6.0,5.0,7.0,8.0,9.0,10.0,11.0,17.0,13.0,12.0,15.0,16.0,14.0
pittsburg-bridges-TYPE,2.0,3.0,4.0,7.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
planning,2.0,3.0,5.0,6.0,4.0,1.0,7.0,8.0,12.0,13.0,10.0,17.0,9.0,11.0,14.0,15.0,16.0
plant-margin,4.0,7.0,2.0,3.0,5.0,1.0,6.0,9.0,8.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
plant-shape,16.0,14.0,15.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,17.0,3.0,4.0,1.0,2.0,5.0
plant-texture,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
post-operative,10.0,8.0,5.0,3.0,2.0,1.0,7.0,11.0,12.0,13.0,4.0,17.0,6.0,9.0,15.0,14.0,16.0
primary-tumor,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
ringnorm,5.0,4.0,3.0,1.0,2.0,6.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
seeds,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,13.0,11.0,9.0,17.0,8.0,12.0,14.0,15.0,16.0
semeion,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,10.0,12.0,1.0,13.0,14.0,17.0,16.0,15.0
soybean,1.0,2.0,3.0,5.0,6.0,8.0,7.0,4.0,9.0,10.0,11.0,17.0,12.0,15.0,13.0,14.0,16.0
spambase,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
spect,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,11.0,12.0,9.0,13.0,14.0,15.0,16.0,17.0
spectf,4.0,2.0,3.0,5.0,8.0,9.0,11.0,6.0,7.0,10.0,12.0,1.0,13.0,15.0,14.0,16.0,17.0
statlog-australian-credit,3.0,5.0,2.0,4.0,6.0,7.0,9.0,8.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
statlog-german-credit,16.0,13.0,15.0,12.0,14.0,9.0,10.0,8.0,5.0,4.0,3.0,17.0,2.0,1.0,6.0,7.0,11.0
statlog-heart,6.0,4.0,1.0,2.0,3.0,5.0,7.0,9.0,10.0,11.0,12.0,8.0,13.0,14.0,15.0,16.0,17.0
statlog-image,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
statlog-landsat,2.0,3.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
statlog-shuttle,1.0,2.0,4.0,7.0,3.0,5.0,9.0,10.0,6.0,8.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
statlog-vehicle,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
steel-plates,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
synthetic-control,14.0,16.0,17.0,13.0,12.0,10.0,11.0,9.0,8.0,7.0,3.0,1.0,4.0,6.0,2.0,5.0,15.0
teaching,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
thyroid,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
tic-tac-toe,16.0,15.0,14.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,2.0,17.0,3.0,4.0,1.0,5.0,13.0
titanic,8.0,10.0,11.0,13.0,15.0,17.0,16.0,5.0,7.0,2.0,3.0,1.0,4.0,6.0,9.0,12.0,14.0
trains,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,16.0,7.0,7.0,14.5,14.5,17.0
twonorm,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0,12.0,14.0,11.0,16.0,17.0,15.0,13.0
vertebral-column-2clases,1.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,3.0,13.0,14.0,15.0,16.0,17.0
vertebral-column-3clases,4.0,2.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
wall-following,15.0,16.0,17.0,13.0,10.0,9.0,11.0,12.0,14.0,8.0,7.0,1.0,6.0,5.0,4.0,3.0,2.0
waveform,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
waveform-noise,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,12.0,10.0,13.0,14.0,15.0,16.0,17.0
wine,1.0,3.0,5.0,2.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
wine-quality-red,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
wine-quality-white,16.0,15.0,13.0,12.0,10.0,9.0,7.0,5.0,3.0,2.0,4.0,1.0,6.0,8.0,11.0,14.0,17.0
yeast,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
zoo,1.0,7.0,3.0,2.0,6.0,4.0,5.0,9.0,13.0,10.0,15.0,17.0,16.0,14.0,11.0,12.0,8.0
