TRAINTESTDIFFSAUROC:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_pb,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
conn-bench-sonar-mines-rocks,5.899004623492724E-4,9.217171717170217E-4,9.066981771061985E-4,0.0013109226374531046,0.001335880672615223,0.0015171393232616146,0.0013763362487850853,0.0011916173395763896,0.00107069234620241,8.978266631326355E-4,3.6634567246799363E-4,-0.006269767647318839,-3.700267985983885E-4,-6.896589804754568E-4,-0.0013663603969727952,-0.0017565965780253045,-0.0015037032128870495
conn-bench-vowel-deterding,-9.081930415264061E-4,-9.037037037037695E-4,-9.107369996259421E-4,-9.011597456042112E-4,-8.999625888514995E-4,-8.950243172465548E-4,-8.852974186307557E-4,-8.748222970445566E-4,-8.658436213991908E-4,-8.698840254395972E-4,-8.716797605686666E-4,-0.0030225215114103774,-9.069958847736685E-4,-9.397680508791603E-4,-9.925925925926078E-4,-0.001031350542461662,-0.0010826786382341987
connect-4,-0.004051670231792751,-0.004054837441874778,-0.004056218125992972,-0.004057874828666352,-0.0040583517422794575,-0.004057474550386342,-0.004054836017790405,-0.004052402527605836,-0.004048152473671159,-0.004041727683496491,-0.004033785374740943,-0.0019270366798494329,-0.0040249328181782805,-0.00401171180666325,-0.003996662090969894,-0.003978147595508452,-0.003957880596626329
contrac,-0.005282357715130526,-0.005527338256014983,-0.005832366295904752,-0.0061079519575648385,-0.006464740090337577,-0.006816726532056516,-0.007143531859573045,-0.007478006185971486,-0.007827778054374079,-0.008180675802162533,-0.00852715982518385,-0.009971521363015117,-0.008888687928916545,-0.009230743277260556,-0.009664608536244734,-0.010003885322969008,-0.010344490822143108
credit-approval,-0.00845641263671858,-0.008520608683744931,-0.00862369344189592,-0.008707347153658269,-0.008765032005720607,-0.008860039021298545,-0.008941118623137645,-0.009048459886497955,-0.009145934538609558,-0.009182159910481321,-0.009277752529701526,-0.06193703641949549,-0.009448890564877506,-0.00956903189709923,-0.009753156329568266,-0.009852237456810024,-0.01000785884717694
cylinder-bands,-0.021279914529914578,-0.02178418803418803,-0.022111111111111127,-0.02242735042735038,-0.02277777777777774,-0.022967948717948702,-0.023196581196581183,-0.023608974358974345,-0.024038461538461512,-0.024551282051282066,-0.024963675213675186,-0.01932905982905981,-0.025591880341880282,-0.026053418803418785,-0.026673076923076897,-0.027117521367521356,-0.027455128205128163
dermatology,-9.727946028728432E-5,-1.0301882654738896E-4,-1.0170471802991946E-4,-1.0048104762896414E-4,-1.0282825770939012E-4,-1.0037876497615006E-4,-1.0861553294194322E-4,-1.0405515600735068E-4,-1.051091444871477E-4,-1.0741167349214154E-4,-1.0393413836902916E-4,-0.0013262594791497533,-1.1358158810756969E-4,-1.1008424203330369E-4,-1.1341588939382715E-4,-1.1580778054965194E-4,-1.2867049344227703E-4
echocardiogram,-0.0023333989243076985,-0.0031467270103630635,-0.004379837334382449,-0.005722812540994031,-0.005729371638462214,-0.00590154794700215,-0.006647645284008548,-0.007223206086842119,-0.008357929948838709,-0.009274563820018048,-0.009454939000393214,0.0022497704315889416,-0.009978027023481233,-0.010565066246884096,-0.010984848484848176,-0.011847369801914953,-0.012455726092089408
ecoli,-0.0076656449125603356,-0.007691477818874367,-0.007762620235258422,-0.007825686667821352,-0.007882722213556244,-0.007889299803785858,-0.007982413516330725,-0.008104040723555939,-0.008203992126128738,-0.008285107574029877,-0.008386612644216467,-0.012744173919490284,-0.008438411884880008,-0.008463099782564291,-0.008511368213463825,-0.008591813306460099,-0.00859533524948018
energy-y1,-3.4195351458728244E-4,-3.101615122359291E-4,-2.639211140019156E-4,-2.1011616034697367E-4,-1.7530519835794455E-4,-1.243867462550193E-4,-6.270088858941758E-5,1.7746067444128027E-5,1.2091052040767991E-4,2.2099165532143047E-4,2.878288334446514E-4,0.007301094872922901,3.52284001715227E-4,4.150834860065252E-4,4.261864743320095E-4,4.003142938630725E-4,3.778233723488918E-4
