TRAINTESTDIFFSAUROC:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_pb,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
oocytes_trisopterus_states_5b,-9.174245292502215E-4,-9.87184277194819E-4,-0.001040456333719253,-0.001090572879978883,-0.0011515116741626788,-0.0012278041940737932,-0.0012743070867361705,-0.0013522417270811085,-0.0014009238630381096,-0.0014846172549535426,-0.001530715700761435,9.003626500620772E-4,-0.0016068649727039549,-0.0016961537920987535,-0.0018070548086941492,-0.001893699394752509,-0.001977125376040667
optical,-1.06370230347493E-4,-1.0819753052870492E-4,-1.0777978414105993E-4,-1.0954937691410131E-4,-1.1098023014067075E-4,-1.1145194739248243E-4,-1.0991773463030856E-4,-1.099132973106672E-4,-1.0812476664377643E-4,-1.0930655941289909E-4,-1.0503287793354558E-4,-2.9844563315063836E-4,-1.0603840097238582E-4,-1.0580896977784305E-4,-1.0345440866479741E-4,-1.0991903068355477E-4,-1.1082050984514054E-4
ozone,-0.02464600342849568,-0.024495972546336432,-0.02449981816350458,-0.02466180224608167,-0.024667341574326113,-0.02471253477041289,-0.024707104281635528,-0.02495500039163565,-0.02481142733985786,-0.024858896924289272,-0.024822419135983688,-0.009591610967523345,-0.02488351259675221,-0.024929604427978088,-0.02502120118894937,-0.025320475269701905,-0.025166791302045563
page-blocks,-5.905196870225282E-4,-5.896017456831993E-4,-5.921887194815383E-4,-5.909563148096505E-4,-5.882563485850256E-4,-5.899878171103452E-4,-5.959416180451926E-4,-5.968884258175692E-4,-5.99349549872367E-4,-6.034404044179209E-4,-6.08331609109954E-4,-0.0014840594721489465,-6.133713430609533E-4,-6.155003708181487E-4,-6.147051915730284E-4,-6.201832786087436E-4,-6.20467188288613E-4
parkinsons,-0.00783891768480685,-0.007748416224442356,-0.008053858653172433,-0.008115821300751535,-0.008250287959190809,-0.008427434283597398,-0.008435147476242078,-0.008839061664402818,-0.009058116335512319,-0.009849747007279974,-0.010019694351884845,-0.02143933316878412,-0.010779186720966238,-0.011504226829568002,-0.012610041548396416,-0.01366366366366237,-0.016294890781190854
pendigits,-6.370949822429584E-5,-6.312005204078819E-5,-6.729277440390425E-5,-6.477261320576577E-5,-6.342540432153025E-5,-6.448040257790814E-5,-6.0039253388773545E-5,-6.536460134670685E-5,-6.272756230279268E-5,-6.569036629646326E-5,-6.372647807046198E-5,-1.63062030576074E-4,-6.188892219431234E-5,-6.131093849321238E-5,-5.8463956337269825E-5,-6.922394814404079E-5,-6.739162436295207E-5
pima,-0.002808955223880634,-0.0030487562189055128,-0.003160199004975143,-0.0033373134328358238,-0.0034815920398009736,-0.003655721393034839,-0.0037900497512437514,-0.004019900497512444,-0.004240796019900509,-0.004465671641791006,-0.004748258706467656,-0.0016407960199006032,-0.0050189054726368105,-0.0053273631840796325,-0.005575124378109442,-0.005739303482587051,-0.006051741293532353
pittsburg-bridges-MATERIAL,-0.006007339150395744,-0.005876017187337586,-0.005896376208888528,-0.006434190042177997,-0.007170677446893633,-0.007108641947239018,-0.006914943665746124,-0.006360498547739076,-0.006608446916319048,-0.007301860161026208,-0.007662196958373298,-0.009318570432004033,-0.007829658019984094,-0.008412875332280597,-0.008642181114893517,-0.00854025656390907,-0.00872314343496355
pittsburg-bridges-REL-L,-0.01012582672718696,-0.010548207370936627,-0.01075742522473545,-0.011785607190170577,-0.011795772028988334,-0.011261047693145069,-0.011516715529769506,-0.012323611813080847,-0.011936295738292198,-0.013526298230883542,-0.014725452387146084,-0.01993406930693017,-0.01674790394546865,-0.01836333910511177,-0.019474869936914673,-0.02216727166760074,-0.02308814482366475
pittsburg-bridges-SPAN,-0.03861660079051381,-0.03935159043854695,-0.03987201204592508,-0.04133352155091286,-0.042363071710897794,-0.04407208733295689,-0.045458309806135896,-0.04717955957086393,-0.04923677771503857,-0.05036325992847732,-0.052105213626952744,-0.06322134387351781,-0.05340203274985881,-0.05510446075663469,-0.05758046301524562,-0.05966403162055337,-0.06192923019009977
pittsburg-bridges-T-OR-D,-0.03376623376623379,-0.034415584415584434,-0.03419913419913421,-0.03474025974025974,-0.03625541125541127,-0.036255411255411256,-0.04025974025974026,-0.040259740259740266,-0.04036796536796538,-0.040800865800865796,-0.041558441558441565,-0.052922077922077905,-0.04264069264069264,-0.04242424242424243,-0.0435064935064935,-0.04491341991341992,-0.04307359307359307
pittsburg-bridges-TYPE,-0.025314106140728057,-0.025357786924182817,-0.02581037958550989,-0.02608619851406172,-0.025871191575075628,-0.02592771072164158,-0.02628428107939647,-0.026698546174809122,-0.027114751284654157,-0.027255561504589614,-0.027733510081572592,-0.024640000580434553,-0.02835323443163196,-0.028756085565436625,-0.029575425387069705,-0.029794532120007922,-0.030300753314910982
planning,-0.018500986193293857,-0.018816568047337223,-0.01962524654832342,-0.019842209072978245,-0.01928994082840233,-0.01840236686390529,-0.02001972386587766,-0.02029585798816563,-0.021124260355029536,-0.02130177514792895,-0.020788954635108436,-0.032682445759368815,-0.020749506903353022,-0.021084812623274152,-0.021400394477317525,-0.02270216962524652,-0.023372781065088732
plant-margin,-0.0017267992424243965,-0.0017483164983166303,-0.0017212752525253116,-0.0017257996632997355,-0.0017324810606061244,-0.0017198021885521922,-0.0017421085858586002,-0.0017584701178451863,-0.001756786616161669,-0.0017687289562290302,-0.0018136574074074836,-0.0023492739898990293,-0.001831439393939427,-0.001874263468013441,-0.001913247053872121,-0.0019305029461279802,-0.001990740740740815
plant-shape,-0.004559501262626283,-0.004495896464646399,-0.004552714646464695,-0.00448926767676772,-0.004468592171717323,-0.004395412457912555,-0.004364951599326664,-0.0043556923400674226,-0.004328966750841856,-0.004300715488215501,-0.004249000420875567,-0.005535406144781144,-0.004230902777777871,-0.004231376262626237,-0.004209964225589443,-0.00422401094276101,-0.0042453177609428055
plant-texture,-0.0035391190617790652,-0.0035429107109110143,-0.0035614294247143167,-0.003571736698876212,-0.0035861054909556303,-0.0036003111587564677,-0.0036182078285448096,-0.003620838095650425,-0.0036310150862514916,-0.003643739840731186,-0.0036554953449893864,-0.00628438631622659,-0.0036839835926475253,-0.0037167532988755564,-0.0037528388248047164,-0.003796211370572511,-0.003843743597640122
post-operative,-8.741258741258713E-4,-7.770007770007859E-4,-1.6835016835018609E-4,7.459207459207251E-4,7.839074505741025E-4,9.781576448243013E-4,-4.4202710869377105E-4,-8.771475438142347E-4,-0.00108046274712942,-0.0019291202624536134,-1.0964344297678674E-4,-0.008771907105240428,-1.985668652335552E-4,-7.873607873608135E-4,-0.0027997927997928124,-0.002694034360701016,-0.004794958128291458
primary-tumor,-0.008448132815814757,-0.008810367341509718,-0.008774705662110622,-0.008906979155114802,-0.009182833674862289,-0.00941349840397941,-0.009464130354293214,-0.009566291474687905,-0.010338701019436585,-0.010822605920486617,-0.011045392444315587,-0.02151325802099218,-0.01160992614526909,-0.011993239853650854,-0.012621292347086688,-0.013338667828940587,-0.013999839955435401
ringnorm,0.0021253144198309965,0.0021295125284808516,0.002142087373647572,0.0021438796056465815,0.0021429542684731776,0.0021238923227014446,0.002094729591152885,0.0020603362694768626,0.0020136505739817585,0.0019675882635297737,0.001930613738159559,-0.0023153299732878866,0.0018876293913580144,0.001851219808683091,0.0018071055764908824,0.0017429943209622842,0.0016555061263165119
seeds,-0.0013968253968254,-0.0014920634920634816,-0.0015691609977324143,-0.0016326530612244575,-0.0017142857142856793,-0.0017868480725623526,-0.0018639455782312852,-0.0019138321995464725,-0.0019501133786847997,-0.001936507936507914,-0.0018820861678004194,-0.011179138321995411,-0.0018775510204081414,-0.001950113378684796,-0.0019637188208616635,-0.0020453514739228887,-0.002099773242630376
semeion,-4.5959471146456523E-4,-4.822682764597112E-4,-4.991759935790263E-4,-5.163245889405014E-4,-5.349748713416091E-4,-5.597949051577363E-4,-6.071970815399489E-4,-6.227433337046895E-4,-6.50752833401543E-4,-6.465665383445211E-4,-6.523093153737262E-4,-2.294350140432296E-5,-6.669478190982107E-4,-6.979727412824118E-4,-7.188584377413506E-4,-7.145381871662766E-4,-7.119105738220388E-4
soybean,-0.0012071880161748539,-0.0012158186539026673,-0.0012290717130045777,-0.0012451028072428926,-0.0012484258098199679,-0.0012563046174249156,-0.0012553678620763917,-0.0012446290962128902,-0.0012598941963440431,-0.0012807547089597451,-0.0012884730084377924,-0.001873735157454759,-0.001295309147467209,-0.0013192895493650731,-0.0012992795550052802,-0.0013190680639302399,-0.0013198475562857396
spambase,-7.533190554058174E-4,-7.612308266433147E-4,-7.778195024917611E-4,-7.858954803020901E-4,-7.981929026863381E-4,-8.133130020118692E-4,-8.230822018780485E-4,-8.294238405162228E-4,-8.491937531838596E-4,-8.663833849321272E-4,-8.804614723549024E-4,5.224613459776724E-4,-8.983454101155863E-4,-9.19503178229919E-4,-9.376797953649984E-4,-9.662250260105328E-4,-9.912141644281632E-4
spect,0.003726879181424514,0.0033654224563314126,0.0026842854115580223,0.002266420448238508,0.0018810482446844578,0.001048850139759098,1.1503647867269947E-4,-1.616565252930302E-4,-0.0012219094037277316,-0.0017547099365282427,-0.0029205138296048835,-6.970806970808355E-4,-0.0035928717746900873,-0.0046893510529875445,-0.005407622680350088,-0.006309145400054646,-0.006936800573164367
spectf,-0.012699244617483596,-0.01229784366576817,-0.012613140993644134,-0.012816961166017764,-0.013390153405876671,-0.01341635885661044,-0.013624754583874093,-0.013338574423480106,-0.013359372400252903,-0.01361310771688132,-0.013918422015906321,-0.011927639679212013,-0.014279058933146963,-0.014519067585105313,-0.01449078233669429,-0.014883448138165122,-0.015433346644038488
statlog-australian-credit,-0.006337106337106306,-0.006512923179589876,-0.006314006314006258,-0.006450039783373137,-0.006619439952773309,-0.006953106953106951,-0.007173840507173806,-0.00706989040322375,-0.007462590795924092,-0.007711557711557698,-0.00808115808115807,-1.0395010395007898E-4,-0.008672775339441979,-0.009355509355509347,-0.00980082646749318,-0.010510510510510489,-0.011271527938194598
statlog-german-credit,-0.012259682539682603,-0.012132063492063494,-0.012140952380952426,-0.012128888888888963,-0.012136507936507978,-0.012076825396825419,-0.012081904761904771,-0.012057142857142884,-0.011999365079365117,-0.011993015873015885,-0.011979682539682561,-0.015651428571428636,-0.011926984126984145,-0.011922539682539661,-0.012039365079365042,-0.012043174603174589,-0.012121269841269858
statlog-heart,-0.004444444444444284,-0.004355555555555387,-0.004074074074073905,-0.004281481481481308,-0.004303703703703535,-0.004362962962962791,-0.004459259259259085,-0.004718518518518359,-0.004822222222222065,-0.0049703703703701885,-0.005251851851851693,-0.004688888888888761,-0.005399999999999868,-0.00559259259259246,-0.005985185185185012,-0.006288888888888796,-0.006918518518518402
statlog-image,-2.963254478405027E-4,-2.990365414606659E-4,-3.0008599705561766E-4,-3.003483609543315E-4,-3.004649671315566E-4,-3.0203915052396204E-4,-3.042838194352656E-4,-3.0635357908082397E-4,-3.0915212733390783E-4,-3.10959523080682E-4,-3.120381302198864E-4,-4.67007739734937E-4,-3.170230442957352E-4,-3.189761977639982E-4,-3.210459574095344E-4,-3.236112933082236E-4,-3.274884487005155E-4
statlog-landsat,-5.444698109675591E-4,-5.474386870305992E-4,-5.482350743911198E-4,-5.513566019060538E-4,-5.560422131549576E-4,-5.579065006348342E-4,-5.576636845137687E-4,-5.593886703633625E-4,-5.604882637181581E-4,-5.620893020046979E-4,-5.655419696653544E-4,-4.76266649375597E-4,-5.680405232436292E-4,-5.702471034185715E-4,-5.736038011389296E-4,-5.739809338038674E-4,-5.785645671943174E-4
statlog-shuttle,-2.1260826859022715E-5,-2.1330464292583042E-5,-2.146270109962822E-5,-2.1555855495151525E-5,-2.1440787686085223E-5,-2.149191846734233E-5,-2.158991948765602E-5,-2.162132830420734E-5,-2.1493407550724856E-5,-2.1560425810422204E-5,-2.1713477675533443E-5,-3.2117862528025323E-4,-2.176522226536119E-5,-2.193400833491547E-5,-2.2095559646902647E-5,-2.244493992273888E-5,-2.2914981841411682E-5
statlog-vehicle,-0.0018241764789718507,-0.0018877260886779213,-0.0019410173791159983,-0.002010905043442109,-0.0021703215514525293,-0.0022344067039947514,-0.0023082909222533086,-0.0024731093200977255,-0.002687976578302616,-0.0029351799262945363,-0.0031327407250108593,-0.006766084093022832,-0.0034354279715101336,-0.0037150107094201263,-0.00403194913761964,-0.004341845579132212,-0.004700182899639501
steel-plates,-0.002396776031965268,-0.0024669518390494694,-0.0025190101583850415,-0.0025700388132241,-0.0026329737129803985,-0.0026929091256169824,-0.002755466745967398,-0.00281246328236312,-0.0028783605292966195,-0.002930954982800308,-0.0029921821198123253,-4.6373947863539804E-4,-0.003075959773568863,-0.0031520004478881297,-0.0032348851814358536,-0.003297441871271989,-0.0033768072168829416
synthetic-control,-2.7111111111096284E-5,-3.155555555555134E-5,-3.199999999998389E-5,-2.266666666666343E-5,-1.644444444443375E-5,-1.4222222222215474E-5,-1.5555555555553844E-5,-1.3333333333335566E-5,-1.155555555554244E-5,-1.0666666666666232E-5,-1.333333333316163E-6,1.1555555555564645E-5,-3.555555555549243E-6,-4.444444444462459E-6,4.444444444458758E-6,-3.999999999963292E-6,-2.9333333333344164E-5
teaching,-0.012790740623735053,-0.013872782048492094,-0.014724318780143807,-0.01483859635082122,-0.015353450105188486,-0.016339512038733833,-0.017432136503724497,-0.018969445556000393,-0.019885920216039833,-0.021444838379796553,-0.023627523477227352,-0.04433083727058095,-0.02475674016975232,-0.02566014550849598,-0.02750463380673928,-0.029629657430223767,-0.03319172820005213
thyroid,6.584265010695053E-4,6.47544874377648E-4,6.364816067776317E-4,6.292203860885359E-4,6.247402668210926E-4,6.227001654020533E-4,6.151243409739715E-4,6.101432662336241E-4,6.072557491867229E-4,6.011521424328148E-4,5.994750665530199E-4,-5.444549608767983E-4,5.910734869782663E-4,5.886115919691903E-4,5.796589234025928E-4,5.754077089502152E-4,5.693454068253168E-4
tic-tac-toe,-3.3039506267882696E-4,-3.182057302693201E-4,-3.1050720453699163E-4,-2.9639324069439626E-4,-2.854869959069362E-4,-2.6495759395408494E-4,-2.457112796232693E-4,-2.367296662688904E-4,-2.2454033385938728E-4,-2.168418081270551E-4,-2.0721865096165655E-4,-0.01020824512105934,-2.078601947726688E-4,-2.1042637001678817E-4,-2.0529401952855685E-4,-2.1106791382779304E-4,-2.98959415938486E-4
titanic,0.06166343292644367,0.06153084320466782,0.06142629858531912,0.06128034906267995,0.06111057805496308,0.0609831554492992,0.06106823354727649,0.06182926495958967,0.06169175983938295,0.06281177288196998,0.06254810586870475,0.15840519218167143,0.062236973255970794,0.061768119867181684,0.061595954886244614,0.06138749157843355,0.06115772821075542
trains,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.1824074074074074,-0.075,-0.075,-0.08333333333333331,-0.08333333333333331,-0.2388888888888889
twonorm,4.4732608948538924E-5,4.420438177993683E-5,4.2532797833405575E-5,3.909146654472358E-5,3.200920786330016E-5,2.3395471578872376E-5,2.0065101876317232E-5,1.445469410079244E-5,5.654712644157881E-6,7.077108009819385E-6,-4.63019707447702E-6,-1.0504417784984454E-5,-4.555982353034634E-6,-1.9085182673835484E-5,-3.225581536259551E-5,-1.8668838684336255E-5,-5.221757777599627E-6
vertebral-column-2clases,-0.007987301587301562,-0.008158730158730098,-0.008501587301587236,-0.008679365079365054,-0.008926984126984098,-0.00910476190476187,-0.009358730158730144,-0.00954285714285713,-0.009650793650793651,-0.010095238095238079,-0.010393650793650762,-0.008247619047619014,-0.01053333333333331,-0.010565079365079333,-0.010952380952380906,-0.011149206349206317,-0.011371428571428532
vertebral-column-3clases,-0.003428894009216595,-0.0033836405529953854,-0.003390061443932398,-0.0034882744495647543,-0.0036071991807475373,-0.003746180235535072,-0.003852124935995878,-0.003957772657450061,-0.004136989247311829,-0.004221239119303607,-0.004362416794674821,0.0018911623143880285,-0.004493927291346596,-0.004645739887352777,-0.004785739887352758,-0.005001223758320543,-0.005106385048643088
wall-following,2.716740790951966E-4,2.7154145221210585E-4,2.6848465440616477E-4,2.7231853900481216E-4,2.7785349880129855E-4,2.793631221932695E-4,2.76524247864592E-4,2.736025205488324E-4,2.722633028267881E-4,2.963891388263325E-4,3.364073927965376E-4,0.0020160056616727743,3.415575044879215E-4,4.3578025816974527E-4,5.34451224088132E-4,6.166558747204361E-4,7.248873341166639E-4
waveform,-8.513021304750956E-4,-8.648716833494367E-4,-8.773703288560383E-4,-8.897292687370828E-4,-9.050539949044478E-4,-9.217033721246418E-4,-9.375066059790549E-4,-9.477461736520716E-4,-9.602571329781965E-4,-9.766963431452446E-4,-9.99176921534369E-4,-7.597682638456838E-4,-0.0010215321108645425,-0.001038545026268008,-0.0010553680076416069,-0.0010672744996303367,-0.0010886483641779688
waveform-noise,-2.621383833049625E-4,-2.734291411754963E-4,-2.824500827396677E-4,-2.943793529225173E-4,-3.122194217925145E-4,-3.2723891927550764E-4,-3.507380922847044E-4,-3.696918939771458E-4,-3.945691633113683E-4,-4.222160557644794E-4,-4.577389664993584E-4,-4.180370783018953E-4,-4.992448149659785E-4,-5.567567639160109E-4,-6.13638468782877E-4,-6.587115024397498E-4,-7.251426278999033E-4
wine,-0.0018592548782870348,-0.0018908319136533198,-0.0019046581745857012,-0.0018872925782543479,-0.0019009760477324833,-0.0019219782940364711,-0.0019540278580730632,-0.0020330388361275357,-0.002040173314829848,-0.002054235196881408,-0.0021297019321526354,-0.006898437874495359,-0.002137747516548897,-0.002151532840967074,-0.002182007100690638,-0.00223477068048441,-0.0023536453769600046
wine-quality-red,-0.00504039290032593,-0.005169598142832562,-0.005354877616717657,-0.005597334819886609,-0.00580261612026474,-0.00600247180833939,-0.006178299902994362,-0.006398663681834615,-0.006664231430137565,-0.00688620146657587,-0.007090911679561488,-0.0022054533364438264,-0.007354291322794952,-0.007575906103545693,-0.007809761414401295,-0.008050458174184016,-0.008244117616091983
wine-quality-white,-0.0077000156914310055,-0.007683602340602158,-0.007658713143279524,-0.007639736834902425,-0.007599087531356767,-0.0075683880537582016,-0.007530353805828457,-0.007501136212510517,-0.007486884914825579,-0.007477784193833048,-0.007488007896059879,-1.7004984558403047E-4,-0.007519047327834001,-0.007546932783371629,-0.007602163768335812,-0.00766346648850816,-0.007762917485514379
yeast,-0.0024023820166356956,-0.0024410861540510383,-0.0025096623447499597,-0.0025519233140333737,-0.002609846949431423,-0.002699382909864815,-0.0027570735874761407,-0.0028109192021844253,-0.0028928745295410934,-0.002926701492359403,-0.0029881452858712947,-0.0038838635772063036,-0.0030407688217516677,-0.003121244116946483,-0.0032108568052350663,-0.0032912782227898915,-0.003389615610184142
zoo,-0.0059055162548834845,-0.006063560957001135,-0.005982284583931445,-0.00598125780478916,-0.0060513298123744215,-0.006009159680918571,-0.00602708558030343,-0.0060899327860077825,-0.006136614686793033,-0.006125162669261982,-0.0061853315896132745,-0.011025458626142404,-0.00619827790177497,-0.0061614912158754,-0.006131900183244858,-0.006133530321653114,-0.006073104425360957
