TRAINTESTDIFFSAUROCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_pb,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
echocardiogram,0.1055718234198627,0.10573297296015581,0.10564437819445512,0.10602533182779844,0.10602654576882174,0.1056281518293695,0.10593942374205918,0.10570278116810562,0.10583296332795632,0.10601347927412878,0.105765957462362,0.10923130766057958,0.10620440694553865,0.10697296263569257,0.10705453130114952,0.10756314739500974,0.10723780920562233
ecoli,0.015605889621683647,0.015586612681927443,0.015654578778510942,0.01571967392466912,0.015739810464621952,0.015748975762937604,0.015832106559261226,0.015826183836301667,0.015878527997321045,0.015892973778179616,0.015962849450758303,0.01447163186164814,0.016030790898623748,0.0160921644846262,0.016088407066045883,0.016060024137354457,0.01606722020022176
energy-y1,0.006012426345618466,0.0059366116374641965,0.005919041674535362,0.005911380981114015,0.005886619211819023,0.00588043084757587,0.00588086151802147,0.00592179644777868,0.0059580007512881035,0.005972872475995611,0.005984906002968015,0.01608801488389958,0.005968220825527081,0.0059759122435524325,0.005961508532297078,0.005930697391697772,0.005855840369416399
energy-y2,0.006630910929893077,0.00662592903021789,0.0066425074026710915,0.0066489513568799685,0.0066609511519003075,0.006682558602791428,0.0066816615424837335,0.006697461833107904,0.006720577702717812,0.006748930016529034,0.006748012484143894,0.014734387618674492,0.006772334490499057,0.006819794235295659,0.006854730957914571,0.006927817121177173,0.006982140665384484
fertility,0.20978854358580612,0.20998722099404202,0.21050493382344287,0.20924293214235684,0.20810625349553866,0.20708513544468884,0.20611189386984138,0.20525073687416304,0.20526001713824613,0.20319293180715678,0.2007701441226588,0.18315683512532877,0.19956910329471528,0.19858556050183962,0.19652946275010613,0.1948449709008931,0.19531433554914673
flags,0.04165018443702402,0.04165741827775972,0.04195528022892363,0.04168013140985947,0.04127833289121424,0.040692855329630934,0.040350958175446046,0.040261506143840144,0.03998315544790001,0.03973025668689138,0.03928636221862034,0.04268438774659431,0.03871683638794775,0.03868026297712915,0.03916666977021821,0.03860126312971811,0.03926781527353551
glass,0.03350932826042678,0.03352116051817444,0.03322751383631283,0.03304632116391121,0.03292887691016686,0.03289031608068233,0.03296685857242954,0.03282088849816366,0.03275301285748665,0.03278806045963023,0.03289127695909084,0.03915203437080267,0.03288794253126908,0.032762462902624016,0.03256769557226305,0.03247432989933914,0.03242916555443971
haberman-survival,0.09187746530321723,0.09201754752897354,0.09215714107481458,0.09204985413939737,0.09220641881694272,0.09239380347501053,0.09241304192613023,0.09230672596127357,0.09239386158628675,0.09213971186949169,0.09185333876291714,0.06990882929772388,0.09176296475636431,0.09175482525363657,0.09184235439069614,0.09181893455894195,0.09148138972380267
hayes-roth,0.06974732050715175,0.06961717485334006,0.06952179850947414,0.06907537773592103,0.06876362915125848,0.06914840035218726,0.06886805226019621,0.06940750347578109,0.06963408866261712,0.06964615093622088,0.06952042227638362,0.07252034784240116,0.06943881448756643,0.0695134362114859,0.07033305092386954,0.06942102754635984,0.0696117308554943
heart-cleveland,0.031852618053721145,0.03198311504926629,0.03229369985081471,0.03257354181630713,0.032603316575984045,0.03263889531127186,0.03261450010815166,0.03265653077213833,0.03288342536197868,0.03284673996901835,0.03285942474841295,0.029879192714626912,0.032936726967632404,0.03312741063209567,0.03321859827219652,0.03332158970666657,0.033474366199151666
heart-hungarian,0.04021013754439843,0.040166218405513404,0.04028697896765235,0.04018789733269128,0.03997764577688669,0.04004375854278846,0.040039396059178015,0.039905658632572144,0.03981424247244719,0.039753628326741855,0.039688551492827975,0.04358958886388575,0.039766946386686576,0.03981652682887993,0.03980925458292665,0.03978060399012569,0.039833841338930705
heart-switzerland,0.0871511491844313,0.08789554338363743,0.0869199953152755,0.08625774988002352,0.08599515134270094,0.08634597645973761,0.08555091035444418,0.08574236677294875,0.08469135952519563,0.08498021206892961,0.08356771249102957,0.06398056248109307,0.08247734835284998,0.08246974424801407,0.08149951705926756,0.08067809356448367,0.07967126829051129
heart-va,0.054327396770557965,0.05406928876480874,0.05427576505111844,0.055022887665114366,0.05484440582064638,0.05475927977574597,0.054977181728248815,0.055624900817392554,0.05542866346358829,0.0555570299952132,0.05523843829243524,0.05649096163099518,0.05530267625500935,0.05536311081323728,0.05506267635636121,0.055608920547510626,0.0566428264157094
hepatitis,0.0700748075303614,0.06974697696837297,0.06935682357025325,0.06937194615365261,0.06937157820404574,0.06938033006625406,0.06946563119429217,0.06963714024365301,0.06935516842426631,0.06949621908850512,0.0698698862513018,0.07707902370913201,0.06984131615343081,0.06856526561844153,0.06882865099567635,0.06897426567617532,0.06925833433408708
hill-valley,0.03440780103244693,0.0356536221146168,0.03530671135934963,0.03625730111946945,0.0370070176310628,0.03747679279849099,0.03860688001317971,0.03934911289410744,0.04034471021993533,0.04119273801644555,0.04188067562742482,0.11949642854641579,0.0429502982706286,0.04316987874226702,0.04045332449271695,0.04000847151352378,0.044751848347995477
horse-colic,0.041505810979840616,0.04145195519061214,0.04162777774101968,0.04146451639268373,0.04136503624792388,0.04129447417350126,0.041174280988204436,0.04113821955596959,0.04111168969620377,0.041166941317788315,0.04113911586393844,0.041923137382051494,0.04117434739037634,0.04136058993573363,0.04107305580610416,0.041086095250513585,0.041169913464248746
ilpd-indian-liver,0.04502979655235467,0.045051548670926714,0.044946505975746065,0.044836922422630425,0.044788391097906,0.04466030701679816,0.04465169123348605,0.044392767416303665,0.04440611509122764,0.044464381496442947,0.04428473105075184,0.04672348089014984,0.04426994146171187,0.044371365582835304,0.04437609430790823,0.04434991823859876,0.044199652933844986
image-segmentation,0.0016179122359467949,0.0016212459865303517,0.0016229744349911793,0.0016224231976618468,0.0016242732592505692,0.0016169251704052697,0.0016202270423945383,0.0016199279414113926,0.0016296074490775839,0.0016315634816683252,0.0016279559308764546,0.0042870313656189025,0.001642018187270657,0.0016429401338393494,0.001643488025129399,0.0016591343959285656,0.0016588412436904737
ionosphere,0.019495955545036168,0.01942411535188477,0.019343034019440517,0.019390948465444244,0.019508136800595894,0.019599801702202286,0.019798993470540125,0.020080387624024927,0.020267436342755893,0.02015174504457167,0.020226346610036774,0.04211800456294327,0.020493284303399317,0.020687886116678933,0.020757439156706397,0.02106957408830132,0.02124010757860986
iris,0.004477401180174142,0.0044807954046679034,0.00448232743775589,0.004464384388619404,0.004420419355637367,0.0044106361634733545,0.004390436605710324,0.004411608974287942,0.00440076621681034,0.004427098718702143,0.004434671246855664,0.010406183445205759,0.0043951534901284185,0.004376927781806783,0.004426175479372888,0.004464100595322603,0.004497619066453062
led-display,0.008259100140724658,0.008237216771162539,0.008200776479813526,0.008212384684433994,0.00822028396986329,0.00825359518428451,0.008270689510231076,0.008253561140584707,0.008240566209830437,0.008260403467014994,0.00827313751970955,0.008020120922345473,0.008272727229888643,0.00828702868873863,0.008354219575940644,0.008366534919718864,0.008356327879886556
