TRAINTESTDIFFSAUROC:,CAWPE-S,PB-S
magic,-0.0023762122091566104,-0.0015031820328695212
mammographic,-0.011363582270355681,-0.008746654674285296
miniboone,7.166814115895519E-4,-4.963994347117622E-4
molec-biol-promoter,-0.00391386162991099,0.03713281548039405
molec-biol-splice,-7.440884793982749E-4,-6.73383153271175E-4
monks-1,-0.025840622466056833,5.572520400945099E-4
monks-2,-0.01291101676001403,-0.005173687493435515
monks-3,-0.0071515594541915325,-0.004991645781119484
mushroom,-3.7948373382704998E-6,5.711837044334644E-4
musk-1,-0.008842868334728856,-0.01144588786766196
musk-2,-0.0019065565865024243,-0.0018969189490817939
nursery,-4.3756783416916504E-4,1.8708560611767252E-4
oocytes_merluccius_nucleus_4d,-0.003510363307695367,-0.001870719225061875
oocytes_merluccius_states_2f,-0.0031470365961725516,-0.0027571567572473293
oocytes_trisopterus_nucleus_2f,-0.010883813384537462,-0.010142378032275837
oocytes_trisopterus_states_5b,-0.001588819209946298,9.003626500620772E-4
optical,-1.0566187832229401E-4,-2.9844563315063836E-4
ozone,-0.025611838325077945,-0.009591610967523345
page-blocks,-6.142375633831909E-4,-0.0014840594721489465
parkinsons,-0.010779186720966238,-0.02143933316878412
pendigits,-8.804899015526871E-5,-1.63062030576074E-4
pima,-0.0050189054726368105,-0.0016407960199006032
pittsburg-bridges-MATERIAL,-0.007532118848652651,-0.009318570432004033
pittsburg-bridges-REL-L,-0.01674790394546865,-0.01993406930693017
pittsburg-bridges-SPAN,-0.05340203274985881,-0.06322134387351781
pittsburg-bridges-T-OR-D,-0.0435064935064935,-0.052922077922077905
pittsburg-bridges-TYPE,-0.028352948916391157,-0.024640000580434553
planning,-0.020749506903353022,-0.032682445759368815
plant-margin,-0.001836489898989931,-0.0023492739898990293
plant-shape,-0.004251841329966451,-0.005535406144781144
plant-texture,-0.003681721387260306,-0.00628438631622659
post-operative,-1.985668652335552E-4,-0.008771907105240428
primary-tumor,-0.011625392243923217,-0.02151325802099218
ringnorm,0.0018874832854885338,-0.0023153299732878866
seeds,-0.0018775510204081414,-0.011179138321995411
semeion,-6.682775560676313E-4,-2.294350140432296E-5
soybean,-0.001295309147467209,-0.001873735157454759
spambase,-8.985035931618442E-4,5.224613459776724E-4
spect,-0.0035928717746900873,-6.970806970808355E-4
spectf,-0.014279058933146963,-0.011927639679212013
statlog-australian-credit,-0.008672775339441979,-1.0395010395007898E-4
statlog-german-credit,-0.011926984126984145,-0.015651428571428636
statlog-heart,-0.005399999999999868,-0.004688888888888761
statlog-image,-3.171104989286411E-4,-4.67007739734937E-4
statlog-landsat,-5.645644480199256E-4,-4.76266649375597E-4
statlog-shuttle,-2.1765478178388994E-5,-3.2117862528025323E-4
statlog-vehicle,-0.003435178395788859,-0.006766084093022832
steel-plates,-0.003076213406063229,-4.6373947863539804E-4
synthetic-control,-3.555555555549243E-6,1.1555555555564645E-5
teaching,-0.02475674016975232,-0.04433083727058095
thyroid,5.903741904988917E-4,-5.444549608767983E-4
tic-tac-toe,-2.078601947726688E-4,-0.01020824512105934
titanic,0.062236973255970794,0.15840519218167143
trains,-0.075,-0.1824074074074074
twonorm,-4.5657165661849856E-6,-1.0504417784984454E-5
vertebral-column-2clases,-0.01053333333333331,-0.008247619047619014
vertebral-column-3clases,-0.004493927291346596,0.0018911623143880285
wall-following,3.4153343946671983E-4,0.0020160056616727743
waveform,-0.0010215562045500263,-7.597682638456838E-4
waveform-noise,-4.992604785698999E-4,-4.180370783018953E-4
wine,-0.002137747516548897,-0.006898437874495359
wine-quality-red,-0.007353282156388367,-0.0022054533364438264
wine-quality-white,-0.007518744191344055,-1.7004984558403047E-4
yeast,-0.003041962793220739,-0.0038838635772063036
zoo,-0.00619827790177497,-0.011025458626142404
