PB-A,MV-A,RC-A,SMLR-A,SMLRE-A,NBC-A,CAWPE-A,SMM5-A,WMV-A,ES-A
68.0,69.0,69.0,90.5,158.5,67.5,131.5,690.5,135.5,274.5
6.0,6.0,6.0,7.0,11.0,54.0,53.0,27.0,53.5,63.0
492.0,516.0,521.0,670.0,1334.0,499.5,503.5,4811.5,549.0,1695.0
3.0,3.0,6.0,6.5,4.0,3.0,28.0,4.0,29.0,32.0
18.0,20.0,19.0,27.0,53.5,18.5,54.0,106.5,56.0,86.0
8.0,5.0,5.0,5.0,7.0,43.0,44.0,8.0,46.0,62.0
4.0,5.0,5.0,5.0,7.0,45.5,44.5,18.5,46.0,62.0
5.0,5.0,5.0,5.0,7.0,45.0,43.5,9.0,45.0,62.0
24.0,27.5,29.0,31.0,52.0,89.0,92.0,59.0,100.0,140.0
4.0,9.0,5.0,4.0,6.0,41.0,40.0,12.0,42.0,55.0
24.0,27.5,27.0,30.0,48.0,83.0,83.0,71.5,87.5,140.0
92.0,105.0,108.5,200.0,595.0,180.0,184.5,440.5,197.0,351.5
6.0,7.0,6.0,7.0,10.0,50.0,50.5,27.0,52.0,74.5
7.0,8.0,8.0,10.0,19.0,54.5,53.5,27.0,54.5,75.0
6.0,6.0,6.0,6.0,10.0,48.5,49.0,25.0,50.5,65.5
7.0,8.0,7.0,9.0,17.0,53.5,53.0,26.5,56.5,71.5
74.0,79.5,80.5,577.0,1954.5,147.0,156.5,623.5,163.0,277.0
10.0,11.5,11.5,13.0,21.0,63.5,61.0,41.5,66.0,98.5
38.5,43.5,43.0,94.0,226.5,98.0,104.0,243.0,119.0,194.5
3.0,3.0,4.0,3.0,4.0,34.5,34.0,6.0,35.0,43.0
139.5,155.5,154.0,1088.0,2665.5,169.0,185.5,1368.5,222.0,391.5
5.0,5.0,7.0,6.0,8.0,47.0,45.0,22.0,45.5,60.5
3.0,4.0,4.0,3.0,5.0,35.0,35.0,5.0,35.0,43.0
3.0,3.0,3.0,3.5,5.0,33.5,33.5,6.0,34.0,42.0
3.0,3.0,3.0,3.0,5.0,33.0,33.0,6.0,33.5,41.0
3.0,3.0,3.0,3.0,4.0,31.0,31.0,4.0,31.0,38.0
3.0,3.0,4.0,7.0,26.0,39.0,39.0,9.0,40.0,47.5
3.0,3.0,4.0,3.0,4.0,37.0,37.0,7.0,37.0,47.0
142.0,140.5,148.0,1984591.0,1.1719902E7,152.0,168.0,21705.5,224.0,368.0
155.0,145.5,139.5,2099936.0,1.6218751E7,162.0,158.5,23537.0,235.5,369.0
136.0,144.0,144.5,2073582.5,1.29189105E7,173.5,183.0,22323.5,253.0,379.5
3.0,3.0,3.0,3.0,5.0,35.0,35.0,5.0,35.5,37.0
8.0,8.0,8.0,181.5,1487.5,61.5,62.0,90.5,64.0,80.5
25.5,28.0,27.0,34.0,49.5,79.5,79.0,109.0,82.5,139.0
3.0,3.0,4.0,4.0,6.0,42.0,41.0,6.5,42.5,47.0
20.0,22.0,22.0,174.5,889.5,80.0,79.0,183.0,90.0,124.5
14.0,15.0,15.0,462.5,3347.5,75.5,79.5,173.0,79.5,118.5
16.0,18.0,18.0,22.0,35.0,66.5,69.5,99.0,70.5,110.0
3.0,3.5,4.0,4.0,5.0,41.0,41.0,9.0,41.0,47.0
3.0,3.5,4.0,4.0,5.0,40.5,40.0,8.0,40.5,47.0
4.0,6.0,5.0,6.0,8.0,47.0,47.0,23.0,48.5,62.0
5.0,6.0,6.0,7.0,10.0,53.0,52.0,31.0,54.0,69.5
3.0,4.0,4.0,4.0,5.0,40.5,40.0,8.0,41.0,47.5
20.0,21.0,22.0,72.5,309.0,81.0,81.0,127.0,91.5,127.0
50.0,54.0,53.0,169.5,461.0,127.0,127.0,581.0,155.5,227.5
534.5,558.5,566.0,2100.5,8754.0,587.5,582.5,4768.5,661.0,1248.5
7.0,8.0,7.0,12.0,30.0,8.0,7.0,41.0,63.0,79.0
18.0,19.0,19.0,81.0,321.0,19.0,19.0,241.5,83.0,109.5
6.0,7.0,7.0,18.0,59.5,50.0,6.5,24.0,60.0,75.0
3.0,3.0,4.0,4.0,6.0,40.0,39.0,8.0,39.0,47.0
34.0,35.5,35.0,53.0,94.0,90.0,89.5,117.5,102.0,154.0
5.0,5.0,6.0,6.0,9.0,51.0,49.0,12.0,51.5,63.0
9.0,10.0,10.0,13.0,20.0,61.0,62.0,66.0,62.0,79.5
2.0,3.0,2.5,2.0,3.0,27.0,27.0,3.0,27.0,31.0
26.0,27.0,27.0,34.5,53.0,85.5,87.0,106.5,91.0,147.0
3.0,4.0,4.0,4.0,5.0,33.0,33.0,8.0,33.0,40.5
4.0,4.0,4.0,5.0,8.0,36.0,36.0,11.0,37.0,40.0
33.0,34.0,35.0,65.0,140.0,92.5,95.0,142.5,111.0,161.5
25.0,26.0,26.0,40.0,83.0,76.5,80.0,244.0,86.0,126.0
25.0,25.0,26.0,40.0,87.5,80.5,80.5,242.0,86.5,129.0
3.5,3.0,3.5,4.0,6.0,37.0,37.0,5.0,38.0,47.0
14.0,15.0,14.0,49.0,179.0,70.0,73.0,200.0,77.5,100.0
43.5,46.0,44.0,216.0,871.5,114.0,113.0,1091.5,129.0,190.5
19.0,20.0,19.0,168.5,829.0,71.0,72.0,351.0,78.0,109.5
3.0,4.0,4.0,7.0,19.5,37.0,37.0,7.0,38.0,46.5
