TRAINTrainTimesRANKS:,CAWPE_alpha=8,CAWPE_alpha=4,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=7,CAWPE_alpha=3,CAWPE_alpha=15,CAWPE_alpha=2,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=14,CAWPE_alpha=10,CAWPE_alpha=1,CAWPE_eq,CAWPE_alpha=9,CAWPE_alpha=5,CAWPE_alpha=13
ilpd-indian-liver,1.5,1.5,3.0,5.0,9.5,5.0,5.0,9.5,9.5,9.5,9.5,9.5,16.5,14.0,16.5,14.0,14.0
image-segmentation,2.5,1.0,2.5,9.0,4.0,7.0,5.0,9.0,9.0,6.0,12.0,11.0,14.0,15.5,13.0,15.5,17.0
ionosphere,3.0,3.0,3.0,6.5,3.0,3.0,6.5,10.0,10.0,10.0,10.0,10.0,15.5,15.5,15.5,13.0,15.5
iris,9.0,3.0,3.0,3.0,6.0,3.0,3.0,9.0,9.0,12.0,9.0,9.0,14.0,14.0,14.0,16.0,17.0
led-display,2.5,2.5,2.5,6.0,6.0,2.5,6.0,11.0,10.0,12.0,8.5,8.5,17.0,15.5,15.5,14.0,13.0
lenses,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,11.0,12.0,5.5,13.0,15.0,17.0,15.0,15.0
letter,2.0,3.0,1.0,5.0,6.0,7.0,4.0,15.0,9.0,16.0,12.0,11.0,17.0,10.0,8.0,14.0,13.0
libras,3.0,1.5,1.5,6.0,10.0,4.0,6.0,10.0,6.0,10.0,10.0,10.0,16.0,17.0,14.5,13.0,14.5
low-res-spect,3.0,3.0,3.0,8.0,6.5,3.0,3.0,6.5,9.5,9.5,11.5,11.5,14.0,15.0,17.0,13.0,16.0
lung-cancer,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,11.0,5.0,11.0,11.0,13.0,16.0,14.0,16.0,16.0
lymphography,1.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,1.5,7.5,7.5,16.5,13.5,15.0,16.5,13.5
magic,2.0,1.0,3.0,4.0,6.0,7.0,5.0,12.0,11.0,8.0,9.0,10.0,15.0,16.5,14.0,13.0,16.5
mammographic,2.0,4.0,2.0,7.0,7.0,2.0,7.0,11.0,7.0,11.0,11.0,7.0,15.5,13.0,14.0,17.0,15.5
miniboone,1.0,3.0,2.0,5.0,4.0,6.0,7.0,9.5,11.0,13.0,9.5,8.0,14.0,15.0,17.0,16.0,12.0
molec-biol-promoter,12.0,9.5,4.0,4.0,4.0,4.0,4.0,4.0,9.5,4.0,9.5,9.5,14.0,14.0,14.0,17.0,16.0
molec-biol-splice,3.0,1.0,2.0,5.0,5.0,5.0,7.0,9.0,10.0,8.0,11.5,11.5,17.0,14.5,13.0,16.0,14.5
monks-1,2.0,2.0,2.0,6.5,6.5,6.5,6.5,11.0,11.0,6.5,6.5,11.0,15.5,13.5,15.5,13.5,17.0
monks-2,1.5,4.5,1.5,4.5,4.5,4.5,12.0,11.0,9.0,7.0,9.0,9.0,16.5,13.0,14.5,16.5,14.5
monks-3,5.0,1.0,5.0,5.0,10.5,5.0,5.0,5.0,10.5,5.0,10.5,10.5,14.5,13.0,16.5,14.5,16.5
mushroom,2.0,1.0,3.0,5.0,9.5,6.5,4.0,6.5,11.5,9.5,8.0,11.5,15.0,16.0,14.0,13.0,17.0
musk-1,2.0,2.0,2.0,7.0,7.0,11.5,7.0,7.0,7.0,7.0,11.5,7.0,14.0,16.0,17.0,14.0,14.0
musk-2,1.0,2.5,2.5,4.5,6.0,4.5,7.0,8.0,11.0,12.0,9.0,10.0,15.0,17.0,13.0,14.0,16.0
nursery,2.0,1.0,3.0,6.0,5.0,7.0,4.0,10.5,8.0,12.0,9.0,10.5,16.0,14.0,15.0,17.0,13.0
oocytes_merluccius_nucleus_4d,2.0,1.0,6.0,6.0,6.0,6.0,6.0,11.0,6.0,6.0,11.0,11.0,16.0,17.0,13.0,14.5,14.5
oocytes_merluccius_states_2f,2.5,2.5,2.5,7.5,7.5,7.5,2.5,7.5,11.5,7.5,7.5,11.5,13.0,16.5,14.5,16.5,14.5
oocytes_trisopterus_nucleus_2f,3.5,1.0,3.5,8.0,3.5,8.0,3.5,11.5,8.0,8.0,11.5,8.0,16.5,16.5,13.0,15.0,14.0
oocytes_trisopterus_states_5b,2.0,2.0,2.0,5.0,5.0,5.0,10.0,10.0,10.0,7.0,10.0,10.0,14.5,14.5,17.0,16.0,13.0
optical,1.5,1.5,3.0,7.0,6.0,5.0,4.0,11.0,12.0,8.0,9.5,9.5,15.0,17.0,16.0,14.0,13.0
ozone,2.0,2.0,2.0,5.0,6.5,4.0,6.5,12.0,10.5,8.0,9.0,10.5,15.0,16.5,13.5,13.5,16.5
page-blocks,2.0,1.0,3.0,5.0,7.0,6.0,4.0,11.0,8.0,12.0,10.0,9.0,17.0,13.5,13.5,16.0,15.0
parkinsons,2.0,2.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,17.0,14.5,14.5,14.5,14.5
pendigits,1.0,3.0,2.0,5.0,4.0,7.0,6.0,10.0,8.0,11.5,11.5,9.0,14.0,16.0,17.0,15.0,13.0
pima,2.0,2.0,2.0,7.0,7.0,7.0,12.0,7.0,7.0,11.0,7.0,7.0,17.0,15.0,13.0,15.0,15.0
pittsburg-bridges-MATERIAL,2.5,2.5,2.5,8.5,8.5,2.5,8.5,8.5,8.5,8.5,8.5,8.5,14.5,17.0,14.5,14.5,14.5
pittsburg-bridges-REL-L,3.5,3.5,3.5,9.5,9.5,3.5,3.5,9.5,9.5,3.5,9.5,9.5,13.5,13.5,16.0,16.0,16.0
pittsburg-bridges-SPAN,3.5,3.5,3.5,3.5,3.5,3.5,9.5,9.5,9.5,9.5,9.5,9.5,16.0,16.0,16.0,13.5,13.5
pittsburg-bridges-T-OR-D,3.5,3.5,3.5,10.0,10.0,3.5,7.0,3.5,10.0,3.5,10.0,10.0,13.0,16.0,16.0,16.0,14.0
pittsburg-bridges-TYPE,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,12.0,11.0,13.5,17.0,13.5,15.5,15.5
planning,2.5,2.5,2.5,9.0,9.0,5.0,2.5,9.0,9.0,9.0,9.0,9.0,15.5,15.5,15.5,13.0,15.5
plant-margin,2.0,1.0,3.0,5.0,6.0,7.0,4.0,10.0,12.0,11.0,9.0,8.0,17.0,13.0,16.0,15.0,14.0
plant-shape,3.0,1.0,2.0,6.0,7.0,4.0,5.0,8.0,10.0,12.0,9.0,11.0,17.0,16.0,14.0,13.0,15.0
plant-texture,2.0,3.0,1.0,6.0,7.0,5.0,4.0,11.0,10.0,12.0,8.0,9.0,16.0,15.0,14.0,17.0,13.0
post-operative,4.5,4.5,4.5,4.5,4.5,4.5,4.5,10.5,4.5,10.5,10.5,10.5,14.5,14.5,16.5,16.5,13.0
primary-tumor,3.0,3.0,1.0,6.0,3.0,6.0,6.0,8.5,11.0,8.5,11.0,11.0,16.0,15.0,14.0,17.0,13.0
ringnorm,3.0,1.0,2.0,5.5,7.0,4.0,5.5,12.0,8.5,10.0,11.0,8.5,13.0,15.0,14.0,16.0,17.0
seeds,5.0,5.0,5.0,5.0,5.0,5.0,5.0,11.0,11.0,5.0,11.0,5.0,15.5,15.5,15.5,13.0,15.5
semeion,1.5,1.5,3.0,6.5,6.5,4.5,4.5,9.0,10.5,8.0,10.5,12.0,13.0,15.0,14.0,17.0,16.0
soybean,3.0,2.0,1.0,6.5,4.5,6.5,4.5,8.0,10.0,10.0,10.0,12.0,14.0,14.0,17.0,16.0,14.0
spambase,2.0,2.0,2.0,6.0,4.5,7.0,4.5,8.0,9.5,12.0,9.5,11.0,16.0,17.0,15.0,13.5,13.5
spect,5.0,1.0,5.0,5.0,5.0,5.0,5.0,9.0,11.0,5.0,11.0,11.0,15.5,15.5,15.5,13.0,15.5
spectf,6.5,1.5,1.5,6.5,6.5,6.5,6.5,6.5,11.5,6.5,6.5,11.5,16.5,14.0,14.0,16.5,14.0
statlog-australian-credit,2.5,2.5,2.5,9.0,5.0,2.5,9.0,9.0,9.0,9.0,9.0,9.0,14.5,16.5,16.5,14.5,13.0
statlog-german-credit,2.0,2.0,2.0,5.0,5.0,10.5,7.5,10.5,10.5,7.5,10.5,5.0,13.5,15.0,13.5,17.0,16.0
statlog-heart,6.5,1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,12.0,15.0,15.0,15.0,15.0,15.0
statlog-image,1.5,1.5,3.0,7.5,4.5,4.5,7.5,12.0,7.5,7.5,11.0,10.0,13.0,15.5,15.5,17.0,14.0
statlog-landsat,1.0,3.0,2.0,5.0,4.0,10.5,6.0,9.0,12.0,7.0,8.0,10.5,13.0,16.0,15.0,14.0,17.0
statlog-shuttle,1.0,3.0,2.0,6.0,5.0,10.0,4.0,16.0,15.0,17.0,14.0,13.0,8.0,11.0,9.0,12.0,7.0
statlog-vehicle,4.0,2.0,1.0,4.0,4.0,8.0,8.0,8.0,8.0,12.0,11.0,8.0,16.5,15.0,13.0,16.5,14.0
steel-plates,1.0,3.0,2.0,6.0,4.0,10.0,8.0,11.0,8.0,12.0,5.0,8.0,14.5,17.0,14.5,13.0,16.0
synthetic-control,2.0,2.0,2.0,6.5,6.5,6.5,12.0,6.5,10.5,10.5,6.5,6.5,17.0,16.0,14.5,14.5,13.0
teaching,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,16.5,15.0,13.5,13.5,16.5
thyroid,1.5,3.0,1.5,11.0,10.0,5.0,4.0,6.0,9.0,12.0,7.5,7.5,14.0,16.0,17.0,13.0,15.0
tic-tac-toe,3.5,1.0,3.5,6.0,3.5,9.0,9.0,9.0,9.0,12.0,3.5,9.0,15.0,13.0,17.0,15.0,15.0
titanic,1.5,1.5,3.0,5.5,5.5,12.0,9.5,9.5,5.5,11.0,8.0,5.5,13.0,17.0,14.5,14.5,16.0
trains,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,14.5,17.0,14.5,14.5,14.5
twonorm,1.0,3.0,2.0,6.5,4.0,5.0,6.5,8.5,11.0,12.0,8.5,10.0,14.5,14.5,13.0,16.0,17.0
vertebral-column-2clases,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,15.0,15.0,15.0,15.0,15.0
vertebral-column-3clases,3.0,3.0,3.0,9.5,9.5,3.0,9.5,3.0,9.5,9.5,6.0,9.5,15.0,15.0,15.0,15.0,15.0
wall-following,3.0,1.5,1.5,6.0,4.5,4.5,11.0,7.5,9.0,12.0,7.5,10.0,13.0,17.0,15.0,16.0,14.0
waveform,2.0,3.0,1.0,10.0,11.0,4.0,6.5,6.5,6.5,12.0,6.5,9.0,15.0,13.0,14.0,17.0,16.0
waveform-noise,2.0,1.0,3.0,4.0,5.5,10.0,5.5,12.0,7.0,11.0,8.5,8.5,13.0,16.0,17.0,15.0,14.0
wine,1.5,1.5,7.0,7.0,7.0,12.0,7.0,7.0,7.0,7.0,7.0,7.0,14.5,13.0,16.5,16.5,14.5
wine-quality-red,2.0,1.0,3.0,5.5,5.5,9.0,5.5,9.0,9.0,12.0,11.0,5.5,15.5,14.0,17.0,13.0,15.5
wine-quality-white,2.0,1.0,3.0,5.5,7.0,4.0,5.5,8.0,9.0,12.0,10.0,11.0,15.0,17.0,16.0,14.0,13.0
yeast,3.5,3.5,1.0,6.0,6.0,2.0,12.0,6.0,8.5,11.0,8.5,10.0,16.0,17.0,15.0,14.0,13.0
zoo,1.5,1.5,3.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,16.0,17.0,13.0,14.5,14.5
