TRAINTrainTimesSTDDEVS:,CAWPE_alpha=8,CAWPE_alpha=4,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=7,CAWPE_alpha=3,CAWPE_alpha=15,CAWPE_alpha=2,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=14,CAWPE_alpha=10,CAWPE_alpha=1,CAWPE_eq,CAWPE_alpha=9,CAWPE_alpha=5,CAWPE_alpha=13
horse-colic,0.607425318241987,0.6989318615762461,0.3457459036417604,0.7022132498578064,0.7943767889097848,0.678910553924363,1.2298957997167566,0.7849152527649013,1.186126701378962,0.6686751354593717,0.9948141396330238,0.5872202195147035,5.3416601664027015,5.528297112630366,5.511638678246264,5.3429510981087605,5.805368106380052
ilpd-indian-liver,0.7239737088005908,0.7768193328323317,0.7239737088005909,1.0400044208570938,3.2476339751858756,0.8469010445797933,0.6396838299494921,0.6789105539243625,0.8847364696279088,0.8051557998728976,0.5713464637233658,0.9071871393197366,6.870225614927067,4.716807804232537,4.328600421521419,17.79477515981884,5.061574876447551
image-segmentation,3.0998702234607904,2.917249531251348,4.3158355832456365,4.336559365030851,3.8001814838695305,3.883948695755953,3.1957227160942665,3.2941955221162926,3.095417450910668,4.665968749125534,2.3734644158557194,3.435614686757243,16.23636474799347,15.282812824087452,15.350465191947617,12.86128468226098,14.617734466036117
ionosphere,0.5306686305052323,0.6477192523656046,0.44977644510880355,0.7111590022187594,2.0965214758858486,0.8502873077655143,0.678910553924363,0.7943767889097848,0.691491807283521,1.9608231909600866,0.8441822541139558,0.9352607356658149,11.590969532901191,10.61792022408614,11.62755348299891,10.851982180292195,11.654065444269238
iris,0.844182254113956,0.6746646676632054,0.6149478998583779,0.5632418479750461,0.7701320979389588,0.6789105539243625,0.68144538746106,0.639683829949492,0.808716877841527,0.6214554662658653,0.7611243951073874,0.607425318241987,9.909707303981017,8.09292297620894,8.922978215253305,9.13726737993443,9.500453709673828
led-display,1.3373502709187437,3.1813031378937175,1.604949241865772,1.7554512797005497,2.30566518688707,3.2745974570543974,2.291664054334979,2.4403221946687905,3.081461065606797,1.3064825110670781,1.618854426800759,1.3933338832974773,14.311638218797565,16.55238983335646,14.572845161187779,13.755500467211224,13.590945261586784
lenses,0.43417248545530485,0.651258728182957,0.2626128657194451,0.547722557505166,0.4301830671520762,0.5832922809856745,0.5208304597621879,2.223438364542525,0.7111590022187593,0.5683207771559354,0.6789105539243628,0.5508613944197479,4.01147778542877,3.711429999835395,3.6853234858560655,3.002680794560585,3.565479445763349
letter,36.323577726465416,28.183817807509623,40.661329026003564,45.395693248558736,40.13123586377602,54.25335415236195,45.586547723350726,74.9628337029865,77.45073332095716,90.56594092247047,72.58977002748856,72.09026908364069,88.56041512118595,83.39409279225765,95.90071494226089,82.17914968943255,96.99837657131826
libras,1.683250823060346,1.5465943304527225,1.5387709679981694,2.750339581959281,1.366680683976335,1.4403862827999163,1.69549775690744,2.086904984371139,1.406471087345996,1.3390681268239724,2.3479019737120455,2.0744754218505626,29.437719177015524,31.050940719086594,36.42621261560473,31.564365911614615,29.380363291260316
low-res-spect,1.174440439029407,1.4605934866804429,1.0980651740387641,1.464130513622177,1.7419766814227708,1.512020798981193,1.3429252681597998,1.6060231457944765,1.1885468767200225,1.6760654528683696,1.0034423509719619,0.9878573120474012,27.781764464871724,26.127648631067164,28.228317892401645,26.39681711917155,26.700639279444875
lung-cancer,1.1121068335350712,0.504006932993731,0.6608945522512669,0.5306686305052324,0.40257789993644877,0.6617635789938568,1.328727677659839,0.6260623155792925,1.4793599112881342,1.1591713250937237,1.5070714541175847,0.9352607356658148,5.508196609150536,5.45451410649299,5.765135003553292,5.921808515306285,5.6182174945521615
