CAWPE_alpha=9,CAWPE_alpha=15,CAWPE_alpha=4,CAWPE_alpha=10,CAWPE_alpha=14,CAWPE_alpha=5,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=3,CAWPE_alpha=13,CAWPE_alpha=2,CAWPE_alpha=12,CAWPE_pb,CAWPE_eq,CAWPE_alpha=11,CAWPE_alpha=6,CAWPE_alpha=1
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-40.0,-40.0,-39.5
-19.0,-19.0,-20.0,-20.0,-20.0,-19.0,-23.0,-22.0,-22.5,-23.0,-22.5,-22.0,-19.0,-21.5,-80.5,-81.0,-81.0
-3.0,-3.0,-3.0,-3.0,-2.0,-2.0,-3.0,-2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-31.0,-31.0,-31.0
-895.0,-895.5,-914.5,-883.5,-905.0,-895.5,-1112.5,-1019.5,-1095.5,-1116.0,-1023.5,-1031.0,-999.5,-1035.0,-1008.0,-1025.0,-1024.5
-10.0,-11.0,-10.0,-11.0,-11.0,-11.0,-12.0,-12.0,-13.0,-12.0,-11.5,-13.0,-12.0,-12.0,-70.0,-68.0,-68.5
-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-11.0,-11.0,-12.5,-13.0,-12.0,-12.0,-11.0,-12.5,-68.5,-68.5,-68.0
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-31.0,-31.0,-31.0
-4.0,-4.0,-4.0,-3.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.5,-4.0,-4.0,-4.0,-4.0,-43.0,-43.0,-43.5
-86.5,-88.5,-89.0,-88.0,-89.0,-90.5,-103.5,-105.5,-108.0,-100.0,-104.0,-105.0,-104.5,-102.5,-183.0,-181.5,-186.0
-6.0,-6.0,-7.0,-6.0,-7.0,-6.5,-7.0,-7.0,-7.0,-7.0,-7.0,-7.5,-8.0,-9.0,-57.0,-58.5,-55.0
-622.5,-716.5,-621.0,-663.5,-636.0,-656.5,-804.0,-850.5,-809.5,-834.0,-823.0,-820.5,-765.0,-693.5,-872.5,-879.5,-880.5
-3.0,-4.0,-3.0,-4.0,-4.0,-3.0,-3.0,-3.0,-3.5,-7.0,-3.0,-3.0,-3.0,-6.5,-33.0,-33.0,-33.0
-23.0,-30.0,-22.0,-26.5,-28.0,-26.5,-28.0,-29.0,-28.0,-28.0,-23.5,-34.0,-24.0,-27.5,-58.0,-58.5,-58.0
-5.0,-5.0,-5.0,-5.0,-5.0,-6.0,-6.0,-6.0,-5.0,-5.0,-7.0,-6.0,-5.0,-5.0,-50.0,-50.5,-51.0
-5.0,-5.0,-5.0,-6.0,-5.0,-7.0,-6.0,-5.0,-6.0,-6.0,-5.0,-6.0,-5.0,-6.0,-51.5,-52.0,-52.5
-6.0,-5.0,-5.0,-5.0,-5.0,-6.0,-6.0,-5.0,-6.0,-5.5,-6.0,-5.0,-6.0,-6.0,-50.5,-51.0,-50.0
-37.0,-44.0,-33.5,-38.0,-34.0,-40.5,-38.5,-38.0,-39.5,-36.5,-43.5,-39.5,-38.5,-41.0,-128.5,-127.5,-125.5
-4.0,-5.0,-5.0,-6.0,-4.0,-6.0,-5.0,-5.0,-6.0,-5.0,-5.0,-5.0,-5.0,-6.0,-51.5,-51.0,-51.0
-33.0,-29.5,-33.5,-37.5,-29.5,-34.0,-32.0,-34.5,-34.0,-31.0,-33.0,-32.0,-32.0,-33.0,-101.0,-103.0,-105.0
-132.5,-127.0,-138.5,-147.0,-125.5,-166.0,-143.5,-138.5,-143.5,-149.0,-140.0,-141.0,-156.5,-153.0,-239.0,-236.0,-242.0
-7.0,-7.0,-7.0,-8.5,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-8.0,-8.0,-8.0,-58.0,-59.0,-58.0
-8.0,-8.0,-9.0,-9.0,-9.0,-10.0,-9.0,-9.0,-10.0,-10.0,-9.0,-9.0,-9.5,-11.0,-61.5,-60.5,-60.5
-6.0,-6.0,-6.0,-6.0,-6.0,-7.0,-7.0,-7.0,-8.0,-7.0,-6.5,-7.0,-8.0,-7.0,-57.0,-56.0,-57.0
-8.0,-8.0,-8.0,-8.0,-8.0,-9.0,-9.0,-8.0,-10.0,-10.0,-9.0,-9.0,-9.0,-10.0,-63.5,-63.0,-63.5
-96.0,-98.5,-100.0,-105.0,-97.5,-105.0,-119.5,-108.0,-112.5,-117.5,-108.5,-107.5,-114.5,-124.5,-170.0,-165.5,-170.0
-12.5,-13.5,-13.0,-13.0,-13.0,-13.0,-14.0,-14.0,-17.0,-15.0,-15.0,-15.0,-17.0,-14.5,-69.5,-70.0,-70.0
-55.0,-63.5,-55.0,-55.0,-56.0,-55.0,-66.0,-61.0,-69.0,-70.0,-64.0,-66.5,-65.0,-73.5,-149.0,-150.5,-154.5
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-4.0,-4.0,-3.0,-4.0,-4.0,-4.0,-3.0,-4.0,-38.0,-39.0,-39.0
-197.5,-202.5,-197.5,-200.0,-199.5,-197.0,-246.0,-236.0,-241.5,-240.0,-248.5,-249.0,-277.0,-266.5,-276.0,-278.5,-279.5
-5.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.5,-7.5,-7.0,-6.0,-7.0,-8.0,-8.0,-7.0,-60.0,-61.0,-60.0
-3.0,-3.0,-3.0,-4.0,-3.0,-4.0,-4.0,-4.0,-4.0,-3.0,-3.0,-4.0,-4.0,-4.0,-38.0,-38.0,-38.0
-3.0,-3.0,-3.0,-4.0,-3.0,-3.0,-4.0,-4.0,-3.0,-3.0,-3.5,-4.0,-4.0,-5.0,-38.0,-38.0,-38.5
-3.0,-3.0,-3.0,-4.0,-3.0,-3.0,-3.0,-4.0,-4.0,-3.0,-4.0,-3.0,-4.0,-4.0,-36.0,-36.0,-36.0
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-4.0,-4.0,-35.0,-34.5,-35.0
-4.0,-4.0,-3.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-5.0,-4.0,-5.0,-5.0,-43.5,-43.5,-44.0
-3.0,-3.0,-3.0,-3.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.0,-4.0,-4.0,-4.0,-4.0,-39.0,-39.0,-39.0
-238.0,-243.0,-239.0,-239.5,-237.0,-249.0,-254.5,-295.0,-263.5,-249.0,-306.5,-303.5,-303.5,-298.5,-331.5,-328.0,-340.0
-241.0,-251.5,-240.0,-254.0,-241.0,-247.5,-250.5,-307.5,-253.0,-258.0,-295.5,-302.5,-288.0,-279.5,-336.5,-336.5,-347.0
-233.0,-249.5,-233.0,-239.5,-246.0,-239.5,-282.5,-263.5,-263.5,-293.5,-261.5,-273.5,-277.0,-276.5,-334.0,-341.0,-345.5
-3.0,-3.0,-3.0,-3.0,-3.0,-4.0,-4.0,-3.0,-3.0,-4.0,-3.5,-3.0,-3.0,-3.0,-34.0,-34.0,-34.0
-11.0,-14.0,-11.0,-11.0,-11.0,-11.0,-12.0,-13.0,-13.0,-12.0,-13.0,-12.0,-14.5,-14.0,-66.5,-67.5,-68.5
-33.0,-35.5,-32.0,-33.0,-34.0,-33.0,-40.0,-37.0,-41.0,-40.0,-41.0,-37.0,-42.0,-38.5,-117.0,-119.0,-116.5
-3.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.5,-4.0,-4.0,-4.0,-5.0,-4.5,-42.5,-44.0,-43.5
-30.0,-31.5,-30.5,-30.0,-30.0,-30.5,-34.5,-32.0,-38.5,-38.5,-35.0,-34.0,-40.5,-32.5,-106.0,-108.5,-110.0
-22.0,-21.0,-22.0,-22.0,-21.5,-22.0,-23.5,-24.0,-25.0,-26.0,-24.0,-25.0,-25.0,-24.0,-89.0,-91.0,-89.0
-22.0,-22.0,-23.0,-22.0,-22.0,-23.0,-25.0,-24.5,-25.0,-25.5,-24.0,-27.0,-29.0,-27.5,-81.0,-81.5,-80.0
-4.0,-4.0,-5.0,-4.0,-4.0,-4.0,-5.0,-4.0,-4.0,-4.0,-4.0,-5.0,-4.0,-5.0,-43.0,-43.0,-43.0
-4.0,-4.0,-3.5,-4.0,-4.0,-3.0,-5.0,-5.0,-4.0,-4.0,-4.0,-4.0,-4.5,-5.0,-42.5,-42.0,-43.0
-5.0,-5.5,-5.0,-5.5,-5.0,-6.0,-7.0,-7.0,-6.5,-6.0,-6.0,-6.0,-7.0,-7.0,-53.5,-54.5,-55.0
-7.0,-6.5,-7.0,-6.5,-7.0,-7.0,-8.0,-7.0,-8.0,-7.0,-7.0,-8.0,-8.0,-8.0,-56.0,-55.5,-56.0
-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-5.0,-43.0,-42.5,-43.0
-30.0,-30.0,-31.0,-30.0,-30.0,-31.0,-34.5,-33.5,-40.0,-34.5,-38.0,-32.0,-37.0,-38.5,-108.5,-106.0,-106.5
-73.0,-73.0,-74.0,-74.0,-72.5,-74.5,-85.0,-82.5,-86.5,-84.0,-83.5,-85.0,-84.0,-97.0,-176.5,-177.0,-175.0
-763.5,-778.0,-768.0,-776.0,-786.5,-794.0,-780.5,-889.5,-793.0,-780.5,-896.0,-879.0,-835.5,-925.0,-956.0,-964.0,-957.0
-9.0,-9.0,-8.0,-8.0,-9.0,-8.0,-9.0,-9.0,-8.5,-9.0,-9.0,-10.0,-9.0,-10.0,-65.0,-60.0,-61.0
-26.0,-32.0,-25.0,-27.0,-26.5,-25.0,-25.0,-27.0,-26.0,-26.5,-27.5,-30.5,-33.5,-29.0,-93.0,-95.0,-92.0
-8.0,-9.0,-8.5,-8.0,-8.0,-8.0,-8.0,-9.0,-9.0,-9.0,-10.0,-10.0,-11.0,-11.0,-63.5,-63.0,-62.5
-3.0,-4.0,-4.0,-3.0,-3.0,-4.0,-3.0,-4.0,-4.0,-3.0,-4.0,-4.0,-4.0,-4.0,-41.0,-41.5,-42.0
-44.0,-46.0,-44.0,-44.0,-46.5,-45.5,-44.5,-49.5,-44.0,-48.0,-51.5,-54.0,-53.0,-53.0,-147.0,-141.0,-142.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.5,-6.0,-7.0,-6.0,-6.0,-7.0,-7.0,-7.0,-7.0,-61.0,-59.0,-61.0
-11.0,-12.0,-11.0,-11.0,-11.5,-12.0,-12.0,-14.0,-11.0,-11.5,-13.0,-13.5,-13.5,-13.5,-72.5,-70.0,-70.5
-2.5,-2.0,-2.0,-2.0,-2.0,-3.0,-2.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-28.0,-28.0,-28.0
-33.0,-33.5,-33.0,-33.0,-34.0,-34.0,-33.0,-37.0,-34.0,-35.5,-39.0,-40.0,-43.0,-37.0,-108.5,-107.5,-109.0
-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-5.0,-5.0,-5.0,-36.0,-36.0,-36.0
-4.0,-5.0,-5.0,-4.0,-4.0,-4.0,-4.0,-5.0,-4.0,-4.0,-5.0,-6.0,-5.0,-4.5,-36.0,-36.0,-36.0
-42.0,-42.0,-44.0,-43.0,-44.0,-43.0,-43.0,-51.5,-44.0,-45.0,-50.0,-49.5,-50.5,-51.0,-119.0,-123.5,-119.0
-32.0,-31.0,-33.0,-32.0,-33.0,-33.0,-33.0,-37.5,-33.0,-33.0,-41.5,-35.0,-40.0,-36.5,-103.0,-106.0,-107.0
-32.0,-31.0,-33.0,-37.5,-33.0,-32.0,-32.0,-36.0,-33.0,-33.0,-35.5,-36.0,-37.5,-40.5,-91.0,-96.0,-96.0
-4.0,-3.0,-4.0,-4.0,-3.5,-3.0,-3.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-42.5,-43.0,-42.5
-19.0,-19.0,-20.0,-20.0,-20.0,-24.0,-19.0,-20.0,-21.0,-20.0,-22.0,-22.0,-28.0,-24.0,-81.0,-79.5,-81.0
-61.0,-60.0,-63.0,-61.0,-61.0,-63.5,-62.5,-67.0,-62.0,-64.0,-70.5,-68.0,-66.0,-68.5,-153.0,-154.5,-149.5
-28.0,-27.0,-29.0,-28.0,-28.0,-28.0,-27.0,-30.0,-29.0,-32.0,-30.5,-32.0,-30.0,-33.0,-92.0,-93.0,-95.5
-4.0,-4.0,-4.0,-3.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-43.0,-44.0,-44.0
