TRAINTESTDIFFSACC:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_pb,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
breast-cancer-wisc-prog,0.019517006802721067,0.017510204081632626,0.015163265306122426,0.0141768707482993,0.012176870748299302,0.011850340136054394,0.011510204081632633,0.0074489795918367165,0.0057346938775510075,0.004707482993197258,0.001999999999999983,0.004646258503401357,3.265306122448797E-4,-3.7414965986396485E-4,-0.004442176870748315,-0.00919727891156464,-0.009918367346938791
breast-tissue,0.01457739791073125,0.012084520417853755,0.01018518518518519,0.01149097815764483,0.008333333333333333,0.007146248812915468,0.0035375118708452003,-0.0019943019943019944,-0.007051282051282056,-0.005056980056980058,-0.008736942070275412,-0.02739791073124408,-0.01187084520417853,-0.015194681861348517,-0.02025166191832859,-0.024074074074074074,-0.02977207977207977
car,-0.001395231492954844,-9.320892973161114E-4,-7.776787966876235E-4,-2.3755461635152075E-4,-2.763581805638071E-4,-4.316617436598206E-4,1.8562303386717346E-4,-5.090902595909311E-4,-8.570720500472139E-4,2.6037236239581467E-4,-5.895551879115021E-4,-0.0017962611939798718,-0.0010158585567663766,-7.478951633969351E-4,-8.661812872155838E-4,-9.855390859952054E-4,-7.587012192535177E-4
cardiotocography-3clases,-5.779514700121168E-4,-6.092797908141175E-4,-6.094567869768475E-4,-7.353600573939522E-4,-8.613223265319585E-4,-0.0010495872449485318,-0.0011751365230401767,-0.0014264710741071162,-0.0013326041091429135,-0.0015835846678844115,-0.0015209280262803992,-0.003186579914947448,-0.0014586253770018432,-0.0014276510485252765,-0.0014278280446879917,-0.0012715404330034116,-0.0014284180318970756
cardiotocography-10clases,-0.006944965603502185,-0.006944965603502185,-0.00688224951915702,-0.006913165067790024,-0.006912811072958317,-0.007227276481763356,-0.007666997061842902,-0.008106717641922426,-0.008044709547240595,-0.008171203700425974,-0.008234981769266165,-0.004214485468512141,-0.008801019505115215,-0.009776747259490005,-0.010248976364945069,-0.01028183888515228,-0.011005286322819682
chess-krvk,-0.015304043586679769,-0.015277800363085011,-0.015287146614925,-0.015291657804192116,-0.015260567321958577,-0.01533855845319626,-0.01537842061705372,-0.015515658881348622,-0.015471883135453508,-0.015458929558341957,-0.015566817312472744,-5.552746846747744E-4,-0.015472038974073458,-0.015419407529211468,-0.015591873452319232,-0.015384242205846617,-0.01483187967068671
chess-krvkp,4.055446363432617E-4,3.637474841103846E-4,3.636952703037174E-4,2.80179286547951E-4,2.8007485893462764E-4,4.468457574128504E-4,4.4679354360617946E-4,3.6327755985041674E-4,1.7534701622245647E-4,1.7513816099579878E-4,1.5416126416937606E-4,-0.0033774631373788186,4.956395597386365E-5,-1.3105665472138799E-5,-7.587971453144604E-5,-2.220653197332038E-4,-4.7266548480714803E-4
congressional-voting,-0.002257641736777564,-0.002564861398835938,-0.0031771868261953923,-0.0028713764286418734,-0.002564861398835927,-0.003332910553981864,-0.00394594061359375,-0.00486689496751644,-0.0064022886455558725,-0.007015318705167758,-0.0074782620950126,5.834355050099401E-4,-0.00824349272114882,-0.009625276568159069,-0.009473780633887159,-0.010243239053537941,-0.01055327724460603
conn-bench-sonar-mines-rocks,0.016594236400061604,0.019158576051779896,0.019152411773770958,0.020428417321621182,0.019787332408691613,0.02108799506857757,0.018834951456310648,0.02166743720141776,0.016538757897981156,0.011074125443057444,0.009095392202188272,-0.0047341655108645376,0.010944675604869744,0.0064262598243180445,0.006638927415626413,0.00715672676837722,0.008364925258129116
conn-bench-vowel-deterding,-0.0033670033670033703,-0.0033670033670033703,-0.0033670033670033703,-0.0033670033670033703,-0.0033670033670033703,-0.0033670033670033703,-0.0033670033670033703,-0.003434343434343438,-0.003905723905723905,-0.0039730639730639694,-0.00444444444444444,-0.016161616161616165,-0.005521885521885521,-0.006599326599326597,-0.007138047138047147,-0.005589225589225588,-0.00639730639730639
connect-4,-0.002142103898223972,-0.0021954065184074203,-0.0021312802581104017,-0.002153995765466436,-0.00218066212101069,-0.0020820059336775555,-0.0020909145360084183,-0.002071208206799691,-0.0018946022311104168,-0.0018028645855641568,-0.0017535644355390011,2.3301724929399488E-5,-0.0016509836638270547,-0.0016461010493035832,-0.0016155707294076302,-0.0014054499419030105,-0.0013739530904514038
contrac,0.0016075807016573591,3.410578323470285E-4,7.171432258540703E-5,-3.353428092104149E-4,-0.001919510351566093,-0.0026882731412348165,-0.0029585384289217012,-0.004588610511955471,-0.005219659679589994,-0.005717419759231612,-0.005584315026823724,-0.005103700016592006,-0.005679811219880916,-0.006453182899175945,-0.007451284036649888,-0.007180465682207843,-0.0074090666076728874
credit-approval,-0.001296657256799764,-0.0018786127167630322,-0.0023614285074159006,-0.0020701707218712525,-0.0026482054039521754,-0.0026487655150782183,-0.002165949724425346,-0.0023586279517856523,-0.0029394631894968195,-0.0037140968768203794,-0.004003674328986888,0.0017671506026795643,-0.004004234440112923,-0.004004234440112923,-0.0046802885692521405,-0.004488170453017885,-0.005070686024107185
cylinder-bands,-0.0109375,-0.011067708333333334,-0.011458333333333333,-0.011458333333333333,-0.012760416666666666,-0.011848958333333333,-0.013932291666666667,-0.014453125,-0.015755208333333333,-0.015885416666666666,-0.017057291666666665,-0.009765625,-0.016666666666666666,-0.017578125,-0.018229166666666668,-0.017578125,-0.018880208333333332
dermatology,-0.0010351966873706135,-0.001218346870520796,-0.001218346870520796,-0.0015826564739608343,-0.0014014970536709785,-8.540372670807576E-4,-6.688963210702448E-4,-0.001214365344800139,-0.0015766841853798433,-0.0015766841853798433,-0.0019390030259595552,-0.004720098741837871,-0.0015746934225195168,-0.0017558528428093727,-0.0019350215002389018,-0.0022993311036789404,-0.0019370122630992285
echocardiogram,0.03091686091686093,0.03040404040404042,0.02734265734265735,0.025796425796425805,0.023247863247863255,0.02323232323232324,0.022206682206682215,0.019145299145299152,0.017614607614607616,0.01913752913752914,0.01965034965034965,0.014156954156954178,0.021165501165501165,0.018601398601398603,0.015027195027195033,0.014506604506604515,0.012447552447552458
ecoli,0.0016418615639026838,0.0022253720765414765,0.0018284904323175163,0.0020198440822112047,0.003798724309000719,0.0044058587290337885,0.004807465154736605,0.005395700448854253,0.00478856602882118,0.003985353177415555,0.0033829435388613347,0.001979683439640926,0.003961729270021275,0.002971887550200817,0.0033687691944247738,0.0031585164186156535,0.0033545948499882055
energy-y1,-3.605619793609183E-4,-5.405038825404218E-4,3.1715890723725825E-4,-0.0011714308320052195,-3.2054977224688086E-4,9.200547059557233E-5,0.0020611938105410993,0.004466899506064037,0.004359522114091344,0.005296079029760522,0.006234896522102821,0.0038784713980536956,0.0063056525719711355,0.007769375967809411,0.00732743322821654,0.007926259988923197,0.008179670633978746
energy-y2,3.707345743902228E-5,3.616922676977774E-5,-1.3653883105576952E-4,-3.106032348851836E-4,-2.244752636397192E-4,3.616922676978514E-5,-2.2537949430896377E-4,-1.3789517705963631E-4,1.2139296734600124E-4,-3.1241169622368E-4,-8.327964463734405E-4,-9.186983599515827E-4,-0.0013572502345348052,-0.0012715743786239667,-0.0010988663207984158,-3.182891955737695E-4,-7.534502051473102E-4
fertility,0.0,-0.001999999999999998,-0.0033333333333333327,-0.001999999999999998,-6.666666666666673E-4,-0.0013333333333333346,-0.0020000000000000018,-0.003333333333333336,-0.004666666666666675,-0.0046666666666666705,-0.006000000000000005,0.004666666666666664,-0.0026666666666666726,-0.00333333333333334,-0.005333333333333342,-0.006000000000000009,-0.009333333333333338
flags,-0.009091553287981865,-0.008042800453514742,-0.008064058956916097,-0.007695578231292518,-0.006320861678004538,-0.007341269841269845,-0.00457766439909298,-0.002515589569161003,-0.0014951814058957013,5.739795918367318E-4,0.007057823129251693,-0.0016510770975056654,0.007001133786848074,0.009169501133786836,0.008553004535147377,5.102040816326425E-4,0.0042517006802721006
glass,0.009978156400174732,0.007496723460026204,0.005909421872724615,0.005650211154798301,0.006308431629532537,0.003567787971457685,8.387942332896377E-4,2.62123197902997E-4,-2.3299839813602693E-4,-0.0033493519732052056,-0.0061598951507208476,-0.00966360856269113,-0.005830784913353737,-0.010464540556283698,-0.015873015873015876,-0.01903596912771225,-0.017882627056938997
haberman-survival,0.013690476190476194,0.01347117794486216,0.01347117794486216,0.013909774436090231,0.013468329915698341,0.012596832991569832,0.011725336067441321,0.01215538847117793,0.011713943950786043,0.010614604693552054,0.009298815219867852,0.009301663249031663,0.008643768512189568,0.007988721804511286,0.007327979038505358,0.0073308270676691765,0.00864092048302575
hayes-roth,-0.003016096265041394,-0.004271500755326333,-0.004261082460801154,-0.003849559827056296,-0.003026514559566588,-0.003026514559566588,-0.00261499192582173,-9.272282127415636E-4,-0.001760691774756462,-0.002995259675991028,-0.003859978121581472,-0.01327290722508723,-0.0055269052456112765,-0.008902432671771621,-0.009798406000937636,-0.01621086628118975,-0.01941449184768452
heart-cleveland,0.01118518518518518,0.01248366013071894,0.011385620915032669,0.010945533769063183,0.013368191721132901,0.015555555555555564,0.015995642701525068,0.01555119825708062,0.015102396514161228,0.015529411764705877,0.013089324618736386,0.0041089324618736375,0.010448801742919404,0.009102396514161226,0.006679738562091505,0.006461873638344221,0.005991285403050106
heart-hungarian,-0.012471655328798188,-0.01337868480725624,-0.01337868480725624,-0.013832199546485265,-0.01428571428571429,-0.014739229024943316,-0.015873015873015876,-0.01632653061224491,-0.017006802721088444,-0.017460317460317464,-0.01859410430839003,-0.02811791383219956,-0.019727891156462594,-0.019274376417233566,-0.019047619047619053,-0.01927437641723357,-0.019954648526077107
heart-switzerland,0.06071743345672484,0.058522827428168514,0.060144544332804514,0.05798519301956637,0.05577295963335096,0.052520712145249435,0.05195663670015866,0.05250308478759034,0.05195663670015863,0.04651859686233033,0.048642693460250304,-0.0013925612550678664,0.0432487220165697,0.03457606204829896,0.030777366472765737,0.020430107526881725,0.013881544156530933
heart-va,0.01332799946661333,0.011981198119811987,0.012971297129712978,0.012331233123312333,0.01001433476681002,0.008950895089508954,0.009280928092809287,0.005987265393205991,0.00497716438310498,0.0010034336767010062,0.0019801980198019837,-0.006864019735306859,-0.0034403440344034364,-0.008127479414608127,-0.017851785178517852,-0.02519251925192519,-0.03626362636263627
hepatitis,0.023742923742923763,0.020729270729270752,0.01813741813741816,0.01771006771006773,0.015129315129315146,0.013836163836163854,0.01298701298701301,0.009956709956709974,0.007387057387057405,0.0048007548007548174,0.004367854367854392,0.0034132534132534365,0.0030747030747031003,0.001764901764901794,-0.0012598512598512265,-0.0025585525585525293,-0.004295704295704268
hill-valley,-0.007920792079207917,-0.008195819581958187,-0.009790979097909788,-0.007425742574257406,-0.007920792079207921,-0.006820682068206814,-0.004565456545654553,-0.0034103410341034183,-0.0042354235423542365,-0.0015401540154015366,-0.0010451045104510448,1.1001100110011505E-4,4.950495049505029E-4,9.350935093509076E-4,0.002090209020902086,0.0024752475247524774,0.00451045104510452
horse-colic,0.008152173913043488,0.008152173913043485,0.009057971014492757,0.008695652173913042,0.008152173913043482,0.0068840579710144935,0.005434782608695654,0.004528985507246379,0.0032608695652173946,0.002898550724637683,0.002173913043478267,0.0021739130434782444,0.0025362318840579713,0.0038043478260869584,0.0032608695652173985,0.004347826086956519,0.00416666666666666
ilpd-indian-liver,0.006670824899182482,0.007356148692118199,0.00758602833874689,0.007587205197006082,0.007816300271461985,0.008044610773745095,0.008616956173798445,0.008387861099342541,0.008503585494829673,0.00781669255754837,0.008045003059831475,-2.039887649264771E-4,0.007701360448147632,0.007700575875974839,0.0068991354014655915,0.005640289350217335,0.004838848875708076
image-segmentation,-0.0017316017316017286,-0.0016738816738816756,-0.0017316017316017507,-0.0017604617604617735,-0.001673881673881683,-0.0019913419913419883,-0.0019913419913419883,-0.0018759018759018716,-0.0017893217893217924,-0.001789321789321785,-0.0019336219336219243,0.0031168831168831143,-0.001991341991341992,-0.0016738816738816646,-0.0017893217893217776,-0.0021933621933621877,-0.002597402597402587
ionosphere,-0.005512987012987014,-0.004751082251082254,-0.004566017316017327,-0.004950216450216453,-0.0045735930735930855,-0.004954545454545467,-0.0060984848484848565,-0.00629329004329006,-0.007437229437229442,-0.008196969696969699,-0.007440476190476197,-0.004915584415584421,-0.007446969696969704,-0.007262987012987025,-0.006700216450216453,-0.007463203463203464,-0.007844155844155846
iris,0.0062222222222222175,0.0062222222222222175,0.005777777777777774,0.005777777777777774,0.0053333333333333306,0.0053333333333333306,0.004888888888888887,0.0053333333333333306,0.004888888888888887,0.004888888888888887,0.004888888888888887,-0.00355555555555556,0.004888888888888887,0.00444444444444444,0.0035555555555555453,0.0031111111111111014,0.0031111111111111053
led-display,0.008710957501280085,0.008976574500768046,0.008441073562041301,0.008238393923877792,0.008238393923877792,0.007972776924389817,0.007772230756101713,0.007699692780337933,0.007563150708311991,0.007826634237924549,0.007286866359446993,0.005743300904591234,0.006821769926608623,0.007016982420208214,0.006542285372930527,0.006469747397166747,0.006263867554190128
lenses,-0.005827505827505849,-0.008391608391608414,-0.013519813519813543,-0.01911421911421914,-0.024242424242424263,-0.021212121212121234,-0.032400932400932406,-0.032400932400932406,-0.03752913752913753,-0.034965034965034975,-0.037995337995338004,-0.059673659673659694,-0.04405594405594407,-0.050116550116550126,-0.04801864801864803,-0.06969696969696973,-0.10163170163170164
letter,-0.0049024017355101795,-0.0049024017355101795,-0.0049024017355101795,-0.0049024017355101795,-0.0049024017355101795,-0.00489907073387799,-0.004794941682854773,-0.004692804299474107,-0.004197842056942606,-0.003844284550366106,-0.0037825261867711736,-0.0030628981674867715,-0.0038191122046983125,-0.0038074598656553343,-0.0039712456125770195,-0.00421701939967285,-0.004263320422360336
libras,-0.013888888888888885,-0.013703703703703699,-0.01277777777777778,-0.01333333333333333,-0.013518518518518518,-0.0124074074074074,-0.011666666666666659,-0.010370370370370363,-0.009074074074074071,-0.007962962962962946,-0.009629629629629618,-0.00814814814814816,-0.012592592592592593,-0.013333333333333319,-0.015370370370370371,-0.017407407407407403,-0.01851851851851852
low-res-spect,-0.0028061514016570347,-0.0030530019294064364,-0.0035594711156509066,-0.004061684258313484,-0.00468874134604473,-0.004813585291113398,-0.004815003972307356,-0.005071785268414493,-0.005832198388378174,-0.005463341277948031,-0.005853478606287602,-0.007724719101123593,-0.006115934627170591,-0.006124446714334364,-0.005886108273748729,-0.005142719328112592,-0.005792475314947225
lung-cancer,0.0580392156862745,0.0538562091503268,0.0538562091503268,0.05163398692810458,0.04941176470588235,0.04941176470588235,0.049411764705882356,0.04300653594771242,0.04156862745098038,0.03934640522875817,0.03464052287581699,-0.10235294117647059,0.015424836601307187,0.003790849673202599,-0.00836601307189544,-0.026666666666666675,-0.03267973856209151
lymphography,-0.003360730593607323,-0.004261796042617979,-0.0010654490106545105,-0.0010654490106545105,-0.002879756468797586,-0.006076103500761051,-0.007409436834094381,-0.010569254185692552,-0.011038051750380529,-0.01284018264840184,-0.014234398782343997,-0.013838660578386626,-0.017394216133942167,-0.016961948249619482,-0.01877625570776256,-0.022417047184170494,-0.025193302891933066
magic,-0.0022467577988082633,-0.0021486154924640604,-0.0022327374693305404,-0.0021906764808973097,-0.0023098492814581134,-0.002236242551699967,-0.002260778128286019,-0.002036452856642131,-0.0020469681037504424,-0.0019733613739922845,-0.0018401682439537252,-0.001524710830704527,-0.001650893796004212,-0.0016929547844374356,-0.001657903960743079,-0.0017280056081317812,-0.001395022783035386
mammographic,-0.006116308616308648,-0.006463963963963989,-0.006394519519519537,-0.006672586047586074,-0.006881352506352534,-0.006466129591129621,-0.00646656271656273,-0.00674434049434051,-0.0070922845922846,-0.007508951258951268,-0.008203395703395717,-0.010048654423654442,-0.008481173481173514,-0.008481462231462256,-0.00855119542619545,-0.009106029106029126,-0.009453251328251347
miniboone,0.0029494869231734425,0.0030550652473150474,0.003199085593199454,0.003291336277880937,0.003422028669033894,0.003554258914455777,0.0037546598203070233,0.003879712629549914,0.004102152351018051,0.004324081057025919,0.004426580283462533,-2.486257032103848E-4,0.004637229872940988,0.004805335649981309,0.004934999153061733,0.005110793397504868,0.005268647874165681
molec-biol-promoter,0.04233143399810067,0.0423076923076923,0.040479582146248826,0.03729819563152897,0.036609686609686616,0.03281101614434949,0.030270655270655276,0.024525166191832867,0.019444444444444462,0.021177587844254515,0.014743589743589743,0.00465337132003798,0.014696106362773036,0.012749287749287744,0.01331908831908831,0.012013295346628679,0.008143399810066477
molec-biol-splice,5.839567551249555E-4,0.0010858388128413738,0.0017548052481685154,0.002026605619024561,0.001670765160496394,0.0018560621545499053,0.0018311672112107898,0.0011576410704720894,0.0012155807754434182,5.004145663195958E-4,3.7022711525781885E-4,-0.0020520508716374785,5.121807026977731E-4,-0.0010179149253308982,-0.0015449015680145525,-0.001130728326462338,-4.65692671662421E-4
monks-1,-0.045443645083932865,-0.04520383693045565,-0.044964028776978436,-0.044604316546762605,-0.044364508393285394,-0.04364508393285374,-0.044604316546762605,-0.044724220623501204,-0.044844124700239824,-0.04580335731414869,-0.044724220623501204,0.00875299760191847,-0.04304556354916067,-0.03992805755395685,-0.03597122302158273,-0.03021582733812949,-0.026139088729016786
monks-2,-0.002098560354374298,-0.0019881875230712497,-0.0038733850129198943,-0.003097822074566266,-0.0037678110003691403,-0.003881136950904392,-0.0034377999261720176,-0.0028848283499446127,-0.00277740863787375,-0.002005167958656325,-0.005890734588409015,-0.0011432262827611747,-0.007221483942414179,-0.006227759320782578,-0.008784422296050202,-0.009573274270948683,-0.009919527500922846
monks-3,-0.006137184115523457,-0.00613718411552346,-0.005655836341756922,-0.004933814681107096,-0.005655836341756918,-0.004572803850782189,-0.004452466907340557,-0.005174488567990362,-0.005415162454873642,-0.007340553549939829,-0.007460890493381463,-0.004572803850782189,-0.010108303249097469,-0.01227436823104695,-0.01468110709987968,-0.016486161251504223,-0.014801444043321295
mushroom,-8.206138191368951E-6,-6.56491055309442E-5,-1.641227638273531E-4,-7.303462990316885E-4,-8.288199573280974E-4,-7.549647136057916E-4,-8.206138191367285E-4,-9.437058920072368E-4,-0.001075004103069103,-0.0011816838995568734,-0.0012555391432791756,-1.0667979648776675E-4,-0.0013211882488101123,-0.001362218939766946,-0.0014196619071065138,-0.0015099294272115612,-0.0016330215000820694
musk-1,-0.008228142341801574,-0.00697408917842158,-0.006972912216278548,-0.008652437194357635,-0.009216202060860702,-0.008941969881538758,-0.010200730893490812,-0.010627379670332896,-0.01133414543721201,-0.009797621359508967,-0.009243272190150009,-0.01086806842857901,-0.008690099982934055,-0.008000988648200143,-0.009277404092297374,-0.008036297512490527,-0.005957193886858629
musk-2,-0.0024573080716198087,-0.0023362429632896994,-0.0023061604523096726,-0.0023670421620694956,-0.002306656620786433,-0.002256365964067623,-0.0021959497951008302,-0.00218609993200658,-0.002054939939112188,-0.00206524309192595,-0.0022675511941734152,-2.555267655328578E-4,-0.0023081757539004616,-0.002197254534428598,-0.0021570097579800664,-0.0021774874273358335,-0.002076710096722245
nursery,-0.0018158436213991788,-0.002021604938271604,-0.002366255144032932,-0.002443415637860091,-0.002608024691358035,-0.002782921810699583,-0.003086419753086422,-0.003348765432098755,-0.0035339506172839355,-0.003739711934156379,-0.004115226337448552,3.7037037037038016E-4,-0.004279835390946515,-0.004634773662551457,-0.004794238683127572,-0.004840534979423879,-0.004958847736625519
oocytes_merluccius_nucleus_4d,0.002266901552287581,0.0025265522875817,0.0020708231209150365,0.0023960886437908537,0.0023950674019607896,0.0034372446895424885,0.0024555759803921513,4.307087418300622E-4,4.909620098039154E-4,0.0014657373366013028,0.001003880718954242,-5.703635620915063E-4,-3.712214052287647E-4,-0.0015476919934640546,-0.0017463235294117715,-0.0016858149509804022,-8.460988562091616E-4
oocytes_merluccius_states_2f,-7.669526143790906E-4,-8.325674019607894E-4,-7.656760620915064E-4,-9.625204248366067E-4,-0.0012231924019607894,-0.0014843750000000044,-0.0017450469771241835,-0.001157832924836603,-0.0014841196895424846,-0.0020072508169934667,-0.0017455575980392158,-9.99795751633988E-4,-0.0012885518790849684,-0.002007250816993463,-0.002006740196078427,-0.0022684334150326743,-0.0018127042483660075
oocytes_trisopterus_nucleus_2f,-0.0021970006652719826,-0.0021982831173203024,-0.0024151778199918207,-0.0027805163472559495,-0.002996769823903304,-0.00226513093033881,-0.0035060635935909466,-0.0029942049198066756,-0.0037981420475950065,-0.004090861727623222,-0.004309359495355121,-0.008490954705396726,-0.004971585671804483,-0.0068030875033063265,-0.006445764301344166,-0.006963714622357949,-0.00639045855676054
oocytes_trisopterus_states_5b,0.005552055530173694,0.005186075776885413,0.0056230713123492145,0.004671972812016586,0.004378291292952138,0.003940333918452081,0.0032083744118755033,0.0032074125728392745,0.0029879529660711353,0.0029866705140228268,0.00305960997427082,0.001386170357723963,0.0028395091414785208,0.0032026033776580936,0.0035676212919101427,0.004150495747869927,0.003855852389769236
optical,-3.6642566580450027E-4,-4.0203396639277114E-4,-4.495511011196681E-4,-3.3094401003160115E-4,-3.1911960576988345E-4,-3.1911960576988714E-4,-4.496439739842928E-4,-3.78579346586209E-4,-2.7188108963678294E-4,-4.3807285935328527E-4,-4.1439872186674147E-4,-3.713225986654911E-4,-4.3824171910711676E-4,-4.3831770599634203E-4,-4.264764157592138E-4,-5.096356230251583E-4,-5.809957549924416E-4
ozone,0.001581185657044796,0.001528526460935109,0.0015284435330672216,0.0015547523991550904,0.0015284435330672177,0.0015284020691332723,0.0014495169348036038,0.001475742873023589,0.0014230836769139018,0.0013441570786502876,0.0014230007490460142,-0.0018199142567309776,0.0013178482125624188,0.0012914978825406007,0.0012388801503648553,0.0011337276138812598,0.0010810684177715764
page-blocks,-2.30030415810345E-4,-1.9350740631435642E-4,-1.8135977768370207E-4,-1.814399012877203E-4,-1.206082805964274E-4,-8.412533290245162E-5,-1.5725147549842852E-4,-2.059888832950755E-4,-2.0605565296509068E-4,-1.208352974744679E-4,-4.7829340284518315E-5,5.902082724060083E-4,1.3002280406785675E-5,-1.3326335871916378E-4,-2.064028552491363E-4,-1.8208089011982896E-4,-1.2126262336253542E-4
parkinsons,0.005971667017322387,0.0076723472894312285,0.0076688407321691505,0.004242934287116899,0.0042359211725927414,1.1571638964864202E-4,-0.002629917946560075,-0.004011501507819637,-0.004018514622343787,-0.0036959113542324247,-0.005102040816326533,-0.002398485167262809,-0.007865207938845643,-0.009600953783575299,-0.008236903008626137,-0.010309278350515467,-0.01103864226102812
