NN,C4.5,Logistic,SVML,MLP1,CAWPE-S
-1.0582565000000002,-17.5147,-19.006783,-71.69106,-353.46655499999997,-7437.0826435
-0.33696349999999997,-4.211448,-4.2102365,-7.637069,-23.666297999999998,-319.8896945
-2.495337,-210.3367965,-163.52693349999998,-240.11454650000002,-8104.8549,-123552.360242
-0.289574,-2.4531799999999997,-9.458832,-9.12064,-87.6452795,-1539.964046
-0.2964785,-4.558398,-21.049229,-16.770736499999998,-102.651494,-1929.6032785
-2.242103,-103.5955845,-483.671674,-1015.8566860000001,-9068.495235999999,-129259.66993
-2.044378,-116.02726849999999,-213.583524,-174.5270685,-6307.6515805,-86671.5032315
-1.9328305000000001,-217.4028245,-381.9273,-247.242919,-17693.792276,-221760.7213705
-0.2493815,-2.088594,-10.520782,-18.907387,-126.35544300000001,-1901.8134935
-0.741443,-54.2615995,-150.041438,-129.04691150000002,-1372.4152215,-18995.452885
-1.9935615,-100.9103075,-708.206828,-428.278416,-4562.5457035,-71937.3838015
-0.7201245000000001,-23.1157545,-299.455127,-337.5260065,-1721.1347855,-23928.0912115
-0.20548,-1.5679555,-18.398004,-94.537668,-136.41814649999998,-3072.4987730000003
