,,,,,ACC,,AUROC,,BALACC,
Classifier1,Classifier2,Classifier3,Classifier4,Classifier5,EnsSigBetterThanAllInds,EnsSigBetterThanPickBest,EnsSigBetterThanAllInds,EnsSigBetterThanPickBest,EnsSigBetterThanAllInds,EnsSigBetterThanPickBest
DecorateDefault,LogitBoostDefault,RotFDefault,SVML,SVMQ,1,1,1,1,1,1
Logistic,MLP,MultiBoostABDefault,RotFDefault,bayesNet,0,0,1,1,0,0
LogitBoostDefault,MLP,NN,REPTree,RandomCommitteeDefault,1,1,1,1,1,1
C4.5,DecisionTable,REPTree,RandF,SVML,0,0,0,1,0,0
1NN,DaggingDefault,Logistic,LogitBoostDefault,MultiBoostABDefault,1,1,1,1,1,0
C4.5,ENDDefault,Logistic,SVML,SVMQ,1,1,1,1,1,1
DNN,Logistic,LogitBoostDefault,MLP,NB,1,1,1,1,1,1
LogitBoostDefault,NN,RandomCommitteeDefault,SVML,SVMQ,1,1,1,1,1,1
DecorateDefault,Logistic,LogitBoostDefault,MLP,SVMQ,1,1,1,1,1,0
DaggingDefault,DecorateDefault,ENDDefault,LogitBoostDefault,MLP,1,1,1,1,1,1
BaggingDefault,DNN,Logistic,NN,RandomCommitteeDefault,1,1,1,1,1,1
BaggingDefault,C4.5,DecorateDefault,NN,RandF,0,0,0,1,0,0
BaggingDefault,DNN,MultiBoostABDefault,NB,SVMQ,1,1,1,1,1,0
C4.5,DecorateDefault,LogitBoostDefault,NB,SVML,1,1,1,1,1,0
1NN,C4.5,DNN,DecorateDefault,bayesNet,1,1,1,1,1,1
1NN,ENDDefault,LogitBoostDefault,NN,SVMQ,1,1,1,1,1,1
1NN,MLP,RandF,RandomCommitteeDefault,bayesNet,0,0,0,1,1,1
AdaBoostM1Default,DecorateDefault,ENDDefault,NB,REPTree,1,1,1,1,0,0
ENDDefault,LogitBoostDefault,RandF,SVMQ,bayesNet,0,0,0,1,0,0
BaggingDefault,C4.5,RandF,RandomCommitteeDefault,SVMQ,0,0,0,1,0,1
DNN,DecorateDefault,RandF,RandomCommitteeDefault,SVMQ,1,1,1,1,1,1
DecorateDefault,Logistic,NB,REPTree,RandomCommitteeDefault,1,1,1,1,1,1
DaggingDefault,DecorateDefault,Logistic,LogitBoostDefault,SVML,1,1,1,1,0,0
BaggingDefault,Logistic,NB,RotFDefault,SVML,0,0,1,1,0,0
BaggingDefault,C4.5,RandomCommitteeDefault,SVMQ,bayesNet,1,1,1,1,1,1
DNN,DecisionTable,Logistic,NB,SVML,1,1,1,1,1,1
1NN,DecisionTable,NB,NN,REPTree,1,1,1,1,1,1
AdaBoostM1Default,DecorateDefault,MultiBoostABDefault,NN,REPTree,1,1,1,1,0,0
1NN,MLP,REPTree,RandF,bayesNet,0,0,0,1,0,0
DNN,LogitBoostDefault,MLP,RandF,RotFDefault,1,1,1,1,1,1
1NN,C4.5,DecorateDefault,MLP,bayesNet,1,1,1,1,1,1
1NN,AdaBoostM1Default,C4.5,RandF,SVML,0,0,0,1,0,0
DecisionTable,ENDDefault,NN,SVML,SVMQ,1,1,1,1,1,1
DaggingDefault,REPTree,RandomCommitteeDefault,SVMQ,bayesNet,1,1,1,1,0,0
C4.5,DecorateDefault,ENDDefault,NN,SVML,1,1,1,1,1,0
BaggingDefault,DaggingDefault,DecorateDefault,Logistic,SVML,1,1,1,1,1,0
DNN,LogitBoostDefault,NN,RotFDefault,SVML,1,1,1,1,1,1
1NN,BaggingDefault,DaggingDefault,Logistic,LogitBoostDefault,1,1,1,1,1,1
C4.5,NB,RandF,RandomCommitteeDefault,RotFDefault,0,0,0,1,0,0
BaggingDefault,MLP,NN,REPTree,RandF,0,0,0,1,0,0
BaggingDefault,DaggingDefault,ENDDefault,LogitBoostDefault,REPTree,1,1,1,1,0,0
BaggingDefault,DecorateDefault,LogitBoostDefault,RandF,bayesNet,0,0,0,1,0,0
1NN,DNN,NN,RandF,SVML,0,0,0,1,0,0
1NN,DecisionTable,NB,REPTree,RandomCommitteeDefault,1,1,1,1,1,1
1NN,C4.5,REPTree,RandF,bayesNet,0,0,0,1,0,0
C4.5,DecorateDefault,NN,REPTree,SVML,1,1,1,1,1,1
DNN,DecisionTable,ENDDefault,NB,bayesNet,1,1,1,1,1,0
BaggingDefault,MLP,MultiBoostABDefault,REPTree,RandF,0,0,0,1,0,0
1NN,C4.5,DaggingDefault,DecorateDefault,NN,1,1,1,1,1,1
1NN,BaggingDefault,NB,REPTree,RandomCommitteeDefault,1,1,1,1,1,1
1NN,DNN,DecisionTable,REPTree,RandF,0,1,0,1,0,0
DaggingDefault,ENDDefault,RandF,RandomCommitteeDefault,SVMQ,1,1,0,1,0,0
NB,REPTree,RotFDefault,SVML,bayesNet,0,0,1,1,0,0
1NN,DaggingDefault,DecorateDefault,RotFDefault,SVML,1,1,1,1,1,0
C4.5,DecisionTable,MLP,MultiBoostABDefault,NB,1,1,1,1,0,0
DaggingDefault,ENDDefault,MultiBoostABDefault,NN,SVML,1,1,1,1,1,0
AdaBoostM1Default,C4.5,MLP,MultiBoostABDefault,NB,1,1,1,1,0,0
1NN,AdaBoostM1Default,C4.5,RotFDefault,SVMQ,0,1,1,1,1,1
DecorateDefault,Logistic,MultiBoostABDefault,RotFDefault,SVMQ,1,1,1,1,1,0
BaggingDefault,DecorateDefault,LogitBoostDefault,RandomCommitteeDefault,SVML,1,1,1,1,1,1
C4.5,DNN,MultiBoostABDefault,RandomCommitteeDefault,RotFDefault,1,1,1,1,1,1
C4.5,MLP,MultiBoostABDefault,NN,SVML,1,1,1,1,1,0
BaggingDefault,DecorateDefault,Logistic,RandF,SVMQ,0,1,0,1,1,1
C4.5,LogitBoostDefault,MLP,NN,RandF,0,1,0,1,0,0
DaggingDefault,DecisionTable,DecorateDefault,SVML,bayesNet,1,1,1,1,0,0
DNN,DaggingDefault,MultiBoostABDefault,RandomCommitteeDefault,bayesNet,1,1,1,1,0,0
DNN,NN,REPTree,RandomCommitteeDefault,bayesNet,1,1,1,1,1,1
DNN,DecisionTable,Logistic,MultiBoostABDefault,NN,1,1,1,1,1,0
BaggingDefault,Logistic,NN,REPTree,SVML,1,1,1,1,1,1
1NN,BaggingDefault,DaggingDefault,MultiBoostABDefault,RotFDefault,0,0,1,1,0,0
BaggingDefault,ENDDefault,Logistic,LogitBoostDefault,REPTree,1,1,1,1,1,1
BaggingDefault,DNN,ENDDefault,LogitBoostDefault,NB,1,1,1,1,1,1
1NN,NB,NN,RotFDefault,SVMQ,0,0,1,1,1,0
AdaBoostM1Default,DaggingDefault,ENDDefault,Logistic,REPTree,1,1,1,1,1,0
DecisionTable,DecorateDefault,ENDDefault,REPTree,bayesNet,1,1,1,1,0,1
AdaBoostM1Default,DaggingDefault,DecisionTable,DecorateDefault,SVMQ,1,1,1,1,0,0
1NN,AdaBoostM1Default,DNN,LogitBoostDefault,NB,1,1,1,1,1,1
BaggingDefault,DecisionTable,ENDDefault,LogitBoostDefault,NN,1,1,1,1,1,1
C4.5,DecorateDefault,Logistic,MLP,SVMQ,1,1,1,1,1,1
BaggingDefault,C4.5,DaggingDefault,RandomCommitteeDefault,bayesNet,1,1,1,1,0,0
1NN,BaggingDefault,DecisionTable,Logistic,NB,1,1,1,1,1,1
DaggingDefault,Logistic,LogitBoostDefault,NN,REPTree,1,1,1,1,1,1
DaggingDefault,ENDDefault,MLP,NB,SVMQ,1,1,1,1,1,0
1NN,ENDDefault,Logistic,MultiBoostABDefault,SVML,1,1,1,1,1,0
AdaBoostM1Default,DecisionTable,DecorateDefault,MLP,RotFDefault,1,1,1,1,1,0
DecorateDefault,LogitBoostDefault,NB,NN,RandomCommitteeDefault,1,1,1,1,1,1
AdaBoostM1Default,DaggingDefault,MultiBoostABDefault,NB,bayesNet,1,0,1,1,0,0
DNN,Logistic,MLP,RandomCommitteeDefault,SVML,1,1,1,1,1,1
ENDDefault,MLP,MultiBoostABDefault,NN,RandF,0,0,0,1,0,0
DaggingDefault,DecorateDefault,MLP,REPTree,bayesNet,1,1,1,1,0,0
C4.5,DNN,NN,REPTree,RandomCommitteeDefault,1,1,1,1,1,0
DNN,ENDDefault,MLP,MultiBoostABDefault,SVMQ,1,1,1,1,1,1
1NN,DecorateDefault,Logistic,NB,bayesNet,1,0,1,1,1,1
DecisionTable,MLP,REPTree,RandF,RotFDefault,1,1,0,1,0,0
,,,,,,,,,,
,,,,prop,0.725,0.715,0.79,1,0.62,0.45
