PB-A,CAWPE-A
-0.006462110317483116 ,-0.007914890691725796
-0.0032950106787225097 ,-0.0029561365617931656
-0.0030394802533788567 ,-0.0027812044901580624
0.00538518213353778 ,0.005477982756151412
6.537516912852315E-5 ,4.87259770147519E-4
-1.0655461244979403E-4 ,0.0010204553683220707
-0.0015998331391817722 ,1.791837903651894E-4
-7.158950266148434E-4 ,-0.0017938870256314354
7.98785738612473E-4 ,0.0015308300033121114
-0.0010405494271121807 ,-3.9135724100358704E-4
-0.0014283121729092851 ,-0.002609774223883976
-0.0027074410157035267 ,-0.002844867616483171
-0.00175458280421803 ,-0.0031955145360376136
-0.005422832171774861 ,-0.006294957849975469
-0.0033609829267147173 ,-0.00437010431880569
-0.004188195085270241 ,-0.0038774321993277905
-0.0010870344847880853 ,-0.0017492508092474823
-0.0041708994119805665 ,-0.006163382070275669
0.005812918829310454 ,0.006112808992837948
0.0019181375197616646 ,0.0030133747101239727
-0.018895737631040577 ,-0.01611498515961063
-7.776593446144897E-4 ,-0.00847086463811586
-0.019870465500015477 ,-0.005960363535049917
-7.656177197498115E-4 ,-0.0038317278201915883
-0.019776969778785403 ,-0.017591928901156684
-6.02297833091181E-4 ,-0.008790621967168843
-0.022368694427088887 ,-0.020790247965597253
-0.02178123621303285 ,-0.022924485147152285
0.01738999234395444 ,-0.007162340825417557
0.014862848518464866 ,0.013309648722691025
-0.012491887301857685 ,-0.004280237579590396
0.01674583669255314 ,0.0066915902954509665
-0.0010466498160046633 ,0.002987604549977041
-0.011026993777250027 ,-0.007710917094021386
0.005601684666565743 ,-0.013472604599471305
-0.007230085244002038 ,-0.012138871601201973
0.015058188540811424 ,0.01054225661413366
-0.010407210299595238 ,-0.00937591561217166
0.015300053674427883 ,0.023407584280983884
-0.005496620488126713 ,-0.003766085722080814
8.653305056336436E-4 ,-0.004967750827728379
-0.003070872776721467 ,0.0042622539416459215
-0.020870959115561916 ,-0.01818547105877244
0.00857281995069703 ,0.0019265175436768978
0.011646117201990824 ,0.009663345699020831
-0.010584044976935991 ,-0.004339587955901503
-0.008684310214770008 ,-0.012069274198990065
-0.015804921787947235 ,-0.01728522940242172
0.015299700357512491 ,0.012674637834284574
0.006433500555344529 ,-0.008839721056770666
0.043548079404982176 ,0.03919465568532532
0.014997070148499714 ,-0.0035156903358690705
0.008232572428941931 ,-0.016676578366239703
-0.02995794266305518 ,-0.028499369793781093
-0.03433110239986792 ,-0.0378635030858836
-0.02883215314548493 ,-0.016076643283783443
0.03136210887483548 ,0.05237113122803483
-0.030798326816720345 ,-0.019561945132248404
-0.06595701253392794 ,-0.042508321438261554
0.028675428307725626 ,0.0031858403370146338
-0.05833352631154276 ,-0.056792460029616465
0.006831175473882345 ,0.02786323964404236
0.005060191711022344 ,-0.013964313780884141
-0.01978046094210195 ,-0.019126041216622203
-0.014296581514000484 ,-0.011013859737909693
-0.011611739313424185 ,-0.009315429648086404
-0.03816588721473446 ,-0.030268449414491472
0.010998134784586444 ,-0.0028849289148281665
-0.02799884482934889 ,-0.015488370654738293
0.0015139059219164697 ,-0.006556187022249249
-0.008064958397192235 ,-0.039069976304671794
-0.019098944389241312 ,-0.0013215869444652695
-0.009898381467474793 ,0.01140659204902772
-0.049898534515551596 ,-0.020017044443752297
-0.04730937163335658 ,-0.06417828363844813
-0.04897205682238537 ,-0.029808083453476297
0.021813289145582337 ,0.01819524970774955
0.04118336904921849 ,0.030001293771578785
-0.06647340830288229 ,-0.05321284588629749
0.027271765448652285 ,0.02743203254099602
-0.02787875963597164 ,-0.06748513865128136
-0.026367650130361242 ,-0.0380500434876373
-0.030004199363441675 ,-0.05096711166002965
-0.012284023575983127 ,-0.0477448683721039
-0.03690747806562833 ,-0.05161150084688226
-0.04309222741412955 ,-0.04805945734999495
-0.09230711216275644 ,-0.06207906040346567
-0.06644698413171468 ,-0.06419824956055165
-0.03760282519761682 ,-0.04123956530069972
-0.029507563327766606 ,-0.05272970088967732
-0.028574942216654464 ,-0.03957650640030741
-0.03831086518760918 ,-0.047455591055652446
-0.041229843049295445 ,-0.0477783615441415
-0.04938487086487575 ,-0.056986343966287656
-0.028492495508712357 ,-0.03434293492984686
-0.03806216603596069 ,-0.03679816364606647
-0.05101864196677963 ,-0.06192750477851672
-0.0343018218067036 ,-0.046002396509312815
-0.004993054592651647 ,-0.02856669671990464
-0.045417382465856915 ,-0.047239192073248004
-0.011060212762130428 ,-0.045584757626629946
-0.0013736758622879819 ,-0.032021246372492596
-0.028646954470734953 ,-0.03322329486572384
-0.08405423154412417 ,-0.06675192399344254
-0.05600464350360368 ,-0.060750176752525586
-0.04825899726883376 ,-0.05132699177382494
-0.04532224466410051 ,-0.04435476894676749
-0.03339114807887522 ,-0.04744655770638584
-0.04021391524003781 ,-0.0536192570429086
-0.056554857783739254 ,-0.04733203252720919
-0.012253813250103884 ,-0.007602843590263864
-0.0024177894374041164 ,-0.006876767983036491
-0.012065748104432394 ,-0.0011395455790196296
-6.336649188853904E-4 ,-0.004645070939000795
-0.007939934172385366 ,-0.0010739192327496871
-0.018024848683295125 ,-0.01197699456831014
-0.00976237400266644 ,-0.007967327649106015
-0.009489802462392283 ,-0.009978052991923336
0.006960474961673402 ,0.0063537858383416745
0.0027548847081825256 ,-0.004289674278269651
-0.005359738263054581 ,-0.008922611755195153
0.00426379484693884 ,3.529370695749545E-4
0.006311633251798177 ,-5.268479421370875E-4
0.016669711245889784 ,-0.0011289761746717808
-0.0065680308800930565 ,-0.01068307457699813
0.004196792379930203 ,-0.004445342369087335
-0.010166610837268664 ,2.1567625420726433E-4
-0.018545946769442767 ,-0.00902764938672862
-0.011505784961524768 ,-7.411007983182394E-5
0.006629071720118507 ,-0.0039516709709785935
0.0024573808452296175 ,-0.0017416847517529588
-0.0042374602251875615 ,-0.006643454174519836
0.003697035496157186 ,0.0013422803593147181
0.008157347964617978 ,-0.0017323613579218744
0.011255784614564557 ,0.002292480007943243
-0.004190710410758136 ,-0.0015267160939852475
-0.013496018139550148 ,-0.011095486475264149
0.002899034723116478 ,-6.220839368570319E-4
-0.005854268076059155 ,-0.004688952858420303
-0.011318851735723334 ,-0.0026214975046845446
-0.8166666666666667 ,-0.5666666666666667
-0.06666666666666665 ,-0.13333333333333341
-0.6833333333333333 ,-0.6833333333333333
-0.4833333333333334 ,-0.18333333333333335
0.8 ,0.4
0.30000000000000004 ,0.5
0.45000000000000007 ,0.4
-0.35 ,-0.4
0.5 ,0.4
-0.24999999999999994 ,0.18333333333333346
-0.5833333333333334 ,0.06666666666666654
-0.18333333333333332 ,0.2833333333333333
-0.25 ,0.10000000000000009
-0.5833333333333334 ,-0.09999999999999998
-0.2333333333333333 ,0.44999999999999996
-0.9 ,0.06666666666666665
-0.33333333333333337 ,-0.35
-0.8166666666666667 ,-0.30000000000000004
-0.4833333333333334 ,-0.6166666666666667
-0.46666666666666673 ,0.03333333333333344
-0.2333333333333334 ,0.033333333333333326
0.4 ,0.5
-0.6333333333333334 ,-0.21666666666666667
0.06666666666666665 ,0.45000000000000007
-0.06666666666666654 ,0.25
-0.3833333333333333 ,-0.4833333333333334
-0.35 ,-0.2666666666666666
-0.85 ,-0.08333333333333337
0.45000000000000007 ,0.5
