WMV-A,0.0,0.0,0.0,0.0,0.0,0.01597784,0.0,0.23768833,6.11E-6,2.834E-5
RC-A,0.0,0.0,0.0,0.0,0.0,0.0,0.03604298,0.29423898,4.547E-5,5.798E-5
MV-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29068159,2.5345E-4,6.469E-5
SMLR-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8899375,5.194E-5
PB-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00133345
NBC-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

NOSIGDIFFERENCE,SMM5-A,ES-A,CAWPE-A,SMLRE-A,WMV-A,RC-A,MV-A,SMLR-A,PB-A,NBC-A
SMM5-A,true,true,true,false,false,false,false,false,false,false
ES-A,true,true,true,true,false,false,false,false,false,false
CAWPE-A,true,true,true,true,false,false,false,false,false,false
SMLRE-A,false,true,true,true,true,true,true,false,true,false
WMV-A,false,false,false,true,true,true,false,true,false,false
RC-A,false,false,false,true,true,true,true,true,false,false
MV-A,false,false,false,true,false,true,true,true,false,false
SMLR-A,false,false,false,false,true,true,true,true,true,false
PB-A,false,false,false,true,false,false,false,true,true,false
NBC-A,false,false,false,false,false,false,false,false,false,true



cliques = [1 1 1 0 0 0 0 0 0 0 
0 1 1 1 0 0 0 0 0 0 
0 0 0 1 1 1 1 0 1 0 
0 0 0 0 1 1 0 1 0 0 
0 0 0 0 0 1 1 1 0 0 
0 0 0 0 0 0 0 1 1 0 
]

