TRAINTESTDIFFSACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_pb,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
energy-y1,0.019771397853783235,0.01996886790424827,0.019756638100542807,0.020000666092878813,0.0197767227329984,0.019636187684895366,0.019755283381578285,0.019712206387344507,0.019651005897682417,0.019717511015595667,0.019296688846320985,0.019156456356111715,0.018981532604142645,0.019960976102228915,0.01883190794273039,0.018712395237145532,0.01856421870913851
energy-y2,0.022578873813968954,0.02276670946910322,0.02246469124553162,0.022071964994905668,0.02209278115253657,0.02181957264025073,0.02229467861805169,0.022706397782131134,0.022988511461641017,0.023008334215970178,0.022916267647997313,0.023046331322705824,0.02329777631920306,0.019582727932959565,0.023441312116368386,0.02353374211701138,0.023678345866744548
fertility,0.03565479445763352,0.037391990045198595,0.036160561484807625,0.03626847527606552,0.03520710482111612,0.03613512316897208,0.03546732347503487,0.034314301163914394,0.036646807579202946,0.04023494221087741,0.04125056600099325,0.04290593828632449,0.04748381454430723,0.05817531964752711,0.04859402545935899,0.04931251502337956,0.05164422946256056
flags,0.06860935370134398,0.06990688996992278,0.07149875139175232,0.07262427235680781,0.06873495038971564,0.06697924528234146,0.06722204341206567,0.06927897003647458,0.06880202337088061,0.07390321250185339,0.07563841755164714,0.07387960909722373,0.07196942032697723,0.07471378535884188,0.07013321011169199,0.06824826545283402,0.06193113943840895
glass,0.047286808081520915,0.0467821658938146,0.048144534432097603,0.04844217861577794,0.047238136537418325,0.04999241661585379,0.05054708530522667,0.051080480094515664,0.05050929005828014,0.05156511354229514,0.05229812412392203,0.05453069178932536,0.05490176017544942,0.05494037927015369,0.059754745432923716,0.05880140486088219,0.05679938357898389
haberman-survival,0.03547787583557608,0.03687795650221307,0.03696983065198129,0.03661720968258256,0.036181942919442316,0.035037805141853194,0.03602340719000868,0.035909029195180915,0.03666670093445302,0.03421257451713961,0.03494232092982733,0.03555340099648851,0.037763903395967,0.05701719135007528,0.038857006446044354,0.043384354114109576,0.04629609986814137
hayes-roth,0.06510468539708489,0.06544535500119412,0.06488792676858787,0.06487308841353677,0.06404984468223783,0.0640455313355459,0.06611792824170899,0.06749622787846009,0.06627608233641454,0.0661980753232322,0.06609628411563218,0.06698565167143865,0.06788478793008337,0.0687273704850323,0.06714445509771108,0.072112968673417,0.07987256987485561
heart-cleveland,0.0501542299824232,0.047071551672291226,0.0468175569673576,0.04786750055905234,0.047281753324953615,0.046262111106658704,0.04367787030796166,0.0455071543019726,0.04541318757643585,0.04668287062162188,0.04602077186274948,0.04563362459676153,0.0472348457565893,0.043205057320363435,0.04648897647956542,0.04600872741081591,0.044961147289414076
heart-hungarian,0.04523540546415618,0.044149968896737384,0.042900994932303184,0.04278180112937909,0.04397553040215528,0.043051376458567076,0.04141724099830199,0.039605277599549266,0.03932695932794196,0.03866746816964261,0.039055511030332606,0.03869222151263778,0.039605277599549266,0.05393874312980884,0.04000616447435461,0.04109232408678723,0.042139776200900696
heart-switzerland,0.09609126430021091,0.09496505425301753,0.09671856228173363,0.1017266157097385,0.10302675122830161,0.1011976900063002,0.09970641170984335,0.09939034879850193,0.0991550984525335,0.0979485121770625,0.09534907952806568,0.1027467827184646,0.10808344187363497,0.09421611457679284,0.10891746905182409,0.10704720112448242,0.10648821432107612
heart-va,0.07659974743858677,0.0808132670172424,0.07812724795649417,0.08095668897737154,0.08219627347583763,0.08530287231300224,0.0821691862718272,0.07942260411350607,0.08399771963213777,0.08247369147311347,0.08093812382980414,0.08135637958399233,0.08397915199201982,0.07203535384331332,0.0840880514681888,0.08506500591100667,0.08861275211113527
hepatitis,0.05066456347549419,0.050754597289416906,0.05097055002650325,0.05128289912351698,0.0531337907899766,0.05417805282421403,0.054179429073291145,0.054012784332262274,0.053751886696030746,0.05207572337974644,0.054198286045956015,0.05487647189318535,0.05237928760832954,0.057879001756354576,0.05106254548531137,0.04970557678203251,0.04814303912436042
hill-valley,0.02840506115751966,0.028687777551870387,0.031018874710231768,0.03054150645205558,0.031002725826494736,0.031201327972572176,0.030851933464475997,0.035047463840149624,0.0363596703046562,0.03759560020075781,0.03790040166196943,0.03949985843827416,0.03905888735827703,0.03388304347500645,0.03866941863754028,0.03714382050412039,0.03568256671563175
horse-colic,0.02935927646024256,0.029825070865618208,0.03013084925506,0.03018657264454982,0.028459113239757222,0.02820326751850227,0.02652844087503439,0.026800279904010623,0.025735941164502032,0.02470753795560303,0.024055869187402646,0.023714734715682657,0.023483836123348586,0.03594133250240045,0.024016319848387167,0.024695855416525404,0.024475601974603366
ilpd-indian-liver,0.033874099175724884,0.03390411170269542,0.03378496393185919,0.034459239530167926,0.03411027814958052,0.033938752336783846,0.03419292094766767,0.03446833987235582,0.03303835225926908,0.033134519666650264,0.03366545679394795,0.03487633099952963,0.03547298195979327,0.03006128195792645,0.036421179230613984,0.037002417151068785,0.035397236605222766
image-segmentation,0.008377605956304782,0.008337398659042964,0.007989518394853968,0.007852294688686074,0.007970136879880496,0.008075972934839968,0.00841009442780207,0.008726849768324763,0.008822881587619754,0.008768808859939173,0.008460910244982927,0.008536945306859745,0.0083648945555419,0.009056082395982835,0.008541838941716692,0.008173169028511985,0.008450567608618873
ionosphere,0.024506237869001905,0.02395359939054272,0.024234943018749597,0.024342476137425247,0.025138855942090334,0.02585382087761889,0.02566911740389261,0.0249150296041222,0.02507996006490167,0.02545424425889814,0.026021399830109072,0.026257386403945787,0.026308677033709673,0.025970660165002674,0.02725263656249116,0.027109592066986415,0.027639674627055785
iris,0.032609771392847,0.032609771392847,0.03185214885958529,0.03185214885958529,0.03165587636287149,0.03204403101002818,0.03204403101002818,0.03204403101002818,0.0320408423905855,0.032612904387175484,0.03389111857497611,0.03443838780022109,0.03443838780022109,0.036064367034568716,0.034783769207137806,0.034783769207137806,0.034959564308696636
led-display,0.033157333292671905,0.03342575826882372,0.033447165400831785,0.03340777863634817,0.033779571856799105,0.033861035533095885,0.033850006713883336,0.03385636732896764,0.033818010153646466,0.033818119017791116,0.033882865142924976,0.033854747093008765,0.03363339544358068,0.03507415406699484,0.03347685638870275,0.033497328678657415,0.03366518928577809
lenses,0.1690229173271129,0.16904702582290157,0.16747493664502944,0.1741969259864589,0.18033687661787437,0.1776824621304195,0.1841307671906126,0.1766977917692505,0.17960416123167186,0.18518474362887602,0.19099720819438132,0.19099720819438132,0.19162346948479103,0.18749582757931663,0.19256232639613868,0.19607901528778007,0.20295997503260987
letter,0.0031620727347475247,0.0030963794080923262,0.0030721909186766944,0.003152295207585201,0.003240617807004541,0.003120347097025009,0.0031257599842190414,0.0030624832490366584,0.0031194187364167996,0.0031290710072085885,0.003185653900591898,0.0032151973845144003,0.0032422655514037237,0.002927542198440416,0.0033720425136834573,0.0034926608192581785,0.003430388480922188
libras,0.048486750248124016,0.04908883124703566,0.04913758872014981,0.04850869525117027,0.05023748058767272,0.05005176829055019,0.05069441164120074,0.0499978713893432,0.05167960809646406,0.0523131053417058,0.05057109637212446,0.05133246531363219,0.050613169422321413,0.04761071507708991,0.05147360212403702,0.05256173433204634,0.050611417076851656
