TRAINTESTDIFFSACCRANKS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_pb,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
low-res-spect,2.0,3.0,4.0,1.0,7.0,6.0,5.0,8.0,9.0,12.0,10.0,11.0,13.0,17.0,14.0,15.0,16.0
lung-cancer,3.0,1.0,2.0,4.0,6.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,16.0,14.0,15.0,17.0
lymphography,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0,12.0,13.0,14.0,11.0,15.0,16.0,17.0
magic,2.0,3.0,4.0,5.0,6.0,8.0,10.0,7.0,9.0,12.0,11.0,15.0,16.0,1.0,17.0,13.0,14.0
mammographic,2.0,1.0,3.0,5.0,4.0,7.0,6.0,10.0,12.0,8.0,9.0,13.0,11.0,17.0,15.0,14.0,16.0
miniboone,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,1.0,15.0,16.0,17.0
molec-biol-promoter,2.0,4.0,6.0,5.0,1.0,3.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,17.0,14.0,15.0,16.0
molec-biol-splice,14.0,12.0,13.0,16.0,15.0,11.0,10.0,9.0,8.0,5.0,6.0,7.0,4.0,17.0,3.0,2.0,1.0
monks-1,7.5,7.5,3.5,5.5,5.5,9.0,2.0,3.5,1.0,10.0,12.0,13.0,14.5,11.0,14.5,16.0,17.0
monks-2,4.0,1.0,3.0,2.0,6.0,8.0,5.0,7.0,9.0,10.0,13.0,16.0,11.0,17.0,12.0,14.0,15.0
monks-3,1.0,3.0,4.0,5.5,9.0,8.0,7.0,2.0,5.5,12.5,17.0,16.0,15.0,12.5,14.0,10.5,10.5
mushroom,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
musk-1,2.0,6.0,3.0,1.0,4.0,14.0,12.0,10.0,11.0,7.0,8.0,5.0,9.0,17.0,13.0,15.0,16.0
musk-2,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,11.0,13.0,14.0,1.0,15.0,16.0,17.0
nursery,2.0,3.0,4.0,5.0,6.5,6.5,8.0,9.0,10.0,11.0,12.0,13.0,14.0,1.0,15.0,16.0,17.0
oocytes_merluccius_nucleus_4d,11.0,8.0,13.0,17.0,16.0,14.0,15.0,9.0,10.0,2.0,4.0,5.5,5.5,1.0,12.0,3.0,7.0
oocytes_merluccius_states_2f,6.5,6.5,8.5,5.0,2.0,2.0,2.0,4.0,8.5,12.0,16.0,10.0,11.0,17.0,13.0,14.0,15.0
oocytes_trisopterus_nucleus_2f,9.0,7.0,14.0,16.0,8.0,10.0,12.0,11.0,13.0,17.0,15.0,6.0,2.0,5.0,1.0,4.0,3.0
oocytes_trisopterus_states_5b,2.0,3.0,14.0,12.0,15.0,16.0,17.0,8.0,4.0,13.0,10.0,5.5,11.0,1.0,5.5,9.0,7.0
optical,4.0,2.0,3.0,5.0,7.0,6.0,9.0,10.0,11.0,12.0,14.0,17.0,15.0,1.0,16.0,13.0,8.0
ozone,7.0,12.0,16.0,15.0,14.0,13.0,9.0,9.0,11.0,9.0,6.0,5.0,3.0,17.0,3.0,3.0,1.0
page-blocks,5.0,4.0,11.0,10.0,6.0,7.0,2.0,8.0,3.0,9.0,12.0,13.0,14.0,1.0,17.0,15.0,16.0
parkinsons,2.0,1.0,3.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0,11.0,13.0,14.0,17.0,12.0,16.0,15.0
pendigits,3.0,4.5,2.0,4.5,12.0,8.0,6.0,15.0,16.0,10.0,9.0,7.0,11.0,1.0,13.0,14.0,17.0
pima,1.0,2.0,3.0,6.5,9.0,8.0,10.0,12.0,13.0,5.0,6.5,11.0,14.0,4.0,15.0,16.0,17.0
pittsburg-bridges-MATERIAL,1.0,2.0,4.0,6.0,3.0,5.0,7.0,8.0,10.0,9.0,11.0,12.0,13.0,17.0,14.0,15.5,15.5
pittsburg-bridges-REL-L,2.0,1.0,4.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,17.0,14.0,15.0,16.0
pittsburg-bridges-SPAN,1.0,4.0,5.0,2.5,2.5,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,17.0,14.0,15.0,16.0
pittsburg-bridges-T-OR-D,1.0,2.0,3.5,3.5,5.0,6.0,7.0,8.0,9.0,12.0,10.0,11.0,13.0,17.0,14.0,16.0,15.0
pittsburg-bridges-TYPE,1.0,2.0,3.0,8.0,6.0,5.0,4.0,7.0,9.0,11.0,10.0,12.0,13.0,17.0,14.0,15.0,16.0
planning,4.0,2.0,1.0,3.0,6.0,9.0,7.0,5.0,8.0,11.0,15.0,14.0,13.0,17.0,12.0,10.0,16.0
plant-margin,6.0,3.0,5.0,1.0,2.0,4.0,7.0,8.0,9.0,10.0,11.0,12.0,15.0,13.0,14.0,16.0,17.0
plant-shape,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0,12.0,13.0,17.0,11.0,15.0,16.0,14.0
plant-texture,3.0,4.0,2.0,6.0,5.0,7.0,9.0,8.0,10.0,11.0,13.0,12.0,14.0,1.0,15.0,16.0,17.0
post-operative,1.5,1.5,3.0,4.0,5.0,6.0,7.0,8.0,9.0,12.0,14.0,13.0,10.0,17.0,15.0,11.0,16.0
primary-tumor,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,17.0,14.0,15.0,16.0
ringnorm,2.0,5.0,3.0,7.0,6.0,4.0,8.0,9.0,12.0,11.0,10.0,14.0,13.0,1.0,15.5,15.5,17.0
seeds,9.0,8.0,5.5,12.5,16.0,7.0,14.0,10.0,12.5,16.0,16.0,11.0,5.5,1.0,4.0,3.0,2.0
semeion,16.0,15.0,14.0,13.0,10.0,7.0,11.0,3.0,1.0,2.0,5.0,9.0,8.0,17.0,4.0,6.0,12.0
soybean,1.0,3.0,2.0,4.0,5.0,6.0,7.0,9.0,8.0,11.0,10.0,12.0,13.0,17.0,14.0,15.0,16.0
spambase,2.0,3.0,5.0,4.0,7.0,8.0,9.0,6.0,12.0,10.0,14.0,15.0,11.0,1.0,13.0,16.0,17.0
spect,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
spectf,1.0,2.0,4.0,6.0,7.0,5.0,3.0,8.0,9.0,10.0,11.0,12.0,13.0,17.0,14.0,15.0,16.0
statlog-australian-credit,1.0,2.0,3.0,7.0,6.0,4.0,5.0,8.0,9.0,10.0,11.0,13.0,12.0,17.0,14.0,15.0,16.0
statlog-german-credit,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0,11.0,12.0,13.0,17.0,14.0,15.0,16.0
statlog-heart,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,12.0,10.0,11.0,13.0,17.0,14.0,15.5,15.5
statlog-image,3.5,2.0,8.0,3.5,6.5,6.5,5.0,9.0,14.0,10.0,13.0,15.0,12.0,1.0,11.0,16.0,17.0
statlog-landsat,2.0,6.0,3.0,7.0,8.0,5.0,4.0,9.0,10.0,11.0,12.0,17.0,13.0,1.0,14.0,16.0,15.0
statlog-shuttle,2.0,3.0,4.0,5.0,7.0,6.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,1.0,15.0,16.0,17.0
statlog-vehicle,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,10.0,13.0,14.0,12.0,1.0,15.0,16.0,17.0
