TRAINACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq,CAWPE_pb
breast-cancer-wisc-diag,0.007250640311504802,0.007367625120413652,0.007497051372146154,0.007498001749455182,0.00794106354258422,0.0084319648144178,0.0084319648144178,0.00862165866587143,0.008408269964803452,0.00830852825039353,0.00819193275887559,0.00819193275887559,0.008347031496773969,0.00831881320780797,0.008340199466575191,0.008420971925765583,0.007754936734061836
breast-cancer-wisc-prog,0.033612459747779454,0.03580047239417768,0.03631824041489387,0.03878507727945456,0.03737069011416022,0.036677308110403,0.036495756405776694,0.03811743262852448,0.039233013446523995,0.03878507727945456,0.03852500038650041,0.0363429472639939,0.039171955105194445,0.03889600646300897,0.03932898811173076,0.0401720199708372,0.03803728291547787
breast-tissue,0.04984161815824727,0.04924530759029385,0.050084095775638535,0.050350738808801254,0.04879438138519982,0.04924530759029385,0.05203225578144556,0.05207716926048693,0.05052351249232039,0.052601020009045214,0.0528710496225116,0.05400066249615652,0.056688886666213564,0.05760013267307337,0.0610919922524827,0.059911630950012756,0.0528710496225116
car,0.005716780824403473,0.00583541439513059,0.005447634074501482,0.005600595035475474,0.005968385800656955,0.006073353058765476,0.00615112261618477,0.006305742372276435,0.006657778716194273,0.006645597614237312,0.0069520473302475405,0.006515788512020782,0.0062916535004209845,0.0061351696282927045,0.005301180916859028,0.005343372391395292,0.010749812660966716
cardiotocography-3clases,0.007709207239909972,0.007772402837052728,0.007549511540421516,0.007315031293299701,0.007371862341460728,0.007537622751248635,0.007472169069729552,0.007441828718104748,0.007352828860941617,0.007388502278190516,0.007437993217930837,0.007496951096557557,0.0071811732881721015,0.007314682983355296,0.007223834729262697,0.007121246889794739,0.006905013506534372
cardiotocography-10clases,0.011603187308539441,0.011653332482547367,0.011448351981716388,0.011241681482072278,0.010944181426971508,0.011017777565384365,0.011130338516718198,0.011073900829871286,0.011166492162484267,0.010645910962502803,0.010669667169428158,0.010727039610393195,0.01084823151323024,0.010998820156701032,0.010294766061211632,0.010294169827728168,0.007083527547270557
chess-krvk,0.004250212721478041,0.00423619754172481,0.004168422853952828,0.004124631670679337,0.004150007539260045,0.004029506544551103,0.003990911735224576,0.003930203882499911,0.003603207588087306,0.0034596804816730844,0.0031939969191436433,0.0032285142981849984,0.003318326975968829,0.0032298970193002925,0.003435368286592217,0.003069783118484076,0.003812289243605348
chess-krvkp,0.002104164234678347,0.002127170561072437,0.002248301021841736,0.0022266478612815144,0.002245593251490655,0.0022635838712762144,0.002139950281212836,0.0021624717322378815,0.0022386585141244333,0.0021996658325870297,0.002220567435235662,0.0022286709835063357,0.0022180290048176197,0.0022873512623083872,0.002469268441510369,0.0023712270500617725,0.005878980164903468
congressional-voting,0.015702283906595622,0.015502027396625971,0.015657917189290566,0.01565791718929056,0.016058885091249735,0.016652130492613857,0.016442661393292275,0.01718665148420427,0.017400491617967598,0.016853204713471903,0.015951364577500977,0.016104420773646218,0.016131680486020636,0.015906158035124192,0.01596054345880773,0.015063597311647496,0.019428602385706976
conn-bench-sonar-mines-rocks,0.03383920083367002,0.035391653190747906,0.033593374739427175,0.03427187153142582,0.03547573896664621,0.035115055620734414,0.03620128929704071,0.03550626624100391,0.03632677074537807,0.03610089022204479,0.03389038997263602,0.03142717234815088,0.03331485549894599,0.03463038682641738,0.03238477079366188,0.031742755449972695,0.04155208393179992
