TRAINTESTDIFFSAUROCSTDDEVS:,NN,C4.5_cvFold1,C4.5_cvFold6,NN_cvFold9,MLP_cvFold5,SVML_cvFold7,Logistic_cvFold4,MLP_cvFold3,Logistic_cvFold6,NN_cvFold1,Logistic_cvFold5,NN_cvFold4,NN_cvFold7,SVML_cvFold9,Logistic_cvFold9,NN_cvFold6,SVML_cvFold5,SVML_cvFold4,MLP_cvFold1,MLP_cvFold4,MLP_cvFold6,MLP_cvFold7,Logistic_cvFold3,C4.5_cvFold4,SVML_cvFold6,C4.5_cvFold0,C4.5_cvFold3,C4.5_cvFold7,NN_cvFold0,SVML_cvFold3,C4.5_cvFold5,C4.5_cvFold9,NN_cvFold2,SVML_cvFold1,NN_cvFold8,MLP_cvFold9,C4.5,NN_cvFold5,Logistic_cvFold7,SVML_cvFold0,Logistic_cvFold1,C4.5_cvFold8,Logistic_cvFold0,SVML_cvFold2,MLP_cvFold2,Logistic_cvFold8,Logistic_cvFold2,NN_cvFold3,SVML_cvFold8,MLP_cvFold0,MLP_cvFold8,C4.5_cvFold2,SVML,MLP,Logistic
image-segmentation,0.009202217671485876,0.009238200676578844,0.011700097046475165,0.011980361643441947,0.016218045466194105,0.007210590882268077,0.009571624851767754,0.014128515918159458,0.008464671578892531,0.013773900672677588,0.008931088785378793,0.015985063418711976,0.013614928581622394,0.006655773554808626,0.00906100096172978,0.011289844000512937,0.007892916340840285,0.00795898254831887,0.011977682591828156,0.01643623060353523,0.012083881222955594,0.01574959181410186,0.009548707586852046,0.010412421841804399,0.007640347988262527,0.013093583794166216,0.01100682131058637,0.014649825607533033,0.014756148643446017,0.006488661389761342,0.0115408088587884,0.010741324109170265,0.014635418252403932,0.006975603070035042,0.01473141459618753,0.014090416642208422,0.0065181376683788326,0.012517263425478889,0.008419634903722894,0.008362420948325528,0.009984695731755044,0.009681178999598207,0.011176081689848067,0.006568233945302279,0.010457422143293904,0.010365586781847725,0.01114589781293744,0.010877492151939571,0.009347925136153904,0.015368880711221626,0.016502854596783346,0.01432171850444215,0.004327133720673765,0.008218583810205474,0.005546477492584069
ionosphere,0.07531227890840236,0.15272001845903246,0.1588360178138145,0.1406270257845571,0.1020781359770209,0.09668282112153449,0.1802504326316792,0.11897679281831289,0.2069701277233617,0.16438609388280948,0.1915056507763906,0.1662368696397966,0.1718795079607925,0.0911525738307538,0.20218315434943507,0.1739683048666199,0.07615788674181014,0.09544432066627215,0.11055797291708423,0.11650299500535419,0.13508920205632785,0.14035923163185507,0.16534134293066677,0.124379333423131,0.1139068523517173,0.13808658641300423,0.14007592082808082,0.14719784461660276,0.18912010336771568,0.09984764992824838,0.13986208767329258,0.14971331778055694,0.18145317499675703,0.09678162811621287,0.16733871541534737,0.12070653075491924,0.07431337249904427,0.17034946437702408,0.19833532390923625,0.07003624079695639,0.16160012123257192,0.1453431045065318,0.16006514832485802,0.11769741452855653,0.12183407958204463,0.1860922894036656,0.13907027500411315,0.16362864415253767,0.10206905851543079,0.10971618365784627,0.13183884677941798,0.13476898036180948,0.04225394556971942,0.06285140968924059,0.10080730200495085
iris,0.026982874659758054,0.05050590280740267,0.06596133527369027,0.06048937853092233,0.003080806979917701,0.025587231320554214,0.0628887485342923,0.019459100409864125,0.06388729097343224,0.054635416600648655,0.0413531984377714,0.044231968120708995,0.052419001639629266,0.03433144320738733,0.06407192333109155,0.04831061764461689,0.01296671445226204,0.032811590424053044,0.01360123862776662,0.015241361056200536,0.007810476105714726,0.010354914997352353,0.04334842595995404,0.07008133989720795,0.006567016152669718,0.08434996232552051,0.05619546121166571,0.06114472347684524,0.050025761179708125,0.023748572424662717,0.07117699398103722,0.08538238918802009,0.07038183351649997,0.030444736609611306,0.0487435018639613,0.018757918763956747,0.031521137346499056,0.05565743005724915,0.04336903350751096,0.012434671432725761,0.048246045953959475,0.0731806918315533,0.06261767082758897,0.0196147527036941,0.043417390342620474,0.05456994692081769,0.07079686665541617,0.0739906559717959,0.041103137332309046,0.01363605411777678,0.012512550067544011,0.07826965469111358,0.009913571847161731,0.00676835850733247,0.03137712567023421
libras,0.030979118683717284,0.0749189393133397,0.05444230484931626,0.06799513254128034,0.0453117424918818,0.03340474080398454,0.04967714907760978,0.04896724971800893,0.05507886404111793,0.0776503308000113,0.06617380949749511,0.07555591554698307,0.08039995591998057,0.03231367024268026,0.06536227920365853,0.05488911195855451,0.029782215247414052,0.031161111418409593,0.050610923560272046,0.049331809322756284,0.04048457605224142,0.05885651627564549,0.08297832947046171,0.05875851306013141,0.022502324293292218,0.08155078606430886,0.0893653243996642,0.07492564299297103,0.0575755881388973,0.028063044032103253,0.07105211048641538,0.08798638138098198,0.06423962904312587,0.027706245995041127,0.0623347690530289,0.05630469293561625,0.031973412807364286,0.05482593259828755,0.062139266910744444,0.03435362161224715,0.05586592349480044,0.07271834049377136,0.08376212233960441,0.019823124534393933,0.054222239579022634,0.0764973950168345,0.07679151145241521,0.05840721631801247,0.033947851749148585,0.05098395691552747,0.06361171958268676,0.05932962875148236,0.01528552082507676,0.02471170400573094,0.031103077354466387
magic,0.011267420664825969,0.020943818798070557,0.015217935555984536,0.020236352875421006,0.011480124762753384,0.015252279809307498,0.013277958300957283,0.011917807221096416,0.00892607911059431,0.009642355200397032,0.015604213791040577,0.014461597303084366,0.013264329626406083,0.0212918217959495,0.020853696557522828,0.013619485687193799,0.015895132056993073,0.01408122393456618,0.009180708396877114,0.008758213414363015,0.009168235998827958,0.008704368656709085,0.013428781323041565,0.013483105677297632,0.009857638436566339,0.013785110109974671,0.01464261215297621,0.015904155394541312,0.013324323803677303,0.013825672027417548,0.017726300796713203,0.01806397985761257,0.012010008744753326,0.014006561791384802,0.015877393077634278,0.013201676354557266,0.009489312957130756,0.01590261940292137,0.014821708886599708,0.01687527722308163,0.013410439094931925,0.01569275390330647,0.01654962909967793,0.01118914099270666,0.00906512645002221,0.015856441953230497,0.011202839703542642,0.014689668666123382,0.01599425061097205,0.01120431179998058,0.014134514133191386,0.014462972075909524,0.007587023348803096,0.005398755858452373,0.007163257486504243
miniboone,0.002898723072010714,0.006694806849960557,0.006472014224778524,0.0034131946515579834,0.003936981109240355,0.005112892055281011,0.003422059470681643,0.00370202891419529,0.004428370726524123,0.004263293738945791,0.003642396256145518,0.002588816211456774,0.0037956148156259354,0.0034736886533582394,0.0026595053660175222,0.0043825933286585714,0.004241016093113957,0.00419010709326701,0.0036989126364923293,0.0027796195000952236,0.003899397697461069,0.003129029274199869,0.0032092041219685605,0.007391790820112938,0.004811940555755665,0.006481792862777043,0.009579532904579992,0.007358334473102239,0.0045636807882940755,0.004791832011350813,0.0066772032379421075,0.006870271872810507,0.004061085710652988,0.005273118553571846,0.0034643966352641774,0.0033473305539216034,0.00499926000891004,0.004298459292805901,0.004466979933664833,0.004588979733870104,0.00453284924327196,0.007811879247962724,0.0037106119508211956,0.004579771975490263,0.003029634559982167,0.004106040182721603,0.004296867795534553,0.00384072368742977,0.004070786520144933,0.0036153323737759375,0.0033698196302912983,0.0064705916248006265,0.0019245007867021346,0.010773819980143677,0.006998237427006383
oocytes_merluccius_nucleus_4d,0.04412089439762911,0.10715081075055141,0.11517297639487767,0.0964489263721197,0.04328899527767307,0.06844531860297617,0.062477404674749056,0.05910146988733803,0.059344533288662495,0.07578071645694769,0.044063580922039915,0.09686030859188685,0.06949376937020418,0.08728118866572299,0.055915229064336165,0.1108955989297715,0.0658639454137966,0.08509899119539283,0.043880805983379276,0.07073944457510985,0.0694395396698937,0.057465002796061926,0.040330982086888796,0.09833764942667922,0.07390827244843264,0.10984857513437349,0.09317761832966782,0.08916697956350336,0.08590106988485133,0.07870320083517374,0.08445363031552633,0.08987650366521878,0.09744996844815583,0.06685874049547096,0.1055035271130469,0.07525957535211293,0.06077575973049277,0.07037336741416188,0.05588586810425753,0.07407865298929577,0.048645261116449956,0.10571639979232342,0.055909814320605974,0.061508990783806804,0.058142859259406994,0.06227124426536708,0.0617362648936018,0.0819068142513245,0.09028804795522342,0.06021717368890004,0.07940410072237361,0.11079831679788847,0.036424474653873946,0.03169329238614323,0.023303466706800616
oocytes_trisopterus_states_5b,0.022136552086164267,0.046277265964711684,0.04777093712188351,0.04005504058787611,0.019193719823077344,0.02565113746845024,0.035737289101446454,0.02124286972168349,0.03131995752855225,0.04140586339201888,0.024385177810514136,0.03940523305749112,0.045157368981116316,0.023881125006924332,0.029301565644150176,0.038968776341482124,0.029617212462794053,0.03552476331528326,0.02587397148540135,0.023778765646301915,0.023974113931969413,0.025061594610726046,0.027603944335265255,0.05141000192813062,0.032923200085920847,0.07547432676514441,0.05135290864720572,0.074226904012215,0.03758486754617359,0.026510555485079697,0.05229115129068439,0.055733150636426546,0.031316915071448244,0.02959795395763665,0.037379621009028016,0.02387996654129948,0.0345583029547816,0.03327252264584899,0.023733800419762432,0.027904816615289253,0.03403725471132988,0.06092238160127572,0.03257932014963379,0.039833014086496595,0.025534204660585407,0.026151624351063923,0.027220399394058053,0.03881691545236144,0.028155357391452782,0.024571656658380677,0.023623785195560652,0.04694267097787845,0.012607687293636462,0.012339165680073821,0.010792219566121104
optical,0.0029298799147455304,0.012788311609655205,0.00998692545080692,0.005618167132794813,0.0013992223845461103,0.001246664783597735,0.007433588335367124,0.0010623485736571704,0.0092403854718431,0.005701205571829773,0.008579450313985822,0.004895494935827656,0.005148709179692578,0.0017645321549706776,0.008615928071877239,0.004760875044728457,0.0015771667477150978,0.0013385576361718756,0.0015505658721933439,0.0014206728249968432,0.0014887871710360142,0.0012100892141739263,0.008059161845455853,0.011308214917858946,0.0013219937205343688,0.010989677878806291,0.01331622350062828,0.0144032398536383,0.005194616520062696,0.0015893950911645164,0.010924891481898,0.011443062074519398,0.005691646580352524,0.0014508943380198598,0.006568013797949765,0.0010788398707309431,0.004811194234594496,0.005040988325691342,0.008168038441849402,0.0016758088726727056,0.005897122875477885,0.010078476891908664,0.010743456996946388,0.0013671830352490139,0.0010306926438081623,0.008350430721634636,0.007028552197384631,0.005335195666270117,0.0017053868549286554,9.660952017762601E-4,0.0013866730948218153,0.01055700144834571,6.722637754283176E-4,4.2490606059500055E-4,0.004608993054802354
ozone,0.133097641820193,0.22647248422944147,0.18802528230269772,0.1866578175542211,0.2303066516212603,0.0857842450595316,0.1863541930781808,0.20930857929971,0.1846313212132725,0.21104193732984913,0.22053769120013872,0.2529326684315206,0.25243684537798117,0.08543963159921526,0.20412283407791576,0.2856204528222615,0.1004320893391411,0.1255542446897358,0.20219580653902786,0.21772962262606965,0.2495154122833993,0.21839171344757638,0.19604417231910506,0.24807994752370113,0.08944280254066245,0.20362230911344442,0.20664641483182405,0.24021387514242268,0.3466805637497808,0.08071376475559633,0.2282587665174711,0.28336189979892684,0.23592374617401235,0.1113553713571861,0.31680907058971847,0.17709428621190398,0.16274365719164224,0.26209276460175546,0.24632630169884132,0.13509858493564272,0.21581849232258363,0.21996374826587664,0.22505683281064387,0.08397110208034764,0.15963619940297413,0.20347684635245905,0.17416242293336645,0.26635590880328497,0.10699464089026607,0.2853521227170132,0.2760613984207489,0.21916078890893384,0.055312384131924415,0.10668511866287753,0.13738664860086627
