TRAINTESTDIFFSNLLSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_pb,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
cylinder-bands,0.06799767926566569,0.06799941484359671,0.06801778167567649,0.06805429023254524,0.0681107501365331,0.06818912693817783,0.0682915811073421,0.06842041281295984,0.18490782138221976,0.06857829850150933,0.0687678399963565,0.06899220621584165,0.06925444511927491,0.0695579631900514,0.06990621475581472,0.07030293458602196,0.07075186612133046
dermatology,0.04743552836551148,0.04736914006923855,0.04730590264649641,0.047245900997028564,0.047189125976162004,0.047135639099842586,0.047085429610086264,0.04703858003571682,0.08849477432456997,0.04699512578962573,0.04695510440714275,0.04691855208553295,0.04688551765472859,0.04685606060020851,0.046830224208214644,0.046808099414005856,0.04678969837550182
echocardiogram,0.18124050577334672,0.17953994012692007,0.17813715575750166,0.17704330160409537,0.17626655683925288,0.17581135161050368,0.17567947551191407,0.17586880853015147,0.34453059566225125,0.1763726658466405,0.17718058546844287,0.17827802294922504,0.17964646323024158,0.18126424575592257,0.18310746458088104,0.18515116763606837,0.18737025995796852
ecoli,0.1330550948056867,0.13256011030955836,0.13207632424905538,0.1316019942335604,0.1311357503759822,0.13068636033623096,0.1302467982523172,0.12981799183732723,0.23446293876278276,0.12940362730089575,0.12900302717163406,0.1286138445555096,0.12823865105054774,0.12787656095598302,0.127529481525875,0.12719552817787108,0.1268761924710026
energy-y1,0.0824620961385154,0.08236675705363951,0.082279217274155,0.08220043517747097,0.08209048640462477,0.0819892959705801,0.0819308939157957,0.08181978634135517,0.10410316574306913,0.08171726424012826,0.08165398809209037,0.08154506260721482,0.08145166686379104,0.08135721904317297,0.08126504291536708,0.0811938848727627,0.08109599510215906
energy-y2,0.069969208366465,0.07001759415643012,0.07010668703854943,0.07019103038763372,0.0703037060101554,0.07039767122130959,0.07057780449520634,0.07068698031476751,0.10067316612415111,0.0708317598158469,0.07093622249945591,0.07115439924244492,0.07129311838409737,0.07145701366054735,0.07166523717533282,0.0719541110494315,0.07219651476890236
fertility,0.07097691943481048,0.07127578728375925,0.07165257737354364,0.07212257633287156,0.07270598225211751,0.07342796955541646,0.07431938313796708,0.07541899897283338,0.33204004007518484,0.07677322731435053,0.07843908418200048,0.08048517050328281,0.08299178390305052,0.08605199342055464,0.08976924748249113,0.0942530522031491,0.09961056830015536
flags,0.20876574363040037,0.20778992325426146,0.2069177134719508,0.20616222804634862,0.20552104779063124,0.20501816870359926,0.20465673439977822,0.20446308342874472,0.3478008756454085,0.204453558882461,0.20469006317571775,0.20523094069406556,0.2061846432510462,0.20771203710249617,0.21001454040246795,0.21335173575323899,0.21801473269235416
glass,0.14500667067246018,0.1446406062277513,0.1443086091770739,0.14401209150156663,0.14376214519522246,0.14356864097123362,0.14344151969817212,0.1433920436062504,0.2152305856422782,0.14343212667666752,0.14357659095372352,0.14384376904067167,0.1442423622668543,0.14479952867414747,0.14553443292952106,0.14647528164054935,0.14764491401856425
haberman-survival,0.07174857271978603,0.07115907447831644,0.07063614255530087,0.0701879814642405,0.06982329165740159,0.06955150594820711,0.06938211736550631,0.06932516365924712,0.3560623214377978,0.06939084799508453,0.06958909719722496,0.06992966702133932,0.07042180002493946,0.07107354958837588,0.07189185363662505,0.07288182625158185,0.07404660996480562
