TRAINBALACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_pb,CAWPE_alpha=1,CAWPE_eq
dermatology,0.012702456368334647,0.013388164185513491,0.013262778357227,0.013749155177277757,0.013599547510027404,0.013599547510027404,0.013599547510027404,0.013626151179390662,0.013626151179390662,0.014452869264274146,0.014452869264274146,0.014452869264274146,0.014471948045972835,0.014998602242661117,0.017293088417672384,0.014848169136456642,0.014838609031573547
echocardiogram,0.04965421544039595,0.05212186468307923,0.050883134045071644,0.05066988257155299,0.05118374241587078,0.05001796226539377,0.04955671556688282,0.049959843733001066,0.05072739993062339,0.051258831629621394,0.051258020708702785,0.05369680626913357,0.054869699877962023,0.05418261871960158,0.05895532748869968,0.05360956959055086,0.054669931941507835
ecoli,0.05457278481449818,0.05321702235571728,0.052944137288228756,0.05287819029631513,0.052870486995081664,0.05289131802864127,0.05293646952194,0.05314427857938548,0.053303308500383076,0.053769789148562334,0.054010160187240815,0.05433169043499864,0.05445060111511253,0.05449198748171403,0.04378246884581439,0.05190627601773205,0.053197163375875434
energy-y1,0.01683469237316629,0.016903308622188504,0.01668659619584942,0.016871419015073223,0.016814929044373025,0.01699266858626678,0.017062751059379867,0.01686360680509155,0.016607784552461088,0.016679592990793884,0.016507915116541327,0.016297937415214563,0.01622369498153139,0.016386723706671623,0.017197039449669344,0.016543814514511482,0.016145648086160598
energy-y2,0.017729452601897393,0.01788443209971692,0.017682110741253827,0.016897682782856315,0.017066592147735826,0.016924452354884396,0.017126052869293976,0.017145020323432455,0.01739106478377845,0.017065020900169182,0.017096169895480576,0.01716479164267222,0.01728716545023604,0.01745583489470107,0.01465073370029637,0.017670302326674416,0.017390280452605322
fertility,0.042294048123286174,0.042011767093919995,0.042294048123286174,0.042294048123286174,0.04179688180101604,0.04179688180101604,0.042294048123286174,0.04437149413036302,0.04460559232448455,0.04618806152608762,0.050172406810929854,0.04955724191575236,0.04959932154920355,0.06018280014337951,0.07198504850112471,0.0658825368785071,0.06839723700032926
flags,0.033443231743419614,0.03378262241562457,0.03379450320041261,0.03443573586134778,0.035001063826053676,0.03455141255579897,0.03300684907561998,0.03376897619324077,0.0353692281800418,0.036782594668333904,0.03698201304061796,0.03814789702899923,0.036960098529424085,0.03385156845162955,0.03702908091570269,0.03023374701030876,0.033419780855237
glass,0.05650251244365813,0.05567377094989681,0.05673079488039227,0.056396631457497466,0.05746976482024142,0.06107340963919223,0.0608977543441247,0.05993071305367481,0.059761172942378704,0.06291668164081578,0.06225930532367554,0.06351870468902367,0.05962740377447519,0.05818715753236699,0.04235283525412051,0.060346504972431166,0.06357594459652574
haberman-survival,0.050209771736861135,0.05071786489428228,0.050691661114127054,0.04961694253372085,0.04997492333863378,0.04922371966605268,0.04976948276594859,0.05030611088817083,0.05097650164051122,0.0482163382157538,0.04705709314489665,0.04694441747911749,0.04874423674408644,0.0491380519235851,0.05545409038152392,0.04947924035761268,0.050676149324012786
hayes-roth,0.03479804142265141,0.035211345785666134,0.03537903680445144,0.03542272316932346,0.034865198925357166,0.03765907588279303,0.03909646866312944,0.040677167523660976,0.041154418268754475,0.04075364614767006,0.04037145187822785,0.043426567554290134,0.04227237083059429,0.04021618578709445,0.05084383985805246,0.04639944607273231,0.0518070524489365
heart-cleveland,0.03771479991185905,0.03675763531143531,0.03510058719990146,0.03597561451748397,0.03414719522286158,0.03642749667305698,0.03796891043559433,0.0408919095855012,0.04127333070358748,0.043118297292006336,0.04163888822213117,0.04061670802615146,0.04163180398117871,0.044628039449273495,0.03564785202636138,0.04341462695068634,0.04495929869928304
heart-hungarian,0.029029482617409945,0.028135058124853177,0.027433531843065538,0.027409570768716213,0.02740025237207302,0.027099148202089505,0.02692768223104143,0.02640053280068553,0.02645044661267842,0.02494619287855859,0.025331200016288587,0.02509588018813238,0.02524881191494829,0.02533841936089578,0.03586622104478872,0.02554956633730136,0.025703097396775232
heart-switzerland,0.04961352070536428,0.051887920770050916,0.05333714216524021,0.05665244496994633,0.0552847398338183,0.056648556098509495,0.053352636592933475,0.05476103316695306,0.055985738696744704,0.0556602151147081,0.05715772832057655,0.0568059478295386,0.05990443778775214,0.06184139582470543,0.057709278212660996,0.061666951433535316,0.0557779719242244
heart-va,0.05860147012828553,0.06259405933454754,0.061706140542451896,0.06336191609054619,0.060032558129329984,0.060912669141302556,0.06188222241346978,0.06087814855736512,0.06227303734716595,0.06153268240315193,0.05883918975919224,0.05799318330704212,0.05767415477821951,0.056598329176642787,0.04783653770295526,0.05945856093205264,0.061047208665292424
hepatitis,0.05420568716404749,0.05498427963074227,0.056416844545547684,0.05507686593250692,0.0564612368080668,0.05713689723361286,0.05681553241498423,0.05393914045195013,0.053844866773406,0.05281766664298059,0.052913759059520206,0.05405970891852671,0.05186179434113576,0.05010556932155479,0.05016707649381033,0.0504025402038232,0.047471055067145135
hill-valley,0.02064969737972463,0.020638553758390875,0.020855793386593102,0.01998300285720048,0.019702546782212647,0.020387939093736276,0.018975784352376554,0.01969619137806129,0.021594294611608788,0.021803735798950764,0.021241447629021193,0.020598477974626522,0.019479195255663787,0.019377701826307502,0.02349458588711535,0.019283466550782908,0.01846076878613245
horse-colic,0.025735557557605336,0.025778108990069912,0.02627320643727236,0.026310537061688698,0.025232944399998174,0.02495609642405344,0.024067258630985577,0.023994226747951274,0.023921585069138884,0.023329840935560738,0.022786822950824,0.02197362319882118,0.022332665194797426,0.02144964937888511,0.024846169087193906,0.02203430747163975,0.021267169405946158
ilpd-indian-liver,0.04030583458353312,0.03960442930229754,0.03957654375971901,0.03940913491757598,0.03849617163632449,0.038101157849953445,0.03744849126594531,0.037145109419325854,0.03571557419537078,0.034850096921115646,0.03424133241459981,0.03355563610689324,0.03404874420575982,0.03336333181055156,0.0295815839288671,0.03380885652035176,0.03303503357244706
image-segmentation,0.004141222557432763,0.004065631123310899,0.0038809810829683457,0.0038041823164736877,0.0039062083894941,0.004166218329849547,0.004318143314277072,0.004386246415560809,0.004349852767663543,0.00431245280886489,0.004178196180634717,0.0040012246082135544,0.0038879681521717187,0.0037402265676656755,0.0038676374605778824,0.0037738243233104915,0.003975733337836552
ionosphere,0.01739687164613718,0.017255843381185312,0.017215971032541928,0.016927587951598533,0.017094274022449212,0.01672498648675493,0.016866160941203284,0.015819840358994804,0.015287143531698615,0.015926741898743834,0.015926741898743834,0.01632492235106377,0.016959760575706802,0.01732365247641631,0.018109239148751958,0.017335141652837043,0.01733628362635388
iris,0.019956530025956022,0.019956530025956022,0.019956530025956022,0.019956530025956022,0.019495554066311913,0.019495554066311913,0.019495554066311913,0.019495554066311913,0.019956530025956022,0.019956530025956022,0.020857725184503864,0.021565783409107406,0.021565783409107406,0.021964792447908412,0.019305965568015757,0.021964792447908412,0.021964792447908412
led-display,0.019145751942775603,0.019431121667656443,0.019452366749200065,0.019577288274972314,0.019819009538534736,0.0199196402423317,0.01993041846321777,0.019937124660422467,0.019851718415564996,0.01981126712301017,0.01985816402917741,0.019867151850148125,0.01966396193532389,0.01974241952203098,0.020966574162924554,0.019760089928766177,0.019903107154256024
lenses,0.19663019789073097,0.1855268305759429,0.1847384294895293,0.19317498321271892,0.2012549570692286,0.2012549570692286,0.20181107181719313,0.2025217643361902,0.20386861064120423,0.19420944659279726,0.19298430805190667,0.19298430805190667,0.20034797835254745,0.2030535524723266,0.1138836203294012,0.1871563453080711,0.19517333754560537
letter,0.0015565472326419518,0.0015396762798339546,0.0015490653512016466,0.001624087081102163,0.0016979991373749558,0.0017035552230281919,0.001755505875954749,0.001794251169920033,0.0019241693618021023,0.0019045694350485782,0.0019874943897711986,0.002077992173611377,0.002063892743464571,0.002147242373455579,0.0016718964550370044,0.002199249075268866,0.0022676648614674017
libras,0.02787085300600845,0.029358594332167476,0.028654120236001276,0.02857787688996434,0.028661547752496006,0.029467147082838627,0.029881393658244736,0.029949581586515065,0.030871178435727068,0.03124356042633572,0.030519832827655087,0.030880370390206736,0.030496576074428003,0.030891856487085315,0.03376949636331223,0.0328859936249356,0.030440687372466555
low-res-spect,0.0529491525675279,0.052860932864539044,0.05276889381575758,0.05529903638189764,0.05393320122528601,0.05363278881603557,0.05361829702517024,0.053731742237676086,0.05309174614505331,0.052493092137297595,0.051528422245490334,0.05147759316605446,0.05126610439208166,0.052146095573933,0.04800835055778383,0.05205121934172039,0.05206454117305325
lung-cancer,0.12691403888151717,0.12527322204593833,0.12527322204593833,0.11715309408127815,0.12325826417652663,0.12485396606573723,0.1321928662261476,0.1394668689005776,0.1376201308367444,0.15513318410500604,0.1552621069001721,0.16690967809389518,0.17264182805642553,0.17218503697763532,0.18482490496287746,0.17292588913534085,0.17372464997460224
lymphography,0.06838588560701271,0.06863125412044861,0.07092486901658092,0.07251156627032501,0.07264148265004249,0.06933006624753515,0.07791307462984541,0.08531234869044728,0.08595655701275264,0.08568974430871812,0.08615230251668961,0.08721917739700935,0.08512431278474647,0.08269212723765258,0.07026635263694214,0.08258587798755751,0.08233913648557589
magic,0.0030523000125631953,0.003077197034747896,0.003036523408819115,0.0030391247870619705,0.003116030690813252,0.0030705671799175667,0.003069639603679655,0.0030503361133817925,0.00310577767569147,0.0032586572072818166,0.003277951471973685,0.00323942993134802,0.0032614974321573784,0.0032489462530743284,0.003490806836765877,0.003244375873695698,0.003297472880746119
mammographic,0.014863410932344848,0.014578950814538125,0.014573409515680032,0.014127664417371686,0.013728026472721198,0.013795788984794265,0.013592715949505351,0.013750226131200796,0.013596175543134043,0.014343467880690283,0.01426215105326424,0.013958591356624018,0.01405495035258742,0.013893973729017399,0.01944495663587611,0.01371980207571095,0.013520300455698594
miniboone,0.001111580436771597,0.001101002836620526,0.0011343322681709072,0.0011392353283018347,0.0011573509920303833,0.0011730065205433327,0.0012017869420621542,0.0012310847595754927,0.0012374300623188021,0.0012315015135600823,0.0012309229487214458,0.0012628852084563234,0.0012987238332312567,0.0013298940630152149,7.336486068245342E-4,0.0013386251608364938,0.001386374191613209
molec-biol-promoter,0.03743093120166373,0.038106227950077703,0.03923297960174494,0.04051230287641192,0.03927629507682177,0.03824541399294213,0.03467795700293736,0.034745310739396226,0.03632435290391726,0.03630679501056699,0.03422761487170092,0.03843942777361654,0.03909730944096642,0.04307044917880614,0.04937892164141379,0.04505771763851431,0.047019765293250165
molec-biol-splice,0.005455631928686573,0.005613294278491,0.005551931411812572,0.0052658634007878525,0.005286155121047926,0.004919557527163,0.005093258476365214,0.0050105401732115085,0.005408963949110233,0.00522276402488324,0.005388766319293221,0.005431708232227188,0.005184921960705328,0.005713860379798313,0.005685702308221814,0.006276059757667694,0.0069653804023619235
monks-1,0.006769263611918076,0.0068348587839380396,0.006550410038190817,0.006342773637945821,0.006365010572862687,0.006365010572862687,0.006772558459332407,0.006794483276991753,0.006685252513249198,0.006908447098415825,0.0072190097192227805,0.007728450503310529,0.007651086688643527,0.008220812427674353,0.00786673345963248,0.00903529201318975,0.009077169812228747
monks-2,0.030973598246391076,0.03094775665180735,0.031390258371632625,0.031387145503104875,0.03113488808830798,0.030868345090989412,0.030794910504258723,0.030974183427153648,0.029755905375468343,0.029742220151775307,0.029607737053872967,0.02991448626581233,0.030686508872032232,0.028283445453133268,0.026903280922204717,0.02871673767732673,0.027673705143243733
