TRAINBALACCRANKS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_pb,CAWPE_alpha=1,CAWPE_eq
cardiotocography-3clases,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,13.0,15.0,1.0,16.0,17.0
cardiotocography-10clases,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,16.0,17.0
chess-krvk,10.0,9.0,8.0,6.0,4.0,1.0,2.0,3.0,5.0,7.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
chess-krvkp,7.5,7.5,7.5,12.0,12.0,12.0,7.5,14.0,2.0,1.0,5.0,10.0,3.5,3.5,17.0,15.5,15.5
congressional-voting,1.0,2.0,4.0,6.0,7.0,10.0,9.0,3.0,5.0,8.0,11.0,12.0,13.0,14.0,17.0,16.0,15.0
conn-bench-sonar-mines-rocks,1.0,3.0,2.0,5.0,4.0,6.0,7.0,8.0,9.0,11.0,10.0,12.0,13.0,14.0,17.0,15.0,16.0
conn-bench-vowel-deterding,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
connect-4,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,16.0,17.0
contrac,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
credit-approval,2.0,1.0,3.0,4.0,5.0,8.0,6.0,7.0,9.5,9.5,11.5,11.5,14.0,13.0,17.0,15.0,16.0
cylinder-bands,2.0,1.0,3.0,5.0,7.0,6.0,4.0,8.0,9.0,10.0,12.0,11.0,13.0,14.0,17.0,15.0,16.0
dermatology,1.0,2.0,3.0,4.0,6.0,6.0,6.0,8.5,8.5,11.0,11.0,11.0,13.5,13.5,17.0,15.0,16.0
echocardiogram,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.5,11.5,13.0,14.0,17.0,15.0,16.0
ecoli,11.0,2.0,3.0,4.0,5.0,7.0,8.0,9.5,9.5,13.0,12.0,14.0,15.0,16.0,17.0,6.0,1.0
energy-y1,4.0,9.5,9.5,5.0,3.0,1.0,2.0,7.0,6.0,8.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
energy-y2,3.0,4.0,5.0,2.0,1.0,6.0,7.0,8.0,10.0,9.0,11.0,12.0,15.0,16.0,17.0,13.0,14.0
fertility,13.5,11.0,13.5,13.5,16.5,16.5,13.5,9.0,10.0,7.0,5.0,6.0,4.0,3.0,1.0,2.0,8.0
flags,1.0,2.0,3.0,4.0,6.0,5.0,7.0,8.0,9.0,11.0,10.0,12.0,14.0,15.0,13.0,16.0,17.0
glass,1.0,2.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,12.0,11.0,10.0,14.0,15.0,13.0,17.0,16.0
haberman-survival,1.0,3.0,5.0,8.0,7.0,4.0,2.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
hayes-roth,1.5,1.5,5.0,9.0,7.0,3.0,4.0,6.0,8.0,12.0,10.0,11.0,13.0,14.0,16.0,15.0,17.0
heart-cleveland,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,13.0,16.0,14.0,11.0,15.0,17.0
heart-hungarian,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
heart-switzerland,1.0,2.0,3.0,5.0,4.0,6.0,7.0,8.0,11.0,10.0,9.0,12.0,13.0,14.0,17.0,15.0,16.0
heart-va,1.0,3.0,5.0,2.0,4.0,7.0,8.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
hepatitis,1.5,1.5,3.0,4.0,5.0,7.0,6.0,10.0,8.0,11.0,9.0,12.0,13.0,14.0,17.0,15.0,16.0
hill-valley,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
horse-colic,2.0,1.0,4.0,3.0,6.0,7.0,5.0,8.0,10.0,9.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
ilpd-indian-liver,4.0,8.0,5.0,2.0,3.0,7.0,9.0,14.0,17.0,16.0,15.0,6.0,10.0,13.0,1.0,12.0,11.0
image-segmentation,1.5,1.5,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
ionosphere,1.5,3.0,1.5,4.0,8.0,7.0,11.0,9.0,10.0,5.5,5.5,12.0,13.0,14.0,17.0,15.0,16.0
iris,3.0,3.0,3.0,3.0,7.5,7.5,7.5,7.5,10.5,10.5,3.0,12.5,12.5,15.0,17.0,15.0,15.0
led-display,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,8.0,15.0,16.0,11.0,10.0,12.0,17.0,14.0,13.0
lenses,1.0,2.0,3.0,4.0,5.5,5.5,7.0,8.5,8.5,10.0,11.5,11.5,13.0,14.0,17.0,15.0,16.0
letter,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
libras,5.0,1.0,3.0,2.0,4.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
low-res-spect,2.0,3.0,4.0,1.0,6.5,5.0,6.5,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
lung-cancer,4.0,1.5,1.5,3.0,6.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,15.0,17.0
lymphography,8.0,10.0,2.0,3.0,4.0,12.0,6.0,1.0,5.0,7.0,9.0,11.0,13.0,15.0,17.0,16.0,14.0
magic,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,16.0,17.0
mammographic,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
miniboone,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,16.0,17.0
molec-biol-promoter,1.0,3.0,5.0,5.0,2.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
molec-biol-splice,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,16.0,17.0
monks-1,8.5,8.5,5.0,5.0,1.5,1.5,3.0,7.0,5.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
monks-2,3.0,1.0,4.0,2.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,13.0,14.0,15.0,11.0,16.0,17.0
monks-3,1.0,2.0,3.0,5.0,6.0,8.0,9.0,7.0,10.0,11.0,16.0,15.0,14.0,12.0,4.0,13.0,17.0
mushroom,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
musk-1,1.0,4.0,3.0,2.0,5.0,8.0,6.0,7.0,11.0,10.0,12.0,9.0,13.0,14.0,17.0,15.0,16.0
musk-2,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
nursery,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,16.0,17.0
oocytes_merluccius_nucleus_4d,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,10.0,9.0,11.0,12.0,13.0,15.0,17.0,14.0,16.0
oocytes_merluccius_states_2f,1.5,1.5,7.0,12.0,4.0,4.0,4.0,6.0,11.0,14.0,15.0,9.0,9.0,9.0,17.0,13.0,16.0
oocytes_trisopterus_nucleus_2f,9.0,3.0,5.0,6.0,1.0,2.0,4.0,8.0,7.0,13.0,12.0,11.0,10.0,15.0,17.0,16.0,14.0
oocytes_trisopterus_states_5b,1.0,2.0,3.0,4.0,16.0,13.0,14.0,6.0,5.0,7.5,7.5,10.0,12.0,9.0,17.0,11.0,15.0
optical,2.0,1.0,3.0,4.0,6.0,5.0,7.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,12.0,8.0
ozone,17.0,15.0,16.0,14.0,13.0,10.0,11.5,11.5,8.5,8.5,7.0,4.5,4.5,4.5,1.0,4.5,2.0
page-blocks,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,16.0,17.0
parkinsons,1.0,3.0,2.0,4.0,5.0,6.0,8.0,10.0,7.0,9.0,11.0,13.0,14.0,15.0,12.0,16.5,16.5
pendigits,2.0,3.0,1.0,4.0,5.0,7.0,6.0,10.0,13.0,11.0,8.5,8.5,14.0,12.0,17.0,15.0,16.0
pima,1.0,2.0,3.0,4.0,5.0,6.0,7.0,11.0,10.0,8.0,9.0,12.0,14.0,13.0,17.0,16.0,15.0
pittsburg-bridges-MATERIAL,2.5,2.5,5.0,6.0,1.0,4.0,7.0,9.5,9.5,8.0,11.0,12.0,13.0,14.0,17.0,15.5,15.5
pittsburg-bridges-REL-L,10.0,5.0,6.0,1.0,3.0,8.0,7.0,2.0,4.0,9.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
pittsburg-bridges-SPAN,1.0,5.0,6.0,3.0,2.0,4.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
pittsburg-bridges-T-OR-D,1.0,2.0,3.0,4.5,4.5,6.0,7.0,8.0,10.0,16.0,11.0,12.5,14.0,16.0,9.0,16.0,12.5
pittsburg-bridges-TYPE,1.0,2.5,2.5,7.0,4.0,5.0,6.0,8.0,9.0,11.0,12.0,10.0,13.0,14.0,17.0,15.0,16.0
planning,2.0,3.0,1.0,4.0,9.0,8.0,7.0,6.0,5.0,11.0,10.0,12.0,14.5,13.0,17.0,14.5,16.0
plant-margin,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,13.0,17.0,15.0,16.0
plant-shape,10.0,9.0,8.0,6.0,5.0,7.0,1.0,4.0,2.0,3.0,11.0,12.0,15.0,13.0,17.0,14.0,16.0
plant-texture,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
post-operative,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,16.0,14.0,15.0,17.0
primary-tumor,1.0,2.0,5.0,8.0,7.0,3.0,4.0,6.0,9.0,10.0,11.0,12.0,13.0,15.0,17.0,14.0,16.0
ringnorm,1.0,4.0,2.0,3.0,5.0,6.0,7.0,8.0,10.0,9.0,11.0,14.0,13.0,15.0,17.0,12.0,16.0
seeds,1.0,2.0,3.0,4.5,6.0,4.5,7.5,7.5,9.0,11.5,11.5,16.0,14.5,11.5,17.0,11.5,14.5
semeion,15.0,16.0,12.0,14.0,10.0,8.0,11.0,6.0,1.0,3.0,7.0,5.0,2.0,4.0,17.0,9.0,13.0
soybean,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
spambase,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,14.0,16.0,17.0
spect,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
spectf,1.0,2.0,6.0,7.0,3.5,3.5,5.0,8.0,9.0,10.0,11.0,13.0,12.0,14.0,17.0,15.0,16.0
statlog-australian-credit,17.0,15.0,14.0,16.0,13.0,6.0,2.0,4.0,9.0,5.0,3.0,7.0,8.0,10.0,1.0,12.0,11.0
statlog-german-credit,1.0,4.0,3.0,2.0,5.0,6.0,7.0,8.0,10.0,9.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
statlog-heart,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,10.0,12.0,13.0,14.0,17.0,15.0,16.0
statlog-image,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,12.0,13.0,14.0,15.0,10.0,16.0,17.0
statlog-landsat,1.0,3.0,2.0,4.0,8.0,7.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,5.0,16.0,17.0
statlog-shuttle,3.0,2.0,4.0,6.0,5.0,7.0,8.0,9.0,10.0,12.0,11.0,13.0,14.0,15.0,1.0,16.0,17.0
statlog-vehicle,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
steel-plates,1.0,2.0,3.0,5.0,6.0,4.0,8.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,16.0,15.0
synthetic-control,2.0,5.5,8.0,2.0,4.0,2.0,5.5,7.0,9.0,10.0,12.0,12.0,12.0,15.0,17.0,15.0,15.0
teaching,1.0,2.0,3.0,4.0,5.0,8.0,10.0,12.0,9.0,7.0,6.0,13.0,11.0,14.0,17.0,15.0,16.0
thyroid,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,16.0,17.0
tic-tac-toe,1.0,2.5,2.5,5.5,8.5,5.5,5.5,5.5,8.5,11.5,11.5,11.5,11.5,14.0,17.0,15.0,16.0
titanic,12.5,12.5,14.0,16.0,15.0,11.0,8.0,5.0,3.0,9.0,10.0,1.0,2.0,6.5,17.0,6.5,4.0
trains,1.5,1.5,5.0,5.0,5.0,5.0,5.0,8.0,9.5,9.5,11.0,12.0,13.0,14.5,17.0,14.5,16.0
twonorm,1.0,2.0,4.0,3.0,5.0,6.0,7.5,7.5,10.0,11.0,12.0,9.0,13.0,14.0,17.0,15.0,16.0
vertebral-column-2clases,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,17.0,14.0,16.0
vertebral-column-3clases,1.0,2.0,3.0,4.0,6.0,5.0,7.0,8.0,9.0,10.0,11.0,13.0,12.0,14.0,17.0,15.5,15.5
wall-following,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,16.0,17.0
waveform,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
waveform-noise,5.0,2.0,1.0,3.0,7.0,6.0,4.0,10.0,8.0,9.0,12.0,13.0,11.0,14.0,17.0,15.0,16.0
wine,9.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,6.0,11.0,11.0,11.0,13.0,14.5,17.0,14.5,16.0
wine-quality-red,2.0,9.0,15.0,17.0,16.0,10.0,8.0,5.0,7.0,11.0,12.0,13.0,14.0,6.0,4.0,3.0,1.0
wine-quality-white,5.0,4.0,2.0,3.0,8.0,11.0,13.0,12.0,6.0,10.0,9.0,7.0,15.0,14.0,1.0,16.0,17.0
yeast,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,17.0,14.0,16.0
zoo,2.5,2.5,2.5,2.5,5.0,8.0,8.0,11.0,8.0,11.0,11.0,14.5,14.5,14.5,6.0,14.5,17.0
