TRAINAUROCSTDDEVS:,ES-A,CAWPE-A,SMM5-A,SMLRE-A,NBC-A,PB-A,SMLR-A,WMV-A,RC-A,MV-A
cylinder-bands,0.020770101279636008,0.020731632562178005,0.04598768761082125,0.046523756281974485,0.029712850425249727,0.0272370782426632,0.04233497728045729,0.029823501428017707,0.030013637745100276,0.03094522134758908
dermatology,8.69348674775956E-4,9.051148305930078E-4,3.8797255215028404E-4,3.352772374788272E-4,0.0013444133797990393,0.0018729790787270246,0.0011783821211078945,0.0043313372413611795,0.004321803567495812,0.004311658077288022
echocardiogram,0.05810273561645762,0.05794579666472701,0.10025592965287287,0.10270242467066511,0.07969508487246363,0.05982843517943828,0.08817359149534859,0.08160799903972722,0.08128639211724277,0.08008140232781939
ecoli,0.007649857978836764,0.007270569551313028,0.005930363991534916,0.005684105333958519,0.008560229843256138,0.009282920041571508,0.007456693639024735,0.013955677584880612,0.013877394351040528,0.01394655894520448
energy-y1,0.0019277115476130056,0.002041824256689333,0.0014388599228333963,0.0028107480082975975,0.004215686092165549,0.0020930512142891184,0.00306758104983009,0.0055432574283040435,0.0055284714383614176,0.005522563860662846
energy-y2,0.0024289197994809106,0.0024561213208530003,0.002704844199939952,0.003276325426194457,0.003485363209089611,0.0033289432582052536,0.0026963860475597494,0.006264682129525997,0.006261652762095726,0.006286664292104919
fertility,0.12969871734223598,0.13188073528694236,0.19742782908293285,0.1862384732742398,0.11837759474258715,0.16177370902015353,0.16144000544334175,0.14400359940372817,0.1426020385452242,0.14015892832494128
flags,0.025292158061227487,0.023747917996574483,0.007647712399720531,0.010953834384466907,0.018310134874827605,0.0236983959940759,0.012981747373796636,0.031244943769857748,0.03195342479303561,0.03099926103878432
glass,0.015179240471751083,0.014581140239003499,0.01895295557487514,0.012453025116487553,0.018117509523615592,0.017788346055731485,0.015963596350976016,0.019644486000172975,0.01947572997130327,0.019522595930856448
haberman-survival,0.059672510757848865,0.059704010476796285,0.15533812468526656,0.10755006116508196,0.08124774583431828,0.061539770359640984,0.12122470806549426,0.08690399000025527,0.08695703808659073,0.0864992363409326
hayes-roth,0.022777884552274884,0.021458537120277326,0.020448682444849313,0.016869917149247255,0.02769616531592301,0.01635027854387072,0.02369119056440571,0.0356342635926132,0.03674428353502011,0.03621144723875682
heart-cleveland,0.020316362369824516,0.022100673824241086,0.025416388430023914,0.012852760953584523,0.022614881957242917,0.02849798034291713,0.023376094964407176,0.02496229525582736,0.024670319042193505,0.02527026091647438
heart-hungarian,0.027955630950780883,0.02628431264341063,0.08119426215186959,0.05315138675010591,0.044836054305208775,0.03925016486195006,0.06014135106340083,0.0448208168746984,0.04466290574380459,0.04422309667371916
heart-switzerland,0.06858257077951502,0.06566409934286116,0.0357066825609694,0.03963180529331545,0.027533705446935217,0.06180923765529326,0.04617137390194623,0.05083640516077267,0.05154376013116883,0.053680656840963424
heart-va,0.040534464723752016,0.04071615928457351,0.03685712057933211,0.030237025624844264,0.022242810393425475,0.047220671251891416,0.03376998435858028,0.04500613006029969,0.0452564669961206,0.04410685719398369
hepatitis,0.04088875164050511,0.03716577783135878,0.15057428660371616,0.1144728747408004,0.07911586541394032,0.05141230107730815,0.11787469064221698,0.07987269396576296,0.08016303947328732,0.07975468030434645
hill-valley,0.05453333685567054,0.023720962807238066,0.03890825259872055,0.03023896717756798,0.025851245799663972,0.025117949014929492,0.037833426975874995,0.026957702023340562,0.0280873928299978,0.023322713024023927
horse-colic,0.018200813671712182,0.018343191412830286,0.05948459221331257,0.04637314669043345,0.025964100810417248,0.021167187308044177,0.044967704619281845,0.026004985445173004,0.0262267537064653,0.02595914795649628
ilpd-indian-liver,0.032198726986319384,0.03005095792859601,0.08747023936678198,0.0968021901522881,0.062114868531291584,0.03441036094754749,0.08268015103232719,0.06486608390977719,0.06551580166335026,0.06307779774388729
image-segmentation,3.6791788650493234E-4,3.9104930451371267E-4,1.9577018969789214E-4,3.1329331571412154E-4,3.988889868400911E-4,5.748134610530512E-4,4.0774989621486925E-4,0.0016238830347868349,0.0016385642343621873,0.0016154818645075502
ionosphere,0.007683602933691643,0.00778066461616476,0.03891180983243763,0.0317195042576344,0.02335355960371989,0.011977400414882718,0.02874951527284159,0.02334083908436505,0.023380930607804207,0.02307478372062161
iris,0.004420974043607705,0.0038404022777792893,0.00304799915527789,0.003105422275565548,0.007620720560722779,0.016467363132307757,0.005676535917753227,0.014337186686882029,0.014355170747959216,0.014282205881905203
led-display,0.005938988976105287,0.005593016064208084,0.0043943325969492365,0.0039278802036122685,0.004802814300428795,0.005508156945056568,0.00456596018825394,0.010140451667273325,0.010150126326407483,0.010176303511334476
lenses,0.18291150885819538,0.20290204317087052,0.07617651876726922,0.0,0.12026413541421214,0.19950176495169153,0.2635721012669953,0.15530424560997547,0.15316282117067853,0.1656940119032491
letter,8.698252100687079E-5,5.413367024346998E-5,3.487192736649494E-5,4.400459988696332E-5,1.5858365103322297E-4,6.024927290234505E-5,1.1192078816802374E-4,7.504043830126607E-4,7.508638656784207E-4,7.526552921335308E-4
libras,0.0052211530826960185,0.005131364499077358,9.548169500926318E-4,0.001007395487059513,0.002340723301826117,0.006678138804867033,0.0016703451369906774,0.010881314594129197,0.010838576077199777,0.01089382268803604
low-res-spect,0.004270898998375548,0.004225331889718114,0.002727643281350949,0.002767163764940451,0.00499528183364388,0.005424937136736355,0.0032460704158511246,0.008676692113654022,0.008695575453045758,0.008622967200419553
lung-cancer,0.15234041333017814,0.12639457314015715,0.025202228223279423,0.13116697344958256,0.026293489790082655,0.14435126593523365,0.10991952306363227,0.12039371880064495,0.10967790279881626,0.14429224659756942
lymphography,0.027350279961166943,0.025536812513900813,0.02376770707991532,0.02106117194262126,0.023846450979678028,0.025585487128826325,0.026586640704786408,0.02633307252551943,0.026783533849413933,0.02656222837741994
magic,0.0021610888913943154,0.0019887114755652523,0.008050465074406585,0.007454476307005742,0.0052106504591967985,0.0024708059723127155,0.006492280531231674,0.005206486412993953,0.005195257442484128,0.005133577588677524
mammographic,0.01275533051157345,0.01281127518192787,0.029174487847909433,0.02350413257287373,0.019272823322315637,0.018917560441533643,0.022867062899268948,0.019229298607057004,0.019201170054013478,0.019451277586544965
miniboone,6.124390248089008E-4,3.39086139922765E-4,0.0013446598961336996,0.001886163712647525,0.00201600016570131,2.9949691441299905E-4,0.0012821562152514924,0.002015826413990575,0.002013533984072864,0.0019533949903931197
molec-biol-promoter,0.029841486787839794,0.02931660159925706,0.07152209357153216,0.068446190241396,0.05296186170814412,0.038648643193838886,0.05613871329876689,0.052928511543357974,0.052719451901053434,0.05451821134981571
molec-biol-splice,0.001582994765817499,0.001671630523211606,0.0012369821728637873,0.0018180428738245053,0.002849113711438944,0.001415200180603028,0.001868137042328122,0.0029420763527470517,0.002944965525391672,0.002945976611735239
monks-1,0.0016712971663099064,0.0017531949664295607,0.008828368032971077,0.011310204921551173,0.0036749314767482305,0.004044898742969356,0.015160829757570807,0.003676290655890899,0.0036860498386867826,0.004408990105847724
monks-2,0.030510129080836976,0.025729626668367332,0.07639794845467902,0.0648010449112954,0.053105956067556324,0.025506728106734725,0.06583006090939053,0.05172469459629786,0.05145608889516421,0.04815463104208158
monks-3,0.00310339802763501,0.0032391957194377193,0.015866752941448833,0.01691763859906523,0.008969551276767504,0.002708580754436093,0.014867073908996935,0.008969214306056565,0.008963026223243898,0.009242115549665537
mushroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
musk-1,0.012315872136961756,0.012561548328490785,0.040067299669738196,0.036560078925119956,0.022894702847240267,0.014522295217683848,0.03112976279871247,0.02298485276137421,0.022920249703214924,0.0235137762568344
musk-2,6.236906344927761E-4,6.984142315637806E-4,0.008882431613982576,0.008003009283966904,0.005453435712239961,5.29520029375217E-4,0.011181422021209185,0.005459885656789405,0.0054523469243372745,0.0053915107744659345
nursery,1.4934618691302455E-5,1.2729559872091132E-5,4.013710449412697E-6,3.941204484237081E-5,5.459599772269756E-5,1.7085073661894923E-5,4.098907738663983E-5,1.094501988603584E-4,1.101172572229998E-4,1.141827390622744E-4
oocytes_merluccius_nucleus_4d,0.010407462219889517,0.011467649063177652,0.03935791593653796,0.02935761405926817,0.024641264988983363,0.01920025235172031,0.03673003775200712,0.0245397550875223,0.02455280053389225,0.024286733377802024
oocytes_merluccius_states_2f,0.003302112281429037,0.00335615984256489,0.004511922812341687,0.0031590871648832113,0.008959338629995569,0.004282163686294354,0.0034932910951007753,0.00935245805609963,0.009374871182272766,0.00935513035649983
oocytes_trisopterus_nucleus_2f,0.00992633241717185,0.010116857458685154,0.022033234231416704,0.018355132698672942,0.014101995030567568,0.013450537820193387,0.020122703772370035,0.013979960322469622,0.0139215267423418,0.0141708106889658
oocytes_trisopterus_states_5b,0.005379392591829924,0.004954328851309463,0.004959622155046992,0.0036847133471810405,0.006454582364708044,0.005774299192081643,0.00539409473101531,0.006621691308568862,0.006555343321399212,0.0065846253540197
optical,6.154245607636812E-5,6.370359627903562E-5,2.2852390754261793E-5,1.1473536009543278E-4,2.095603213807256E-4,9.235838717780468E-5,1.7668667802811424E-4,8.796361529165538E-4,8.789812287847063E-4,8.769147040189023E-4
ozone,0.024485100760392266,0.023576129558834612,0.09365003575410893,0.0752198702735827,0.08094787459244436,0.02563469585838948,0.061655099005204175,0.0809418585103911,0.08082529935243025,0.08080589575978842
page-blocks,0.001239659817451989,0.0013669849238306538,0.0010229613395698245,0.002090198373703798,0.0018887551506798818,0.002059963304635088,0.0019132554519575903,0.0019824695281090393,0.0019888372152033584,0.001975269880411338
parkinsons,0.01619054604116074,0.015541931176006602,0.08623438404983755,0.05968316858974388,0.060711293360360984,0.019041243858376602,0.06190413552674604,0.06070971742064697,0.060971112569859945,0.06006747353625594
pendigits,1.4049580849624278E-4,1.4402364566331737E-4,1.1089090962040836E-5,1.0060254668069099E-4,1.6310244634539804E-4,1.1176649919076063E-4,1.3118981892226228E-4,3.5015377223826955E-4,3.505568032662252E-4,3.501532532096142E-4
pima,0.017870006409459887,0.018941508242898496,0.044749966960828884,0.037635409313959554,0.034874895317566997,0.026159201715742823,0.03068429973739801,0.03481084046910405,0.03477179877986971,0.034895498995384314
pittsburg-bridges-MATERIAL,0.04184961970472524,0.04029003749105006,0.02994942145990925,0.03859759127440809,0.05520354282316891,0.053265861021442144,0.03285448129463551,0.05610499067186965,0.055503036043015784,0.05596972835430453
pittsburg-bridges-REL-L,0.053558321797289955,0.05477264669849338,0.06050273185586673,0.06148628436533543,0.04631413447663834,0.07170421967497957,0.04834240696281776,0.04729759921501858,0.045045214824987474,0.047739277769958725
pittsburg-bridges-SPAN,0.04656823211511031,0.04693765006602411,0.05339355783850201,0.054433734890984645,0.045521458376918476,0.049405242612228006,0.04786115354214917,0.04810229671309683,0.047443584093207744,0.04832046054932703
pittsburg-bridges-T-OR-D,0.10017669719096736,0.10105369041853132,0.2662847564028907,0.19160745601179144,0.15264082938524753,0.11500039679029422,0.24311193590642785,0.15633258039767073,0.15472448989618778,0.15726085346479662
pittsburg-bridges-TYPE,0.04563431648174089,0.045873080370157034,0.019044441981753733,0.03205967955289753,0.0413316678060564,0.05057910511912713,0.02898247411890882,0.054333165498993655,0.054849853028613116,0.05429461309678474
planning,0.1112676064926501,0.1025137420242707,0.18940033760097888,0.14625658864729152,0.07628213030848839,0.08924614577407403,0.1105148391052746,0.07138556152134899,0.07238337513564462,0.06631785185669373
plant-margin,5.123712401834196E-4,4.0590480369085454E-4,2.2571305424634496E-4,1.3348664160137504E-4,2.914595166175328E-4,9.349670821508679E-4,3.136802464518861E-5,0.0044635309912216745,0.004468844555217338,0.0044565808219841066
