TRAINNLLSTDDEVS:,CAWPE_eq,CAWPE_alpha=1,CAWPE_pb,CAWPE_alpha=2,CAWPE_alpha=3,CAWPE_alpha=4,CAWPE_alpha=5,CAWPE_alpha=6,CAWPE_alpha=7,CAWPE_alpha=8,CAWPE_alpha=9,CAWPE_alpha=10,CAWPE_alpha=11,CAWPE_alpha=12,CAWPE_alpha=13,CAWPE_alpha=14,CAWPE_alpha=15
breast-tissue,0.11930901767461029,0.11983919271670003,0.25022499024615696,0.12036923585935991,0.12087825955412768,0.12135543812192652,0.12179820153672875,0.12220985395899668,0.12259732996588933,0.12296949042533677,0.12333603197600883,0.1237068726451118,0.12409180901622799,0.12450027615231589,0.12494111853410415,0.12542235048851455,0.12595092580391848
car,0.009281015874018785,0.009203380580443165,0.012874638117451239,0.009130610513482802,0.009062492547331352,0.008998816046949847,0.008939374491632119,0.00888396690688803,0.008832399097685044,0.008784484680931267,0.008740045919454126,0.008698914363537954,0.00866093130927384,0.008625948085537797,0.008593826183352153,0.00856443724273496,0.008537662912957008
cardiotocography-3clases,0.012797980299024372,0.012841444658846263,0.03326518621444456,0.012888032719528309,0.012937368008624502,0.012989102294784751,0.013042915681203566,0.013098516304529403,0.013155639697835309,0.013214047874303457,0.013273528185166326,0.013333892001535565,0.013394973265336231,0.013456626949896256,0.013518727466006948,0.013581167044618285,0.013643854122867626
cardiotocography-10clases,0.023258555495797643,0.023340301335742743,0.048627055415053674,0.023433299401658614,0.023536868005326627,0.02365032483548658,0.023772987582824437,0.023904173872168824,0.024043200793876472,0.02418938432223741,0.024342038882519696,0.02450047728446749,0.024664011184138027,0.02483195217377031,0.025003613536544532,0.025178312644566627,0.025355373928133442
chess-krvk,0.016419180302134295,0.013469289073971618,0.006450782144932679,0.011980786198076581,0.01127717275193075,0.010905764370821294,0.010678025088342301,0.010523432152045513,0.010410833977370493,0.010323504174468843,0.010251755653809808,0.010189932469985438,0.010134755087356886,0.01008436372392378,0.010037777816201987,0.009994579063092686,0.009954703872259283
chess-krvkp,0.005684362768968393,0.005659055152042925,0.006153774027616312,0.005635235484233107,0.005612899785578899,0.005592043057707748,0.005572659283079023,0.005554741427644828,0.00553828144698293,0.005523270295924711,0.005509697941672612,0.005497553380368283,0.005486824657043009,0.005477498888850726,0.005469562291455882,0.005463000208420107,0.0054577971434064685
congressional-voting,0.02431530204598209,0.024355719820561075,0.04333168876044003,0.024412053017049407,0.024484577809404155,0.0245735673959615,0.024679243308497214,0.024801728125665397,0.02494100300816065,0.02509687292102142,0.025268941555789057,0.025456596956438936,0.025659007860698965,0.025875129950011296,0.02610372065992466,0.026343360963812866,0.0265924825566143
conn-bench-sonar-mines-rocks,0.040419212478633185,0.04012916042590852,0.09783568813372939,0.039873891604380325,0.03965810667503122,0.03948669457458934,0.03936455091910478,0.03929642530765785,0.03928680659090976,0.03933984831406289,0.039459329357618686,0.039648638882501426,0.03991077137136703,0.04024831753398265,0.04066343997847126,0.04115782795927167,0.041732631844082664
conn-bench-vowel-deterding,0.022439401544155992,0.02269338196518878,0.029931269519920766,0.02297489385856745,0.023283611989723924,0.023619033799623844,0.023980483821510374,0.024367121987624356,0.024777955379272184,0.02521185285026177,0.02566756187637663,0.026143726951914782,0.026638908864007098,0.027151604219120787,0.027680264665086583,0.02822331533709883,0.028779172149113207
connect-4,0.0028699875440578635,0.002858508828726481,0.002371471830896941,0.0028467113685246175,0.0028346064096558166,0.0028222065526111524,0.002809525680631395,0.0027965788848304364,0.002783382386385736,0.0027699534562384805,0.002756310332718467,0.0027424721375010025,0.0027284587903023886,0.0027142909226774642,0.00269998979128901,0.0026855771909836826,0.0026710753679994375
contrac,0.02211955273912408,0.021612026990227982,0.05321898090400945,0.021168193173342988,0.020792225516918384,0.02048627049799498,0.020249933051449613,0.02008003763273647,0.01997073537684262,0.01991396176852689,0.019900177240574416,0.019919269014552456,0.01996147127476814,0.02001817362344088,0.020082524490458435,0.020149782249435002,0.020217409945135472
credit-approval,0.0400090348252617,0.0400122992748177,0.10122241919649781,0.04002100107801211,0.040035282140164476,0.040055279705216454,0.04008112560477311,0.04011294552605207,0.040150858305244355,0.04019497525252363,0.040245399514594,0.0403022254802172,0.040365538233657274,0.04043541306039739,0.040511915008863045,0.04059509851122699,0.04068500706568981
cylinder-bands,0.03698862417618137,0.036713305978483435,0.08677498182277908,0.03649052336733509,0.036313083526797095,0.036174685824100744,0.036069842457620474,0.03599379672241758,0.03594244316856579,0.03591225227427508,0.035900201049515634,0.03590371016634562,0.03592058769317444,0.035948979205235286,0.035987323879594184,0.03603431610524637,0.03608887210990657
dermatology,0.029653609799489018,0.029772837313914394,0.052676895170077544,0.029894958898398393,0.030019849567577594,0.03014738696361078,0.030277451382403738,0.030409925790220463,0.030544695831890956,0.03068164983175339,0.03082067878838832,0.03096167636411977,0.031104538870169493,0.03124916524826883,0.03139545704944283,0.03154331841060147,0.03169265602949121
echocardiogram,0.1003384830649807,0.09926537553671122,0.20230006724887878,0.09840035389688208,0.09774644177696988,0.0973026443788605,0.09706345749005241,0.09701877547129928,0.09715419430142133,0.09745169147813783,0.09789063267079157,0.09844900506909783,0.09910472896842074,0.0998368778518064,0.10062665696127467,0.101458045315517,0.10231807619882158
ecoli,0.07336021876377335,0.07350698617800025,0.12995199104946706,0.0736667178218376,0.07383859727747423,0.07402184570480377,0.07421572192093763,0.07441952200876821,0.07463257852275865,0.0748542593624291,0.07508396638396776,0.07532113381819922,0.07556522655904795,0.07581573838100486,0.07607219013730242,0.07633412798294585,0.07660112165880988
energy-y1,0.03215059789547101,0.031914481558233815,0.04877740753931718,0.03169428618915888,0.0314900750309714,0.0313016208653764,0.03112845754995087,0.030969934546937545,0.030825270502042333,0.03069360272840117,0.03057403038545841,0.030465650079366417,0.03036758344858282,0.03027899697285466,0.03019911473005591,0.030127225127126647,0.03006268277207673
energy-y2,0.022550926588280062,0.022346277086062606,0.055141729622891274,0.02216842759944416,0.022015163093004365,0.02188421771322545,0.02177333234858214,0.021680304630314375,0.021603030089490476,0.02153953394067808,0.021487993615969602,0.021446752684980024,0.021414327152626096,0.02138940533366852,0.02137084258155369,0.02135765212652335,0.02134899318335971
fertility,0.07033973258983664,0.06597967743815561,0.23751252474064066,0.06300838364120537,0.06109537931193898,0.05998926850926989,0.05950650698950628,0.0595157090313692,0.05992313882097047,0.06066127859884916,0.06168046581805296,0.06294298438108538,0.06441896563321858,0.0660835910067457,0.06791522840209627,0.06989423878853272,0.07200226044606194
flags,0.1284584152217685,0.12654182826243868,0.18715452762380563,0.1256515833297991,0.12519344247432013,0.1249762174354299,0.12496432669611464,0.12516061731101205,0.12556460844664702,0.12616444495024093,0.12694002054580364,0.12786771483043605,0.12892380601195627,0.13008627615659252,0.1313354842714084,0.13265422107502856,0.13402750339761574
glass,0.07529968830395484,0.07462388186770845,0.12174858433070052,0.07418372401271528,0.07392502263860416,0.07380905651310661,0.0738080652350511,0.07390182094625342,0.0740752594831865,0.0743168896654976,0.07461771975738696,0.0749705274010564,0.07536936748788871,0.07580924966005041,0.07628593529295805,0.0767958142306754,0.07733582974883858
haberman-survival,0.04785657420097632,0.04645506677345937,0.20764629458037648,0.045392634277243715,0.044627468057865494,0.04411849085000626,0.0438271255577937,0.043718362799365605,0.04376124739308518,0.04392895017615615,0.04419858137478062,0.04455086461705599,0.04496974970571143,0.04544200948387145,0.04595684464675054,0.04650550846708966,0.04708095786173298
hayes-roth,0.06901765791495977,0.06777982978433673,0.09645674503908823,0.06810136138534008,0.06855377419698684,0.06892377906157961,0.06932338349138789,0.06983875824330808,0.07047179998445657,0.07117587305320633,0.07189717411411867,0.07259584708935589,0.07324972873965803,0.07385044507459097,0.07439834785317895,0.07489856807870778,0.07535836919797524
heart-cleveland,0.06919814202955966,0.06584806071508577,0.1743845023272074,0.06301405597270944,0.06068252684750534,0.0588350487601913,0.05744489222521223,0.05647577736974212,0.055883173759685656,0.05561759549672941,0.05562877930392718,0.055869568805282564,0.05629868126621986,0.0568820486637692,0.05759286290016397,0.05841070116160534,0.05932016790581111
heart-hungarian,0.0632748627253024,0.06291201771271919,0.18595634677804804,0.06256635023057204,0.062239476962394444,0.06193311399968871,0.061649038335288536,0.061389051944948675,0.061154949667170874,0.06094849145074969,0.06077137886066576,0.06062523512443259,0.06051158756517734,0.060431851079690055,0.060387311410886366,0.06037910731478306,0.060408211264582505
heart-switzerland,0.150574375078966,0.13830648943958865,0.36236157739049935,0.13186907258227434,0.13030922303574652,0.1325946763988683,0.13765930359866121,0.14454132610437734,0.15250069060841007,0.1610693996238101,0.170005264974243,0.17919419249099056,0.18856660627978666,0.19805554670338651,0.20758781776179858,0.21708943134522588,0.2264926750721776
heart-va,0.12554620981173953,0.12233402093914848,0.2665051877594148,0.12234781128783413,0.12481935883100456,0.1288942071103477,0.13399410585773494,0.1398029555843448,0.1461351469958229,0.15286838139136216,0.15993011384442796,0.167286353479073,0.17492208009413984,0.182823865296827,0.19097106429829397,0.19933425337667565,0.20787724322298975
hepatitis,0.0652341815150002,0.0650026671445087,0.16451405583559495,0.0649647275220306,0.06512436991326673,0.06548263574643327,0.06603711761865615,0.06678193096158126,0.06770806543473847,0.06880399883789533,0.07005644143572141,0.07145108957605015,0.07297329661095148,0.07460860600206302,0.07634312672954077,0.0781637586056615,0.08005829242252986
hill-valley,0.016552395009232116,0.01567722910516856,0.045692438308944774,0.015156536220020066,0.015064982297423838,0.015408781245056756,0.01611384116967561,0.017053737787383772,0.01809272274011905,0.01911703053585962,0.0200475671346438,0.02083953198072655,0.021475811377780984,0.021958628558247702,0.02230182875484412,0.022524832981573675,0.022648480984341468
horse-colic,0.042460000452596305,0.042361926037577685,0.10135274374432526,0.042292766407124927,0.042239473683853536,0.04219297158133042,0.04214723588639998,0.042098514434429336,0.042044696648161906,0.04198482281006873,0.0419187137752403,0.041846698979367054,0.041769421478878514,0.04168770144292343,0.04160244281203791,0.04151457108495602,0.04142499307162041
ilpd-indian-liver,0.03145032298714098,0.03153347860710948,0.10060712611774959,0.03164521054394583,0.03178395421371367,0.031948285088990405,0.03213689055052109,0.032348543103761,0.032582075420635175,0.0328363576477158,0.03311027741096072,0.03340272290879638,0.03371256940593024,0.034038669322329164,0.03437984596779259,0.034734890819189415,0.035102564091340875
image-segmentation,0.012531550840454953,0.011950779212790943,0.018541402067056827,0.011590264991171804,0.0113888157926179,0.01129429343050731,0.011266585009541695,0.011277251784451742,0.01130747865694896,0.011345606415246323,0.011384924025892529,0.011421950590993712,0.011455204474436868,0.011484370186330592,0.011509759432000754,0.011531976935878763,0.011551722799632446
ionosphere,0.03117036873078539,0.03108906448870553,0.06562264943945545,0.03102089823636412,0.030963696495427243,0.03091564776104716,0.030875248995124477,0.030841258022176965,0.03081265192087003,0.030788591160551316,0.030768389026551695,0.03075148577457197,0.030737426922208436,0.030725845099831662,0.030716444924858456,0.03070899041947134,0.030703294552891048
iris,0.053826172787342044,0.052622491004756806,0.13595284805450217,0.0519895916297104,0.05178933709576502,0.0519013662706767,0.052227759457427476,0.052693134736754584,0.05324207073606784,0.05383545402677014,0.05444676684558106,0.05505882032856352,0.055661104635904936,0.05624774879616791,0.05681600636015781,0.057365162284414184,0.057895762205815805
led-display,0.06947299207856217,0.06944853634643242,0.07740957428919461,0.06942443159463947,0.069400827691729,0.06937787624153245,0.06935572825635188,0.06933453215866187,0.06931443211779365,0.06929556671920604,0.0692780679561643,0.06926206052697144,0.06924766141542114,0.0692349797278144,0.0692241167567056,0.06921516623942042,0.06920821477828235
lenses,0.30883367379689786,0.30152503607822884,0.49403929846848194,0.29921323750723966,0.3002390768506715,0.3038887449060121,0.3094375605964437,0.3161237264371619,0.32327801911941983,0.3303899036267241,0.3371061174349043,0.3432063166840746,0.3485762900876594,0.353182126073889,0.35704618407405886,0.36022624296113487,0.3627988749848324
letter,0.009558506730814093,0.009300863796793804,0.006663081507287902,0.009048644439191445,0.008802458102113513,0.008562896365111403,0.008330532350006104,0.008105919752862296,0.007889591368308708,0.007682057014202117,0.007483800807681274,0.0072952777877189744,0.0071169099241369166,0.006949081598508254,0.006792134688276727,0.006646363430704644,0.006512009285780347
libras,0.08365398325470819,0.0835177821135997,0.11667861736108735,0.08359283781288554,0.08382053647107932,0.08415525210770146,0.08456286589314362,0.08501887206080745,0.08550648746200142,0.08601496316623998,0.0865381567064383,0.08707335197800103,0.08762028873111793,0.08818036405021397,0.08875597851269156,0.0893500103201846,0.0899654072728155
low-res-spect,0.05074259882934114,0.05091588305861349,0.06727376776847871,0.051090086720416726,0.05126503594977306,0.051440573084062524,0.051616556158327644,0.05179285825769228,0.0519693667501085,0.05214598242261922,0.05232261854374517,0.05249919987357918,0.052675661641762093,0.05285194851183632,0.053028013548590706,0.05320381720301289,0.05337932632741905
lung-cancer,0.3111076926616053,0.250815686670402,0.691215371922319,0.21649991937934335,0.2025857571282777,0.1986973094765162,0.19870526396723123,0.19980892812189135,0.20095723099158633,0.20186244870312295,0.20251532306206288,0.2029803579559094,0.20332264161227886,0.20358900369785937,0.20380834718168817,0.20399683953535303,0.20416293132729482
lymphography,0.07636695364905013,0.07570372054868019,0.16197729901555813,0.07517748080586839,0.07478386520302581,0.07451964221197319,0.07438203655974925,0.07436832437229822,0.0744756497185945,0.07470097947792202,0.07504110630533582,0.07549262377593408,0.07605182890260151,0.07671454577328835,0.07747589879951279,0.07833008573707823,0.07927020495403896
magic,0.005876917134639889,0.0058827464656521986,0.007722184112279387,0.005888977747051672,0.005895599890448592,0.005902601469017329,0.005909970727805999,0.00591769559608473,0.005925763701681231,0.005934162387208167,0.005942878728088534,0.00595189955226032,0.005961211461431528,0.005970800853748719,0.005980653947720123,0.005990756807244299,0.006001095367572787
mammographic,0.03314571915075176,0.03287112689188793,0.07098294711569858,0.03262291444204599,0.03239935639983206,0.03219875920164071,0.03201947756241186,0.031859927668573984,0.0317185972076786,0.031594052438900726,0.0314849425972,0.031390001981255036,0.03130805010343594,0.031237990282966855,0.03117880704601813,0.031129562664052323,0.031089393119595188
miniboone,0.0019528273835059656,0.0019442443813314908,0.0018693090357780535,0.0019355614489706063,0.0019267765599475745,0.001917895009738503,0.0019089282527188878,0.0018998927903438585,0.0018908091251952767,0.0018817007915082511,0.0018725934692632878,0.001863514185976142,0.0018544906078226332,0.0018455504196880452,0.001836720792085974,0.0018280279315322102,0.0018194967099943423
molec-biol-promoter,0.07187758321440223,0.0707918763310747,0.13568803320859035,0.0699990901126849,0.06947125837455605,0.0691829222858996,0.06911069054540858,0.06923282809644113,0.06952893798866976,0.0699797650707245,0.07056711395523381,0.07127384827896815,0.07208392889945224,0.07298245358971936,0.07395567401378562,0.07499098063110288,0.07607685793105208
molec-biol-splice,0.01663460115225843,0.015543920800650401,0.023973847209133724,0.014640197576285024,0.013901971970215156,0.013310799318141971,0.012850853650258984,0.012508350060897322,0.012270964737518675,0.012127372476767324,0.012066953664951226,0.012079665129835304,0.012156033016608656,0.012287213102507626,0.012465069603966325,0.012682238857941997,0.012932161162138025
monks-1,0.02113150397049543,0.020849201227941136,0.025259308179523036,0.02081028737154271,0.020903110170842638,0.02109848852487336,0.02139821632539079,0.021806038885502525,0.022317142717217485,0.02291800309138945,0.023590116982213874,0.024313941730340734,0.025071605183063478,0.025848243564871174,0.026632331024557542,0.027415430511736463,0.02819169179930605
monks-2,0.024424273487048537,0.02483653167179443,0.07407605691702182,0.02529598937519854,0.02578215261660561,0.026279730816170705,0.026776564403310048,0.027262096965611864,0.027726483075112246,0.028160274988285196,0.028554555522883187,0.0289013552997233,0.02919419421142364,0.02942860896480064,0.02960256270280879,0.029716671955588945,0.029774224443812634
monks-3,0.02210373137764074,0.02149039415238022,0.026660116039183772,0.020981237037865013,0.020560275985477598,0.020212518577919607,0.019924443785051153,0.019684251242176484,0.019481924811450196,0.01930916380039989,0.01915923200339491,0.019026765242412636,0.01890756678760645,0.01879840967534889,0.018696856724617104,0.01860110318990499,0.01850984317464377
mushroom,0.0014074206840844706,0.0014053289698660553,5.275455340212751E-5,0.0014032440340534815,0.0014011658628317724,0.0013990944423468545,0.0013970297587060576,0.0013949717979786285,0.001392920546196273,0.0013908759893536662,0.0013888381134089577,0.0013868069042843017,0.0013847823478663735,0.0013827644300068722,0.0013807531365230528,0.001378748453198222,0.0013767503657822599
musk-1,0.036250463671761615,0.036199245104375465,0.066181712732795,0.036183339252419504,0.03619947758229542,0.03624488118545847,0.03631714061738839,0.03641411865596586,0.03653387382998835,0.036674602049296956,0.036834593588912626,0.037012202848055856,0.03720582858115071,0.03741390259235955,0.03763488515009958,0.03786726559636661,0.03810956680045868
musk-2,0.0031933252117388625,0.003200283028481834,0.006097510140485264,0.0032082622112951415,0.003217239881953493,0.003227192161846725,0.0032380942652661514,0.003249920593442775,0.0032626448285163435,0.0032762400266690365,0.00329067870972082,0.0033059329545536025,0.0033219744798056172,0.0033387747293537715,0.003356304952179164,0.003374536278286877,0.0033934397904246405
nursery,0.009569924652690036,0.009574480516476296,7.053925255691593E-4,0.009578838052373695,0.00958296889173109,0.009586844210529086,0.009590434930184617,0.009593711916491058,0.00959664617439833,0.009599209036549088,0.009601372343717064,0.009603108615533476,0.00960439121013965,0.009605194471650338,0.009605493864562453,0.009605266094477321,0.00960448921473683
oocytes_merluccius_nucleus_4d,0.025008571581804435,0.024984677600764917,0.06940905088884786,0.024964565021369175,0.02494755155937283,0.024932989866534184,0.02492027426804649,0.02490884614022191,0.024898197871220433,0.024887875411283216,0.024877479474319383,0.024866665497534787,0.024855142499051307,0.024842670995133206,0.024829060149576646,0.024814164329395337,0.024797879234887747
oocytes_merluccius_states_2f,0.022237758514432174,0.02224070586994118,0.039421714615136626,0.02224407856394723,0.022247877371755133,0.022252102777757046,0.022256754974477072,0.022261833862351376,0.02226733905024711,0.022273269856722105,0.02227962531202156,0.02228640416080719,0.022293604865607535,0.022301225610981208,0.02230926430837347,0.022317718601651104,0.022326585873292663
oocytes_trisopterus_nucleus_2f,0.02438161300543186,0.024249554335390736,0.0590506904620956,0.024127972974080324,0.024017045471949494,0.023916913558993003,0.023827685243224726,0.02374943609563349,0.023682210656757526,0.02362602391145557,0.023580862792347626,0.02354668768703989,0.023523433937911946,0.023511013334477793,0.02350931560602621,0.023518209925849194,0.023537546437842106
oocytes_trisopterus_states_5b,0.02770479184120127,0.027697341516499056,0.03659963242545312,0.02769322302574783,0.027692406279634593,0.027694854614453243,0.027700524863556786,0.02770936746464697,0.027721326602477656,0.027736340386214513,0.02775434106036846,0.02777525524790327,0.027799004223822456,0.0278255042172597,0.02785466673984989,0.027886398937923853,0.02792060396588204
optical,0.0052432774240537714,0.005264622748255311,0.00728786496645068,0.005288188897811034,0.005313932636376266,0.005341809209620709,0.005371772562248982,0.005403775551837511,0.0054377701575168995,0.005473707681762117,0.005511538943795398,0.005551214463356738,0.005592684633842399,0.0056358998840530935,0.005680810828018097,0.005727368402574733,0.00577552399257022
ozone,0.04297560348277824,0.04316348542218319,0.017616688463202114,0.04334998577947955,0.043535096817068866,0.04371881163807099,0.04390112416948604,0.04408202914499309,0.04426152208742031,0.044439599290922685,0.044616257802902355,0.04479149540570659,0.04496531059813633,0.04513770257679884,0.045308671217337684,0.045478217055569065,0.045646341268557204
page-blocks,0.008144386136740967,0.008153777443644507,0.017528423263174782,0.008163738290704126,0.00817422491587804,0.008185194956682053,0.008196607475883284,0.008208422980612138,0.008220603435293374,0.008233112268803015,0.008245914376258165,0.008258976115844745,0.008272265301082254,0.008285751188916265,0.008299404464017317,0.008313197219654735,0.008327102935496235
parkinsons,0.043901410736234076,0.04353729634576289,0.07620300171262125,0.04324400017363188,0.04301247133627641,0.04283457815490096,0.04270311143045255,0.04261174518490083,0.042554972998606666,0.04252803296803289,0.04252682991117149,0.04254786004392321,0.04258814092057447,0.04264514781634168,0.04271675673301897,0.04280119364897627,0.0428969893667677
pendigits,0.006547751426838225,0.0065478139678897766,0.0044921645130610735,0.006547960755819114,0.00654819140185729,0.006548505514132541,0.006548902697834378,0.00654938255537581,0.006549944686552432,0.006550588688698652,0.006551314156842339,0.006552120683854665,0.0065530078605985755,0.006553975276072137,0.0065550225175499376,0.0065561491707205955,0.0065573548198195235
pima,0.03297114223594553,0.032626904974295406,0.10109810989885751,0.03231248184237452,0.03202568842383926,0.03176449133192785,0.03152700421677325,0.0313114820335319,0.031116314122836268,0.03094001655828246,0.030781224123027754,0.030638682193641548,0.03051123873659491,0.030397836562029223,0.03029750593045009,0.03020935756973073,0.030132576130941516
pittsburg-bridges-MATERIAL,0.12262857010817466,0.1223338788929835,0.26598328709672836,0.12222082737625756,0.12228613256287835,0.12252897103394286,0.12295008714657908,0.12355096622220005,0.1243330900814243,0.12529728473966326,0.12644316832636893,0.12776870774687632,0.1292698926355189,0.1309405332893602,0.13277218515164776,0.1347541965054344,0.13687386932516915
pittsburg-bridges-REL-L,0.14302589798688792,0.13909266545348162,0.32803227253942924,0.1358503065417455,0.1333529847672731,0.13164719137687567,0.13075347124235148,0.1306590622817522,0.13131818073118698,0.13265537274537734,0.13457022084925252,0.13694409457934797,0.13964942097903474,0.142560310529093,0.14556232032428235,0.14855942533176214,0.15147738349382392
pittsburg-bridges-SPAN,0.1250070041298471,0.12184049826926249,0.2860607377951296,0.11917343239627597,0.11705113974626731,0.11549694356612776,0.11451326661673754,0.11408720662812298,0.11419755451160728,0.11481983726246257,0.11592768986182113,0.1174912636678693,0.11947477421134439,0.1218351219541463,0.12452241883004662,0.12748216447559985,0.13065826150178592
pittsburg-bridges-T-OR-D,0.10504882767831011,0.10608229675010108,0.2511706387513827,0.107333810093124,0.10881124823292863,0.1105206393530108,0.1124655983732063,0.11464680142288944,0.11706153992594269,0.11970340383927393,0.1225621411447545,0.12562372849917694,0.12887066675759046,0.1322824884976434,0.13583643815532326,0.13950826459995277,0.14327305506831026
pittsburg-bridges-TYPE,0.19859973162087585,0.19497632343175192,0.4195342455203291,0.19225879696748593,0.19032901259366083,0.1891117557019344,0.18856354829344496,0.18866090141523217,0.18938618933878207,0.19071288203567066,0.19259487091935712,0.19496374180281315,0.19773408759373523,0.20081361713491375,0.2041138559216924,0.20755828848256888,0.21108658309444264
planning,0.043770166329431426,0.038311091265944494,0.21572694810370402,0.03388979303539134,0.030430357008999792,0.02780504615993396,0.025864894687263072,0.024465829062778294,0.02348427019615993,0.022821978043295763,0.022403827053592784,0.02217277450232978,0.02208484925815082,0.022105327052912103,0.022206202326576534,0.022364638664513374,0.02256202443067901
