TRAINNLL:,CAWPE_eq,CAWPE_alpha=1,CAWPE_pb,CAWPE_alpha=2,CAWPE_alpha=3,CAWPE_alpha=4,CAWPE_alpha=5,CAWPE_alpha=6,CAWPE_alpha=7,CAWPE_alpha=8,CAWPE_alpha=9,CAWPE_alpha=10,CAWPE_alpha=11,CAWPE_alpha=12,CAWPE_alpha=13,CAWPE_alpha=14,CAWPE_alpha=15
blood,0.711846165072187,0.7104819302991012,1.1193828051389256,0.7091925419092922,0.7079759580809228,0.7068299727347455,0.7057522412124503,0.7047403060403673,0.7037916223346363,0.702903582440961,0.7020735394485116,0.7012988292710988,0.7005767910467868,0.6999047856672191,0.699280212307702,0.6987005228864474,0.6981632344346004
breast-cancer,0.8328633046505293,0.8284273109953055,1.5559416184230785,0.8243512356812333,0.8206204977033881,0.8172196772251075,0.8141330038896755,0.8113447035423,0.808839214239746,0.8066012960813639,0.8046160661619516,0.8028689901903856,0.8013458575953286,0.8000327594002551,0.7989160799324555,0.7979825062000672,0.7972190534899991
breast-cancer-wisc,0.15262881738682826,0.15266928451578968,0.2161007201260151,0.15271055795426927,0.15275262294345573,0.15279546468865002,0.1528390683691989,0.152883419148197,0.15292850218195084,0.1529743026291974,0.15302080566007342,0.15306799646482952,0.15311586026228538,0.15316438230802312,0.15321354790231545,0.1532633423977874,0.1533137512068097
breast-cancer-wisc-diag,0.1325640255797217,0.13246389008461154,0.15838733659005436,0.13236671959782986,0.1322725427976968,0.1321813867019148,0.13209327663980341,0.13200823622701,0.13192628734274545,0.13184745010958338,0.13177174287585608,0.13169918220067,0.1316297828415592,0.13156355774478387,0.1315005180382764,0.13144067302722887,0.13138403019230835
breast-cancer-wisc-prog,0.6994827600357962,0.6979419373275679,1.0418129143781787,0.6965874658232708,0.6954101121102333,0.6944011556554656,0.6935524806997839,0.6928566022143771,0.6923066401739383,0.6918962575657659,0.691619576834087,0.6914710874476991,0.6914455545797655,0.6915379360121008,0.6917433116918167,0.6920568280966748,0.6924736578017133
breast-tissue,1.1568970341880045,1.1544240444011373,1.515578070753295,1.1523595225283256,1.150695448024084,1.1494177815893785,1.1485079844425872,1.1479445546581943,1.1477043631218415,1.1477636813233985,1.148098888876604,1.148686908023888,1.1495054380936727,1.1505330656197292,1.1517493140521506,1.1531346766964456,1.1546706540333005
car,0.14710899922018336,0.14660897918193622,0.10539086304493742,0.1461192441565436,0.1456396666196895,0.14517010825086316,0.14471042083941665,0.14426044718952766,0.1438200220182569,0.1433889728413252,0.14296712084169286,0.1425542817165117,0.1421502664985102,0.141754882348375,0.14136793331519046,0.14098922106248216,0.14061854555788872
cardiotocography-3clases,0.24179444356867116,0.24109044358393777,0.2709337329257727,0.2404017344499257,0.23972837985122739,0.2390704170535602,0.23842785773310232,0.23780068889017508,0.2371888738368284,0.23659235324784073,0.23601104626473257,0.23544485164260193,0.23489364892989903,0.23435729967166902,0.23383564862726694,0.23332852499409953,0.23283574362953804
cardiotocography-10clases,0.5942044499941387,0.5925210367250309,0.6605763649906826,0.5908930290656628,0.5893208097413439,0.5878045623564773,0.5863442791968059,0.5849397706607549,0.583590676065586,0.5822964755629617,0.5810565028963166,0.579869958738217,0.5787359243586796,0.577653375393734,0.5766211955061235,0.5756381897553946,0.5747030975215718
chess-krvk,1.2646956123351962,1.1807924269269143,1.1429815048624694,1.1199193409939892,1.0787505863136082,1.052225576304458,1.0356379004328258,1.0254216315109725,1.0191548122718805,1.015291092134418,1.0128772911359667,1.0113373002947308,1.0103265499982215,1.0096399701689764,1.0091556921756681,1.008801243725163,1.0085334515558972
chess-krvkp,0.07357250543784291,0.07352569857489892,0.046840051397260524,0.07347906277968709,0.0734325976708719,0.07338630283176115,0.0733401778117047,0.0732942221274832,0.07324843526468565,0.07320281667907406,0.07315736579793393,0.07311208202140927,0.07306696472382126,0.07302201325496897,0.07297722694141165,0.07293260508773106,0.07288814697777361
congressional-voting,0.9369598147121189,0.9364619294628981,0.9840236377000072,0.9359829152387881,0.9355245884242732,0.9350888053569408,0.9346774263211246,0.9342922748675859,0.9339350939125015,0.9336075004466462,0.9333109409676369,0.9330466498915817,0.9328156131730047,0.9326185391483672,0.9324558382255248,0.9323276124991736,0.9322336557315278
conn-bench-sonar-mines-rocks,0.5555415104644226,0.5543177564025988,0.6626970163865941,0.5531622498611547,0.5520797937465859,0.5510753308843099,0.5501538404592544,0.5493202187483024,0.5485791502368245,0.5479349761791635,0.5473915679634553,0.5469522122524909,0.5466195138660285,0.5463953208949189,0.5462806747905833,0.5462757863655016,0.5463800369632299
conn-bench-vowel-deterding,0.3478843505838436,0.3492568617561187,0.3782914202889724,0.35065167949991827,0.3520674807421859,0.35350290439345156,0.354956557047498,0.35642701886062217,0.35791284954609354,0.35941259441825935,0.3609247904210985,0.3624479720777722,0.3639806773008454,0.36552145300717137,0.367068860486775,0.368621480481254,0.3701779179339847
connect-4,0.4354279576758059,0.43520392051310386,0.4152570323247511,0.4349832766207431,0.4347659655047514,0.4345519245122729,0.43434108904185587,0.4341333927548396,0.43392876778695116,0.43372714495920744,0.4335284539872684,0.4333326236884041,0.4331395821852831,0.4329492571058095,0.4327615757783022,0.4325764654213384,0.43239385332764063
contrac,1.3589301689160531,1.357234618842401,1.8035427646888065,1.3555765026280748,1.3539636828210413,1.3524045382219612,1.350907752703962,1.3494820628189248,1.3481359761008909,1.346877476068126,1.3457137327252486,1.3446508383142337,1.3436935868452708,1.3428453125847972,1.3421077975823141,1.34148125217468,1.3409643660770014
credit-approval,0.4878570974337284,0.48783887688531813,0.7008961997664565,0.48782850379924636,0.4878260661121325,0.48783164904740556,0.48784533469573604,0.48786720158306235,0.4878973242292836,0.4879357727009702,0.48798261216167343,0.48803790242361417,0.4881016975046863,0.4881740451948129,0.48825498663573774,0.4883445559183357,0.48844277970145045
cylinder-bands,0.7071480649645259,0.7058071333061985,0.9060375730974973,0.7045700179569204,0.7034303834030486,0.7023820936693271,0.7014192582070989,0.7005362664746818,0.6997278120924786,0.6989889076622338,0.6983148914565167,0.697701427225031,0.6971444983443317,0.6966403974723795,0.696185712773283,0.6957773116627474,0.6954123229010333
